SA2_MAINCODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
201011001,74,1118,1803,521,271,3790,103,3886
201011002,360,1905,1667,421,160,4504,145,4654
201011003,597,3301,3293,980,487,8666,326,8992
201011004,863,3984,3213,932,425,9415,449,9868
201011005,58,503,1038,371,237,2206,72,2281
201011006,86,700,1008,372,220,2383,89,2472
201011007,10,173,491,300,236,1209,37,1246
201011008,516,2160,1922,543,259,5395,271,5667
201021009,46,527,748,371,292,1991,86,2079
201021010,98,815,1054,452,347,2762,177,2933
201021011,140,1186,1344,477,290,3434,181,3612
201021012,17,359,766,430,324,1893,79,1964
201031013,46,404,502,197,149,1297,70,1365
201031014,48,403,589,242,210,1489,70,1561
201031015,25,351,652,319,219,1561,70,1632
201031016,296,1377,1060,307,151,3186,188,3374
201031017,76,594,797,341,250,2056,109,2164
202011018,593,2492,1797,499,228,5602,285,5885
202011019,339,1624,1594,539,252,4346,232,4577
202011020,316,2082,1946,563,254,5160,185,5340
202011021,257,1421,1275,378,161,3498,131,3630
202011022,501,2868,2839,859,371,7432,323,7758
202011023,12,176,768,320,213,1493,40,1528
202011024,22,567,1349,482,255,2673,54,2729
202011025,128,1141,1781,613,303,3959,157,4118
202021026,11,329,1032,530,390,2285,72,2356
202021027,301,1720,1298,393,213,3926,184,4115
202021028,59,949,1325,545,374,3244,126,3373
202021029,71,526,693,250,163,1701,123,1826
202021030,156,1091,1325,505,303,3385,148,3532
202021031,76,627,1032,373,205,2317,60,2377
202031032,29,328,597,325,242,1524,69,1593
202031033,127,786,921,421,369,2619,157,2775
203011034,18,315,923,394,259,1900,60,1956
203011035,24,405,976,473,389,2267,80,2339
203011036,42,384,769,400,308,1907,90,1994
203021037,467,2361,2008,492,208,5539,200,5733
203021038,1181,3847,2788,951,410,9175,595,9767
203021039,503,2229,1701,418,183,5040,186,5226
203021040,726,3131,2795,707,317,7677,293,7966
203021041,375,2671,3469,990,552,8052,260,8315
203021042,232,2146,3425,1021,519,7339,176,7515
203021043,159,1502,2468,939,575,5633,177,5814
203021044,109,1458,1979,621,311,4473,114,4588
203021045,523,2344,1850,601,322,5637,264,5900
203021046,213,1374,1569,380,165,3700,107,3805
203021047,467,2085,2006,559,298,5416,232,5652
203031048,161,1612,2062,656,343,4847,179,5023
203031049,66,697,733,232,85,1819,73,1889
203031050,167,2375,3864,1058,507,7962,215,8174
203031051,122,1220,1179,319,132,2978,136,3116
203031052,60,651,640,155,74,1580,56,1638
203031053,123,1643,3039,836,411,6058,147,6204
204011054,112,770,895,355,228,2359,187,2549
204011055,105,868,906,364,234,2477,125,2599
204011056,150,1456,1761,734,538,4644,200,4845
204011057,109,976,1213,475,281,3056,178,3233
204011058,50,493,609,217,124,1498,80,1578
204011059,239,930,731,246,131,2285,158,2441
204011060,9,273,561,265,218,1320,44,1360
204011061,4,26,27,7,9,78,3,84
204011062,32,428,521,226,147,1351,69,1419
204021063,320,1672,1464,438,220,4120,202,4325
204021064,11,238,516,287,203,1252,36,1291
204021065,61,475,575,224,135,1466,58,1521
204021066,533,2892,2651,714,323,7116,382,7495
204021067,37,661,1466,663,532,3357,130,3482
204031068,68,530,643,239,117,1598,68,1664
204031069,137,1086,1099,366,214,2906,145,3046
204031070,30,264,459,211,148,1108,38,1152
204031071,81,590,655,258,164,1744,104,1847
204031072,66,655,854,368,260,2202,114,2317
204031073,220,1761,2264,693,318,5259,159,5419
204031074,543,3009,3494,1020,459,8524,321,8846
204031075,22,318,650,309,232,1528,52,1582
205011076,190,1815,2294,814,490,5608,201,5807
205011077,34,486,792,465,309,2091,83,2172
205011078,70,777,1133,430,281,2694,99,2797
205011079,346,2146,2592,911,602,6596,275,6872
205021080,0,0,0,0,0,0,0,0
205021081,345,2029,1964,623,298,5256,329,5587
205021082,54,674,1166,512,351,2755,138,2894
205021083,0,0,0,0,0,0,0,0
205021084,180,1397,1475,432,205,3683,224,3908
205021085,166,915,961,331,146,2514,131,2648
205021086,76,908,1018,316,133,2456,125,2577
205031087,120,1104,1318,504,281,3323,142,3463
205031088,13,22,15,0,3,46,6,55
205031089,114,990,1243,524,363,3228,110,3338
205031090,155,1266,1538,604,356,3922,142,4066
205031091,193,1648,1543,364,166,3912,179,4099
205031092,0,0,0,0,0,3,0,6
205031093,520,3412,3248,969,409,8548,461,9013
205041094,118,1068,1561,693,463,3897,173,4070
205041095,685,2591,2082,693,366,6418,359,6781
205041096,656,2339,1638,458,207,5295,314,5613
205041097,566,3489,3916,1146,549,9670,386,10058
205041098,35,371,637,318,207,1566,65,1632
205051099,0,4,0,3,3,7,0,7
205051100,47,528,563,262,150,1553,67,1621
205051101,181,1490,1859,848,581,4965,210,5174
205051102,34,287,557,272,212,1364,65,1426
205051103,442,2126,2070,539,221,5404,223,5624
205051104,95,689,778,308,214,2085,93,2174
206011105,2272,5114,2215,434,157,10203,356,10560
206011106,868,2504,1006,186,70,4638,134,4776
206011107,978,2757,1415,296,114,5560,183,5745
206011108,1241,4261,2759,768,315,9342,269,9610
