SA2_MAINCODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
201011001,..,711,711,1148,79,1222,630,24,655,814,16,833,333,5,342,125,0,125,3055,831,3886
201011002,..,1529,1529,1444,183,1628,554,64,619,562,22,581,235,5,238,65,0,65,2850,1804,4654
201011003,..,2756,2756,2806,335,3141,1179,67,1245,1143,22,1168,501,3,506,177,3,178,5805,3189,8992
201011004,..,3398,3398,2898,422,3320,1268,101,1371,1104,54,1162,423,15,436,184,7,184,5880,3984,9868
201011005,..,414,414,761,46,809,318,19,334,426,23,445,200,3,200,68,4,72,1768,510,2281
201011006,..,526,526,793,73,869,417,15,429,396,12,404,159,0,162,85,0,81,1849,619,2472
201011007,..,170,170,405,16,426,188,0,189,280,0,280,129,0,129,57,0,57,1054,194,1246
201011008,..,1886,1886,1716,150,1867,804,24,827,631,4,641,301,6,312,133,4,136,3584,2077,5667
201021009,..,498,498,713,42,756,297,0,299,308,0,308,150,0,150,71,0,71,1544,536,2079
201021010,..,887,887,1061,56,1109,346,0,348,344,0,345,159,0,159,82,0,82,1987,946,2933
201021011,..,1192,1192,1320,103,1423,428,8,442,353,5,354,156,0,153,44,0,44,2299,1312,3612
201021012,..,437,437,683,42,721,294,0,294,294,0,294,156,0,156,72,0,72,1493,475,1964
201031013,..,451,451,526,45,569,138,0,145,103,0,103,52,0,52,41,0,41,868,493,1365
201031014,..,500,500,530,41,567,188,3,187,184,0,181,74,0,74,50,0,46,1018,544,1561
201031015,..,393,393,582,25,606,201,3,208,270,0,270,110,0,110,49,0,49,1210,422,1632
201031016,..,1263,1263,1148,92,1240,362,14,373,298,0,296,135,3,132,63,0,63,2002,1372,3374
201031017,..,677,677,805,68,864,277,7,285,183,3,182,96,0,96,60,0,60,1415,749,2164
202011018,..,2140,2140,1820,246,2072,719,57,780,529,15,540,223,8,229,119,5,123,3414,2466,5885
202011019,..,1470,1470,1375,156,1534,636,23,657,527,8,534,251,3,254,131,0,131,2919,1661,4577
202011020,..,1727,1727,1799,155,1953,646,61,705,567,32,602,240,6,239,118,0,121,3371,1975,5340
202011021,..,1148,1148,1061,163,1224,467,84,553,404,24,430,195,11,205,68,4,72,2193,1434,3630
202011022,..,2458,2458,2548,226,2774,1074,54,1128,887,7,894,349,5,358,148,0,152,5010,2747,7758
202011023,..,163,163,429,16,441,285,3,284,375,0,375,212,0,212,51,0,51,1352,177,1528
202011024,..,329,329,885,22,907,438,7,440,641,0,640,284,0,287,111,0,111,2361,365,2729
202011025,..,843,843,1321,106,1425,737,30,771,633,3,640,317,3,323,124,0,124,3133,978,4118
202021026,..,339,339,850,34,887,397,3,399,426,3,431,223,0,223,84,0,84,1982,374,2356
202021027,..,1472,1472,1354,129,1488,486,15,508,414,3,417,168,0,168,61,4,62,2487,1627,4115
202021028,..,987,987,1293,91,1390,412,8,417,371,3,375,143,0,143,64,0,64,2282,1089,3373
202021029,..,566,566,702,52,752,208,3,209,174,0,174,65,0,65,46,0,46,1201,623,1826
202021030,..,961,961,1222,60,1283,486,16,505,481,4,483,210,7,215,77,6,83,2481,1057,3532
202021031,..,500,500,766,28,797,380,3,382,492,0,492,174,0,175,37,0,37,1845,533,2377
202031032,..,382,382,562,32,594,235,0,235,218,0,218,128,0,128,41,0,41,1180,416,1593
202031033,..,955,955,1017,82,1102,285,3,287,230,0,226,129,0,129,78,0,78,1736,1036,2775
203011034,..,244,244,595,27,621,298,3,304,469,0,469,243,0,246,80,0,80,1685,269,1956
203011035,..,439,439,788,36,825,363,3,367,428,0,428,185,0,185,98,0,98,1867,475,2339
203011036,..,398,398,736,31,768,281,0,282,314,0,315,163,0,168,63,0,63,1560,430,1994
203021037,..,1943,1943,1716,181,1895,778,81,858,696,19,717,232,4,243,76,7,83,3499,2238,5733
203021038,..,3018,3018,2765,295,3063,1573,41,1612,1144,9,1158,549,3,556,362,3,366,6393,3373,9767
203021039,..,1894,1894,1597,213,1807,627,80,702,519,34,554,193,3,195,61,6,67,3000,2226,5226
203021040,..,2680,2680,2327,263,2589,1056,79,1133,996,34,1031,402,6,415,108,3,110,4891,3078,7966
203021041,..,1968,1968,2649,164,2808,1288,83,1371,1344,57,1402,514,35,550,188,24,210,5988,2325,8315
203021042,..,1578,1578,2408,120,2521,1091,61,1149,1391,43,1435,579,31,607,187,35,226,5660,1861,7515
203021043,..,1097,1097,1817,105,1920,1012,8,1019,1111,3,1113,487,0,487,176,0,176,4604,1208,5814
203021044,..,1019,1019,1527,79,1609,766,8,777,767,4,774,319,0,319,104,0,104,3486,1107,4588
203021045,..,1980,1980,1858,164,2027,831,36,861,667,3,669,228,0,232,127,3,130,3716,2183,5900
203021046,..,1094,1094,1167,94,1260,473,30,506,601,8,609,270,0,276,66,3,69,2575,1233,3805
203021047,..,1703,1703,1764,161,1928,876,30,898,712,13,719,278,0,275,121,0,121,3743,1908,5652
203031048,..,1240,1240,1858,85,1946,692,4,696,706,0,706,309,0,309,121,0,121,3691,1332,5023
203031049,..,592,592,709,35,744,206,6,213,213,3,219,91,0,91,24,0,24,1247,643,1889
203031050,..,1817,1817,2693,147,2843,1216,28,1239,1451,4,1460,625,3,628,190,0,190,6173,2005,8174
203031051,..,1050,1050,1309,86,1392,281,3,282,247,0,249,105,0,105,45,0,45,1978,1140,3116
