SA2_MAINCODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
201011001,7,74,0,13,5,0,0,0,0,103,3,24,0,3,3,0,0,0,0,31,43,432,17,48,64,22,0,10,5,644,0,0,0,0,3,0,0,0,0,3,18,36,0,32,31,5,0,4,3,135,20,38,3,64,58,9,0,3,0,199,26,23,42,129,125,44,6,20,7,420,0,3,0,8,23,9,0,4,0,56,3,4,4,15,9,4,0,0,0,40,0,8,0,0,5,0,0,0,0,19,3,9,0,9,8,11,0,3,3,37,159,743,79,316,342,114,8,50,16,1822,0,4,0,0,0,0,0,0,0,6,11,45,0,0,0,0,0,0,0,55,60,145,8,3,11,6,5,3,0,242,3,12,0,3,0,0,0,0,0,22,18,102,3,13,12,3,0,0,0,154,7,24,0,7,3,0,0,0,0,38,135,685,34,89,80,34,6,20,13,1088,0,0,0,0,3,0,0,0,0,4
201011002,16,121,0,18,14,4,0,0,0,172,3,20,0,0,0,0,0,0,0,26,79,540,17,62,77,21,0,7,3,818,0,0,0,0,0,0,0,0,0,0,31,57,9,25,32,10,0,0,3,163,22,37,10,50,42,25,0,3,7,195,22,27,44,87,67,32,3,14,0,285,0,0,0,3,7,9,0,0,0,28,3,5,0,11,8,9,0,0,0,37,0,8,0,0,3,0,0,0,0,14,7,16,0,4,3,8,0,3,4,41,213,1040,85,269,273,127,7,34,20,2059,3,15,0,0,0,3,0,0,0,28,11,88,3,0,0,0,0,0,0,100,73,247,9,13,16,4,0,5,5,373,5,17,0,0,0,0,0,0,0,22,34,179,8,22,17,7,0,0,0,269,9,28,0,3,0,0,0,0,0,44,212,923,49,97,102,48,9,24,9,1478,0,0,0,0,0,0,0,0,0,0
201011003,20,171,6,20,19,4,0,0,0,248,8,36,0,8,0,0,0,0,4,53,80,740,32,115,145,39,0,21,12,1193,0,0,0,3,0,0,0,0,0,7,27,69,5,57,55,15,3,8,0,233,34,57,28,134,104,34,0,7,3,397,38,43,115,230,212,79,11,48,3,779,6,3,3,15,35,20,3,13,0,95,8,6,5,25,26,17,0,7,0,93,0,13,3,11,10,4,0,3,0,42,3,16,6,20,23,16,0,17,9,107,277,1381,207,647,641,222,16,123,37,3554,4,16,0,0,0,0,0,0,0,19,12,71,0,0,0,0,0,0,0,86,92,262,7,18,24,10,3,4,5,422,8,24,0,0,0,5,0,0,0,35,44,244,9,34,30,5,6,8,3,383,18,50,0,6,3,0,0,0,4,80,234,1228,71,177,182,68,15,54,28,2065,0,0,0,3,0,0,0,0,0,5
201011004,3,111,5,25,6,0,0,0,0,157,0,21,0,8,9,0,0,0,0,43,55,535,25,102,108,45,3,20,7,896,0,0,0,0,3,0,0,0,0,7,19,52,11,48,48,21,0,3,0,200,26,67,12,163,101,32,3,18,3,428,43,53,106,339,186,130,13,77,8,944,6,9,9,23,22,25,0,20,0,112,9,3,5,37,20,23,0,12,0,103,0,6,0,5,4,0,0,0,0,19,11,11,5,20,12,16,6,17,4,89,194,996,180,787,530,296,25,171,31,3213,0,7,0,0,0,0,0,0,0,8,3,60,0,0,0,0,0,0,0,66,46,174,12,14,24,11,7,4,4,301,3,13,0,4,3,0,0,0,0,26,20,153,5,35,11,4,0,0,0,234,5,29,0,9,10,0,0,0,0,54,150,848,79,146,147,74,19,44,18,1528,0,0,0,0,3,0,0,0,0,9
201011005,5,42,5,3,10,0,0,0,0,63,4,13,0,0,4,0,0,0,0,28,34,247,16,37,50,12,0,3,3,396,0,0,0,0,0,0,0,0,0,0,13,27,5,15,28,0,0,3,0,85,12,16,5,29,34,13,0,0,0,119,6,12,23,57,45,20,0,15,0,189,4,0,5,3,10,5,0,3,0,25,3,3,0,3,7,0,0,0,0,19,0,3,0,0,0,3,0,0,0,4,0,5,0,4,9,8,0,5,0,31,98,453,56,169,192,64,0,27,13,1079,3,10,0,0,0,0,0,0,0,14,7,62,0,0,0,0,0,0,0,67,40,94,0,4,13,3,0,0,3,154,0,7,0,0,0,0,0,0,0,9,14,69,5,13,7,0,0,0,0,113,6,18,0,0,4,0,0,0,3,38,93,422,29,58,76,17,4,14,8,726,0,0,0,3,0,0,0,0,0,4
201011006,3,32,0,16,0,0,0,0,0,51,0,11,0,0,0,0,0,0,0,8,11,163,4,16,37,15,0,6,0,253,0,3,0,0,0,0,0,0,0,4,14,21,0,15,9,8,0,6,4,75,7,11,0,48,38,16,0,6,0,130,17,14,40,92,75,43,6,32,3,320,3,0,4,3,7,11,0,0,0,31,0,0,0,9,8,3,0,3,0,26,0,0,0,0,0,3,0,0,0,9,0,5,0,4,3,3,0,8,3,20,57,283,49,215,188,94,12,52,15,970,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,6,43,0,3,7,0,0,0,0,56,0,3,0,0,0,0,0,0,0,6,5,34,0,17,0,0,0,0,0,60,0,10,0,0,0,0,0,0,0,15,34,229,14,29,41,22,4,7,3,395,0,3,0,0,0,0,0,0,0,4
201011007,0,19,0,4,0,0,0,0,0,33,0,3,0,0,0,0,0,0,3,12,11,103,3,15,21,4,0,0,0,155,0,0,0,0,3,0,0,0,0,4,9,8,3,12,10,7,0,0,0,50,12,14,0,21,19,6,0,0,0,66,3,4,19,40,36,17,6,13,3,133,0,0,0,5,10,6,0,5,0,30,3,0,0,7,8,5,0,0,0,27,0,0,0,3,4,0,0,0,0,12,3,3,3,0,3,6,0,3,3,21,46,177,30,117,112,40,5,27,11,572,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,10,23,0,3,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,10,30,0,4,3,0,0,0,0,54,0,7,0,0,0,0,0,0,3,18,26,154,6,24,21,4,0,3,0,238,0,0,0,0,3,0,0,0,0,5
201011008,4,49,0,10,5,0,0,0,0,76,0,12,0,3,3,0,0,0,0,17,27,264,10,37,51,19,4,9,4,430,0,0,0,3,0,0,0,0,0,3,12,30,6,20,19,0,0,9,0,97,6,21,5,66,42,14,0,11,6,177,25,34,59,146,115,63,5,44,3,494,7,5,3,4,23,12,0,10,0,62,4,0,3,24,17,6,0,8,0,72,0,0,0,0,4,4,0,0,0,9,3,3,4,14,15,12,4,16,12,86,97,465,98,339,293,136,15,112,24,1589,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,22,65,6,3,6,0,3,0,3,108,0,10,0,0,0,0,0,0,0,10,7,73,3,14,5,0,3,3,0,107,0,20,0,3,6,0,0,0,0,26,69,388,30,62,69,27,10,29,5,679,0,0,0,3,0,0,0,0,0,3
201021009,11,24,0,8,4,0,0,0,0,46,3,3,0,3,0,0,0,0,0,10,32,133,5,15,30,12,0,3,4,245,0,0,0,0,0,0,0,0,0,0,6,24,3,11,17,3,0,0,0,69,12,10,4,23,26,5,0,5,0,81,10,12,35,63,61,13,7,14,0,207,4,0,3,4,6,0,0,6,0,24,5,7,4,10,4,3,0,0,0,31,0,0,0,3,3,0,0,0,0,6,4,11,0,3,3,8,0,4,0,36,104,257,52,145,170,54,10,29,7,817,0,3,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,13,24,44,0,3,13,3,0,0,0,79,0,3,0,0,0,0,0,0,0,3,15,35,0,8,12,0,0,0,0,66,3,3,0,5,0,0,0,0,0,7,57,197,16,26,32,19,4,7,5,367,0,0,0,0,0,0,0,0,0,3
201021010,4,41,0,11,8,0,0,0,0,65,0,5,0,3,0,0,0,0,0,10,29,121,4,28,38,6,0,4,4,242,0,0,0,4,0,0,0,0,0,4,19,26,4,18,16,7,0,3,0,97,17,19,11,31,25,10,3,8,3,129,20,11,40,61,56,27,3,22,4,245,3,0,0,3,12,3,0,4,0,34,0,4,6,15,8,4,0,3,0,43,3,3,0,0,0,0,0,0,0,11,3,11,9,7,4,5,0,8,3,51,117,293,76,187,174,64,15,52,18,990,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,29,16,49,4,3,9,0,3,4,0,84,0,5,0,0,0,0,0,0,0,10,12,53,3,8,5,3,0,0,0,85,5,6,0,3,0,0,0,0,0,17,58,199,22,39,52,12,10,14,3,402,0,0,0,4,0,0,0,0,0,3
