SA2_MAINCODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201011001,699,456,208,45,5365
201011002,1113,766,413,152,6447
201011003,1786,1208,609,252,11411
201011004,1555,1116,559,243,11225
201011005,691,434,158,40,3606
201011006,390,284,133,55,2959
201011007,330,173,56,13,1783
201011008,796,674,462,182,6061
201021009,520,353,102,49,2820
201021010,812,581,270,106,3845
201021011,1204,869,297,121,4992
201021012,538,346,101,18,2757
201031013,385,300,104,34,1488
201031014,439,361,107,57,2162
201031015,422,284,86,25,2096
201031016,531,554,317,140,3255
201031017,510,444,153,32,2281
202011018,1106,744,443,260,7218
202011019,777,573,281,92,5094
202011020,1121,869,528,269,6662
202011021,708,440,207,155,4611
202011022,1317,1031,633,336,8930
202011023,340,201,52,10,2319
202011024,691,392,154,29,4060
202011025,759,416,163,46,5297
202021026,710,419,105,28,3548
202021027,1126,871,495,210,6084
202021028,1168,832,274,81,4625
202021029,482,383,203,45,2136
202021030,893,722,306,111,4911
202021031,713,532,177,72,3770
202031032,418,258,75,28,1969
202031033,679,465,225,87,3077
203011034,390,245,85,26,2909
203011035,607,353,91,22,3242
203011036,591,349,139,49,2877
203021037,957,705,416,241,7206
203021038,1380,934,493,145,9676
203021039,1178,642,283,120,7089
203021040,1388,809,419,182,10167
203021041,1402,1097,653,445,11515
203021042,1915,1228,644,243,11593
203021043,1208,701,271,81,8676
203021044,875,762,365,117,6082
203021045,944,737,480,199,6336
203021046,1001,597,289,148,5543
203021047,964,674,444,323,6729
203031048,1223,950,559,184,6599
203031049,674,572,247,88,3026
203031050,2235,1613,562,210,12320
203031051,900,909,379,173,3870
203031052,537,626,329,127,2501
203031053,1577,1129,414,129,9764
204011054,684,652,254,96,3185
204011055,670,567,272,119,3027
204011056,969,675,323,96,6216
204011057,915,770,287,94,4532
204011058,413,283,136,52,1919
204011059,512,352,202,118,2823
204011060,378,241,81,15,2142
204011061,16,7,11,0,91
204011062,411,362,130,34,1774
204021063,860,746,419,193,4745
204021064,500,305,89,21,1889
204021065,366,259,113,52,1786
204021066,1401,986,652,429,8634
204021067,1074,706,207,51,4847
204031068,583,430,193,75,2723
204031069,911,712,295,99,4428
204031070,345,184,68,22,1527
204031071,476,278,151,78,2120
204031072,616,477,190,63,2903
204031073,1044,633,235,90,6656
204031074,1730,1074,479,189,11554
204031075,482,324,98,34,2286
205011076,1155,913,440,139,7336
205011077,680,460,166,32,2986
205011078,713,473,186,70,3654
205011079,1514,1218,539,177,8971
205021080,0,0,0,0,0
205021081,1116,963,590,317,6904
205021082,772,602,215,51,3644
205021083,0,0,0,0,0
205021084,1078,1095,451,176,4967
205021085,663,616,259,79,2955
205021086,711,824,386,128,3315
205031087,980,815,323,113,4359
205031088,17,19,4,0,61
205031089,812,550,225,82,4112
205031090,916,744,322,99,5045
205031091,1084,988,429,216,5327
205031092,0,0,0,0,10
205031093,2028,1898,946,348,10587
205041094,1154,718,217,55,5617
205041095,1297,939,530,219,7377
205041096,969,717,431,151,5875
205041097,1913,1211,694,287,12644
205041098,419,203,79,21,2110
205051099,3,0,0,0,9
205051100,443,364,146,24,2153
205051101,1208,793,369,129,6294
205051102,384,184,72,13,2583
205051103,1090,717,385,181,6827
205051104,592,425,186,71,2460
206011105,1318,598,243,86,16275
206011106,520,268,108,36,7234
206011107,794,401,175,95,8167
206011108,1478,624,272,125,13810
206011109,615,258,141,93,4801
206021110,730,285,119,41,5189
206021111,1681,753,342,174,14829
206021112,991,441,232,133,10599
206031113,1033,483,160,53,8280
206031114,2244,1066,503,307,15213
206031115,529,269,129,48,5861
206031116,1107,576,210,115,7969
206041117,559,404,200,84,11154
206041118,605,330,76,8,7827
206041119,526,424,146,82,3801
206041120,4,3,0,0,71
206041121,613,305,100,30,6941
206041122,952,513,136,44,24439
206041123,864,525,226,57,13766
206041124,324,269,208,257,4483
206041125,521,516,251,182,4457
206041126,873,526,143,34,13684
206041127,0,0,0,0,0
206051128,1377,1073,358,141,9925
206051129,1180,534,186,57,10278
206051130,1403,880,319,101,10184
206051131,0,0,0,0,5
206051132,837,632,271,114,7657
206051133,1878,1044,417,219,18873
206051134,931,542,212,78,10868
206061135,690,584,308,125,5825
206061136,1110,668,389,164,13572
206061137,1115,859,443,130,14991
206061138,1373,1300,657,286,8474
206071139,430,262,75,43,5791
206071140,646,576,174,61,5777
206071141,437,193,91,47,5635
206071142,670,376,177,63,6944
206071143,978,659,254,69,8202
206071144,1623,1064,368,100,20061
206071145,807,519,133,51,5880
207011146,718,376,161,123,4214
207011147,1533,1071,595,347,8851
207011148,1844,1124,577,339,10593
207011149,2007,1454,764,468,12492
207011150,1595,953,407,140,9291
207011151,1533,1107,502,217,14960
207011152,1166,775,373,193,9584
207011153,2412,1664,797,425,14825
207011154,540,372,166,69,3593
207011155,1750,1125,528,300,9391
207021156,738,559,427,131,5471
207021157,1422,1129,877,273,10930
207021159,1632,1194,546,230,8743
207021160,925,909,657,329,7228
207021424,1320,864,421,173,7443
207021425,843,708,533,209,7094
207031161,1610,1084,714,395,11718
207031162,782,522,432,239,5582
207031163,1315,719,493,287,11094
207031164,1334,805,465,201,9340
207031165,625,433,332,227,6479
207031166,663,539,397,88,5250
207031167,1063,611,256,161,5855
208011168,1498,981,491,270,7358
208011169,2462,1808,899,460,13164
208011170,1558,956,515,386,8646
208011171,810,460,243,138,5756
208011172,1619,1000,429,180,9527
208011173,1718,1261,568,377,9485
208021174,1824,926,512,335,11880
208021176,1186,692,371,155,10853
208021177,1789,1227,531,366,12257
208021178,1566,1182,509,300,10075
208021179,955,597,246,118,6695
208021180,448,194,120,52,4010
208021181,687,305,170,89,5321
208021182,928,498,202,79,7961
208021426,1032,520,305,162,7458
208021427,958,555,306,158,6599
208031183,629,283,174,39,4243
208031184,7,0,0,0,21
208031185,990,621,303,108,5850
208031186,1005,700,427,289,7730
208031187,357,241,124,17,2479
208031188,1443,920,611,403,11474
208031189,956,545,341,143,6712
208031190,1007,699,417,208,7079
208031191,557,370,195,110,4471
208031192,0,0,0,0,0
208031193,1582,852,452,277,10406
208041194,1655,1229,726,334,12252
208041195,1719,1067,500,243,12252
209011196,548,517,243,105,4744
209011197,1769,1081,441,173,10428
209011198,1147,757,536,308,8396
209011199,855,478,246,174,7147
209011200,1129,658,253,93,6680
209011201,917,650,223,109,4492
209011202,1448,1116,446,135,8753
209011203,1329,965,524,297,9573
209011204,594,376,265,62,4462
209021205,518,273,190,144,5748
209021207,1259,779,577,400,13360
209021208,1077,649,399,210,10945
209021428,991,489,264,155,10598
209021429,663,276,172,51,6293
209031209,2436,1445,474,131,12270
209031210,377,186,53,11,1799
209031211,381,188,46,4,1995
209031212,646,373,115,33,2904
209031213,801,455,156,43,4571
209031214,739,427,113,31,3646
209031215,1144,594,211,65,6835
209041216,361,168,115,43,3539
209041217,397,295,155,31,2950
209041219,845,592,321,91,8396
209041220,1237,451,202,70,7840
209041221,848,408,130,38,5388
209041223,836,565,292,73,7307
209041224,970,507,157,30,7130
209041225,634,447,174,64,3818
209041430,787,477,96,28,9256
209041431,664,272,142,63,5273
209041432,402,276,86,41,3445
209041433,290,128,34,8,4738
209041434,578,326,93,15,7536
209041435,454,171,48,9,5176
209041436,561,300,178,42,5059
209041437,242,114,37,9,4215
210011226,441,295,183,76,3630
210011227,0,0,0,0,0
210011228,601,532,198,83,3879
210011229,1438,1298,854,271,11783
210011230,458,239,151,84,3409
210011231,872,427,217,108,4798
210021232,995,739,278,115,6415
210021233,416,292,100,18,1894
210021234,395,233,70,14,2032
210021235,875,530,167,54,4541
210031236,372,196,131,123,3934
210031237,486,259,288,176,5450
210031239,1263,566,424,278,12020
210031438,837,521,458,278,10324
210031439,141,92,73,21,1377
210031440,222,152,143,46,2249
210041240,1058,500,189,63,5850
210041241,1831,1082,492,185,12380
210051242,500,273,194,58,5052
210051243,466,399,240,47,5023
210051245,1147,813,319,79,7462
210051246,1037,449,114,24,6959
210051247,514,240,126,23,4596
210051248,16,6,3,0,131
210051249,697,265,94,34,7144
210051250,386,281,114,30,2975
210051441,423,203,54,10,3275
210051442,321,89,31,3,4549
210051443,687,231,68,18,6499
210051444,276,124,63,28,5972
210051445,133,74,25,7,1590
211011251,696,548,368,127,5956
211011254,1059,686,309,70,7386
211011255,562,167,63,9,3110
211011256,1273,512,246,76,7300
211011257,545,247,138,48,3753
211011258,803,406,195,34,5007
211011259,1263,762,347,197,7048
211011260,1645,871,485,359,9020
211011446,1546,1129,606,307,11142
211011447,922,731,380,147,6880
211011448,1100,640,262,72,6991
211011449,330,176,66,17,2074
211021261,1436,984,498,214,8264
211021262,1101,612,254,82,5276
211031263,796,430,169,182,5726
211031265,1554,801,326,112,8934
211031266,1012,727,428,220,8697
211031267,1415,1063,594,226,10546
211031268,890,534,274,86,4916
211031450,972,756,392,140,7522
211031451,893,703,499,256,6608
211031452,290,243,111,15,2298
211041269,684,485,382,169,5484
211041270,1057,722,409,121,8673
211041271,708,479,321,254,6306
211041272,732,575,323,72,5301
211041273,1010,868,380,130,5912
