SA2_MAINCODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
211051274,1034,497,159,32,5263
211051275,757,556,196,59,4703
211051276,1199,886,401,117,6675
211051277,579,483,265,181,4374
211051278,1268,885,415,142,8716
211051279,470,356,87,44,2655
211051280,576,380,190,127,3401
211051281,1474,938,427,148,10351
211051282,1229,850,239,63,5610
211051283,738,445,160,38,4717
211051284,964,485,133,35,5139
211051285,599,359,132,40,3569
211051286,1396,949,300,98,7509
212011287,716,360,119,22,6122
212011288,684,443,160,49,3999
212011289,1734,948,307,109,8975
212011290,446,330,153,58,3115
212011291,781,487,220,76,8140
212011292,1180,860,444,185,12099
212021293,1678,1055,751,354,10993
212021294,1209,561,194,27,11431
212021295,477,343,225,73,4221
212021297,643,342,186,61,4379
212021299,722,356,142,89,3648
212021453,918,460,156,101,5406
212021454,1114,563,190,32,6088
212021455,761,311,148,28,5823
212021456,765,411,170,68,5947
212031300,1101,609,253,94,8359
212031301,675,529,326,98,11495
212031302,813,382,123,33,8494
212031303,602,354,162,105,4036
212031304,495,191,71,21,6480
212031305,1343,574,248,44,10103
212031306,559,213,67,17,6616
212031308,594,342,125,34,3445
212031457,742,324,131,13,5476
212031458,751,316,108,24,6602
212041309,778,535,246,71,5269
212041310,465,314,179,40,5885
212041311,1216,751,530,240,12189
212041312,1265,874,417,136,9316
212041313,810,595,294,123,4867
212041314,1176,799,306,93,10362
212041316,398,295,132,26,3047
212041317,753,508,366,201,8363
212041318,431,375,167,82,4239
212041459,602,355,226,99,5893
212041460,766,585,321,112,7166
212051319,1134,684,365,188,10031
212051320,620,356,285,210,11693
212051321,1674,1352,802,309,11135
212051322,1450,835,672,242,10132
212051323,1276,795,668,205,8319
212051324,1319,886,611,301,9821
212051325,1230,882,494,210,9623
212051326,1210,578,395,298,11175
212051327,1653,1463,768,362,10288
213011328,343,223,114,65,3582
213011329,404,176,31,3,3655
213011330,994,629,237,55,10609
213011331,450,188,55,15,3148
213011332,886,500,149,39,5399
213011333,671,511,151,30,4828
213011334,819,598,326,106,7785
213011335,709,481,247,71,6267
213011336,464,212,137,85,4349
213011337,445,252,161,102,4124
213011338,724,555,269,77,6919
213011339,566,275,137,148,5473
213011340,1416,577,157,59,7699
213021341,929,626,351,165,6605
213021342,1194,625,241,98,8520
213021343,523,353,361,172,5915
213021344,1177,462,205,128,9417
213021345,315,116,49,13,2341
213021346,1572,873,310,139,8396
213031347,735,340,187,106,8269
213031348,722,356,192,105,9645
213031349,678,273,83,35,6682
213031350,465,174,75,67,5272
213031351,522,225,91,48,6148
213031352,823,303,176,114,8150
213041353,1335,922,356,149,8964
213041355,891,328,71,10,8791
213041356,1157,733,252,61,7601
213041357,1152,702,256,93,9649
213041358,853,432,111,20,7077
213041359,164,76,29,3,1949
213041360,560,272,119,28,7678
213041461,240,136,69,54,1901
213041462,177,71,6,0,2459
213041463,834,382,122,7,8764
213051361,1227,538,150,40,8281
213051362,1257,793,257,78,8276
213051363,351,168,67,20,4507
213051365,932,448,177,33,15673
213051366,570,217,70,8,11844
213051368,768,479,246,82,5124
213051369,896,428,141,34,9947
213051464,568,225,42,10,5954
213051465,817,427,159,33,10786
213051466,363,175,29,8,7286
213051467,1150,591,309,212,8246
213051468,840,403,150,35,5462
214011370,1177,636,330,229,9178
214011371,1822,1118,602,232,11487
214011372,1167,961,530,187,8836
214011373,1593,1127,631,370,9251
214011374,1677,954,359,100,11201
214011375,1205,821,447,153,8341
214011376,755,378,116,17,5851
214021377,1001,972,471,209,5477
214021378,795,636,250,83,3132
214021379,1826,1348,676,200,10586
214021380,1862,1952,1229,497,12097
214021381,1721,1368,703,202,9278
214021382,1494,1265,681,287,9335
214021383,1632,1833,902,271,8977
214021384,1629,1697,1232,600,10064
214021385,1501,865,375,139,8626
215011386,642,492,248,86,3888
215011387,372,241,96,27,1535
215011388,1187,741,391,196,7128
215011389,329,189,67,51,1558
215011390,550,317,180,94,2764
215011391,283,230,108,37,1366
215011392,682,531,246,89,3602
215011393,214,172,79,45,1138
215011394,565,398,207,150,2836
215021395,509,269,125,24,2916
215021396,360,209,93,36,1970
215021398,313,158,71,31,1469
215021399,453,282,127,62,2444
215021469,1150,829,468,193,7862
215021470,883,631,341,169,6033
215031400,565,345,219,138,2643
215031401,520,412,194,44,2656
215031402,299,234,153,57,1655
215031403,210,118,60,33,1195
215031404,666,478,278,133,4696
215031405,568,339,131,49,2806
216011406,1066,824,482,218,6555
216011407,777,588,318,157,4738
216011408,344,160,79,15,1638
216011409,281,196,136,70,1582
216011410,389,265,139,34,1721
216021411,384,376,218,72,2508
216021412,265,157,54,14,1168
216021413,947,637,341,101,5082
216021414,625,593,376,170,3665
216031415,571,405,201,59,3297
216031416,1201,711,382,214,8175
216031417,1340,940,473,198,9225
216031418,317,177,55,14,1678
216031419,749,507,214,76,4512
217011420,771,563,220,77,3837
217011421,798,591,318,171,4495
217011422,906,574,292,127,4750
217011423,624,378,132,75,2860
217031471,252,245,141,49,1502
217031472,855,571,342,162,5069
217031473,475,340,113,26,2402
217031474,469,327,166,68,2299
217031475,519,281,151,55,2931
217031476,470,345,109,37,1928
217041477,541,285,121,53,2894
217041478,845,585,230,101,4463
217041479,1479,947,497,168,9492
217041480,1019,739,394,236,6305
297979799,10,0,0,0,25
299999499,526,263,61,19,4580
