SA2_MAINCODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
201011001,0,0,0,131,28,3,0,30,3,13,0,9,0,4,69,152,3,0,0,0,0,0,0,0,0,0,3,8,331,49,4,632,74,262,20,61,11,45,67,1553
201011002,4,0,0,213,35,7,0,21,0,13,0,5,0,4,70,147,3,0,0,3,0,5,0,0,0,0,0,10,260,61,7,418,38,165,14,43,9,52,72,1139
201011003,0,0,0,228,38,3,0,68,6,29,3,12,0,19,105,287,0,0,0,8,0,5,0,0,0,3,5,25,425,109,17,884,96,450,27,111,19,156,115,2415
201011004,0,0,0,61,24,9,0,39,6,23,0,8,0,30,82,221,3,0,3,8,0,3,0,0,0,4,8,27,309,86,25,700,71,398,20,134,24,238,91,2105
201011005,0,0,0,100,14,4,0,22,0,10,0,3,0,8,42,100,3,0,0,0,0,0,0,0,0,0,0,4,178,41,14,352,33,131,13,26,6,40,39,879
201011006,0,0,0,32,15,3,0,16,0,10,0,3,0,10,17,72,0,0,0,0,0,0,0,0,0,4,3,6,153,27,4,299,25,128,12,41,4,54,25,779
201011007,0,0,0,46,17,0,0,26,4,7,0,0,4,3,27,83,0,0,0,0,0,0,0,0,0,0,0,0,138,19,8,231,23,85,7,12,15,36,30,589
201011008,0,0,0,45,16,3,0,22,0,12,4,3,0,20,54,143,0,0,0,3,0,0,0,0,0,5,0,17,204,54,15,475,39,242,21,83,21,170,59,1378
201021009,0,0,0,67,16,3,0,27,0,14,0,3,3,8,30,97,0,0,0,0,0,0,0,0,0,0,0,3,129,31,8,240,26,141,11,32,8,45,27,693
201021010,0,0,0,37,9,5,0,18,0,15,0,3,0,3,28,89,0,0,0,0,0,3,0,0,0,4,0,8,112,42,12,243,31,135,9,51,12,71,32,747
201021011,0,0,0,32,14,11,3,20,0,7,3,4,0,5,36,109,0,0,0,4,0,0,0,0,0,3,0,12,103,83,3,246,28,132,14,66,17,64,46,793
201021012,0,0,0,43,14,9,3,24,3,13,0,0,0,7,34,104,0,0,0,3,0,0,0,0,0,0,3,6,141,32,13,234,17,134,11,22,10,48,41,697
201031013,0,0,0,10,3,0,0,3,0,12,0,0,0,6,16,43,0,0,0,0,0,0,3,0,0,0,3,7,53,6,7,80,9,58,9,15,0,35,18,279
201031014,0,0,0,12,9,3,0,14,0,3,0,3,0,3,22,63,0,0,0,0,0,0,0,0,0,0,0,3,76,17,6,126,15,67,7,19,10,43,24,411
201031015,0,0,0,11,15,0,0,13,0,5,0,5,4,8,18,68,3,0,0,0,0,3,0,0,0,4,0,11,83,31,7,188,10,103,4,25,7,53,25,532
201031016,0,0,0,19,13,7,0,12,0,6,0,7,0,7,29,86,0,0,0,0,0,0,0,0,0,3,0,5,103,24,4,186,16,91,18,44,10,82,29,601
201031017,0,0,0,11,3,3,0,19,0,5,0,3,0,7,21,64,0,0,0,0,0,0,0,0,0,0,0,4,60,23,0,135,11,87,8,39,10,76,24,479
202011018,0,0,0,73,8,3,0,27,3,7,0,8,0,16,42,114,0,0,4,3,0,0,0,0,0,3,0,12,165,53,8,333,51,221,13,84,5,142,41,1114
202011019,0,0,0,17,8,3,4,24,5,9,0,6,0,16,31,112,0,0,0,3,0,0,0,0,0,0,5,15,171,59,10,308,30,212,16,89,15,112,39,1060
202011020,0,0,0,123,21,0,3,29,0,10,3,3,0,13,49,128,0,0,0,3,0,0,0,0,0,0,0,10,249,58,14,461,38,175,13,48,8,106,51,1219
202011021,0,0,0,78,20,0,0,18,3,5,3,0,0,3,32,81,0,0,0,0,0,0,0,0,0,0,0,3,183,45,5,328,23,123,11,48,5,53,33,865
202011022,0,0,0,60,28,7,0,28,8,16,0,6,3,10,80,180,3,0,0,0,3,3,3,0,0,3,10,18,282,82,10,584,54,399,27,104,27,151,89,1823
202011023,0,0,0,48,25,3,0,13,4,11,0,0,0,4,38,103,0,0,0,0,0,0,0,0,0,0,4,3,172,31,7,333,31,127,12,32,10,36,45,828
202011024,3,0,0,135,23,8,0,39,9,12,0,4,0,7,65,161,0,0,0,3,0,3,0,0,0,0,3,9,247,56,9,542,59,185,31,48,13,42,73,1294
202011025,0,3,0,49,19,3,5,24,9,14,0,3,0,6,64,145,6,0,0,0,0,0,0,0,0,3,0,13,254,62,16,501,82,240,27,67,14,89,73,1415
202021026,0,0,0,72,20,3,3,30,0,9,0,4,0,0,36,110,0,0,3,0,0,0,0,0,3,0,0,11,211,54,11,369,46,150,19,34,13,46,39,990
202021027,0,0,0,37,23,5,0,17,3,14,0,5,0,7,47,133,3,0,0,0,0,0,0,0,0,0,3,10,135,91,11,265,29,162,22,57,6,51,54,885
202021028,0,0,0,39,10,8,0,24,0,12,3,8,0,10,46,117,0,0,0,0,0,0,0,0,0,0,0,7,124,67,4,268,18,134,18,49,13,69,53,815
202021029,0,0,0,12,11,3,0,12,0,8,0,0,0,10,20,54,0,0,0,0,0,0,0,0,3,0,0,7,60,16,8,110,8,73,4,28,10,56,20,386
202021030,0,0,3,97,13,4,0,27,0,7,0,3,0,10,44,117,3,0,4,0,0,0,0,0,3,0,0,14,166,60,14,376,31,191,19,55,13,58,51,1026
202021031,0,3,0,138,15,0,0,26,3,11,0,3,0,0,51,119,0,0,0,0,0,0,0,0,0,3,0,9,165,59,3,324,34,175,14,38,8,45,55,915
202031032,0,0,0,21,11,7,0,19,0,3,0,6,0,6,30,78,0,0,0,0,0,0,0,0,0,0,0,4,94,24,7,180,17,86,9,17,6,57,31,523
202031033,0,0,0,12,23,3,4,18,0,7,0,3,0,8,21,87,0,0,0,3,0,0,0,0,0,0,3,10,132,21,10,188,20,75,4,28,6,73,32,586
203011034,0,0,0,66,15,0,0,18,3,14,0,3,0,0,51,99,0,0,0,3,0,0,3,0,0,0,0,13,167,38,11,378,50,162,16,39,12,32,48,957
203011035,0,0,0,53,15,4,6,33,4,9,0,3,0,5,49,124,0,0,0,4,0,3,0,3,0,3,3,21,167,35,19,324,37,188,9,49,15,50,55,942
