SA2_MAINCODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
212031306,0,4,0,4,0,0,0,4,0,9,0,0,3,3,3,4,7,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,10,0,3,0,4,3,0,0,0,0,17,0,0,4,9,8,8,3,0,0,37,0,0,0,0,0,3,3,0,0,5,0,4,7,47,21,18,5,3,0,111,0,0,0,3,5,0,0,0,0,12,0,3,3,19,5,0,0,0,0,26,0,0,0,3,0,0,4,3,3,14,3,29,44,50,17,10,3,0,0,162,0,0,0,0,0,0,0,0,0,3,0,13,5,23,4,5,0,0,0,48,0,0,0,0,0,0,0,0,0,3,0,13,26,65,34,8,7,0,0,155,0,0,0,11,6,0,4,0,0,31,0,4,0,3,3,5,0,3,0,24,0,3,3,9,5,3,0,0,0,26,0,0,4,24,11,12,3,0,0,53
212031308,0,0,0,3,3,0,0,0,0,11,0,0,0,0,3,6,9,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,16,6,0,26,0,0,0,14,10,18,5,3,0,55,0,3,0,0,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,0,3,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,12
212031457,0,0,0,0,0,0,0,3,0,9,0,0,0,0,10,13,16,4,0,35,0,0,0,0,0,0,0,0,0,0,0,3,4,14,5,0,0,0,0,28,0,0,0,5,10,3,6,0,0,23,0,0,5,3,3,6,0,3,0,27,0,0,0,0,4,0,7,0,0,10,0,3,0,15,17,15,3,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,3,10,11,4,0,28,0,13,23,33,30,10,6,0,0,118,0,0,0,0,0,6,0,0,0,6,0,7,3,9,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5,12,11,7,0,0,0,40,0,0,0,3,3,4,3,0,0,16,0,0,4,9,9,13,3,3,0,39,0,8,6,6,3,4,0,0,0,23,0,3,15,7,20,4,3,0,0,51
212031458,0,0,0,4,0,0,0,0,0,10,0,0,0,0,4,17,17,7,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,3,3,0,4,0,0,9,0,4,5,10,6,5,0,0,0,24,0,0,0,0,3,4,7,4,0,15,0,0,13,18,23,26,8,4,0,88,0,0,0,0,0,0,0,0,0,4,0,0,3,9,3,4,0,0,0,13,0,0,0,3,0,3,8,3,0,19,8,33,48,60,31,28,3,0,0,207,0,0,0,0,3,0,0,0,0,10,0,19,11,34,8,0,4,0,0,75,0,0,0,0,0,0,0,0,0,0,0,5,14,33,26,12,3,4,0,94,0,0,3,3,10,3,3,0,0,27,0,0,3,10,5,7,0,0,0,22,0,3,5,9,5,8,0,0,0,34,0,0,11,13,15,14,8,3,0,61
212041309,3,0,0,8,3,0,0,0,0,11,0,0,8,3,4,29,33,32,9,119,0,0,0,0,0,0,0,0,0,7,0,3,0,5,0,0,0,0,0,12,0,0,0,5,12,6,8,5,0,37,0,0,0,12,5,7,8,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,4,13,11,12,19,19,7,76,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,3,0,10,0,5,3,17,13,10,3,4,0,52,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,5,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,4,13,32,25,27,14,0,0,117,0,0,0,3,7,3,6,0,0,18,0,0,0,3,0,3,3,3,0,16,0,0,0,3,0,0,0,0,0,3,0,0,0,6,3,4,6,4,0,22
212041310,0,3,0,4,0,0,0,0,0,12,0,0,0,3,0,8,28,41,18,96,0,5,0,5,3,0,0,0,0,14,0,4,11,29,7,3,0,0,0,62,0,0,0,0,5,7,0,0,0,16,0,0,12,39,7,7,5,3,0,81,0,0,0,0,0,0,3,0,0,4,0,4,0,16,4,3,12,6,0,53,0,0,0,12,3,0,0,0,0,19,0,3,8,18,0,0,0,0,0,31,0,0,0,0,0,0,0,3,0,8,0,11,23,28,11,9,5,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,28,53,8,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,5,15,50,18,8,5,0,0,104,0,0,0,6,6,3,6,0,0,25,0,0,0,0,0,4,0,0,0,6,0,0,0,7,0,0,0,0,0,8,0,0,0,4,0,0,3,0,0,6
212041311,0,0,0,0,0,5,5,3,0,18,0,0,3,6,4,17,27,56,23,134,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,3,21,7,5,7,3,0,44,3,14,0,30,10,4,3,4,3,72,0,0,0,0,0,6,0,3,0,8,0,0,5,44,11,24,23,14,4,125,0,10,13,30,9,0,0,4,0,61,0,0,5,13,0,0,0,0,0,16,0,0,0,0,0,3,14,14,3,33,7,37,52,73,28,27,23,3,0,250,0,0,0,0,0,0,0,3,0,14,16,122,125,344,33,19,4,0,0,662,0,0,0,3,0,0,0,0,0,3,3,19,28,95,38,9,10,3,3,208,0,0,6,5,12,23,13,8,6,77,0,0,0,0,3,3,10,13,8,45,0,0,0,5,0,0,0,0,0,13,0,5,0,9,3,4,3,8,0,29
212041312,3,0,0,0,0,3,3,0,0,19,0,3,5,8,16,39,58,68,20,207,0,0,0,0,0,0,0,0,0,3,0,3,4,9,9,0,0,0,0,26,0,0,8,36,36,30,30,8,3,147,0,13,12,29,6,9,7,5,0,72,0,0,0,0,3,0,9,3,0,17,0,0,0,18,17,23,21,12,12,104,0,0,3,3,10,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,21,16,6,52,0,27,33,51,17,18,11,3,0,169,0,0,0,0,8,0,6,3,0,19,3,22,31,79,8,12,3,0,0,150,0,0,0,5,0,0,0,0,0,5,0,7,12,37,20,16,0,0,0,85,0,0,3,17,4,20,15,3,3,60,0,0,0,0,3,10,10,13,0,42,0,3,5,12,0,4,0,0,0,30,0,0,0,12,8,3,17,5,0,47
212041313,0,0,0,3,8,5,3,3,0,25,0,0,0,0,8,7,20,8,0,41,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,3,0,0,0,7,3,3,3,0,0,19,0,0,0,7,0,3,3,0,0,17,0,0,0,0,0,0,0,3,0,3,0,0,3,8,4,4,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,11,0,6,6,24,21,8,6,4,0,66,0,0,0,3,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,16,0,0,0,3,0,3,0,0,0,9,0,4,0,3,9,8,4,7,3,38,0,0,3,3,0,0,0,0,0,7,0,3,3,12,7,0,8,0,0,46
212041314,0,3,0,5,3,0,4,0,3,24,0,0,0,3,15,14,32,26,13,111,0,0,3,3,0,0,0,0,0,10,0,3,3,10,3,0,0,0,0,18,0,0,0,8,10,10,5,3,0,29,7,8,16,64,14,18,5,0,0,132,0,0,0,0,0,3,11,9,0,20,0,3,0,35,22,21,39,14,0,142,0,0,3,10,3,0,0,0,0,19,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,13,4,3,24,3,44,57,79,16,21,10,0,0,230,0,0,0,3,0,0,3,3,0,13,3,3,3,17,3,0,4,0,0,37,0,0,0,0,0,0,0,0,0,3,0,11,24,60,27,25,4,0,0,158,0,0,0,8,7,15,8,3,4,36,0,0,0,4,4,6,4,5,0,33,0,5,11,15,3,3,3,0,0,46,0,9,10,17,15,9,6,0,0,57
