SA2_MAINCODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
201011001,208,276,600,678,657,403,92,7,0,2925,0,0,0,3,5,0,0,0,0,16,0,0,0,3,0,0,0,0,0,3,15,3,13,28,28,23,5,0,0,109,0,0,3,3,6,0,0,0,0,14,0,8,11,19,13,7,0,0,0,63,3,0,10,9,9,0,0,0,0,25,76,58,79,65,73,31,5,0,0,392,98,38,32,31,24,12,3,0,0,245,0,7,7,10,11,5,3,0,0,38,3,9,8,3,10,4,0,0,0,38,0,8,13,17,27,12,0,0,0,74,3,14,7,9,9,7,0,0,0,43,3,14,38,42,25,17,4,0,0,130,0,3,17,19,22,10,3,0,0,73,0,3,40,45,42,17,3,0,0,158,5,35,87,111,129,74,4,0,0,438,9,58,178,203,222,120,19,0,0,807,8,4,13,15,8,3,0,0,0,48,3,7,21,20,20,5,0,0,0,80
201011002,136,229,495,516,619,510,147,33,3,2693,0,3,0,4,10,3,6,6,0,31,0,0,0,0,7,0,0,0,0,9,9,7,17,15,13,11,4,0,0,79,0,0,5,0,0,3,0,0,0,14,0,3,8,10,13,8,0,0,0,35,0,0,0,3,8,7,0,0,0,25,44,66,49,38,54,34,13,0,0,307,69,45,37,33,26,12,7,0,0,227,0,5,9,10,0,4,0,0,0,33,0,0,6,12,9,5,3,0,0,42,0,3,9,10,12,8,3,0,0,47,0,4,3,12,20,7,0,0,0,50,0,12,34,40,33,21,9,3,0,156,3,5,16,11,11,19,3,0,0,67,4,9,36,33,48,32,0,0,0,163,11,37,85,105,145,116,22,0,0,511,6,45,169,176,222,170,30,0,0,830,6,7,13,11,7,4,0,0,0,46,3,12,13,12,15,14,3,0,0,67
201011003,287,498,1193,1046,1122,898,233,25,0,5307,0,0,6,11,3,8,3,0,0,29,0,0,0,0,9,3,0,0,0,15,25,12,29,48,49,28,4,0,0,190,0,0,4,10,4,3,0,0,0,28,3,3,21,38,39,22,0,0,0,129,4,3,6,15,8,5,3,0,0,45,78,111,121,76,116,80,12,0,0,601,131,98,62,60,45,46,9,0,0,452,3,7,13,6,21,24,3,0,0,78,5,6,24,23,13,8,0,0,0,87,0,12,28,25,32,11,0,0,0,109,0,10,8,13,18,9,3,0,0,66,3,28,87,61,67,39,7,0,0,283,0,8,20,21,36,35,4,0,0,124,0,19,76,106,89,51,15,0,0,353,6,39,168,192,236,167,26,0,0,841,10,119,309,274,328,300,40,4,0,1394,11,21,16,15,12,9,9,0,0,96,10,38,41,33,52,27,3,0,0,202
201011004,231,698,1323,1042,901,647,161,13,6,5024,0,0,4,0,0,0,0,0,0,11,0,0,3,3,4,0,0,0,0,14,13,20,40,46,41,27,4,0,0,184,0,0,3,3,10,4,0,0,0,20,0,8,21,14,15,16,0,0,0,80,3,6,11,7,6,8,4,0,0,47,95,153,133,104,110,79,13,0,0,697,143,166,101,58,59,31,6,0,0,567,0,8,13,11,21,19,3,0,0,72,0,12,43,9,17,6,0,0,0,86,0,10,16,26,11,10,0,0,0,80,0,10,15,0,12,8,3,0,0,44,3,39,72,60,38,15,3,0,0,231,0,10,32,23,40,18,3,3,0,140,3,12,66,81,69,64,7,0,0,310,11,58,185,180,141,107,20,0,0,705,13,144,330,246,257,229,32,4,0,1250,6,23,26,22,26,16,0,0,0,125,3,20,51,34,33,24,0,0,0,163
201011005,100,200,248,360,391,340,74,8,0,1723,0,0,3,4,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,7,7,15,11,10,0,0,0,58,0,0,0,0,0,3,0,0,0,4,0,0,0,9,7,9,0,0,0,29,0,0,0,3,3,3,0,0,0,7,49,29,12,35,29,22,0,0,0,181,34,36,5,10,11,3,0,0,0,103,0,0,3,7,4,8,0,0,0,22,0,6,10,4,3,5,0,0,0,30,0,4,0,15,7,8,0,0,0,26,0,3,6,6,6,0,0,0,0,19,4,10,15,25,22,16,3,0,0,95,0,3,8,14,9,5,0,0,0,40,0,0,9,25,25,20,3,0,0,83,4,20,44,73,101,66,13,0,0,325,3,31,60,99,108,79,12,0,0,394,5,8,3,5,10,4,0,0,0,33,0,6,7,17,17,11,0,0,0,54
201011006,121,181,387,341,323,237,67,8,0,1673,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,9,22,22,27,12,0,0,0,89,0,0,0,4,0,0,0,0,0,6,3,0,9,3,9,8,0,0,0,33,0,3,0,5,3,5,0,0,0,19,41,37,46,45,49,29,4,0,0,252,58,35,23,18,16,17,4,0,0,168,0,4,6,6,3,3,3,0,0,28,0,0,10,9,0,0,0,0,0,19,0,3,11,4,4,4,0,0,0,28,0,0,7,3,0,0,0,0,0,11,0,14,23,24,18,3,3,0,0,77,0,0,9,17,7,8,0,0,0,47,0,8,28,23,32,14,3,0,0,102,3,16,41,40,36,29,3,0,0,166,0,44,104,90,88,81,16,0,0,424,0,6,6,3,4,3,0,0,0,27,0,11,12,17,9,6,0,0,0,59
201011007,73,89,116,228,281,208,35,3,0,1032,0,0,3,3,5,4,4,0,0,16,0,0,0,0,0,0,0,0,0,3,5,3,5,9,14,11,0,0,0,43,0,0,0,0,3,0,0,0,0,3,0,0,3,6,11,0,0,0,0,25,4,0,3,0,6,3,0,0,0,19,19,24,16,18,33,14,3,0,0,134,31,3,5,10,5,9,0,0,0,56,0,0,0,0,4,5,0,0,0,10,0,0,0,4,0,3,0,0,0,9,0,3,4,4,10,0,0,0,0,22,0,0,0,0,3,5,0,0,0,11,0,12,5,9,13,3,0,0,0,40,0,0,7,6,13,3,0,0,0,29,0,0,12,14,8,3,3,0,0,42,3,4,13,38,37,27,0,0,0,117,4,7,30,57,89,56,0,0,3,255,3,3,3,3,3,3,0,0,0,16,0,0,4,3,5,10,0,0,0,31
201011008,141,271,708,620,580,442,112,17,6,2895,0,5,3,3,4,0,3,0,0,22,0,0,0,3,0,0,0,0,0,3,6,6,34,42,34,27,4,0,0,156,0,0,3,3,6,0,0,0,0,11,0,3,10,8,10,3,0,0,0,38,0,3,6,3,9,5,0,0,0,27,60,68,90,72,56,38,7,0,0,387,51,34,46,34,36,23,4,0,0,234,0,0,10,10,13,12,3,0,0,51,3,5,10,4,6,0,0,0,0,31,0,3,20,8,9,10,0,0,0,44,0,3,13,7,3,0,0,0,0,26,0,15,25,27,15,15,3,0,0,92,0,8,15,22,24,19,3,0,0,96,4,10,35,51,40,27,5,3,0,173,7,16,64,85,74,53,11,0,0,306,7,47,164,158,140,141,13,0,0,670,3,13,16,13,17,4,3,0,0,70,8,14,22,16,15,13,3,0,0,86
201021009,87,111,198,313,368,277,74,21,0,1443,0,7,6,12,5,12,16,3,0,57,0,0,0,0,0,0,0,0,0,3,0,3,6,9,10,5,0,0,0,42,0,0,0,3,3,0,0,0,0,10,0,0,7,13,3,9,0,0,0,26,0,0,3,3,8,3,0,0,0,23,7,10,11,19,30,25,3,0,0,114,47,13,15,11,19,8,0,0,0,109,0,0,5,8,6,7,0,0,0,34,0,0,0,6,4,3,0,0,0,13,0,0,7,3,9,3,0,0,0,23,0,4,7,0,3,4,0,0,0,21,3,6,9,11,25,13,3,0,0,74,0,3,11,14,15,8,0,0,0,49,0,0,19,30,37,15,3,0,0,111,3,7,27,37,67,38,4,0,0,181,3,13,40,57,68,59,13,0,0,251,4,3,6,11,7,4,0,0,0,26,0,0,4,10,6,9,0,0,0,34
201021010,75,110,234,353,352,384,131,10,4,1656,0,6,15,11,19,18,15,0,0,88,3,0,0,0,0,0,0,0,0,3,8,0,0,12,18,16,4,0,0,62,0,0,0,0,0,0,0,0,0,6,0,5,3,10,12,12,0,0,0,41,0,3,0,5,0,0,0,0,0,8,21,27,18,33,36,33,3,0,0,181,25,16,17,23,29,15,0,0,0,117,0,0,3,7,12,8,3,0,0,39,0,0,3,6,6,0,3,0,0,21,0,3,11,6,4,8,0,0,0,28,0,0,0,3,3,3,0,0,0,18,0,3,8,19,20,15,9,0,0,69,3,3,9,6,8,15,0,0,0,45,0,0,17,17,28,14,8,0,0,82,4,9,20,36,66,53,5,0,0,194,0,27,51,65,88,127,15,0,0,377,0,5,3,6,4,8,3,0,0,32,0,3,8,10,13,9,0,0,0,55
