SA2_MAINCODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
201011001,3,27,9,21,17,20,26,32,3,163,3,18,6,9,34,19,8,16,30,137,221,808,567,694,1031,1006,601,750,76,5747
201011002,0,20,13,21,20,21,15,16,4,131,10,22,9,10,16,26,3,24,39,161,217,802,602,681,848,878,526,870,69,5491
201011003,15,58,47,48,81,60,37,47,6,393,19,41,20,28,45,53,13,37,60,321,398,1414,1183,1281,1877,1797,1011,1395,166,10533
201011004,14,54,50,49,88,51,34,36,4,381,7,47,34,33,65,43,17,31,92,368,404,1408,1133,1312,2000,1602,914,1025,202,9991
201011005,0,20,11,16,17,26,6,15,0,112,5,16,8,10,7,12,0,15,28,104,159,502,352,412,477,550,294,451,84,3287
201011006,3,19,10,17,24,18,20,19,0,131,7,10,5,12,15,18,14,6,31,112,120,441,333,400,668,568,320,371,59,3289
201011007,3,12,7,9,8,14,6,6,0,70,4,9,0,6,10,12,4,8,15,76,84,236,208,227,382,369,186,227,33,1949
201011008,12,33,17,31,54,33,19,17,0,207,19,30,10,13,43,39,13,20,64,238,219,749,576,697,1134,907,484,624,110,5503
201021009,3,9,9,13,24,14,10,7,4,91,3,16,15,9,12,31,3,27,27,144,108,310,280,312,437,508,227,448,65,2698
201021010,12,20,15,9,22,23,15,19,0,127,11,19,10,8,27,19,8,12,39,148,169,410,354,423,527,479,257,455,92,3167
201021011,3,19,11,16,15,23,10,17,0,108,8,20,12,12,14,22,12,25,43,175,190,610,518,577,505,552,263,583,84,3891
201021012,4,8,11,9,14,13,10,10,0,76,3,10,13,13,16,16,13,12,34,129,123,335,295,304,419,434,237,447,74,2660
201031013,4,4,7,0,3,3,6,4,0,27,10,10,5,3,4,7,3,3,14,56,65,140,138,149,162,211,77,240,27,1209
201031014,3,10,6,3,16,11,11,10,0,71,10,13,3,3,12,9,4,16,17,81,96,226,179,204,240,244,126,285,37,1628
201031015,3,9,12,8,11,19,8,5,0,74,11,7,3,12,16,10,7,14,24,107,86,237,202,275,300,316,170,286,47,1919
201031016,7,12,13,5,28,17,6,10,3,95,3,6,10,11,21,23,11,9,22,125,101,372,327,366,513,378,190,275,66,2586
201031017,0,10,12,9,13,9,11,11,0,70,10,11,8,8,10,10,12,14,13,101,75,254,237,229,297,286,152,266,43,1840
202011018,13,27,14,33,30,26,31,18,4,188,9,29,19,26,48,36,11,21,52,247,243,799,626,816,1187,1008,578,688,105,6047
202011019,6,13,17,19,31,34,29,16,0,175,12,21,12,21,32,41,10,12,59,216,207,644,483,619,949,758,416,488,105,4667
202011020,5,40,19,25,49,34,18,23,0,219,5,19,15,15,16,21,12,30,22,165,258,974,611,769,1059,932,517,750,80,5945
202011021,7,20,13,27,36,19,10,24,0,153,3,20,8,10,23,20,3,15,16,124,187,689,520,564,788,669,379,469,69,4341
202011022,11,46,31,44,79,53,26,44,5,338,12,38,22,21,58,33,14,26,54,284,297,998,876,1036,1813,1364,786,887,137,8195
202011023,4,20,13,17,20,25,8,21,0,125,8,4,7,10,12,15,5,17,3,82,130,337,262,304,430,422,256,369,21,2538
202011024,10,22,22,17,19,17,19,26,0,144,0,8,13,12,18,20,12,24,30,126,193,592,492,514,688,668,395,603,77,4219
202011025,10,29,16,19,50,31,29,30,4,222,5,15,12,11,36,36,17,29,34,199,299,690,532,704,1185,898,544,666,120,5639
202021026,4,12,13,16,16,19,18,30,0,137,15,10,7,10,15,14,4,22,18,126,177,426,404,448,586,573,305,540,69,3523
202021027,3,17,5,15,29,25,11,20,3,135,9,36,18,19,18,27,8,22,36,190,158,624,540,623,597,659,330,435,64,4042
202021028,0,19,15,14,18,24,8,16,0,116,7,21,9,9,21,16,15,16,24,146,166,519,488,507,500,581,275,547,66,3646
202021029,4,6,8,4,7,6,3,11,0,57,0,6,3,4,14,11,5,3,20,71,75,206,176,183,256,266,120,244,42,1576
202021030,5,29,13,16,23,36,11,26,3,170,9,35,11,17,20,24,11,20,39,176,154,602,510,584,593,782,362,619,86,4291
202021031,0,16,8,21,10,14,11,12,0,99,7,9,12,16,15,24,11,16,20,132,142,441,364,385,425,582,301,485,41,3166
202031032,4,17,0,3,13,11,7,18,0,71,3,11,6,5,12,11,4,14,11,79,77,257,200,242,321,310,154,359,48,1973
202031033,4,12,4,9,8,17,0,8,0,59,6,4,7,6,16,24,7,14,44,121,126,331,222,313,296,413,191,661,90,2638
203011034,3,16,8,14,20,26,16,23,0,130,9,11,15,11,15,25,12,16,26,137,135,360,327,348,473,586,307,448,61,3035
203011035,4,13,8,5,30,23,7,20,5,125,3,11,13,10,27,23,13,15,37,144,133,388,363,386,533,569,257,578,87,3294
203011036,7,13,18,10,19,24,6,22,0,110,5,14,16,12,12,8,6,17,23,109,124,387,367,336,336,472,228,497,54,2812
203021037,3,34,15,20,45,38,24,18,9,211,10,29,12,20,20,26,12,21,48,193,245,935,750,776,1154,1192,596,709,113,6480
203021038,7,33,17,48,71,71,35,25,3,318,25,57,32,45,96,110,23,43,149,585,346,1185,912,1128,1931,1628,581,853,270,8825
203021039,10,36,23,19,44,44,14,37,0,232,3,19,10,15,30,40,11,14,60,199,235,797,719,752,1112,1094,623,842,124,6301
203021040,10,42,44,40,61,60,29,43,4,329,13,32,22,26,48,52,26,48,67,332,407,1257,1051,1114,1707,1783,982,1247,158,9707
203021041,10,74,38,42,80,80,38,42,9,417,12,37,26,32,45,62,26,44,65,350,433,1557,1253,1294,2009,2001,1034,1220,162,10982
203021042,5,61,36,58,47,44,17,47,3,319,9,52,28,22,30,52,20,47,44,307,441,1804,1282,1181,1566,1754,926,1511,152,10614
203021043,13,46,26,39,64,52,22,46,3,301,8,29,18,22,55,62,23,49,78,340,335,1051,799,897,1544,1652,733,1178,152,8334
203021044,8,36,32,19,53,48,19,36,0,250,11,21,17,8,35,37,10,25,43,210,254,760,698,730,1112,1104,520,669,90,5940
203021045,12,24,24,36,66,49,23,21,8,263,14,32,21,31,52,44,15,27,56,283,226,857,641,762,1228,1024,520,566,131,5953
203021046,0,23,22,14,17,26,6,23,3,138,6,20,19,13,16,23,12,26,30,165,167,697,586,568,620,874,465,871,69,4909
203021047,13,31,21,28,49,50,25,24,0,234,19,21,24,35,53,53,25,21,48,299,216,780,648,776,1262,1189,487,676,121,6139
203031048,6,35,29,27,55,40,17,26,3,236,9,36,13,17,28,31,19,23,56,231,208,795,712,716,1011,973,458,688,111,5681
203031049,3,10,11,4,5,6,0,8,3,58,0,19,6,10,11,18,6,7,15,94,103,349,302,324,298,377,170,316,43,2277
203031050,6,71,42,47,58,67,30,37,3,354,19,44,34,38,48,49,16,52,72,372,445,1541,1357,1387,1636,1970,980,1513,162,10989
203031051,3,19,6,6,11,15,4,14,0,74,7,13,10,13,11,14,4,9,20,111,122,356,303,324,366,421,156,277,43,2377
203031052,0,13,3,3,9,11,3,4,0,44,0,9,4,3,4,11,3,10,14,48,70,275,160,214,177,246,122,202,24,1502
203031053,7,42,33,42,50,51,19,43,0,286,11,52,28,27,27,56,21,39,58,317,365,1280,1007,1060,1228,1627,764,1417,131,8877
204011054,0,13,10,9,18,10,5,14,0,84,4,16,6,11,14,22,6,14,24,117,123,333,306,360,388,452,232,386,56,2652
204011055,7,5,8,15,17,17,9,13,0,88,8,13,16,11,11,16,4,14,28,124,113,357,292,327,383,418,201,447,77,2614
204011056,12,37,19,29,39,39,30,47,3,242,19,31,22,22,48,43,14,34,51,284,249,700,635,660,1084,1103,617,868,140,6047
204011057,10,34,18,22,16,22,10,21,0,153,15,11,22,16,13,31,14,31,41,189,158,521,425,541,463,601,330,781,88,3911
204011058,0,9,4,9,3,11,3,5,0,40,5,8,4,11,15,12,5,10,14,79,83,225,164,211,288,302,153,304,39,1764
204011059,5,8,8,10,15,25,12,20,0,100,4,14,15,3,11,18,0,14,30,114,97,329,258,323,511,406,191,285,71,2459
204011060,4,5,7,9,12,18,3,12,0,69,7,8,5,4,8,10,4,11,20,76,105,211,189,188,282,427,237,463,47,2151
204011061,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8,3,7,9,13,11,13,6,9,0,67
204011062,4,7,8,3,14,16,4,12,0,69,9,9,9,3,14,15,7,8,18,83,76,174,174,175,192,268,114,242,44,1465
204021063,4,28,14,17,27,30,13,16,3,157,11,19,12,21,34,23,11,10,27,168,197,478,420,538,771,673,379,461,70,3993
204021064,0,10,0,3,15,7,4,8,0,58,4,5,8,3,8,8,3,11,25,77,83,222,182,185,223,275,135,342,50,1704
204021065,0,12,4,9,20,15,7,13,0,77,0,0,0,4,14,21,10,8,14,69,80,193,173,196,273,360,169,272,35,1760
204021066,6,30,27,26,57,74,16,55,4,296,11,40,16,21,42,57,17,38,72,316,335,980,858,1087,1456,1360,659,953,166,7862
204021067,3,16,12,13,24,33,9,20,0,139,13,23,18,17,27,35,6,25,28,192,220,554,543,620,667,777,408,883,83,4756
204031068,0,7,0,6,5,10,10,3,4,47,10,8,7,0,9,5,4,6,19,71,106,266,251,282,280,330,151,286,37,1999
204031069,4,13,3,11,12,19,7,20,0,86,12,17,15,9,16,12,10,15,21,132,177,498,414,494,534,491,326,677,70,3678
204031070,0,11,6,5,15,10,9,10,0,64,13,5,3,6,11,4,5,11,16,69,87,150,163,206,284,239,128,223,40,1526
204031071,3,3,9,5,12,16,12,13,0,76,6,10,5,3,17,8,4,12,24,91,100,253,228,253,384,303,150,311,62,2041
204031072,0,8,14,17,12,25,7,19,0,99,15,12,3,7,12,14,4,15,29,103,141,319,260,312,332,406,204,599,81,2649
204031073,6,28,28,37,74,62,37,26,3,294,8,16,13,12,37,45,18,19,53,225,248,792,643,937,1395,1173,716,931,120,6955
204031074,18,54,29,49,84,69,49,50,13,409,24,49,26,34,74,84,25,52,78,447,456,1224,1044,1332,2157,2059,1272,1505,183,11239
204031075,0,10,3,5,12,22,3,11,0,72,3,9,4,4,4,17,3,9,25,77,97,286,235,268,344,379,213,369,49,2248
205011076,6,42,37,37,67,65,35,55,0,353,21,30,21,23,39,62,27,46,68,327,265,875,674,771,1151,1180,673,1057,134,6782
205011077,10,15,9,12,23,22,7,18,3,117,0,24,4,5,15,18,8,16,27,121,128,363,292,311,379,419,231,547,65,2748
205011078,8,23,13,18,22,31,17,18,0,131,13,13,14,6,13,20,12,15,32,135,167,453,412,408,520,527,297,573,81,3434
205011079,9,56,36,50,87,60,33,62,5,396,14,29,23,18,34,49,19,44,70,303,348,1122,917,974,1357,1341,790,1343,158,8357
205021080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
205021081,9,35,26,31,41,42,21,50,8,257,15,21,14,24,35,42,5,25,51,230,285,718,658,831,1012,857,471,775,120,5729
