SA2_MAINCODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
201021011,0,0,0,0,0,141,0,0,0,0,0,0,0,0,6,150,28,0,0,0,0,0,0,0,0,3,31,11,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,40,0,3,0,0,0,0,0,0,3,49,798,71,54,12,8,10,10,10,3,46,1019,201,18,46,7,5,6,7,11,3,10,316,26,0,3,0,0,3,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,227,15,47,7,5,7,9,11,3,12,344,0,0,0,0,0,0,0,0,0,0,0,1029,84,107,23,10,17,23,22,8,51,1366
201021012,0,0,0,0,0,40,0,0,0,0,0,0,0,0,3,47,6,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,380,25,41,3,3,10,0,6,0,22,489,53,4,12,0,0,3,0,0,0,4,79,10,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,64,3,16,0,0,3,3,0,0,4,93,0,0,0,0,0,0,0,0,0,0,0,447,30,49,3,8,8,6,6,0,28,584
201031013,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,218,6,10,0,0,0,0,0,3,5,254,34,4,0,0,0,0,0,0,0,4,41,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,37,4,0,5,0,0,0,0,0,7,48,0,0,0,0,0,0,0,0,0,0,0,252,11,13,3,0,0,0,0,3,14,298
201031014,0,0,0,4,4,45,0,0,0,0,0,0,0,0,7,50,9,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,7,261,8,12,3,0,0,4,0,0,15,311,41,5,10,0,0,0,3,0,0,0,59,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,45,5,10,0,0,0,3,7,0,0,64,0,0,0,0,0,0,0,0,0,46,45,307,13,15,3,3,3,10,6,4,59,418
201031015,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,286,15,18,3,0,4,4,0,0,21,354,37,4,8,3,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,40,4,8,3,0,0,0,0,0,4,66,0,0,0,0,0,0,0,0,0,0,0,328,21,33,3,0,3,4,0,0,20,421
201031016,0,0,0,0,3,110,0,0,0,0,0,0,0,0,7,114,36,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,3,38,425,11,21,3,0,0,3,3,0,20,493,49,9,29,3,4,8,10,5,0,3,128,3,0,0,0,3,0,3,0,3,4,13,3,0,0,0,0,0,0,0,0,0,7,51,8,33,3,5,8,16,5,3,8,150,0,0,0,0,0,0,0,0,0,6,4,479,20,56,5,11,8,17,10,0,36,645
201031017,0,0,0,0,0,74,0,0,0,0,0,0,0,0,3,79,14,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,19,406,5,8,0,0,6,0,3,3,21,460,50,9,7,0,9,0,0,3,7,3,93,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,61,9,12,0,9,0,0,3,7,5,99,0,0,0,0,0,0,0,0,0,0,0,462,17,22,0,10,3,0,6,6,25,559
202011018,0,0,0,4,4,73,0,0,0,0,0,0,0,0,15,90,21,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,3,32,0,0,0,0,0,0,0,0,4,39,479,47,60,16,13,16,3,14,8,38,681,85,50,196,26,32,44,50,45,19,28,566,4,6,43,3,5,26,32,16,12,14,159,0,0,3,0,0,0,3,0,0,0,9,91,52,237,31,35,71,86,58,34,34,731,0,0,0,0,0,0,0,0,0,8,15,567,102,302,46,50,87,90,71,45,84,1429
202011019,0,0,0,0,0,39,0,0,0,0,0,0,0,0,3,45,18,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,17,317,29,39,0,3,0,0,8,0,20,412,25,9,78,10,0,12,12,13,4,4,164,3,0,34,0,6,4,0,9,7,0,64,0,0,0,0,0,0,0,0,0,0,3,31,14,108,10,6,18,14,14,12,7,232,0,0,0,0,0,0,0,0,0,0,0,345,37,147,6,8,19,12,25,12,32,647
202011020,0,0,0,0,0,95,4,0,0,0,0,0,0,0,4,112,31,0,0,0,0,0,0,0,0,6,37,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,43,4,0,0,0,0,0,0,0,4,49,453,50,53,7,8,6,9,9,3,21,629,125,79,143,26,43,29,25,16,13,16,515,7,7,33,10,11,8,15,22,10,9,129,0,0,0,0,0,0,0,0,0,0,3,136,84,172,39,50,42,37,37,22,27,642,0,0,0,0,0,0,0,0,0,0,0,586,131,231,47,59,50,52,44,31,53,1276
202011021,0,0,0,0,0,46,0,0,0,0,0,0,0,0,3,51,15,0,0,0,0,0,0,0,0,5,21,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,25,286,46,39,10,3,19,3,9,3,13,429,64,53,94,24,24,21,11,32,19,20,355,4,3,9,5,3,16,8,11,13,5,71,3,0,0,0,0,0,0,0,0,0,3,75,56,105,24,28,33,17,37,32,22,435,0,0,0,0,0,0,0,0,0,0,0,358,100,145,35,29,53,20,49,37,42,862
202011022,0,0,0,0,4,129,4,8,0,0,0,0,0,0,8,145,48,0,0,0,0,0,0,0,0,4,54,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,3,60,623,62,60,12,7,12,3,17,3,36,835,126,59,213,35,19,53,32,27,13,15,589,24,10,59,19,10,30,13,25,24,15,221,0,0,0,0,0,0,0,0,0,0,12,151,71,276,54,29,79,43,57,38,34,827,3,0,0,0,0,0,0,0,0,3,7,776,130,334,65,37,95,43,68,42,73,1664
202011023,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,17,20,5,0,0,0,3,0,6,173,11,13,6,0,0,5,3,3,0,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,6,3,0,4,3,3,0,4,57,0,0,0,0,0,0,0,0,0,0,0,139,29,26,9,5,9,3,3,0,11,230
202011024,0,0,0,0,0,33,0,0,0,0,0,0,0,0,3,36,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,260,63,60,15,3,6,3,9,4,17,427,35,30,50,0,7,0,4,0,0,0,132,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,37,30,55,3,7,0,4,3,0,3,146,0,0,0,0,0,0,0,0,0,0,3,292,89,116,20,14,6,4,9,4,18,578
202011025,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,36,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,282,30,46,11,7,7,3,3,4,19,410,42,51,185,30,11,17,20,12,9,11,384,4,3,31,0,3,4,7,5,0,8,74,0,0,0,0,0,0,0,0,0,0,0,50,56,211,30,13,24,26,17,7,21,459,0,0,0,0,0,0,0,0,0,0,0,334,85,261,35,20,36,27,18,11,45,875
202021026,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,29,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,9,299,30,26,3,4,0,6,0,0,28,399,35,11,19,0,0,0,0,0,0,0,68,0,0,3,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,38,11,24,0,0,0,0,0,0,3,79,0,0,0,0,0,0,0,0,0,0,0,336,40,52,3,3,0,6,0,0,28,474
