SA2_MAINCODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
201011001,0,0,0,0,0,71,6,0,0,0,0,0,0,0,0,73,11,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,20,357,69,98,9,35,29,4,16,16,12,646,107,138,307,36,29,20,21,16,14,8,698,16,14,17,3,3,4,14,7,3,6,89,0,0,4,0,0,0,0,0,0,0,3,126,152,326,36,37,23,30,22,17,16,792,4,0,0,3,0,0,0,0,0,0,3,486,219,427,51,73,47,37,40,36,27,1439
201011002,0,0,0,0,0,111,3,0,3,0,0,0,0,0,4,124,25,0,0,0,0,0,0,0,0,3,26,18,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,3,58,527,77,60,16,29,11,19,20,8,29,799,147,58,136,21,30,31,29,33,15,14,506,9,7,4,0,0,3,3,7,0,8,45,0,0,0,0,0,0,0,0,0,0,3,156,65,142,22,30,34,31,38,16,18,554,0,0,0,0,0,0,0,0,0,0,3,682,137,202,41,62,48,55,60,20,48,1355
201011003,0,0,0,0,3,189,6,0,0,0,0,0,0,0,19,213,32,0,0,0,0,0,0,0,0,8,44,15,0,0,0,0,0,0,0,0,5,25,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,8,22,3,0,0,0,0,0,0,0,0,0,3,59,0,0,0,0,0,0,0,0,12,72,901,93,84,29,21,17,19,17,9,60,1240,212,65,151,17,35,24,32,21,18,26,598,23,0,12,3,3,3,4,7,8,8,70,3,0,3,0,0,0,0,0,0,0,6,230,71,168,21,35,31,34,27,32,30,679,10,0,0,0,0,0,0,0,0,3,14,1140,164,254,50,54,45,49,39,36,98,1929
201011004,0,0,0,0,0,211,0,0,0,0,0,0,5,0,10,220,51,0,0,0,0,0,0,0,0,4,56,18,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,4,73,966,78,95,23,30,16,16,16,4,52,1295,227,104,248,48,57,68,38,63,50,29,931,13,5,20,4,16,10,13,19,23,9,130,3,6,0,0,0,0,0,0,0,0,11,244,114,270,48,72,74,52,84,72,41,1072,3,0,0,0,0,0,0,0,0,0,4,1210,187,365,70,103,96,63,108,79,96,2371
201011005,0,0,0,0,0,48,3,0,0,0,0,0,0,0,4,59,6,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,356,50,63,10,18,16,10,9,0,17,542,58,17,28,7,5,5,14,17,24,6,182,0,0,5,0,0,0,3,3,11,4,28,0,0,0,0,0,0,0,0,0,0,0,63,17,35,12,5,7,16,21,32,10,209,3,0,0,0,0,0,0,0,0,0,0,418,67,95,14,26,24,21,24,36,25,757
201011006,0,0,0,0,0,49,0,0,0,0,0,0,0,0,3,48,13,0,0,0,0,0,0,0,0,3,23,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,11,27,242,28,22,0,3,0,0,3,0,20,320,58,27,54,8,13,3,3,5,3,3,175,9,0,4,3,0,5,4,0,3,3,23,0,0,0,0,0,0,0,0,0,0,3,71,30,63,13,13,3,8,11,6,7,205,0,0,0,0,0,0,0,0,0,4,4,309,57,82,10,15,5,8,8,6,28,529
201011007,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,22,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,187,17,12,0,0,6,0,0,0,12,235,39,7,6,0,0,0,3,0,0,0,59,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,50,7,6,0,0,0,3,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,239,24,15,3,0,6,3,0,0,8,300
201011008,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,139,30,0,0,0,0,0,0,0,0,3,37,13,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,10,60,500,31,38,7,6,10,11,8,3,26,649,118,56,87,14,27,24,19,31,34,11,420,13,0,14,0,6,3,3,7,0,5,55,0,0,0,0,0,0,0,0,0,0,0,133,53,102,18,32,27,21,38,38,18,482,3,0,0,0,0,0,0,0,0,0,3,637,80,133,25,41,43,35,45,46,45,1131
201021009,0,0,0,0,0,63,0,0,0,0,0,0,0,0,4,72,10,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,15,467,38,27,4,4,11,9,0,0,40,591,104,8,14,0,0,3,3,5,0,8,146,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,105,11,19,0,0,3,3,5,0,8,157,0,0,0,0,0,0,0,0,0,0,3,577,48,40,4,3,15,9,3,3,46,745
201021010,0,0,0,0,3,101,3,0,0,0,0,0,0,0,3,108,23,0,0,0,0,0,0,0,0,0,26,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,42,491,29,22,5,4,0,0,3,3,27,588,90,9,26,3,3,3,5,3,4,3,159,8,0,0,0,0,0,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,3,104,11,32,3,3,3,7,3,5,3,174,4,0,0,0,0,0,0,0,0,0,4,593,42,57,10,9,7,8,7,7,29,769
