SA2_MAINCODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
201011001,61,75,136,530,664,1198,0,0,0,53,63,111,22,7,27,1510,1649,3161,42,63,111,40,49,88,5,12,26,3,5,5,24,31,54,6,10,15,6,11,16,33,46,79,136,169,308,10,25,35,10,12,22,343,445,795,100,91,194,0,0,0,2886,3363,6246,93,86,174,54,32,90,3,10,10,0,0,0,26,32,57,7,13,23,35,47,79,2091,1906,3995,19,9,29,13,5,15,2120,1924,4047,455,419,872,5704,5954,11654
201011002,52,60,111,523,738,1259,0,0,0,46,44,92,0,0,0,1475,1778,3257,36,52,89,21,29,50,9,10,14,5,6,11,24,24,50,3,5,9,3,15,20,14,32,46,136,148,280,11,10,20,5,10,13,370,516,892,83,93,178,0,0,8,2766,3505,6268,48,41,93,34,27,55,3,5,11,0,0,0,21,22,42,21,21,35,38,42,78,2147,2092,4237,17,23,40,11,19,26,2174,2130,4305,573,548,1118,5695,6353,12046
201011003,73,119,186,1067,1295,2360,0,0,0,96,127,228,62,56,118,2746,3301,6049,96,156,257,45,46,91,25,38,59,12,14,21,55,79,137,0,0,3,23,40,63,62,77,142,262,328,594,32,36,71,8,13,22,628,873,1500,177,208,380,13,3,14,5416,6689,12102,56,44,100,35,35,68,4,4,12,3,0,4,21,18,35,31,47,79,54,70,124,4255,4063,8321,44,34,80,6,23,30,4312,4117,8426,1023,1035,2062,10965,12118,23083
201011004,79,103,189,1077,1392,2471,0,0,0,83,94,178,20,21,40,2369,2787,5149,94,128,218,43,42,88,52,63,116,25,21,47,54,70,127,0,0,4,18,22,39,111,114,227,274,386,665,50,53,101,15,36,50,569,826,1394,216,287,502,9,12,19,5090,6350,11437,91,78,165,87,48,137,5,0,5,0,3,9,35,33,61,34,61,89,73,91,163,4799,4769,9569,53,47,97,15,27,43,4866,4843,9712,1205,1217,2419,11498,12736,24231
201011005,16,13,30,345,401,749,0,0,0,29,38,61,0,0,0,797,813,1603,21,45,74,11,3,14,4,5,16,0,0,0,27,26,51,4,0,8,6,3,15,14,21,38,62,66,129,7,6,12,4,8,9,241,298,538,76,89,160,0,0,3,1651,1832,3481,13,11,15,17,6,21,0,0,0,0,0,0,0,0,0,11,8,14,11,8,14,1538,1337,2875,11,10,16,7,6,19,1556,1357,2907,356,314,673,3613,3540,7153
201011006,5,18,25,343,423,772,0,0,0,28,36,63,3,4,3,818,960,1780,48,56,101,7,12,19,5,7,16,7,3,11,17,24,39,0,0,0,13,8,17,25,24,46,111,124,227,31,38,74,5,9,8,227,313,541,69,80,153,0,0,0,1759,2117,3870,12,3,11,6,3,10,0,0,0,0,0,0,3,0,3,7,9,14,12,6,16,1352,1198,2556,14,12,23,0,3,3,1372,1212,2587,267,294,562,3424,3660,7082
201011007,4,7,14,199,219,411,0,0,0,18,23,46,0,0,0,489,496,981,10,13,27,6,3,8,3,3,3,0,0,0,15,16,34,0,0,3,3,3,3,23,19,38,65,68,130,11,14,21,0,3,3,138,154,287,48,54,103,0,0,0,1024,1086,2106,0,0,4,0,0,0,0,0,0,3,3,4,0,0,0,0,10,8,3,13,15,794,642,1439,0,5,6,0,0,0,797,646,1444,188,160,342,2021,1909,3932
201011008,28,42,71,790,1008,1798,0,0,0,78,88,161,0,0,3,1553,1797,3352,46,54,101,19,16,33,8,21,26,12,25,34,38,40,77,0,0,0,30,26,53,28,32,60,253,284,532,27,40,71,10,17,26,481,626,1108,102,128,229,0,0,0,3485,4195,7676,29,16,44,23,25,51,3,0,3,0,5,4,8,9,16,18,19,39,23,27,52,2768,2564,5328,22,16,38,4,12,21,2794,2596,5387,653,690,1346,7039,7590,14633
201021009,10,22,33,345,418,771,0,0,0,13,27,41,0,0,0,784,799,1578,9,0,6,25,25,49,3,8,13,3,3,9,6,10,22,0,0,0,7,9,8,8,17,23,76,80,153,7,6,15,3,3,10,137,139,273,47,55,101,3,3,7,1480,1597,3074,4,0,4,0,0,7,3,0,7,0,0,0,3,0,3,4,14,17,11,14,20,1131,980,2111,4,3,8,0,3,6,1140,993,2135,301,295,593,2946,2927,5870
201021010,18,33,52,441,491,931,0,0,0,30,29,67,0,0,0,706,817,1525,20,22,37,27,15,41,6,11,19,9,4,18,14,25,40,0,0,0,18,16,30,19,20,41,137,128,263,14,16,30,9,21,36,302,338,642,87,99,186,0,3,0,1843,2060,3902,6,6,15,3,5,7,4,4,4,0,0,0,0,0,0,17,25,43,22,29,45,1469,1325,2796,15,19,32,9,13,26,1488,1360,2850,460,483,947,3843,3974,7821
