SA2_MAINCODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
201011001,99,17,11,7,10,14,5,4,210,0,0,0,0,0,0,0,0,0,0,0,29,40,109,16,17,12,12,13,10,4,270,35,16,13,0,3,13,0,5,0,0,75,10,52,98,9,4,8,6,4,7,0,187,3,0,7,0,3,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,15,49,101,9,10,8,6,6,7,0,203,0,0,0,0,0,0,0,0,0,0,0,48,60,115,9,9,18,6,10,8,0,282,69,13,13,0,5,0,0,0,0,0,105,20,28,36,3,3,0,0,0,0,0,95,0,9,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,27,39,42,3,3,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,95,53,47,3,8,0,0,0,0,0,217,76,4,6,0,0,0,0,0,0,0,91,22,8,8,0
201011002,68,10,15,15,10,4,7,3,140,0,0,0,0,0,0,0,0,0,0,0,34,16,76,12,21,18,11,11,10,7,225,57,19,11,3,0,0,6,0,3,3,110,14,27,31,7,8,8,4,7,3,3,114,0,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,28,33,7,7,9,4,7,3,5,125,0,0,0,0,0,0,0,0,0,0,0,77,46,51,9,12,7,7,10,3,4,231,86,18,3,0,4,0,7,3,0,3,121,25,8,9,0,0,4,0,0,0,0,52,3,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,29,17,14,0,0,4,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,115,32,13,0,4,3,7,3,0,3,182,105,8,0,0,0,3,0,0,0,0,121,22,6,0,0
201011003,68,9,16,7,6,10,4,0,140,0,0,0,0,0,0,0,0,0,0,0,44,17,85,17,23,14,12,14,9,5,244,58,25,20,10,0,3,0,0,0,0,116,21,33,44,6,11,3,7,3,5,0,126,0,0,7,0,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,21,33,54,5,12,3,3,4,8,3,146,0,0,0,0,0,0,0,0,0,0,0,80,55,74,12,11,8,6,4,8,7,264,160,16,9,0,0,0,0,0,0,12,197,32,12,10,4,0,0,3,0,0,0,65,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,32,11,10,7,0,0,3,0,4,3,73,0,0,0,0,0,0,0,0,0,0,0,191,33,22,7,0,0,3,0,4,12,269,203,6,10,0,0,0,0,0,0,6,228,51,5,4,0
201011004,128,24,42,32,22,26,13,3,314,0,0,0,0,0,0,0,0,0,0,0,35,27,152,26,51,38,24,33,18,10,419,76,16,16,5,3,6,4,0,0,3,130,18,31,56,7,5,9,3,7,4,4,154,0,0,7,0,7,3,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,18,39,64,7,11,16,3,10,3,4,178,0,0,0,0,0,0,0,0,0,0,0,91,53,79,18,16,22,10,11,3,9,306,131,10,14,3,3,3,0,0,0,5,162,33,17,11,7,0,0,0,0,0,0,71,0,3,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,34,25,12,6,3,0,3,0,0,4,89,0,0,0,0,0,0,0,0,0,0,0,164,34,24,12,3,3,3,0,0,12,249,223,11,4,0,0,0,0,0,0,14,256,42,8,8,0
201011005,7,0,0,0,3,3,3,0,22,0,0,0,0,0,0,0,0,0,0,0,9,5,9,0,3,4,8,5,4,0,44,27,14,9,0,8,3,5,0,0,3,64,7,7,11,3,0,0,0,3,0,0,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,3,0,0,0,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,34,19,21,3,8,3,5,3,0,3,96,60,12,10,0,0,0,0,0,0,0,86,15,4,5,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,5,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,73,11,18,3,0,0,0,3,0,0,113,97,6,7,0,0,0,0,0,0,0,112,9,0,0,0
201011006,20,3,3,3,4,3,3,0,48,0,0,0,0,0,0,0,0,0,0,0,13,6,23,3,6,3,4,7,3,0,65,27,8,0,0,0,0,0,0,0,0,43,0,12,15,0,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,3,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,29,17,16,0,3,0,0,0,0,0,72,39,9,0,0,0,0,0,0,0,0,48,10,3,9,0,0,0,0,0,0,0,19,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,3,12,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,50,6,12,0,0,0,0,0,0,0,70,38,4,0,0,0,0,0,0,0,4,46,14,0,0,0
201011007,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,11,5,0,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,21,40,3,3,0,0,0,0,0,0,0,52,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,51,3,3,0,0,0,0,0,0,0,60,61,3,0,0,0,0,0,0,0,6,69,12,0,0,0
201011008,35,3,16,12,4,18,12,0,115,0,0,0,0,0,0,0,0,0,0,0,20,12,39,6,18,13,10,25,12,0,164,25,10,13,0,4,0,4,0,0,0,56,8,20,21,3,8,7,3,0,3,0,77,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,20,26,3,8,7,6,0,3,0,77,0,0,0,0,0,0,0,0,0,0,0,41,31,31,5,8,10,7,0,3,0,138,63,10,9,0,0,0,0,0,0,6,87,11,12,3,3,0,3,3,3,0,0,36,3,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,16,12,8,5,4,3,3,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,77,19,12,7,4,3,3,3,0,6,129,92,0,0,0,0,0,0,0,0,7,104,23,7,4,0
201021009,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,9,4,5,0,3,3,4,0,0,5,44,40,13,4,0,0,0,0,0,0,0,57,10,7,3,0,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,3,0,0,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,51,14,5,0,0,0,0,3,0,3,82,98,14,8,0,0,0,0,0,0,12,132,17,0,0,0,0,3,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,0,0,3,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,109,18,10,0,0,5,0,0,0,9,157,106,3,0,0,0,0,0,0,0,6,118,33,3,4,0
201021010,7,0,0,3,4,3,3,0,28,0,0,0,0,0,0,0,0,0,0,0,10,3,15,0,3,3,4,7,3,0,45,25,16,3,0,0,0,0,0,0,4,46,7,4,13,3,3,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,3,3,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,24,15,19,7,3,3,0,0,0,4,74,72,3,4,0,0,0,0,0,0,4,88,11,3,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,85,3,8,0,0,0,0,0,0,4,105,120,0,6,3,0,0,0,0,0,6,137,17,4,0,0
