SA2_MAINCODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
201011001,0,0,5,0,3,12,17,5,0,0,0,0,0,5,11,3,4,0,0,0,29,53,6,14,0,4,0,76,38,0,19,0,0,0,58,114,3,27,0,0,0,146,312,3,22,0,4,0,342,236,0,32,0,5,0,277,25,0,4,0,0,0,29,4,0,0,0,0,0,4,3,0,0,0,0,0,3,3,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,12,6,6,0,3,0,23,818,23,138,7,15,14,1013
201011002,3,3,19,3,7,6,47,0,0,6,13,3,0,25,33,12,28,7,0,3,76,100,8,30,13,6,0,155,110,3,39,7,0,0,155,366,0,55,4,8,0,428,384,0,50,0,6,0,438,146,0,21,0,0,0,167,35,0,9,0,0,0,47,9,0,3,0,3,0,12,3,0,3,0,0,0,7,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,15,3,14,6,0,0,39,1208,31,272,52,33,20,1606
201011003,8,16,30,7,6,16,80,3,17,3,0,0,0,23,55,140,33,15,4,3,246,161,59,66,16,7,3,311,151,27,73,4,0,5,262,648,32,109,7,8,3,814,562,3,73,0,3,4,643,151,3,10,0,0,0,161,19,0,5,0,3,0,28,6,0,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,23,23,19,12,6,7,84,1788,329,422,59,38,36,2678
201011004,9,25,26,4,5,25,91,7,22,7,3,0,0,41,75,284,54,18,0,3,437,231,90,95,40,8,5,464,283,35,103,25,3,0,461,1006,39,178,13,9,4,1254,675,11,69,4,11,4,768,151,3,20,4,10,3,192,21,0,8,0,3,3,31,3,0,0,0,0,3,6,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,10,31,37,16,6,3,5,97,2499,546,574,119,58,51,3842
201011005,0,3,8,0,3,10,19,0,0,3,0,0,0,3,11,3,7,3,0,0,20,15,0,18,0,0,0,29,11,0,7,0,0,0,10,37,0,8,0,0,0,43,100,0,19,0,0,0,112,87,0,12,0,0,0,96,11,0,0,0,0,0,9,0,0,3,0,0,0,3,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,7,0,0,0,8,271,6,91,5,3,10,378
201011006,0,3,9,0,0,5,18,0,8,0,0,0,0,8,18,43,10,3,0,0,71,15,24,3,9,0,0,54,10,20,3,8,0,0,39,51,30,19,7,0,0,105,134,3,27,0,0,0,165,50,0,13,0,0,0,63,6,0,3,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,0,0,0,24,289,133,88,21,9,4,556
201011007,0,0,7,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,5,0,0,7,0,0,0,8,5,0,0,0,0,0,8,4,0,0,0,0,0,4,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,27,0,3,8,53
201011008,0,24,21,0,4,16,66,0,20,5,0,0,0,28,69,184,21,22,5,8,312,170,90,40,12,0,0,319,117,49,59,6,4,0,237,355,33,85,5,5,3,487,291,0,35,0,5,0,338,47,4,7,0,7,0,65,7,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,11,0,4,3,50,1082,427,287,56,33,34,1926
201021009,0,3,5,0,3,11,25,0,0,0,0,0,0,3,0,8,7,0,3,0,27,7,4,8,0,0,0,22,9,3,12,0,3,0,31,41,0,22,0,0,0,56,38,0,19,0,0,0,58,22,0,6,0,0,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,9,120,25,84,0,19,15,265
201021010,0,0,26,0,3,19,54,0,4,6,3,0,0,12,3,28,22,5,4,3,71,13,7,30,0,3,0,60,28,7,40,0,0,0,73,65,0,28,0,3,0,104,39,0,16,0,6,0,59,6,0,3,0,0,0,11,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,4,0,17,166,56,187,7,28,23,469
201021011,0,4,42,3,3,29,80,0,3,3,4,0,0,12,3,23,15,3,0,0,43,9,3,36,7,0,0,57,18,3,28,0,3,0,50,38,4,41,0,5,0,86,119,8,58,0,4,0,184,72,0,18,0,0,0,93,10,0,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,20,264,44,256,15,16,27,626
201021012,0,0,19,0,4,15,37,0,0,4,0,0,0,10,12,0,10,0,0,0,23,14,0,13,0,4,0,27,8,0,14,0,0,0,25,17,0,5,0,0,0,21,13,0,10,0,3,0,27,7,0,3,0,0,0,14,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,68,0,96,4,15,15,196
201031013,0,0,17,0,3,18,43,0,0,10,0,0,0,9,3,5,27,0,0,0,31,16,0,21,0,0,0,42,10,0,20,0,0,0,30,12,0,7,0,3,0,15,0,0,5,0,0,0,3,4,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,48,11,105,0,13,19,190
201031014,0,0,22,0,6,18,52,0,0,0,0,0,0,3,5,0,17,0,4,0,34,10,0,17,0,6,0,33,9,0,18,0,0,0,30,7,0,24,0,0,0,28,17,0,10,0,0,0,22,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,16,50,0,127,0,21,22,226
201031015,0,0,11,0,4,10,26,0,0,3,0,0,0,3,8,0,10,0,0,0,18,3,0,10,0,4,0,20,4,0,9,0,0,0,18,11,0,7,0,0,0,16,13,0,5,0,0,0,16,3,0,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,43,0,71,0,6,12,127
201031016,3,11,7,12,3,12,58,0,3,0,0,3,0,8,18,67,27,10,3,3,130,120,32,69,7,3,3,240,98,13,38,0,9,0,159,184,6,49,0,3,0,242,42,0,9,0,0,0,57,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,6,3,3,0,36,479,145,214,39,28,22,931
201031017,0,3,25,0,5,21,52,0,9,0,0,0,0,10,3,21,27,0,4,0,52,14,4,22,3,3,0,47,17,0,16,0,0,0,36,20,0,15,0,0,0,39,9,0,10,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,71,31,130,3,20,21,274
202011018,3,30,26,0,3,14,76,0,15,4,0,0,0,25,45,155,34,3,3,4,241,164,92,62,7,21,0,341,179,41,66,8,10,3,309,560,16,115,10,14,8,722,390,8,77,0,12,3,494,124,0,28,0,0,0,146,22,0,10,0,3,0,32,7,3,0,0,0,0,11,4,0,0,0,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,14,23,14,3,6,6,74,1517,374,450,34,69,37,2481
202011019,0,19,16,0,0,17,54,0,16,4,3,0,0,28,9,107,23,4,0,3,143,81,79,57,10,3,0,231,65,22,57,14,3,0,161,247,20,67,22,3,0,353,397,3,44,3,4,3,449,40,0,8,0,0,0,44,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,12,16,0,3,4,45,845,282,285,60,19,30,1523
202011020,0,3,12,0,3,12,39,0,13,0,0,0,0,18,20,64,37,15,3,0,131,83,36,43,4,0,0,165,96,24,41,10,0,0,177,379,15,71,8,6,3,474,407,3,71,0,4,0,485,136,0,23,0,0,0,166,21,0,3,0,0,0,25,3,0,3,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,8,0,0,3,35,1153,171,325,40,19,26,1723
