SA2_MAINCODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
201011001,4206,4398,8596,245,265,511,20,19,37,726,720,1445,15,19,36,7,15,23,4,3,9,8,3,11,4,3,11,0,4,5,0,0,0,777,788,1566,29,50,79,4,11,18,1059,1116,2171,365,360,724,5625,5866,11494
201011002,4175,4660,8832,146,174,323,18,18,34,688,779,1468,14,25,35,10,10,16,13,10,23,4,10,12,9,11,16,5,4,9,0,0,0,767,859,1625,44,49,97,14,18,28,968,1103,2072,498,540,1030,5641,6306,11944
201011003,8410,9202,17611,390,438,830,20,27,46,953,1178,2137,41,46,88,12,10,19,24,21,41,5,4,12,6,10,17,0,3,7,0,0,0,1060,1302,2358,46,62,106,19,14,25,1512,1808,3325,892,964,1854,10816,11976,22794
201011004,8346,9253,17595,506,582,1090,30,29,58,1197,1314,2514,38,46,85,17,17,31,13,13,29,4,3,11,4,4,13,0,3,3,0,0,0,1306,1433,2741,80,103,180,30,16,45,1917,2138,4051,1036,1200,2235,11299,12586,23890
201011005,2738,2716,5457,131,103,234,11,11,26,344,375,718,11,18,26,9,8,18,5,0,3,5,5,8,0,0,0,4,3,10,0,0,0,395,424,819,35,23,53,3,5,10,562,552,1117,275,240,516,3573,3512,7085
201011006,2669,2809,5479,71,75,142,9,4,13,347,421,766,7,9,14,3,3,6,5,3,12,3,3,6,3,0,3,0,0,3,0,0,0,377,449,821,14,10,23,3,6,7,458,541,999,230,279,512,3359,3624,6986
201011007,1756,1659,3414,7,8,13,3,7,11,108,101,213,3,6,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,115,232,0,0,0,3,3,8,128,127,253,119,112,231,2003,1887,3894
201011008,5448,5887,11331,229,222,456,16,15,34,556,622,1179,16,19,38,17,14,32,5,5,9,0,3,3,0,4,3,0,0,4,0,0,0,620,691,1307,63,37,94,12,13,23,926,963,1882,568,653,1214,6938,7496,14435
201021009,2420,2397,4818,51,58,116,9,3,11,181,176,349,3,4,12,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,184,382,4,6,11,3,3,4,256,258,508,246,241,492,2916,2900,5816
201021010,3115,3115,6232,86,104,188,4,13,14,221,244,468,3,8,8,0,0,3,5,0,7,0,0,0,3,3,3,0,0,0,0,0,0,241,272,510,4,14,14,3,10,9,328,398,723,369,421,794,3815,3930,7748
201021011,3424,3612,7039,150,196,345,20,19,31,240,278,519,12,15,28,3,0,3,3,10,13,3,0,3,3,0,7,0,0,0,0,0,0,281,322,606,22,24,45,8,11,15,460,552,1011,387,451,841,4269,4621,8894
