SA2_MAINCODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
201011001,50,62,12,43,38,17,9,12,3,238,64,76,44,79,72,21,7,13,0,383,135,49,442,189,157,94,68,90,13,1232,7,3,6,7,24,17,3,15,0,81,6,10,11,21,11,14,3,3,0,82,5,13,3,0,5,0,3,5,0,27,9,8,12,11,16,17,4,9,5,84,505,1236,575,469,436,211,114,171,36,3754
201011002,55,89,26,36,39,27,9,12,3,298,43,68,31,62,56,42,3,4,7,326,110,49,282,124,90,68,35,51,13,821,4,0,9,12,6,18,3,6,0,50,15,11,4,11,8,9,8,3,0,70,7,18,4,7,3,0,0,0,0,34,9,25,5,8,4,5,7,10,13,81,594,1760,428,385,355,228,75,122,49,3990
201011003,76,129,37,80,77,25,14,14,5,466,82,115,76,185,123,51,16,19,9,682,240,106,957,306,266,161,137,201,18,2394,11,8,14,24,35,29,3,27,0,146,18,15,12,32,34,21,10,11,3,162,7,20,7,6,11,8,0,5,3,65,15,28,27,28,24,26,27,27,17,218,863,2317,1237,905,802,410,233,370,94,7230
201011004,44,96,34,73,63,29,10,16,7,364,81,108,69,198,132,52,14,33,9,693,186,107,927,439,259,207,159,265,32,2573,10,11,12,29,25,32,11,30,3,170,12,7,13,52,20,27,12,27,0,173,4,9,4,13,10,0,3,0,3,43,14,13,30,32,18,27,16,39,14,198,580,1637,1194,1036,712,459,258,459,89,6427
201011005,30,47,12,21,33,6,3,8,0,158,36,37,26,39,46,23,3,13,3,222,80,35,269,85,57,46,44,45,10,659,4,0,6,4,10,5,3,4,0,36,5,3,8,5,12,3,0,4,0,33,3,3,0,0,0,3,3,0,0,15,7,11,9,8,6,8,0,8,3,59,328,814,354,244,259,114,58,97,34,2307
201011006,20,34,15,17,17,8,3,3,4,121,26,28,13,61,37,15,5,17,3,205,70,31,361,118,95,72,70,95,16,918,4,0,3,9,7,16,3,3,0,47,3,0,3,12,8,3,0,9,0,44,0,3,0,0,0,5,0,0,0,19,0,5,3,6,3,9,3,9,3,49,177,422,413,274,218,151,94,153,33,1942
201011007,8,17,12,19,12,7,0,4,0,79,19,18,8,28,22,8,3,4,0,107,62,16,229,58,42,35,57,46,12,545,3,3,3,3,10,4,0,9,0,39,3,4,3,7,8,5,0,5,0,31,0,0,3,3,4,3,0,0,0,16,7,6,10,3,4,7,5,8,9,62,150,281,281,160,125,69,67,78,24,1238
201011008,28,46,25,37,24,9,7,18,3,196,19,37,35,85,47,25,12,21,4,282,104,53,559,187,155,108,105,171,16,1478,5,4,3,9,23,14,8,19,0,92,3,3,8,27,23,11,8,12,0,110,0,3,3,0,9,3,0,3,0,20,10,6,14,18,18,22,18,37,16,166,278,719,695,456,381,224,174,317,53,3298
201021009,23,44,7,18,19,7,3,3,5,122,34,25,15,30,33,9,3,6,3,158,68,27,267,74,78,29,77,84,21,713,3,0,3,3,10,0,3,8,0,29,9,7,5,13,11,8,0,3,3,59,3,3,3,3,3,0,0,0,0,15,15,11,8,8,13,8,9,11,0,86,258,395,333,197,209,81,105,120,36,1733
201021010,33,44,12,21,27,8,7,6,3,154,30,37,31,43,34,16,5,12,3,215,145,26,311,83,67,43,63,90,13,834,6,0,5,6,16,3,3,6,0,57,9,3,8,17,13,4,6,10,0,72,3,3,0,3,0,0,0,0,0,16,11,7,21,12,7,4,13,18,7,99,333,458,417,242,222,95,102,164,30,2072
