SA2_MAINCODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
201011001,..,33,9,44,0,44,..,26,3,23,0,23,..,69,3,75,0,75,..,60,8,66,0,66,..,40,3,47,0,50,..,8,0,8,0,8,..,18,0,19,0,19,..,223,20,240,0,243,..,10,0,10,0,10,..,21,3,27,0,27,..,11,0,11,0,11,..,5,0,3,0,3,..,4,0,9,0,9,..,6,0,6,0,6,..,7,0,7,0,7,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,23,0,23,0,23,..,6,0,5,0,5,..,43,0,45,0,45,..,20,0,23,0,23,..,20,0,20,0,20,..,18,10,23,0,23,..,0,0,0,0,0,..,5,3,11,0,9,..,210,18,225,10,232,..,907,126,1037,16,1047,..,28,0,25,467,494,10117,929,130,1062,483,11654
201011002,..,19,3,18,0,18,..,17,0,17,0,17,..,33,0,33,0,33,..,34,7,33,0,37,..,3,0,6,0,6,..,6,0,6,0,6,..,21,0,21,0,21,..,117,11,121,0,125,..,40,8,45,0,46,..,23,0,30,0,30,..,11,0,13,0,13,..,4,0,4,0,4,..,7,0,7,0,7,..,3,0,7,0,7,..,6,0,6,0,6,..,16,0,16,0,16,..,0,0,0,0,0,..,10,0,10,0,10,..,15,0,15,0,15,..,4,0,4,0,4,..,8,0,13,0,13,..,3,0,3,0,3,..,25,0,32,0,32,..,25,0,24,0,24,..,7,0,7,0,7,..,12,0,13,0,13,..,3,0,3,0,3,..,26,5,31,0,31,..,132,27,158,3,161,..,722,79,804,10,812,..,31,3,38,722,757,10483,752,87,839,727,12046
201011003,..,28,3,39,0,41,..,15,0,19,0,19,..,29,0,31,0,31,..,46,10,48,0,48,..,8,0,10,0,10,..,10,3,9,0,9,..,19,0,16,0,16,..,120,16,136,0,139,..,69,4,75,0,78,..,39,7,42,0,42,..,8,0,8,0,8,..,0,0,0,0,0,..,6,0,6,0,6,..,12,7,15,0,15,..,14,0,15,0,15,..,7,5,11,0,11,..,0,0,0,0,0,..,4,0,4,0,4,..,13,0,13,0,13,..,9,0,13,0,13,..,25,0,25,0,22,..,8,0,8,0,8,..,51,0,58,0,54,..,25,4,26,0,26,..,13,0,15,0,15,..,7,0,13,0,13,..,3,0,3,0,3,..,15,0,15,0,15,..,147,40,182,7,192,..,865,125,989,13,1004,..,59,0,64,1280,1340,20733,928,127,1055,1295,23083
201011004,..,21,3,17,0,24,..,10,0,11,0,11,..,48,6,53,0,53,..,63,5,71,0,69,..,14,0,11,0,11,..,38,9,47,0,47,..,29,0,35,0,35,..,205,25,229,0,231,..,36,3,38,0,39,..,9,0,15,0,15,..,8,0,10,0,10,..,0,0,0,0,0,..,5,0,8,0,8,..,26,3,28,0,28,..,3,3,5,0,5,..,22,0,22,0,22,..,3,0,3,0,3,..,12,0,12,5,18,..,29,3,34,0,34,..,13,0,13,0,13,..,35,0,37,0,37,..,13,0,16,0,11,..,94,4,98,0,97,..,17,0,17,0,23,..,18,3,21,0,21,..,14,5,17,0,17,..,10,0,8,0,8,..,11,7,16,0,16,..,232,45,274,3,276,..,1188,193,1374,19,1402,..,83,9,86,1664,1750,21088,1267,196,1468,1686,24231
201011005,..,4,0,6,0,6,..,0,0,0,0,0,..,5,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,11,0,11,..,23,0,23,0,23,..,14,4,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,5,0,5,0,5,..,12,0,12,0,12,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,4,0,4,..,6,0,9,0,9,..,0,0,0,0,0,..,34,5,35,0,39,..,241,31,276,0,275,..,15,0,15,426,446,6433,255,31,292,428,7153
201011006,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,7,..,3,0,3,0,3,..,3,0,3,0,3,..,16,0,20,0,21,..,8,0,8,0,8,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,16,0,16,0,16,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,20,0,20,0,20,..,0,0,6,0,6,..,0,0,0,0,0,..,4,0,4,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,77,7,85,8,89,..,231,42,274,6,281,..,19,0,19,340,360,6446,255,42,288,346,7082
201011007,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,0,3,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,24,4,25,0,25,..,86,12,92,0,92,..,16,0,16,183,193,3643,99,12,110,183,3932
201011008,..,4,3,14,0,10,..,5,0,11,0,11,..,23,3,21,0,21,..,13,0,13,0,13,..,5,0,5,0,5,..,8,4,12,0,12,..,4,4,7,0,7,..,60,14,74,0,74,..,16,0,16,0,16,..,14,3,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,17,..,3,0,3,0,3,..,8,0,7,0,7,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,45,3,47,0,47,..,0,0,0,0,0,..,60,3,58,0,58,..,7,0,7,0,7,..,115,3,117,0,117,..,6,0,6,0,6,..,8,0,4,0,4,..,8,3,11,0,11,..,0,0,0,0,0,..,15,10,21,0,21,..,92,30,118,0,120,..,546,95,632,5,644,..,48,9,49,886,938,13052,588,98,687,893,14633
201021009,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,6,0,6,..,20,3,27,0,27,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,4,0,4,..,38,0,38,0,37,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,9,0,9,0,9,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,34,3,36,0,36,..,212,12,228,0,229,..,13,0,13,408,423,5222,230,12,242,410,5870
201021010,..,22,4,22,0,22,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,12,0,13,0,13,..,21,0,24,0,24,..,9,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,10,0,10,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,16,0,16,0,16,..,7,3,12,0,12,..,7,0,7,0,7,..,5,0,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,34,3,39,0,40,..,217,22,241,5,247,..,21,0,21,687,702,6870,236,22,259,690,7821
