SA2_MAINCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
215021396,0,5,0,0,0,5,5,0,7,55,32,3,93,11,4,10,109,86,0,195
215021398,0,0,0,0,0,0,0,0,0,27,21,3,46,3,4,3,57,42,0,97
215021399,0,0,0,0,0,0,3,3,10,46,54,4,105,9,5,11,119,133,8,256
215021469,0,7,0,0,0,5,22,6,37,231,216,20,465,39,34,72,543,465,15,1030
215021470,0,3,0,0,4,7,13,10,30,173,160,9,348,15,23,36,387,281,12,675
215031400,0,0,0,0,0,0,5,3,7,21,54,10,85,8,3,8,94,88,3,185
215031401,0,3,0,0,0,3,0,3,10,34,48,3,85,3,3,12,93,77,7,183
215031402,0,0,0,0,0,0,3,0,3,38,30,3,62,4,0,7,70,70,0,146
215031403,0,0,0,0,0,0,4,0,4,30,13,3,51,3,3,5,58,60,3,120
215031404,0,0,0,3,3,3,7,8,14,117,122,7,247,10,15,21,266,176,6,455
215031405,0,0,0,0,0,0,3,0,3,41,18,0,64,6,3,9,69,82,7,164
216011406,0,3,0,0,0,3,10,8,21,153,175,12,343,16,17,32,376,235,9,619
216011407,0,3,0,0,0,3,4,0,12,107,102,11,221,6,20,26,251,159,3,416
216011408,0,0,0,0,0,0,3,0,3,18,25,0,47,0,4,10,54,48,3,101
216011409,0,0,0,0,0,3,0,0,8,22,37,4,62,3,3,6,69,73,3,145
216011410,0,0,0,0,0,0,3,0,4,46,32,3,77,11,0,10,88,88,0,180
216021411,0,3,0,0,0,3,3,3,9,71,49,15,133,7,3,11,146,114,6,263
216021412,0,0,0,0,0,0,6,0,6,19,19,4,38,5,7,8,50,37,3,86
216021413,3,4,0,0,0,4,7,6,16,104,132,8,250,15,16,30,274,221,18,513
216021414,0,0,0,0,0,0,3,3,10,59,95,3,156,21,5,19,175,128,3,308
216031415,3,5,0,0,3,6,8,4,19,101,113,20,235,13,13,21,263,208,8,476
216031416,0,8,0,0,0,8,8,0,17,240,228,29,497,23,26,49,540,360,12,917
216031417,0,12,0,0,0,9,13,13,39,253,221,30,503,27,45,73,580,392,16,990
216031418,0,5,0,0,0,5,3,0,6,33,21,4,56,0,0,3,60,33,0,98
216031419,0,0,0,0,0,0,7,4,13,73,76,14,158,4,6,14,171,139,8,320
217011420,0,0,0,0,0,0,7,3,14,77,64,7,151,3,4,11,163,108,8,277
217011421,0,0,0,0,0,0,9,3,13,95,111,10,215,6,6,16,231,156,3,399
217011422,3,3,0,0,0,3,5,0,11,126,127,15,271,17,20,35,297,210,3,518
217011423,0,0,0,0,0,0,0,0,0,39,55,9,103,3,6,5,106,58,0,168
217031471,0,3,0,0,0,3,3,0,6,33,49,7,85,0,3,4,86,65,3,159
217031472,0,0,0,0,0,3,7,5,17,107,158,15,276,12,15,28,301,239,11,547
217031473,0,0,0,0,0,0,0,6,8,48,42,4,98,5,0,7,104,56,7,166
217031474,0,0,0,0,0,0,6,0,9,40,41,8,86,9,3,12,101,91,0,193
217031475,0,0,0,0,0,0,4,3,8,65,58,5,124,3,3,8,141,77,9,223
217031476,0,0,0,0,0,0,3,3,3,18,39,3,66,3,0,4,67,46,3,115
217041477,0,0,0,0,0,0,0,0,0,50,47,8,100,8,3,12,111,81,3,199
217041478,0,4,0,0,0,8,7,0,13,63,95,7,158,9,9,17,180,109,4,285
217041479,3,5,0,0,3,12,6,14,27,231,306,28,571,13,27,40,617,339,19,976
217041480,0,5,0,0,0,5,3,0,10,114,134,20,269,8,14,22,292,183,5,481
297979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299999499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
