SA2_MAINCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
209041220,180,28,249,3356,3366,1471,1221,4500,896,14819
209041221,36,24,92,2202,2323,980,891,2746,691,9831
209041223,202,44,379,3199,3097,1505,1441,6257,1476,16974
209041224,34,5,87,2796,3279,1401,1237,2428,1262,12397
209041225,111,19,175,1387,1638,824,680,1357,642,6529
209041430,34,9,54,3717,4293,1771,1544,2778,721,14828
209041431,192,24,249,2180,2204,937,959,3439,789,10510
209041432,63,24,125,1362,1457,654,584,2234,550,6837
209041433,8,3,22,1657,1717,790,748,2439,506,7861
209041434,14,9,47,2772,3204,1272,1211,2623,915,12001
209041435,18,0,29,2118,2298,967,797,2219,449,8845
209041436,239,15,295,2100,2306,958,773,2846,484,9462
209041437,14,5,20,1299,1540,664,634,1815,635,6585
210011226,89,38,244,1513,1575,709,518,1507,564,6388
210011227,0,0,0,0,0,0,0,0,0,0
210011228,76,40,222,1632,1768,791,719,1649,511,7063
210011229,392,147,779,4675,5134,2504,2070,5780,1705,21863
210011230,81,34,226,1480,1508,677,473,1130,362,5621
210011231,78,38,241,1909,2069,972,690,1447,474,7564
210021232,98,62,228,2227,2842,1412,1158,1536,748,9933
210021233,10,3,34,554,757,423,324,377,229,2664
210021234,15,3,43,720,965,490,378,465,166,3183
210021235,44,15,107,1486,2076,1011,884,1262,774,7484
210031236,180,17,286,1388,1669,621,467,1599,566,6319
210031237,271,63,518,1973,2072,1025,1043,3747,941,10800
210031239,361,117,809,4666,5156,1939,1556,4429,1544,19288
210031438,465,114,791,3697,3901,1569,1414,5861,1772,18209
210031439,19,9,49,531,599,282,180,514,151,2262
210031440,75,22,171,900,1022,471,384,1406,397,4581
210041240,92,31,178,2347,2805,1324,979,2002,685,10140
210041241,207,76,443,5104,5982,2462,1989,4370,1573,21468
210051242,111,27,210,1697,1670,755,846,4004,1468,10440
210051243,126,30,226,1972,1923,942,1019,5245,1424,12531
210051245,139,38,248,3205,3299,1461,1299,4275,1147,14674
210051246,42,13,78,2969,2935,1343,1166,3992,699,13102
210051247,52,11,72,2080,1789,787,913,4783,1052,11413
210051248,0,0,0,21,24,3,4,22,92,169
210051249,94,14,124,2952,2779,1195,1235,6840,1111,16115
210051250,52,26,104,1189,1308,498,402,1554,548,5499
210051441,25,6,50,1320,1399,604,634,2101,492,6550
210051442,13,4,12,1714,1838,767,792,2477,528,8121
210051443,26,10,53,2531,2757,1213,1127,4033,770,12440
210051444,63,15,86,1879,2253,973,1028,3298,645,10076
210051445,5,3,12,592,630,271,272,663,217,2653
