SA2_MAINCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
205031091,177,67,374,1545,2477,1239,905,1677,833,8663
205031092,0,0,0,0,3,0,0,0,3,10
205031093,311,174,763,3362,4816,2514,2119,3747,2080,18638
205041094,46,20,117,1784,2425,1363,1172,1699,931,9370
205041095,278,93,537,2397,3204,1632,1526,3556,1502,13818
205041096,238,65,448,1974,2511,1263,1200,2967,1534,11447
205041097,244,193,617,4352,5769,2625,2129,4405,2281,21566
205041098,17,13,42,688,975,497,491,678,327,3658
205051099,0,0,0,7,7,5,0,3,0,23
205051100,19,13,58,607,878,512,451,705,469,3624
205051101,133,63,302,2080,2777,1591,1475,2138,1176,11237
205051102,18,7,47,594,782,469,420,596,1104,3968
205051103,225,80,448,2286,3095,1494,1270,2479,1221,11842
205051104,63,54,175,783,1122,635,541,890,583,4562
206011105,204,42,384,7603,6655,1742,998,4112,1665,22769
206011106,56,25,133,3350,2996,727,403,1567,734,9774
206011107,140,42,289,3465,3464,1073,635,2328,898,11869
206011108,251,58,574,5864,6138,2238,1492,4808,1400,21935
206011109,137,30,299,1905,2226,919,706,1636,587,7981
206021110,46,20,141,2217,2335,793,436,1226,487,7487
206021111,268,72,505,6205,6373,2028,1167,3277,1602,20648
206021112,249,53,441,4475,4408,1524,1003,2897,1189,15490
206031113,104,21,210,3427,3330,1211,825,2331,969,12087
206031114,299,119,730,6410,6097,2553,1651,4599,1733,23038
206031115,86,18,143,2236,2153,582,416,2141,1020,8556
206031116,229,41,397,3379,3317,1213,828,2438,808,11985
