SA2_MAINCODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
207011152,4,13,111,209,67,24,16,7,0,453,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,3,3,0,10,3,16,27,66,27,16,29,17,9,205,0,0,0,0,0,0,0,0,0,4,0,5,3,8,8,0,3,0,0,22,0,0,0,9,0,3,9,4,3,33,0,0,0,3,0,18,25,18,6,66,0,3,5,33,3,3,3,0,0,54,8,20,13,174,6,13,7,4,0,247,0,4,7,24,0,4,0,0,0,39,0,0,0,27,3,0,0,0,0,36,0,0,0,7,0,0,0,0,0,11,0,0,0,4,0,4,0,3,3,20,0,0,0,10,6,10,12,12,12,60,0,4,0,17,3,3,4,0,0,28,0,0,9,22,8,3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,3,3,19,66,17,24,18,5,0,152,0,0,0,0,0,0,0,0,0,0
207011153,5,76,203,310,142,85,42,19,6,891,0,0,0,6,8,3,3,7,0,24,0,0,0,0,0,3,5,0,0,13,7,26,19,79,77,48,37,28,31,355,0,0,0,3,4,0,3,0,0,14,0,0,4,13,3,0,0,0,0,30,0,3,6,7,9,7,21,10,5,62,0,3,0,3,9,15,42,46,16,139,0,7,10,40,30,32,14,0,0,134,5,3,15,104,21,15,20,3,6,192,0,0,10,18,6,11,7,0,0,50,0,0,0,27,8,4,9,0,0,54,0,0,0,0,0,3,0,0,0,3,0,3,0,19,4,3,9,0,3,41,0,0,5,9,8,14,39,43,25,144,0,0,4,30,10,0,4,3,0,56,0,7,5,31,8,0,4,0,0,53,0,0,0,0,6,0,3,0,0,12,0,0,20,70,49,51,39,10,0,249,0,0,0,0,0,3,0,0,0,9
207011154,0,4,27,58,35,13,18,8,0,161,0,0,0,0,4,0,0,3,0,8,0,0,0,0,3,3,3,0,0,11,0,3,0,20,19,13,5,3,6,72,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,7,3,6,19,0,0,0,0,0,8,13,18,6,46,0,0,0,15,3,7,4,0,0,33,0,3,0,30,0,6,8,3,0,54,0,0,0,13,3,3,0,0,0,20,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,10,21,24,10,79,0,0,3,4,9,0,0,0,0,10,0,7,3,13,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,15,6,9,16,3,0,54,0,0,0,0,0,0,0,0,0,3
207011155,5,58,121,210,132,62,25,9,3,631,0,0,0,0,0,7,0,0,0,4,0,0,0,3,3,0,0,0,0,4,5,37,23,52,50,51,35,23,28,298,0,0,0,3,0,0,0,0,0,8,0,3,0,8,0,0,3,0,0,12,0,7,3,0,3,3,12,5,3,31,0,0,0,0,7,3,14,18,0,45,0,17,8,22,16,11,6,6,0,84,5,9,11,58,10,3,3,4,4,103,0,0,7,13,8,3,0,0,0,27,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,4,11,15,8,4,4,0,38,0,0,0,0,4,12,15,15,9,51,0,3,0,6,9,0,0,0,0,21,0,7,3,19,7,0,0,0,0,37,0,0,0,0,0,3,0,0,0,3,0,0,15,42,39,28,8,8,0,139,0,0,0,0,0,0,3,0,0,4
207021156,0,7,27,151,94,91,27,22,5,431,0,0,0,0,3,3,14,3,4,22,0,0,0,9,3,10,3,10,0,39,0,3,0,6,10,12,7,4,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,3,4,22,0,0,5,5,17,30,90,82,15,249,3,0,9,33,15,21,11,0,0,92,0,0,6,38,13,6,8,0,0,72,0,0,3,7,6,3,3,0,0,28,0,3,6,33,10,3,0,5,0,64,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,3,9,36,140,179,58,430,0,0,0,3,4,0,0,0,0,11,0,8,4,7,4,5,3,0,0,29,0,0,0,0,3,12,9,6,0,32,0,6,12,45,18,28,17,9,4,134,0,0,3,0,0,4,5,6,0,16
207021157,12,54,271,734,309,227,102,51,24,1784,0,0,0,3,3,13,16,12,3,46,0,0,3,7,7,12,12,11,0,59,0,11,9,26,22,22,27,38,5,162,0,0,0,3,3,6,0,3,0,17,0,0,0,3,0,0,3,0,0,6,0,0,0,4,4,0,14,5,11,38,0,4,6,6,27,54,140,122,22,375,3,4,28,116,50,75,30,15,0,325,5,5,12,70,19,17,13,8,0,153,0,0,6,31,10,6,4,0,0,53,0,15,21,128,28,21,9,3,0,226,0,0,0,8,0,3,0,0,0,12,0,0,0,3,5,0,0,0,0,10,0,4,0,5,8,38,98,96,32,285,0,4,3,12,3,0,0,0,0,32,0,12,29,63,32,14,3,3,0,168,0,0,0,6,5,15,7,3,0,32,0,29,50,154,74,74,45,14,0,442,0,0,0,0,0,0,9,4,0,12
207021159,7,44,68,291,147,112,40,32,11,748,0,0,0,0,5,5,6,7,0,19,0,0,3,16,15,27,13,4,0,78,0,17,7,21,31,43,40,33,11,204,0,0,0,6,8,0,4,0,0,19,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,15,6,0,32,0,0,0,7,24,42,65,46,16,199,0,13,14,54,35,66,33,5,0,219,0,9,3,66,19,17,23,3,6,151,0,0,8,18,3,6,3,0,0,28,0,8,9,80,30,28,8,0,0,161,0,0,0,4,8,6,0,0,0,18,0,0,0,3,0,0,0,0,0,4,0,0,0,0,14,55,91,43,31,236,0,0,6,3,0,0,0,0,0,11,0,0,3,7,14,3,0,0,0,34,0,0,0,9,23,9,4,0,0,45,0,3,14,51,49,64,48,11,4,246,0,0,0,0,0,3,4,5,6,15
207021160,0,20,47,226,107,104,41,20,9,570,0,0,0,3,8,0,8,8,0,25,0,0,0,3,10,6,8,3,3,31,0,3,5,7,7,23,22,22,22,103,0,0,0,0,0,0,0,0,0,6,0,0,3,0,5,0,0,0,0,9,0,0,0,3,0,3,9,7,3,30,0,9,3,13,14,45,86,80,37,282,0,3,5,40,18,43,16,3,0,125,0,3,3,39,14,13,11,4,3,87,0,0,3,8,8,0,3,0,0,25,0,10,8,46,16,12,4,0,0,94,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,3,0,0,0,13,0,0,0,6,13,30,64,84,43,243,0,0,0,7,9,0,4,0,0,18,0,5,3,17,3,0,0,0,0,33,0,0,0,10,5,17,3,7,0,38,0,6,22,85,29,40,23,7,3,215,0,0,0,0,0,3,7,4,5,16
207021424,5,62,100,390,172,109,65,36,11,942,0,0,0,0,3,0,5,3,0,9,0,4,3,15,9,11,3,5,0,44,5,12,13,26,25,29,25,17,12,149,0,0,0,4,0,3,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,3,23,0,0,0,5,12,38,64,46,13,175,3,10,16,88,72,111,49,22,5,373,0,3,8,44,27,19,12,7,3,118,0,0,0,24,3,6,7,5,0,40,0,12,9,55,23,19,3,0,0,118,0,0,3,7,0,4,0,0,0,14,0,0,0,0,0,3,0,0,0,9,0,0,4,0,11,29,33,39,15,127,0,3,0,6,3,0,0,0,0,11,3,3,9,18,7,3,0,0,0,40,0,0,0,3,6,4,3,3,0,20,3,21,48,87,91,86,43,14,6,393,0,0,0,0,0,0,5,0,4,11
207021425,13,39,118,418,180,121,64,28,17,991,0,0,0,3,4,0,5,3,3,21,0,3,3,16,0,4,9,6,3,45,3,5,0,9,12,14,28,28,12,114,0,0,3,0,5,3,0,4,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,9,8,5,30,0,5,5,3,14,29,41,55,15,163,0,11,24,112,51,76,22,4,3,295,4,16,9,87,9,13,16,5,0,151,0,0,0,33,7,3,8,0,0,56,4,24,17,111,21,16,6,6,0,206,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,5,3,7,8,15,41,35,20,135,0,7,0,13,3,0,0,0,0,24,0,5,30,30,15,5,0,0,0,95,0,0,0,3,3,4,4,5,0,19,5,25,41,154,71,50,39,10,5,408,0,0,0,0,0,3,3,5,3,14
