SA2_MAINCODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
201011001,58,0,0,0,0,58,39,0,0,0,0,38,36,0,5,0,0,35,68,0,0,0,0,66,97,0,0,0,0,100,285,3,3,0,3,295,367,10,5,0,0,383,361,0,0,0,0,363,133,0,0,0,0,133,77,0,0,0,0,76,47,0,0,0,0,47,44,0,0,0,0,49,1596,20,18,0,11,1638
201011002,56,4,3,0,0,60,33,4,0,0,0,43,38,7,0,0,0,43,49,10,3,4,0,69,88,4,3,0,0,96,196,24,0,0,0,220,189,20,0,0,0,207,160,17,0,0,0,179,86,5,0,3,0,95,63,10,0,0,0,74,60,3,0,0,0,65,37,5,0,0,0,45,1058,111,18,4,0,1192
201011003,130,7,0,3,0,142,86,3,0,0,0,93,88,5,0,0,0,95,149,9,0,0,0,158,244,11,0,3,0,258,676,33,4,3,9,720,574,21,0,0,3,597,459,13,0,10,3,485,141,0,0,0,0,145,110,0,0,0,0,113,47,0,0,0,0,53,108,0,0,0,0,110,2814,110,5,25,13,2974
201011004,83,15,0,0,0,100,77,13,0,0,0,90,75,15,0,0,0,93,159,31,3,0,0,193,304,56,3,0,0,365,796,145,3,3,0,950,499,88,3,0,3,597,261,45,0,0,4,309,67,13,0,0,0,82,32,4,0,0,0,39,21,5,0,0,0,24,92,16,0,0,0,107,2478,439,17,6,7,2944
201011005,45,0,0,0,0,45,29,0,0,0,0,29,19,0,0,0,0,19,35,0,0,0,0,35,45,3,0,0,0,48,167,6,0,0,0,175,206,0,0,0,0,205,201,0,0,0,0,203,65,0,0,0,0,65,49,0,0,0,0,47,25,0,0,0,0,25,35,0,0,0,0,35,926,13,0,0,0,945
201011006,37,0,0,0,0,35,25,3,0,0,0,29,26,3,0,0,0,28,41,6,0,0,0,48,61,3,0,0,0,64,263,21,0,0,0,286,267,23,0,0,0,285,200,6,0,0,0,206,31,5,0,0,0,32,18,0,0,0,0,18,10,0,0,0,0,10,30,5,0,0,0,31,1002,72,3,0,4,1077
201011007,23,0,0,0,0,23,23,0,0,0,0,23,12,0,0,0,0,12,33,0,0,0,0,33,51,0,0,0,0,51,130,0,0,0,0,130,148,0,0,0,0,143,149,0,0,3,0,152,58,0,0,0,0,58,29,0,0,0,0,29,12,0,0,0,0,12,43,0,0,0,0,41,695,0,0,4,3,701
201011008,71,5,0,0,0,75,47,5,0,0,0,49,44,0,3,0,0,52,102,6,0,0,0,116,167,8,0,0,0,177,467,12,0,3,0,481,350,11,3,0,0,366,202,3,0,0,0,205,47,0,0,0,0,47,29,3,0,0,0,32,17,0,0,0,0,17,67,3,0,0,0,73,1620,55,12,3,0,1688
201021009,40,0,3,0,0,37,35,0,0,0,0,32,26,0,0,0,0,29,54,0,0,0,0,54,58,0,0,0,0,58,164,0,3,3,0,168,182,0,3,0,0,183,199,0,0,0,0,199,83,0,0,0,0,83,53,0,0,0,0,52,36,0,0,0,0,36,66,0,0,0,0,65,989,0,9,3,3,1004
201021010,49,0,0,9,0,51,41,0,0,5,0,49,40,0,0,4,0,42,84,0,0,10,0,97,108,0,0,10,6,121,219,0,0,18,8,247,168,0,0,13,3,187,117,0,0,18,0,132,23,0,0,0,0,28,15,0,0,4,0,24,14,0,0,0,0,15,55,0,0,4,0,62,936,5,0,91,19,1053
