SA2_MAINCODE_2016,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
201011001,12,24,7,4,0,0,0,0,0,45,19,37,10,7,9,5,6,3,0,92,77,59,227,10,12,16,48,26,6,484,37,0,155,6,0,11,15,21,3,260,19,14,12,3,6,0,3,11,0,64,7,105,8,22,7,0,0,0,0,155,18,74,3,10,0,3,7,7,0,119,110,111,16,18,40,31,11,16,0,359,17,38,0,51,12,5,4,13,0,153,3,12,12,6,3,0,0,8,0,43,14,0,29,11,0,16,3,15,0,92,0,0,0,0,0,0,0,0,0,3,7,3,3,3,0,0,0,4,0,24,6,6,16,5,3,4,7,3,4,50,344,491,494,153,100,96,102,122,17,1930,9,11,3,3,5,4,0,0,0,42,0,3,0,0,3,0,0,0,0,13,5,3,5,0,7,5,0,3,0,28,0,4,3,0,0,0,0,0,0,9,4,3,3,0,3,3,0,3,0,19
201011002,7,21,10,3,3,0,0,0,0,47,15,44,14,0,6,0,3,4,0,81,63,57,110,4,14,8,21,23,5,315,55,14,98,6,8,8,5,12,3,202,19,21,10,3,8,6,3,4,0,73,16,214,8,31,3,0,3,0,0,277,23,94,3,14,0,0,3,0,0,146,141,129,21,13,29,55,8,15,3,419,23,71,3,25,9,7,5,9,3,147,3,31,14,13,4,6,9,3,0,94,10,3,37,0,0,3,8,3,0,62,0,0,0,0,0,0,0,0,0,0,12,20,0,5,3,0,6,0,3,49,0,0,7,3,3,0,0,0,8,23,382,721,343,119,80,101,68,87,28,1936,4,21,4,3,6,0,0,0,0,50,4,0,0,0,3,4,0,0,0,13,0,13,7,0,0,0,0,0,0,30,0,6,3,0,0,0,0,0,0,18,4,8,0,0,5,7,0,6,0,27
201011003,12,47,9,3,3,3,0,3,0,97,29,77,24,11,9,13,6,8,0,176,124,109,397,33,27,35,96,62,11,883,85,14,365,13,8,11,30,48,0,569,27,16,43,5,4,7,8,14,4,143,22,156,6,44,7,3,3,4,4,252,40,167,12,18,9,13,8,6,5,267,174,165,28,23,54,58,13,19,12,551,13,95,11,81,22,10,11,19,3,273,17,53,21,9,10,11,3,11,0,134,18,3,75,13,7,3,12,21,3,158,4,0,0,0,0,0,0,0,0,3,17,16,9,4,4,0,4,9,0,66,9,6,23,4,4,8,20,9,12,106,585,930,1026,258,163,183,218,244,60,3679,10,36,11,8,13,3,0,3,0,86,0,7,7,3,7,3,0,0,0,32,0,3,5,3,4,4,0,5,0,38,0,8,8,8,7,0,0,0,0,32,3,12,11,8,4,3,0,5,0,45
201011004,5,31,8,7,3,3,3,4,0,67,32,84,40,6,13,11,3,17,7,212,66,78,393,18,32,19,92,80,14,802,60,3,319,13,4,12,29,56,12,503,16,7,25,0,5,6,7,17,3,86,11,82,14,45,12,8,0,11,0,174,18,129,6,19,4,11,7,3,0,198,109,99,40,34,58,50,29,32,7,455,25,65,14,80,17,8,21,16,3,259,15,45,15,9,7,13,4,12,0,119,19,3,87,11,8,9,13,22,0,176,0,0,0,0,0,0,0,0,0,7,5,9,10,5,5,0,5,3,0,43,7,3,32,4,9,14,14,12,17,126,385,635,1019,250,178,164,237,295,59,3217,9,30,15,7,11,3,0,0,0,72,8,9,4,0,3,0,0,0,0,31,8,4,4,3,9,3,6,11,0,49,0,3,8,4,0,9,0,0,0,28,4,4,8,3,3,0,0,5,0,27
201011005,7,28,0,0,0,0,0,3,4,48,16,36,9,0,0,0,0,3,0,73,46,48,122,14,12,11,32,26,6,308,34,3,105,0,0,4,8,5,0,168,9,9,15,0,3,3,3,0,0,45,3,53,5,14,3,0,0,0,0,82,18,71,3,7,4,3,0,3,4,109,64,56,7,9,21,12,3,3,0,184,17,32,3,20,9,0,3,3,7,88,3,17,5,0,0,4,0,7,0,36,10,0,14,0,3,4,3,4,3,35,0,0,0,0,0,0,0,0,0,0,3,5,3,3,3,0,0,0,0,19,8,3,11,0,0,6,4,7,5,33,231,357,299,71,65,47,57,66,21,1228,3,10,3,0,3,3,0,0,0,24,4,3,0,0,7,0,0,0,0,20,0,3,0,0,5,3,0,0,0,11,3,3,0,0,0,0,0,0,0,14,3,11,3,0,3,0,0,0,0,20
201011006,0,6,3,0,3,0,0,0,0,14,3,21,4,0,0,0,0,3,0,33,28,20,166,3,4,9,42,37,8,318,22,0,108,4,0,11,10,14,0,173,5,0,14,0,0,0,7,5,0,31,4,22,5,3,3,3,0,0,0,42,3,27,3,5,0,0,3,3,0,45,33,21,12,13,13,17,5,18,0,132,3,9,3,21,0,0,3,3,3,49,10,4,0,0,0,3,0,0,0,21,7,0,36,6,3,8,10,4,0,72,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,10,3,0,3,0,0,4,8,7,4,28,119,138,364,60,31,53,88,97,20,973,0,9,0,0,9,0,0,0,0,17,0,0,4,0,4,0,0,0,0,15,3,0,0,0,0,3,0,4,0,9,0,0,0,0,0,4,0,0,0,7,0,3,0,3,3,3,0,0,0,15
201011007,3,4,0,0,0,0,0,0,0,7,0,13,0,0,3,0,0,0,0,21,23,15,131,10,7,10,36,17,6,254,18,4,80,0,0,3,8,8,0,128,10,3,4,0,0,3,3,6,0,29,3,17,0,7,0,0,0,0,0,32,3,20,0,0,0,0,4,0,0,34,23,10,8,6,9,5,3,3,0,65,3,7,0,17,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,6,4,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,0,0,16,3,0,15,0,0,5,0,3,9,36,99,98,253,45,15,27,65,51,9,666,0,0,3,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,3,0,3,0,12,0,0,3,0,3,0,0,0,0,5,0,0,0,0,3,0,0,5,0,15
201011008,0,5,0,3,0,0,0,4,0,19,7,18,17,0,9,3,3,8,0,66,50,29,257,6,17,15,80,62,6,529,23,3,189,3,4,11,15,33,0,278,17,3,22,3,3,0,6,7,0,70,4,43,3,21,0,3,0,9,0,84,14,64,6,8,0,4,3,3,0,105,36,44,20,10,32,28,16,24,9,203,8,26,13,39,3,9,6,10,0,106,8,14,4,3,3,4,0,7,0,41,11,3,43,5,4,4,6,16,0,100,0,0,0,0,0,0,0,0,0,5,3,0,8,0,6,0,5,3,0,24,3,5,15,0,3,8,19,19,8,84,178,257,591,111,88,93,163,199,24,1711,0,13,3,5,0,3,0,0,0,21,0,3,0,0,6,3,0,0,0,14,0,3,10,0,4,0,0,7,0,26,4,3,0,0,0,0,0,0,0,11,0,4,3,0,4,0,0,3,0,21
201021009,5,10,0,0,0,0,0,0,3,20,3,9,3,0,3,0,0,0,0,16,42,36,155,9,12,15,51,40,15,366,14,7,74,0,0,0,9,22,0,131,23,3,11,0,3,0,10,10,0,75,3,17,0,10,0,0,0,3,0,34,11,18,3,0,3,0,0,0,0,36,28,22,3,3,14,7,10,3,0,86,4,12,3,14,3,3,0,0,0,39,4,9,0,8,3,3,0,3,0,27,3,0,11,3,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,14,6,3,9,3,3,0,12,9,0,47,155,140,281,56,42,31,94,91,25,917,8,6,4,0,3,0,0,0,0,29,4,3,0,0,3,0,0,0,0,10,0,6,3,3,0,0,0,3,0,23,0,3,0,0,0,0,0,0,0,4,0,9,6,4,3,8,4,0,0,26
201021010,4,4,0,0,0,0,0,0,0,16,5,10,0,0,3,0,0,0,0,17,48,22,163,9,14,4,41,37,5,343,25,4,90,0,0,3,9,13,0,148,65,16,26,0,3,3,6,13,0,139,3,24,5,4,0,0,3,0,0,46,8,25,5,8,4,0,0,0,3,48,37,18,7,4,14,10,10,9,0,100,11,15,0,20,3,3,3,5,0,70,0,15,3,0,4,6,5,3,0,38,10,0,27,3,0,0,8,8,0,59,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,16,7,0,13,0,4,3,11,9,3,50,220,167,340,52,48,33,88,109,14,1083,0,10,4,0,3,0,0,0,0,20,0,6,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,6,0,0,3,0,3,0,0,0,0,16,5,4,7,0,7,0,0,9,0,26
