SA2_MAINCODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
201011001,50,18,71,15,16,32,0,0,0,0,0,0,9,5,8,2259,1964,4222,131,183,318,16,0,18,8,0,8,32,9,38,14,3,19,30,29,65,2562,2233,4797,0,0,0,0,0,0,0,0,0,12,11,19,0,3,3,3,0,3,13,12,25,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,10,17,22,30,30,33,69,5,10,13,0,0,0,0,0,0,5,10,21,72,114,189,222,409,635,25,23,44,2925,2829,5747
201011002,76,47,127,20,22,43,0,0,0,0,0,0,11,4,16,1722,1630,3346,93,148,242,14,0,9,10,3,13,56,17,71,15,10,23,245,265,517,2260,2147,4406,3,3,4,0,0,0,7,3,8,18,11,29,0,3,3,6,0,10,38,19,57,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,10,12,24,49,34,84,15,5,19,3,0,3,0,0,0,13,5,24,114,150,268,229,435,671,25,27,44,2693,2800,5491
201011003,116,59,178,49,55,104,0,0,5,0,3,3,13,8,22,3899,3509,7409,219,275,494,55,0,57,16,0,20,52,11,67,27,15,42,132,116,242,4591,4055,8649,3,4,5,0,0,0,3,7,13,27,15,42,3,3,6,6,3,10,37,36,77,0,0,0,0,0,0,0,3,4,3,4,9,0,0,0,3,13,12,35,24,56,82,65,144,16,15,31,3,0,5,0,0,0,16,22,37,195,262,456,363,780,1146,56,39,99,5307,5222,10533
201011004,46,33,85,38,61,101,8,0,10,0,0,0,21,22,42,3724,3405,7131,254,296,548,49,0,50,25,0,21,57,10,65,27,10,34,110,109,223,4354,3951,8300,5,3,6,0,0,0,9,9,11,14,13,27,3,3,6,0,0,3,30,27,60,0,0,0,0,0,0,3,0,9,4,11,16,3,0,5,16,12,26,44,15,60,89,50,143,8,10,19,0,4,4,0,0,0,8,11,26,121,157,273,398,749,1153,52,43,94,5024,4966,9991
201011005,21,9,29,9,19,29,0,0,0,0,3,3,4,6,6,1238,1041,2278,55,61,113,21,0,21,6,0,3,12,3,11,12,0,10,47,32,86,1409,1166,2579,0,0,0,0,0,0,3,0,3,20,3,20,0,0,0,3,0,3,25,8,31,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,0,6,11,6,4,14,39,18,53,7,6,17,0,0,0,0,0,0,7,6,16,79,85,162,177,273,449,15,11,26,1723,1563,3287
201011006,4,6,13,4,10,10,0,0,0,0,0,0,0,3,4,1275,1145,2423,96,89,181,16,0,16,11,0,11,3,0,4,8,4,15,27,11,43,1448,1274,2725,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,8,15,8,25,6,0,5,0,0,0,0,0,0,5,0,6,40,54,98,141,259,401,20,20,39,1673,1616,3289
201011007,9,0,8,3,4,8,0,0,0,0,0,0,0,3,3,813,659,1469,39,48,86,34,0,34,5,0,4,0,0,0,4,0,4,8,8,14,908,719,1627,0,0,0,0,0,0,0,0,0,7,5,12,0,0,0,0,0,0,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,8,7,19,4,3,7,0,0,0,0,0,0,4,3,9,30,39,65,68,134,203,9,14,30,1032,917,1949
201011008,17,16,30,24,30,59,0,0,0,0,0,0,9,5,8,2165,1756,3924,182,161,343,29,0,30,8,0,12,29,5,40,8,9,17,65,59,122,2547,2041,4586,0,0,0,0,0,0,0,0,0,10,3,12,3,3,3,3,0,3,12,3,18,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,8,10,9,8,15,28,18,42,3,4,8,0,0,3,4,0,4,5,4,13,59,89,147,222,423,642,41,34,71,2895,2610,5503
201021009,47,43,90,3,4,6,0,0,0,0,0,0,0,0,0,933,742,1676,66,59,123,40,0,45,3,0,3,4,0,10,6,8,12,33,28,65,1142,888,2027,4,4,7,0,0,0,5,3,11,18,16,33,0,7,6,0,0,3,26,30,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,21,43,35,74,9,16,23,0,0,0,0,0,0,9,16,23,99,108,207,121,200,321,33,19,50,1443,1255,2698
201021010,8,11,20,4,4,13,0,0,0,3,0,3,0,0,0,1124,927,2049,42,49,99,34,0,37,9,3,15,6,0,4,6,6,13,67,45,107,1307,1053,2361,0,0,0,0,0,0,0,0,0,13,6,17,0,0,0,0,0,0,10,7,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,7,22,8,31,10,6,15,0,0,0,0,0,0,10,6,15,154,157,309,142,273,412,23,17,42,1656,1509,3167
