SA2_MAINCODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
201011001,550,7,0,0,7,0,554,23,105,7,0,117,0,134,0,4,0,0,4,0,4,0,0,0,0,0,0,0,23,112,7,0,116,0,134,0,0,0,0,0,0,0,573,118,7,0,124,0,696,571,6,0,0,6,0,575,15,74,3,0,74,0,86,0,4,0,0,4,0,4,0,0,0,0,0,0,0,15,73,4,0,80,0,89,0,0,0,0,0,0,0,584,84,4,0,85,0,666,364,0,0,0,0,0,366,11,26,4,0,32,0,42,0,3,0,0,5,0,5,0,0,0,0,0,0,0,11,30,4,0,31,0,46,0,0,0,0,0,0,0,372,33,4,0,33,0,408,222,0,0,0,0,0,225,10,26,0,0,26,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,0,0,32,0,36,0,0,0,0,0,0,0,234,28,0,0,29,0,259,306,5,0,0
201011002,383,10,0,0,10,0,394,20,45,3,0,53,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,51,3,0,53,0,69,0,0,0,0,0,0,0,404,54,3,0,59,0,466,400,12,0,0,12,0,411,20,37,0,3,38,0,57,0,3,0,0,3,0,3,0,0,0,0,0,0,0,20,38,0,3,43,0,57,0,0,0,0,0,0,0,420,49,0,3,47,0,473,250,13,0,0,13,0,262,14,21,0,0,24,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,3,0,24,0,38,0,0,0,0,0,0,0,264,32,3,0,39,0,298,152,3,0,0,3,0,156,3,11,0,0,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,14,0,16,0,0,0,0,0,0,0,157,20,0,0,16,0,177,219,3,0,0
201011003,1012,9,0,0,9,0,1022,20,59,0,0,62,0,79,0,4,3,0,5,0,3,0,0,0,0,0,0,0,21,65,3,0,68,0,88,4,0,0,0,0,0,5,1034,79,3,0,84,0,1116,939,16,0,0,16,0,948,19,38,0,0,39,0,56,0,3,5,0,10,0,10,0,0,0,0,0,0,0,19,47,5,0,52,0,71,0,0,0,0,0,0,0,954,62,5,0,62,0,1024,506,9,0,0,9,0,511,14,6,3,0,9,0,26,0,0,0,0,3,0,3,0,0,0,0,0,0,0,15,12,4,0,16,0,29,0,0,0,0,0,0,0,520,18,4,0,20,0,542,311,3,0,0,3,0,320,5,5,0,0,9,0,11,0,3,0,0,4,0,4,0,0,0,0,0,0,0,5,8,0,0,9,0,12,0,0,0,0,0,3,3,317,13,0,0,13,3,333,412,9,0,0
201011004,915,25,0,0,25,4,939,24,81,3,0,87,0,112,0,10,0,0,12,0,16,0,0,0,0,0,0,0,25,92,4,0,100,0,126,0,0,0,0,0,3,4,945,117,4,0,121,4,1070,819,11,0,0,11,0,834,15,38,5,0,37,0,57,0,9,0,0,13,0,13,0,0,0,0,0,0,0,15,44,3,0,50,0,68,0,0,0,0,0,3,3,839,61,3,0,62,7,904,390,6,0,0,6,0,400,9,11,0,0,10,0,26,0,7,0,0,7,0,7,0,0,0,0,0,0,0,9,18,0,0,21,0,32,0,0,0,0,0,4,3,409,23,0,0,23,5,435,251,0,0,0,0,0,251,3,8,0,0,7,0,13,0,3,0,0,3,0,3,0,0,0,0,0,0,0,3,9,0,0,13,0,15,0,0,0,0,0,4,7,253,9,0,0,15,4,269,300,5,0,0
201011005,333,5,4,0,10,3,339,11,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,6,0,11,3,0,0,0,0,0,3,337,7,4,0,15,0,353,418,5,0,0,5,5,424,0,12,0,0,13,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13,0,18,0,0,0,0,0,0,0,423,23,0,0,25,5,443,223,0,0,0,0,0,224,0,9,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,12,0,0,0,0,0,0,0,223,11,0,0,11,0,235,131,0,0,0,0,0,131,0,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,9,0,0,0,0,0,0,0,132,3,0,0,3,0,141,183,0,0,0
201011006,321,0,0,0,0,0,321,3,15,0,0,15,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,18,0,19,0,0,0,0,0,0,0,319,15,0,0,18,0,339,303,0,0,0,0,0,303,11,14,0,0,14,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,14,0,26,0,0,0,0,0,0,0,307,14,0,0,14,0,328,178,0,0,0,0,0,178,0,6,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,6,0,0,0,0,0,0,0,178,6,0,0,6,0,183,105,0,0,0,0,0,105,0,5,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,8,0,0,0,0,0,0,0,110,5,0,0,5,0,112,171,0,0,0
201011007,169,3,0,0,3,0,169,5,4,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,0,10,0,0,0,0,0,0,0,179,9,0,0,9,0,187,249,0,0,0,0,0,250,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,3,3,247,5,0,0,5,3,254,173,0,0,0,0,0,175,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,3,0,0,0,0,0,0,0,172,3,0,0,3,3,175,94,0,0,0,0,0,98,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,3,0,0,0,0,0,0,0,100,3,0,0,3,3,102,143,0,0,0
201011008,643,7,0,0,7,0,651,7,31,0,0,31,0,41,3,6,0,0,6,0,7,0,0,0,0,0,0,0,10,37,0,0,37,0,50,0,0,0,0,0,0,0,655,46,0,0,46,0,697,563,3,0,0,3,0,562,15,31,0,0,27,0,39,7,4,0,0,3,0,11,0,0,0,0,0,0,0,15,31,3,0,30,0,53,0,0,0,0,0,0,0,577,33,3,0,38,0,613,264,0,0,0,0,0,270,7,16,0,0,19,0,27,0,0,0,0,5,0,4,0,0,0,0,0,0,0,7,19,3,0,17,0,25,0,0,0,0,0,0,0,275,18,3,0,21,0,298,153,3,0,0,3,0,154,6,8,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,5,0,10,0,0,0,0,0,0,0,155,5,0,0,10,0,165,193,0,0,0
201021009,243,3,0,0,3,0,249,8,4,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,4,0,7,0,0,0,0,0,3,3,250,9,0,0,9,3,261,273,9,0,0,9,0,280,3,8,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,8,0,7,0,0,0,0,0,3,3,275,14,0,0,14,3,295,162,0,0,0,0,0,165,10,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,3,0,9,0,0,0,0,0,0,0,167,8,0,0,8,0,171,91,4,0,0,4,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,4,0,0,4,0,97,150,0,0,0
201021010,266,3,0,0,4,3,271,7,9,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,9,0,14,0,0,0,0,0,0,0,273,13,0,0,10,6,290,345,0,0,0,0,0,346,3,3,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,0,0,0,0,5,5,344,9,0,0,9,5,359,203,3,0,0,3,0,203,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,0,0,0,0,0,0,206,3,0,0,3,0,212,103,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,108,134,0,0,0
