SA2_MAINCODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
201011001,926,1523,402,23,2872,497,82,3456,14,9,17,0,38,28,12,76,17,12,23,0,51,36,22,109,29,22,40,3,89,65,32,187,42,9,20,0,71,143,7,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9,20,0,71,143,7,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,0,17,8,0,23,1003,1552,473,25,3055,711,120,3886
201011002,970,996,366,37,2374,1011,197,3587,130,86,51,4,276,229,34,542,60,32,25,3,113,64,12,189,185,119,77,4,390,290,47,734,30,11,9,3,49,172,17,243,9,3,3,0,13,24,9,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,14,12,3,63,198,26,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,6,11,0,14,3,4,4,0,6,11,0,14,5,4,0,0,12,18,0,28,1204,1138,458,45,2850,1529,275,4654
201011003,2021,2300,905,65,5294,2058,361,7707,198,62,62,11,337,527,51,912,30,17,19,3,67,55,13,137,223,80,83,14,403,584,63,1047,18,10,17,0,39,66,8,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,17,0,39,66,8,118,3,0,0,0,3,0,0,5,4,0,0,0,3,9,0,7,0,0,0,0,0,0,0,0,16,18,4,0,41,11,0,54,22,18,10,0,51,17,0,68,9,12,3,0,21,25,0,54,2302,2414,1015,78,5805,2756,434,8992
201011004,1772,1756,1088,89,4702,1977,384,7067,382,316,289,30,1015,1214,169,2408,9,5,15,3,30,17,7,61,392,319,305,33,1048,1233,182,2460,41,19,32,8,94,164,22,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,19,32,8,94,164,22,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,9,0,0,15,3,8,3,0,16,0,0,15,6,6,0,3,21,16,3,45,2215,2105,1425,133,5880,3398,591,9868
201011005,676,869,184,11,1743,370,87,2198,7,9,0,0,22,20,3,46,0,0,0,0,4,0,0,3,9,10,3,0,21,20,4,48,3,0,0,0,3,12,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,7,691,877,189,11,1768,414,94,2281
201011006,649,720,319,21,1707,435,89,2228,38,57,32,9,143,79,10,223,0,0,0,0,0,0,0,0,38,57,32,9,143,79,10,223,0,0,0,0,0,10,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,8,688,774,357,29,1849,526,102,2472
201011007,376,580,93,7,1053,168,22,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,0,0,0,4,0,6,376,585,93,7,1054,170,17,1246
201011008,1241,1305,698,68,3307,1283,167,4758,96,56,53,4,206,418,15,641,4,0,0,0,3,3,0,7,95,57,51,5,214,425,21,652,21,5,21,0,49,167,3,221,0,0,0,0,7,12,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,27,3,56,178,6,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,3,0,0,0,3,3,0,6,3,0,0,0,7,3,0,8,1360,1372,778,74,3584,1886,189,5667
201021009,629,674,182,13,1503,444,38,1982,0,0,3,0,6,10,0,20,0,0,0,0,0,0,0,0,0,0,3,0,6,10,0,20,10,3,10,0,16,31,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,10,0,16,31,0,49,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,3,0,0,0,3,4,0,12,3,6,0,0,11,3,0,9,640,692,199,13,1544,498,42,2079
201021010,817,653,252,17,1744,702,41,2482,3,0,0,0,5,64,3,73,0,0,0,0,0,0,0,0,3,0,0,0,5,61,3,69,3,0,0,0,4,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,0,13,3,0,0,0,4,22,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,73,21,3,191,85,10,287,99,71,24,3,202,105,9,313,11,14,6,0,37,15,0,45,936,744,288,24,1987,887,56,2933
201021011,1130,776,306,18,2238,1078,107,3421,10,3,4,0,14,28,6,41,0,0,0,0,0,6,0,7,6,3,4,0,18,33,5,48,0,0,6,0,7,30,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,30,0,41,4,0,0,0,4,0,0,9,3,0,0,0,3,0,0,3,0,0,0,0,0,3,0,6,10,0,5,0,19,19,0,36,20,0,3,0,22,23,0,52,6,10,7,0,21,27,5,57,1167,796,320,20,2299,1192,119,3612
201021012,602,686,175,13,1476,416,42,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,8,4,0,0,11,4,0,17,613,692,180,13,1493,437,42,1964
201031013,465,276,107,11,853,439,40,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,3,0,0,0,4,13,3,13,0,5,0,0,7,0,0,6,474,277,107,14,868,451,44,1365
201031014,463,411,123,4,996,439,36,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,16,5,0,0,0,5,5,0,11,6,0,0,0,9,24,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,16,35,4,54,3,0,0,0,3,3,0,10,480,414,128,4,1018,500,41,1561
201031015,518,522,149,15,1200,389,25,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,3,0,4,0,11,0,0,14,0,3,0,0,3,3,0,5,519,530,153,15,1210,393,25,1632
201031016,877,588,406,19,1895,984,102,2977,48,10,26,0,83,200,8,293,0,0,0,0,0,0,0,0,48,10,26,0,83,203,8,292,3,0,0,0,7,34,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,10,34,0,45,7,0,0,0,7,16,0,22,3,0,0,0,3,5,0,9,0,0,0,0,0,0,0,0,0,3,0,0,5,12,0,16,9,3,0,0,14,36,0,47,0,0,4,0,7,5,0,13,940,601,436,22,2002,1263,112,3374
201031017,674,467,221,15,1380,593,69,2038,5,0,0,0,6,16,0,25,0,0,0,0,0,0,0,4,5,0,0,0,8,18,0,28,5,0,0,0,5,27,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,27,0,35,5,0,3,0,6,24,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,7,3,0,0,0,8,6,0,15,8,0,7,0,16,41,0,57,0,0,0,0,6,9,0,8,694,479,227,15,1415,677,77,2164
202011018,1218,1045,774,80,3114,1583,267,4960,70,35,43,10,161,343,33,537,39,12,11,3,62,76,10,150,110,44,54,19,223,420,46,682,20,7,25,0,55,87,13,157,5,4,0,0,10,35,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,25,0,66,121,12,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,8,9,0,16,5,3,0,0,8,9,0,16,6,3,0,0,7,8,3,23,1365,1110,849,96,3414,2140,327,5885
202011019,1032,1043,704,58,2833,1236,170,4240,25,7,23,0,57,196,12,262,0,0,0,0,0,0,0,0,25,7,23,0,57,196,12,262,3,3,4,0,13,22,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,13,22,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,7,6,0,0,0,7,4,0,6,9,4,0,0,10,12,3,30,1072,1059,732,62,2919,1470,195,4577
202011020,1324,1148,477,57,2999,1150,184,4336,132,43,88,9,271,506,52,834,30,10,23,0,66,28,9,107,162,55,109,13,341,539,58,934,6,7,7,0,17,20,3,43,5,0,0,0,9,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,3,0,22,26,4,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,3,0,0,0,3,0,0,5,3,0,3,0,4,7,0,12,1497,1207,597,66,3371,1727,248,5340
202011021,748,827,373,36,1975,788,223,2989,76,18,67,14,171,303,46,516,21,7,14,5,44,34,19,97,93,28,72,17,212,336,62,613,0,0,0,0,3,15,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,837,862,447,45,2193,1148,289,3630
202011022,1941,1775,897,94,4711,1918,241,6868,102,21,64,3,188,324,35,551,11,4,11,0,24,14,5,35,105,21,70,8,208,338,42,588,29,13,25,0,66,111,7,182,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,29,13,25,0,66,126,7,203,0,0,0,0,3,40,3,42,4,0,0,0,4,20,0,21,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,4,10,0,4,0,17,54,3,78,6,3,3,0,16,14,0,31,2100,1813,1002,98,5010,2458,290,7758
202011023,406,823,112,4,1344,151,18,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,7,0,0,0,0,3,5,0,4,405,828,112,4,1352,163,18,1528
202011024,785,1290,261,12,2338,311,35,2686,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,3,0,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,0,4,0,0,0,0,0,0,0,0,8,0,0,0,8,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,10,0,22,5,0,0,0,9,0,0,9,795,1288,265,12,2361,329,35,2729
