SA2_MAINCODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
201011001,9,7,6,0,3,0,31,5,3,3,0,0,0,16,14,12,6,0,0,0,31,11,3,9,3,7,0,29,17,20,12,0,8,0,57,17,35,17,11,10,0,86,24,50,20,5,5,0,114,25,74,20,9,7,0,136,36,80,15,11,6,0,161,39,101,29,12,10,0,193,21,65,17,9,9,0,117,44,86,20,8,6,0,161,15,38,7,0,0,0,65,7,21,9,0,3,0,40,18,62,10,0,0,0,91,17,45,8,0,5,0,71,9,14,5,0,0,0,26,7,6,4,0,0,0,17,9,19,12,7,0,0,48,339,737,225,86,80,5,1470
201011002,13,15,7,0,0,0,31,7,4,0,0,0,0,10,10,11,5,0,0,0,29,12,14,5,3,0,0,30,22,9,4,8,3,0,47,28,19,9,3,8,0,62,15,23,8,3,8,0,66,28,43,10,6,7,0,92,34,39,7,3,6,0,96,23,35,13,4,0,0,76,12,27,5,3,0,0,47,21,49,14,0,0,0,83,6,12,4,3,0,0,24,6,15,8,0,0,0,30,17,27,7,3,3,0,53,16,42,8,0,0,0,68,4,19,7,3,0,0,33,0,21,5,0,0,0,29,4,22,10,0,3,0,34,269,444,135,50,42,6,946
201011003,23,18,15,3,5,0,61,17,7,6,0,4,0,35,24,16,14,4,0,0,62,15,18,12,9,5,0,61,32,36,18,14,11,0,112,50,82,27,12,25,0,198,66,94,40,22,24,0,253,101,127,32,14,17,0,300,65,131,34,11,12,4,251,69,126,24,12,13,0,239,43,90,15,5,5,0,151,46,123,33,13,4,0,215,20,45,4,0,0,0,73,10,30,3,0,0,0,41,29,50,11,0,0,0,88,22,61,19,3,0,0,103,5,15,3,0,0,0,28,3,15,4,0,0,0,28,30,29,18,3,7,4,87,677,1101,326,127,137,11,2377
201011004,15,10,0,0,6,0,32,7,5,3,0,4,0,20,12,10,16,9,8,0,50,20,9,15,4,7,0,54,37,34,20,10,25,0,120,64,89,37,31,35,7,261,100,138,38,32,21,3,330,110,165,35,25,34,0,374,72,112,32,16,17,4,258,56,111,32,16,10,3,230,36,62,12,0,3,0,112,21,73,19,4,5,0,124,8,21,0,0,0,0,30,3,4,3,0,0,0,18,8,30,6,0,0,3,52,17,19,6,0,0,0,37,4,5,0,0,0,0,17,3,0,0,0,0,0,3,22,32,14,8,16,0,85,621,925,286,164,198,21,2214
201011005,10,11,7,0,3,0,27,3,0,3,0,3,0,14,8,12,4,0,0,0,29,4,9,0,0,0,0,18,8,7,8,0,3,0,30,12,18,7,3,7,0,45,15,26,11,11,9,0,79,15,36,9,7,7,0,72,13,53,12,0,0,0,82,29,56,9,4,0,0,102,11,48,10,0,0,0,70,17,46,21,4,3,0,90,3,16,3,3,0,0,28,6,11,3,3,0,0,18,17,30,4,0,0,0,49,13,27,7,0,0,0,43,0,7,3,3,0,0,17,3,4,4,0,0,0,9,11,15,4,0,0,0,35,201,429,132,37,47,3,846
201011006,5,10,4,3,0,0,19,4,0,0,0,3,0,10,10,5,6,0,3,3,25,8,3,8,0,0,0,17,13,12,7,8,0,0,38,13,17,12,7,7,0,58,22,30,14,9,6,0,90,45,67,16,14,12,3,154,30,52,11,7,4,0,112,45,71,16,5,7,0,147,26,47,8,0,3,0,87,29,30,11,0,3,0,77,3,9,5,0,0,0,23,3,4,0,0,0,0,5,11,5,4,0,3,0,24,7,12,3,0,0,0,18,3,0,0,0,0,0,3,0,3,0,0,0,0,5,5,8,3,3,3,0,23,289,378,137,61,54,8,929
201011007,3,6,0,0,0,0,6,3,3,0,0,0,0,9,11,4,0,0,0,0,17,5,3,0,0,0,0,8,8,6,6,0,3,0,25,12,13,13,3,5,0,44,12,27,21,4,0,0,61,11,31,7,3,0,0,62,12,34,8,9,3,0,62,16,36,17,4,5,0,79,13,32,4,3,3,0,58,11,38,10,3,0,0,64,4,12,3,0,0,0,22,5,8,0,0,0,0,16,7,27,12,0,0,0,48,6,13,5,0,0,0,29,3,3,0,0,0,0,5,0,0,0,0,0,0,3,10,17,8,0,0,0,41,155,328,118,29,20,0,655
201011008,12,4,7,3,6,0,31,5,5,0,3,0,0,16,14,4,5,3,3,4,30,13,7,7,3,3,0,36,20,24,23,11,6,3,85,38,42,20,17,19,0,133,42,73,12,26,13,0,167,49,99,27,11,11,3,199,53,87,18,4,7,0,174,31,83,17,6,0,0,136,14,52,5,3,0,0,75,24,52,8,3,3,0,92,3,16,0,4,0,0,24,5,3,3,0,0,0,13,14,15,4,0,0,0,28,9,18,7,0,0,0,27,0,0,0,0,0,0,3,0,7,0,0,0,0,6,12,18,13,4,3,3,50,343,608,180,94,82,14,1325
201021009,8,11,3,0,0,0,21,3,0,4,0,0,0,12,7,5,4,0,0,0,26,3,3,3,0,5,0,16,10,11,13,5,7,0,43,12,21,11,8,3,0,47,18,24,16,4,3,0,67,20,29,19,3,3,0,71,20,37,12,7,3,0,72,28,40,11,3,0,0,86,19,34,10,3,4,0,70,30,42,15,6,3,0,88,4,11,3,0,0,0,23,9,9,3,0,0,0,19,25,24,5,0,0,0,64,16,22,13,3,0,0,50,4,8,4,0,0,0,22,0,6,0,0,0,0,11,20,19,10,0,4,0,54,269,350,149,53,43,9,868
201021010,9,11,3,0,0,0,27,7,3,0,0,3,0,13,15,3,4,3,6,3,36,19,9,6,3,4,0,35,20,17,16,3,11,0,65,35,27,9,15,10,0,99,28,46,10,5,9,0,98,37,44,13,7,4,0,108,21,38,10,3,0,0,70,29,47,10,3,4,0,97,18,19,13,0,3,0,51,20,32,3,4,3,0,57,7,0,0,0,0,0,13,0,4,0,0,0,0,5,3,12,6,0,0,0,19,6,8,0,0,0,0,20,0,8,0,0,0,0,10,0,4,0,0,0,0,9,19,14,3,8,5,0,47,297,330,113,48,64,3,864
