SED_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
SED20106,1481,351,444,510,667,775,503,188,6066,0,0,0,0,0,0,3,0,0,5,11,1043,951,2247,678,802,881,1057,1202,736,293,9889,757,423,549,143,134,116,108,109,39,60,2421,575,463,538,90,138,109,147,135,91,37,2320,17,8,34,12,24,15,14,13,17,13,162,3,4,9,0,0,0,0,0,0,3,19,595,475,572,105,159,125,167,149,102,55,2499,0,0,4,0,0,0,0,0,0,3,6,1347,895,1124,249,292,235,271,265,147,111,4926,1053,216,201,40,48,32,19,32,38,39,1717,599,140,132,20,16,33,25,41,12,30,1051,33,8,41,10,13,17,18,15,17,21,194,3,0,0,0,0,0,0,0,0,3,5,628,156,171,26,36,53,35,58,33,56,1249,0,0,0,0,0,0,0,0,0,0,3,1686,371,376,68,81,82,57,89,71,95,2972,1060,59,49,20,21,24,20,21,10,28,1305,572,41,28,11
SED20207,2719,390,454,430,445,423,243,151,6988,0,0,0,0,0,0,0,0,0,3,5,836,1441,3123,518,590,563,537,512,294,200,8601,764,411,500,134,103,92,73,54,31,45,2207,1284,1685,1761,261,245,250,209,188,79,69,6036,61,70,166,37,36,43,35,33,23,19,516,6,13,9,0,0,3,0,0,0,5,34,1348,1768,1934,291,281,299,244,220,104,92,6584,3,3,6,0,0,0,0,0,0,0,10,2122,2189,2441,425,383,390,315,280,129,136,8805,1162,239,334,61,70,33,39,26,8,36,2003,1523,482,439,58,76,56,32,36,14,38,2753,196,81,121,29,36,32,24,24,12,32,587,6,3,3,0,0,0,0,0,0,0,16,1730,569,559,85,107,85,60,61,25,72,3353,0,0,0,0,0,0,0,0,0,0,3,2890,803,896,147,183,124,94,86,29,109,5357,1229,74,71,22,12,21,12,10,3,21,1479,1408,124,114,25
SED20302,645,65,92,98,71,82,40,36,1475,0,0,0,0,0,0,0,0,0,3,3,393,285,771,97,126,120,92,99,52,50,2082,481,120,137,33,26,15,19,8,0,24,867,221,308,530,55,68,55,27,25,12,20,1318,7,20,25,11,7,9,0,10,0,5,87,0,0,0,0,0,0,0,0,0,0,8,234,324,560,64,77,58,26,29,17,19,1415,0,0,0,0,0,0,0,0,0,0,7,724,450,700,97,98,73,45,38,13,43,2282,876,112,138,17,17,11,10,3,0,47,1221,265,150,172,26,16,23,17,5,3,14,686,25,17,23,3,0,3,3,5,5,6,85,0,0,0,0,0,0,0,0,0,0,3,291,166,194,28,15,23,18,13,11,21,773,0,0,0,0,0,0,0,0,0,0,3,1169,281,330,44,27,33,26,13,9,68,2002,1257,46,28,6,4,3,3,6,3,37,1404,317,30,26,3
SED20401,795,108,143,116,116,94,34,23,1966,0,0,0,0,0,0,0,0,0,0,4,462,416,904,138,172,134,131,113,37,45,2548,483,117,132,25,8,13,13,10,0,20,817,370,385,535,74,72,51,28,30,18,20,1590,19,29,72,11,8,16,13,10,3,7,191,0,0,4,0,0,0,0,0,0,0,4,398,417,606,89,84,65,42,41,28,21,1787,0,0,0,0,0,0,0,0,0,3,3,880,533,737,105,93,80,52,50,28,40,2606,873,93,53,10,7,6,5,4,0,26,1073,486,156,169,17,12,10,15,8,4,10,886,73,36,71,11,12,3,5,6,4,14,247,7,3,0,0,0,0,0,0,0,0,8,564,194,238,29,25,12,23,19,8,26,1141,0,0,0,0,0,0,0,0,0,0,3,1441,285,290,37,35,18,23,22,8,52,2212,1175,50,14,3,0,0,0,3,0,23,1281,504,59,29,7
SED20508,68,10,6,12,14,15,4,5,185,0,0,0,0,0,0,0,0,0,0,4,121,62,134,26,24,28,17,19,12,13,437,269,104,106,34,15,12,9,12,3,16,578,54,48,69,9,9,9,0,8,0,3,211,0,4,3,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,3,53,47,73,9,11,9,0,8,0,3,215,3,0,0,0,0,0,0,0,0,0,3,319,151,182,41,24,20,4,19,6,18,800,662,75,74,11,7,5,5,0,3,30,877,95,20,42,0,3,3,7,0,0,4,183,3,0,7,0,0,0,0,3,0,3,19,0,0,0,0,0,0,0,0,0,0,0,101,25,51,5,3,3,3,3,0,6,205,0,0,0,0,0,0,0,0,0,0,0,766,104,116,16,13,8,9,3,4,41,1087,1045,24,11,3,0,7,4,0,0,39,1137,177,7,12,0
SED20604,177,21,43,35,24,25,20,8,386,0,0,0,0,0,0,0,0,0,3,3,110,63,215,31,58,36,36,29,20,25,620,215,53,50,15,9,3,4,4,0,13,370,59,54,161,18,34,19,13,14,11,5,390,0,0,7,8,4,3,3,0,3,3,35,0,0,4,0,0,0,0,0,0,0,7,63,55,176,30,37,18,16,15,9,8,425,0,0,0,0,0,0,0,0,0,10,9,281,107,229,41,45,19,23,19,11,30,803,502,56,48,6,8,4,9,0,0,30,667,93,29,41,4,5,10,3,3,0,8,204,6,3,11,3,3,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,4,101,36,53,11,12,9,3,3,3,10,234,0,0,0,0,0,0,0,0,0,14,17,605,91,100,19,15,15,13,3,3,53,917,731,19,19,0,4,0,0,0,0,26,800,150,13,15,3
SED20704,203,31,19,35,38,41,27,11,480,0,0,0,0,0,0,0,0,0,0,0,93,69,245,40,33,45,43,47,32,19,663,170,74,56,9,5,7,4,8,0,16,343,30,66,151,31,16,15,12,7,6,6,344,0,5,22,9,0,8,3,3,3,3,62,0,0,0,0,0,0,0,0,0,0,0,32,70,175,35,21,19,16,10,7,14,402,0,0,0,0,0,0,0,0,0,0,0,204,147,229,42,26,24,23,15,10,24,746,354,46,41,3,7,4,0,3,3,13,473,59,44,42,5,7,7,4,3,3,3,182,6,8,28,0,3,9,0,9,0,3,58,0,0,0,0,0,0,0,0,0,0,4,67,54,67,5,10,11,4,8,3,3,242,0,0,0,0,0,0,0,0,0,0,0,421,98,114,9,19,16,9,11,4,17,714,451,16,23,0,0,5,3,0,3,11,514,79,17,3,0
SED20804,218,36,36,49,46,65,29,25,558,0,0,0,0,0,0,0,0,0,75,75,100,52,255,45,43,67,54,76,35,105,829,179,63,76,11,5,7,3,6,0,16,362,49,50,126,15,15,17,16,11,4,6,318,0,3,19,3,3,9,9,7,3,0,61,0,0,0,0,0,0,0,0,0,0,0,49,56,149,17,21,26,24,20,12,6,377,0,0,0,0,0,0,0,0,0,51,52,225,111,224,32,29,32,25,24,12,79,791,428,35,25,0,3,3,3,3,0,26,522,65,39,45,4,3,5,7,0,7,3,174,9,0,19,0,3,11,8,0,3,0,62,0,0,0,0,0,0,0,0,0,0,5,74,42,62,10,9,12,15,3,11,3,239,0,0,0,0,0,0,0,0,0,50,50,499,76,90,13,9,18,17,8,11,80,807,622,19,8,0,7,0,4,0,0,24,690,76,9,5,0
SED20906,744,119,111,132,143,119,73,41,2064,0,0,0,0,0,0,0,0,0,4,3,491,426,917,168,169,169,185,147,83,51,2809,598,300,222,40,41,35,35,30,5,25,1320,685,488,515,92,89,78,84,70,26,28,2162,12,26,48,11,15,28,31,27,19,10,225,3,0,0,0,0,0,0,3,0,0,14,706,520,561,106,108,106,114,92,39,38,2393,0,0,0,0,0,0,0,0,0,0,0,1302,815,780,150,146,143,153,127,49,67,3715,1079,211,125,24,16,6,14,14,8,25,1520,1086,233,182,27,26,23,20,26,11,24,1660,65,26,83,15,17,16,29,24,8,9,304,5,5,0,0,0,0,0,0,0,3,13,1160,264,261,46,47,39,46,52,21,39,1975,0,0,0,0,0,0,0,0,0,0,0,2236,475,383,75,61,47,56,58,26,65,3492,987,51,28,4,9,0,3,0,0,12,1097,1091,43,18,6
SED21001,1617,268,326,416,461,457,238,155,5156,0,0,0,0,0,0,0,0,0,0,0,677,873,1744,309,372,451,482,480,253,171,5807,557,145,132,25,27,17,15,16,16,26,969,842,598,657,111,116,119,127,116,50,34,2773,23,54,111,33,35,56,76,84,61,31,557,3,3,3,0,0,0,0,0,0,0,10,873,655,772,144,148,177,199,200,106,63,3349,0,0,0,0,0,0,0,0,0,0,0,1430,798,902,174,170,193,219,217,122,88,4317,839,150,81,9,11,9,9,5,0,13,1123,1044,269,223,30,36,35,37,28,13,23,1749,157,103,185,30,46,49,67,65,28,54,784,7,0,6,0,0,3,0,0,0,0,16,1211,370,412,64,88,80,106,92,40,78,2545,0,0,0,0,0,0,0,0,0,3,0,2046,521,492,74,99,94,111,99,39,98,3664,843,37,32,3,7,9,0,6,0,26,954,1002,99,35,3
