SED_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SED20106,157,33,70,58,316,59,14,34,14,113,34,19,66,15,134,25,4,70,4,116,162,20,84,20,293,101,33,109,23,268,331,54,135,37,550,259,83,146,29,514,431,169,182,73,857,497,176,130,51,857,399,159,100,33,686,526,181,110,29,849,1301,481,162,77,2015,1125,413,49,42,1633,843,358,25,31,1253,773,465,94,17,1350,2108,1806,63,36,4020,833,634,194,18,1680,88,47,33,10,183,10047,5140,1867,621,17669
SED20207,218,73,117,9,422,94,33,44,3,172,60,65,113,4,239,35,38,116,3,191,268,133,160,15,577,139,187,282,16,623,679,277,317,26,1294,488,536,354,32,1406,547,767,392,52,1762,538,955,288,46,1826,416,1036,230,30,1719,440,1023,184,28,1680,991,2247,256,52,3547,666,1560,110,28,2360,427,1141,39,15,1624,278,852,35,3,1164,395,1418,31,9,1863,455,1286,302,14,2058,122,125,77,4,324,7247,13772,3445,389,24855
SED20302,135,38,45,4,219,70,6,21,0,99,59,28,96,0,189,46,15,145,3,205,385,68,235,14,697,222,103,403,17,738,1254,182,392,21,1843,673,394,369,32,1464,798,704,349,31,1887,690,863,244,20,1815,411,807,159,13,1388,464,794,115,14,1377,763,1309,124,21,2226,389,828,35,9,1272,208,429,25,8,669,94,254,13,4,364,166,373,16,0,554,459,924,303,11,1700,226,91,80,3,399,7514,8212,3160,231,19119
SED20401,109,32,45,0,192,41,13,27,5,77,39,8,67,0,124,28,10,71,3,110,209,52,137,5,406,150,72,266,11,500,658,159,279,25,1122,433,258,336,29,1055,572,489,337,33,1428,522,619,250,30,1427,341,665,198,20,1214,397,663,176,25,1257,810,1396,189,31,2431,513,987,93,19,1604,277,600,45,9,935,135,356,20,0,508,166,570,23,4,760,326,742,286,10,1365,117,72,67,10,255,5833,7765,2901,266,16762
SED20508,101,22,26,4,147,74,11,24,0,114,44,15,53,0,118,38,3,72,3,117,340,26,141,3,513,184,51,252,3,495,1028,106,243,10,1388,685,197,263,13,1152,841,369,263,19,1497,685,522,181,20,1402,352,604,123,9,1088,406,584,102,4,1096,760,1097,126,14,1995,424,805,46,3,1277,237,471,14,3,718,110,285,20,0,417,276,532,14,0,821,426,821,213,5,1470,181,63,51,8,296,7185,6583,2215,141,16125
SED20604,59,13,34,0,107,55,9,26,0,94,36,9,76,6,131,21,14,141,0,174,293,44,204,8,542,164,71,313,8,560,950,127,318,21,1421,624,257,323,15,1221,764,465,308,32,1564,715,652,250,21,1638,466,597,143,9,1209,493,608,98,11,1198,922,1092,128,16,2161,478,833,40,8,1358,233,448,9,3,697,85,252,12,0,354,191,349,14,0,561,495,837,265,13,1610,173,72,53,4,299,7221,6751,2746,183,16901
SED20704,57,18,40,3,119,60,5,23,8,101,32,14,80,3,126,13,10,116,0,136,257,63,181,8,516,162,63,358,17,593,836,141,402,33,1404,550,266,386,27,1220,742,464,324,34,1566,654,629,247,25,1559,391,606,168,10,1170,413,592,99,17,1122,773,1099,125,17,2014,422,851,38,9,1316,252,489,10,0,755,116,302,14,0,427,206,480,18,3,707,416,794,282,10,1499,131,58,48,4,240,6477,6938,2939,236,16595
SED20804,54,16,25,4,89,51,5,24,7,86,46,10,86,7,150,23,3,131,4,156,288,52,201,17,552,155,65,355,16,594,1047,158,366,34,1595,610,310,342,34,1299,714,492,335,42,1583,700,600,204,25,1530,378,574,143,20,1120,364,541,101,14,1022,655,954,121,13,1744,341,580,38,4,967,172,329,3,3,509,67,185,20,0,270,176,268,17,3,468,363,665,266,18,1304,159,57,69,6,283,6349,5863,2845,270,15324
SED20906,104,48,90,6,251,68,21,25,5,117,34,21,52,5,107,17,15,68,3,111,191,38,108,4,346,100,69,178,5,353,548,124,190,14,880,349,171,219,19,761,430,330,259,26,1039,394,358,214,33,1000,215,414,169,18,823,255,495,148,26,922,555,1082,222,27,1888,385,973,73,15,1448,257,844,39,14,1151,188,703,69,11,974,380,1968,48,3,2395,299,996,251,10,1558,104,77,50,9,235,4890,8744,2456,258,16352
SED21001,262,71,178,31,539,83,29,45,12,168,57,36,80,14,194,44,17,58,3,130,223,75,94,12,402,157,110,149,16,438,515,150,167,31,872,398,228,217,38,886,559,398,261,43,1262,501,385,198,35,1120,326,405,154,34,918,311,447,146,26,932,682,1036,219,48,1989,481,874,100,15,1472,324,744,33,13,1112,218,645,69,12,942,499,2176,52,6,2739,391,1005,223,13,1640,69,71,34,0,173,6110,8911,2489,410,17924
