SED_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SED20106,395,395,791,1001,984,1984,194,178,367,276,241,512,1470,1399,2867,492,468,956,111,150,258,395,404,803,997,1020,2020,147,146,294,167,201,365,66,73,134,192,257,450,7,3,10,574,676,1255,1406,1736,3143,675,765,1442,107,137,244,571,776,1348,13,10,20,2769,3429,6198,162,218,384,257,419,681,6,3,15,433,646,1074,4377,4256,8631,11010,11820,22828
SED20207,1048,956,1998,3083,2806,5885,1204,1141,2348,363,356,716,4653,4303,8954,1456,1405,2864,868,1014,1884,344,331,676,2669,2755,5426,169,134,304,117,194,312,160,71,238,203,329,528,8,5,9,654,733,1392,1023,1101,2125,417,538,958,94,121,211,341,591,930,9,12,22,1891,2355,4240,174,217,387,249,489,739,4,7,18,432,714,1141,2555,2566,5122,13900,14374,28275
SED20302,708,637,1343,2274,2191,4469,535,536,1070,475,516,988,3289,3241,6532,1383,1316,2698,297,342,640,475,527,1001,2150,2189,4341,113,147,264,55,128,184,201,114,318,167,286,450,8,4,15,548,683,1231,252,374,628,98,197,294,33,66,102,153,371,531,3,0,3,539,1014,1552,90,102,193,117,279,394,3,6,9,206,384,597,2620,2827,5444,10066,10983,21043
SED20401,548,513,1060,1882,1799,3674,376,342,717,154,157,315,2410,2300,4706,1243,1220,2463,357,333,689,199,215,411,1808,1765,3570,116,124,235,74,115,184,240,106,340,173,239,421,6,0,5,607,587,1190,554,630,1182,139,220,355,60,102,160,210,371,582,3,5,10,962,1326,2290,63,90,151,129,297,427,3,4,8,192,395,583,1700,1907,3606,8229,8789,17014
SED20508,519,432,949,1765,1744,3509,544,512,1057,224,217,433,2536,2470,5007,872,810,1680,597,625,1223,402,325,729,1873,1761,3629,75,93,167,38,85,124,169,84,256,162,205,361,4,0,6,450,471,918,317,458,780,87,188,272,49,60,113,149,347,498,3,3,3,608,1059,1666,40,60,95,95,170,266,0,3,3,132,228,365,1806,1898,3701,7915,8314,16233
SED20604,598,567,1165,1816,1793,3609,668,618,1281,335,360,692,2816,2768,5581,1335,1269,2600,566,573,1144,252,300,550,2156,2140,4295,190,137,331,78,142,220,267,171,443,197,360,555,9,3,12,740,818,1552,131,290,423,78,179,256,28,67,96,178,436,609,0,3,4,417,967,1388,127,89,221,95,202,295,6,3,17,233,295,527,2508,2304,4804,9462,9848,19311
SED20704,582,505,1091,1829,1623,3452,877,800,1679,257,245,500,2960,2671,5626,1329,1294,2629,583,550,1126,303,311,616,2211,2158,4370,134,152,285,58,123,179,174,110,287,127,245,368,4,0,6,495,634,1121,610,1032,1642,135,245,380,59,87,139,177,336,516,4,4,10,986,1701,2686,52,65,117,97,182,276,8,5,13,157,252,405,2379,2520,4900,9768,10434,20205
SED20804,459,404,864,1711,1651,3363,392,360,755,195,195,394,2301,2204,4507,1123,1070,2195,388,343,730,276,272,547,1789,1686,3473,100,118,216,69,101,168,150,86,235,138,200,339,9,6,8,463,516,973,222,417,639,120,204,323,28,60,92,154,347,499,0,9,8,523,1037,1560,43,58,103,96,165,261,0,4,5,136,230,365,3103,2561,5662,8767,8640,17405
SED20906,675,558,1237,2030,1798,3825,625,599,1220,265,295,552,2918,2683,5599,1416,1251,2666,500,543,1035,421,426,846,2332,2217,4546,155,119,275,80,144,229,114,45,154,137,156,291,0,0,3,492,460,954,958,1025,1981,227,282,506,104,95,197,233,383,616,13,9,16,1534,1782,3317,56,73,125,104,221,330,3,3,9,165,296,456,1479,1559,3041,9596,9561,19153
SED21001,566,586,1155,2067,1801,3871,417,468,885,240,288,531,2727,2564,5288,1315,1179,2496,433,487,923,729,770,1495,2479,2440,4920,216,127,343,173,217,390,137,54,192,164,235,401,0,5,9,693,638,1333,1865,1803,3665,556,615,1177,111,130,244,335,483,810,11,11,14,2875,3040,5920,162,133,293,232,356,593,4,4,8,398,496,899,1578,1750,3329,11319,11515,22832
SED21106,595,478,1068,1459,1469,2927,454,515,963,748,707,1450,2658,2687,5342,512,406,914,326,425,752,1441,1236,2677,2280,2064,4348,58,58,112,41,90,132,61,30,93,88,144,232,0,9,4,246,332,572,982,1018,1998,196,300,495,97,114,214,312,562,875,10,19,26,1591,2020,3615,35,44,85,113,249,361,0,3,3,143,298,443,1964,2223,4189,9478,10093,19571
SED21203,546,477,1014,1892,1722,3612,632,646,1276,647,717,1367,3171,3080,6257,1438,1441,2881,485,455,941,573,682,1256,2500,2581,5081,339,234,567,207,272,476,169,113,280,176,237,416,20,15,30,905,868,1777,1028,1046,2074,489,342,824,87,105,194,178,208,388,16,9,26,1800,1706,3506,343,367,711,200,382,579,20,19,40,562,763,1323,3494,3301,6797,12971,12777,25751
