SED_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
SED20106,27,67,230,6,18,91,441,3,75,7,6,0,0,103,26,675,40,35,3,6,782,63,268,81,91,5,10,515,79,134,62,52,3,6,334,361,67,138,19,4,0,585,1181,55,245,10,9,6,1511,3300,37,389,9,26,7,3770,3415,12,427,0,10,9,3876,2199,3,285,3,16,3,2504,1158,0,137,3,11,3,1306,619,0,73,0,3,3,701,342,0,46,0,6,3,395,648,0,94,0,3,4,757,236,78,113,16,18,23,484,13660,1476,2378,247,132,179,18074
SED20207,14,15,98,3,3,57,189,5,20,4,0,0,0,35,24,83,23,7,3,0,146,41,60,61,20,4,3,185,77,31,44,0,9,0,163,334,24,149,14,86,4,615,2421,25,340,3,65,11,2860,3224,18,247,3,17,3,3512,613,4,62,0,4,0,690,167,0,9,0,3,0,181,48,0,3,0,0,0,53,26,0,4,3,0,0,33,6,0,0,0,0,0,6,41,0,3,0,0,0,50,155,20,67,0,10,11,269,7193,315,1125,57,199,91,8987
SED20302,9,16,130,0,25,123,311,4,16,9,4,8,0,42,37,188,88,25,29,3,361,134,78,170,13,28,3,425,275,28,201,14,27,8,546,982,30,271,9,26,5,1329,1749,12,280,0,24,12,2079,1078,4,128,3,6,9,1237,80,3,28,0,0,0,115,17,0,3,0,0,0,24,13,0,0,0,0,0,15,13,0,0,0,0,0,13,0,0,0,0,0,0,0,12,0,7,0,0,0,17,90,30,71,8,29,13,232,4488,406,1392,77,205,171,6740
SED20401,6,32,74,9,10,46,168,0,26,11,0,0,0,40,15,261,51,15,3,0,349,40,74,67,24,4,0,207,43,47,63,12,0,0,166,227,28,98,19,0,5,376,1336,48,303,16,14,4,1715,1660,24,230,5,10,0,1928,232,4,30,4,6,0,274,29,0,3,0,0,0,33,16,0,0,0,0,0,18,8,0,0,0,0,0,9,0,0,0,0,0,0,0,24,0,5,0,0,0,32,73,29,48,15,6,9,188,3695,582,982,115,60,67,5505
SED20508,7,0,81,3,17,96,208,0,7,5,8,3,0,29,14,46,50,6,4,0,121,51,11,88,5,16,0,176,84,6,89,20,9,3,211,434,3,167,11,10,6,631,1051,7,242,0,17,3,1312,1010,3,175,0,10,4,1201,129,0,44,0,0,0,174,25,0,10,0,0,0,36,10,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,8,53,5,40,4,11,3,119,2869,96,1003,59,94,122,4247
SED20604,3,53,134,9,48,82,328,6,35,18,3,5,0,71,109,436,149,18,22,7,741,428,174,267,32,31,5,942,416,144,220,5,26,3,820,884,54,277,4,193,9,1418,1156,16,186,3,78,10,1448,652,6,62,0,5,3,732,47,0,11,0,7,0,72,9,3,4,0,0,0,18,3,0,0,0,0,0,10,3,0,5,0,0,0,6,0,0,0,0,0,0,5,5,0,6,0,0,0,13,46,56,56,14,17,0,198,3775,985,1408,83,437,131,6825
SED20704,0,35,90,6,18,78,225,0,37,10,7,3,3,60,70,253,104,21,11,10,465,292,159,188,28,4,0,673,246,68,174,37,13,6,542,1105,54,273,42,11,13,1499,1627,20,268,8,14,8,1938,555,3,91,0,4,0,656,50,3,20,0,0,0,73,7,3,4,0,0,0,17,8,0,3,0,0,0,11,4,0,0,0,0,0,4,0,0,3,0,0,0,5,3,0,6,0,0,0,6,43,29,31,5,14,12,131,4013,658,1260,159,95,124,6315
SED20804,4,57,92,3,17,72,251,3,30,9,15,3,0,61,87,385,126,22,20,14,653,287,188,191,40,38,12,749,331,93,210,48,22,4,704,1135,33,324,23,32,8,1552,1217,10,303,0,34,7,1572,357,3,88,3,10,0,458,38,0,16,0,3,0,57,13,3,5,0,5,0,27,5,0,0,0,0,0,8,3,0,3,0,0,0,5,0,0,0,0,0,0,0,4,0,3,0,0,0,8,43,56,59,17,16,13,207,3521,863,1432,171,203,126,6311
SED20906,7,19,107,7,5,68,211,0,11,4,11,0,4,26,12,196,23,10,3,3,249,30,69,55,35,9,0,190,12,30,30,13,0,0,90,92,34,55,23,3,0,208,483,33,128,9,12,0,661,1221,6,233,0,9,4,1472,937,6,157,0,8,3,1115,455,0,75,0,0,0,531,285,0,31,0,0,0,314,147,0,30,0,0,0,176,78,0,11,0,3,0,89,75,0,18,0,0,0,96,62,31,57,4,11,6,174,3892,446,1010,106,61,90,5607
SED21001,14,10,164,9,10,69,279,3,15,10,11,0,3,44,24,86,55,22,8,0,199,56,33,77,32,9,3,212,155,27,63,23,16,0,294,226,11,103,12,8,0,374,1031,19,245,12,24,3,1334,2335,7,321,6,28,8,2702,998,8,172,4,14,4,1205,360,0,56,0,10,0,430,183,0,26,0,3,0,210,82,0,18,0,0,0,104,35,0,3,0,0,0,43,89,0,9,0,3,3,104,113,11,102,17,9,11,261,5707,232,1435,153,149,108,7781
SED21106,13,15,102,9,10,62,208,4,18,7,0,0,0,28,11,180,26,12,3,4,231,36,43,35,48,7,3,157,49,27,42,7,5,0,120,237,12,74,4,5,0,339,873,27,138,3,7,0,1049,1559,10,207,3,4,4,1787,1107,3,189,0,3,3,1311,621,3,84,0,3,5,712,348,0,46,0,0,3,401,263,0,51,0,0,0,315,174,0,30,0,0,3,200,519,0,100,0,4,0,628,111,22,45,6,9,3,201,5914,355,1181,94,58,93,7690
SED21203,23,67,110,9,8,59,272,0,62,11,5,0,0,77,15,437,52,7,17,6,535,48,209,82,17,28,0,377,52,124,82,17,25,4,296,255,143,150,17,97,3,666,1880,162,642,26,235,17,2966,963,63,187,3,66,7,1290,59,8,24,0,6,3,103,9,0,7,0,3,0,26,13,3,5,0,3,0,24,3,0,0,0,0,0,7,5,0,3,0,0,0,9,29,0,17,0,3,0,47,79,87,97,3,17,19,301,3431,1380,1466,104,502,125,7004
SED21303,16,54,172,6,0,75,332,7,39,10,9,0,0,69,42,405,43,23,8,3,527,127,103,103,21,8,4,371,183,56,76,7,3,3,331,838,43,164,22,16,3,1079,1948,47,363,27,10,5,2393,3132,31,423,10,16,7,3618,2044,8,301,4,12,5,2370,969,3,160,0,10,3,1151,424,3,88,0,0,0,519,149,0,43,0,4,0,196,88,0,25,0,0,0,110,109,0,28,0,0,0,135,138,46,85,28,9,17,322,10216,836,2094,161,104,122,13534
SED21401,3,3,126,3,8,62,216,0,0,0,0,0,0,4,10,20,21,3,0,0,62,19,19,37,6,10,0,86,15,6,11,0,3,0,35,43,12,44,11,6,0,105,290,20,115,4,10,3,440,1287,3,207,7,19,8,1529,896,0,128,3,4,3,1032,361,0,45,0,0,3,415,131,0,14,0,0,0,145,54,0,10,0,0,0,65,18,0,5,0,0,0,17,38,0,11,0,0,0,50,75,12,86,13,6,7,188,3232,84,864,51,64,86,4392
SED21503,10,17,74,8,5,42,151,0,15,3,0,0,0,24,16,138,56,8,11,0,231,43,55,77,23,11,3,210,49,31,49,11,4,0,142,140,30,80,12,11,0,289,1479,29,252,30,37,4,1827,1484,24,210,3,26,3,1752,400,6,76,4,5,0,500,64,0,32,0,12,0,107,24,0,11,3,4,0,42,21,0,5,4,3,0,33,4,0,0,0,0,0,8,27,0,10,0,0,0,39,61,30,54,11,11,14,170,3820,380,1002,117,145,72,5527
SED21608,7,27,96,6,25,81,249,5,28,13,3,3,0,57,91,266,112,22,8,3,495,239,112,163,40,18,5,577,300,53,158,25,9,0,548,1142,52,244,15,18,5,1475,928,11,138,6,17,4,1102,317,3,49,4,10,7,386,37,0,15,0,0,3,58,12,0,4,0,0,3,19,9,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,3,0,0,0,12,40,43,49,3,10,7,158,3131,586,1059,127,125,116,5148
