SED_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SED20106,15,40,28,186,38,224,14,88,8,646,205,709,313,784,452,570,65,207,67,3367,2420,6373,1391,1313,1799,1063,151,504,259,15264,2585,3956,582,523,1096,583,102,179,148,9755,1990,2403,384,353,894,469,104,173,120,6896,1141,1693,216,195,619,241,85,158,73,4425,358,633,55,76,190,94,27,55,31,1519,38,66,9,7,18,12,3,4,10,160,0,13,0,0,0,3,0,0,3,25,8743,15890,2981,3435,5114,3256,542,1368,723,42057
SED20207,20,40,145,226,98,654,32,351,31,1602,135,378,500,509,415,660,246,396,70,3325,1258,3075,1541,1095,1706,921,743,728,211,11277,2160,3701,1405,1034,1922,832,724,674,231,12686,1436,1764,1072,891,1555,606,818,734,143,9024,584,768,583,399,739,289,540,494,70,4472,91,135,77,66,113,49,81,101,23,723,4,10,3,5,7,3,5,6,4,55,0,7,0,0,3,0,3,0,0,16,5691,9882,5331,4226,6560,4018,3191,3486,788,43172
SED20302,28,17,254,227,63,649,39,352,42,1659,105,165,587,371,206,409,106,380,39,2363,638,1227,1432,790,836,629,432,722,98,6812,907,1231,1196,769,885,569,580,673,91,6895,976,909,959,771,937,577,629,786,100,6649,728,684,638,489,638,450,469,616,80,4792,310,172,139,93,162,107,119,142,31,1276,106,13,11,4,9,4,14,29,11,197,11,6,8,0,0,6,3,5,8,50,3801,4420,5214,3524,3740,3397,2388,3706,507,30684
SED20401,28,17,169,219,43,583,24,269,20,1370,138,279,567,467,314,488,124,274,42,2696,712,2024,1403,724,997,572,292,453,98,7271,974,1779,1119,644,1012,476,369,422,70,6867,818,1139,1083,688,1130,450,478,615,94,6496,553,793,665,495,875,318,376,509,69,4652,129,191,152,92,194,99,92,135,13,1102,15,13,22,3,23,8,0,22,14,113,0,0,0,0,0,0,0,0,3,9,3361,6231,5177,3335,4587,2993,1752,2711,424,30579
SED20508,19,11,188,309,48,488,25,347,30,1462,85,134,461,377,134,349,46,211,28,1821,363,1040,972,513,453,343,158,324,61,4231,766,1405,875,645,695,357,223,402,82,5454,857,1295,864,770,901,435,326,460,95,5994,704,1127,642,571,746,371,342,406,71,4977,200,282,126,98,177,86,81,112,41,1215,36,39,11,4,17,9,3,12,11,142,7,3,0,0,0,0,0,0,4,20,3042,5329,4135,3282,3176,2439,1219,2278,411,25318
SED20604,38,35,320,320,77,638,34,354,30,1858,119,173,734,489,178,329,133,361,49,2570,507,1078,1150,732,543,445,354,586,68,5461,833,1253,870,644,761,385,417,585,101,5846,1084,1193,867,748,1010,474,586,747,112,6817,959,1044,589,566,740,354,460,648,66,5424,478,200,127,98,152,94,130,144,32,1450,111,16,12,5,11,6,5,21,18,199,21,6,0,3,4,7,0,0,5,43,4148,4986,4669,3602,3478,2723,2133,3445,494,29677
SED20704,34,25,199,305,80,741,36,468,26,1918,143,350,566,628,237,568,115,451,45,3092,542,1491,1067,633,652,439,285,569,69,5746,799,1623,770,607,808,412,332,442,82,5878,950,1368,763,728,988,444,438,580,79,6344,697,1045,533,544,744,353,374,473,57,4825,218,220,101,98,141,92,73,103,27,1080,44,19,12,4,13,11,3,17,8,131,8,0,4,6,6,0,0,0,0,25,3437,6142,4011,3553,3664,3067,1653,3096,408,29027
SED20804,16,19,154,200,47,544,31,343,22,1390,108,227,519,399,169,399,93,444,38,2403,485,1189,1021,551,524,359,248,662,55,5094,667,1195,708,526,608,340,283,580,77,4991,698,1196,738,697,768,418,370,677,87,5648,613,1042,541,546,644,317,359,614,85,4757,194,222,92,80,135,86,95,90,31,1021,45,22,17,5,9,7,7,19,8,133,6,8,0,0,7,0,0,4,8,33,2835,5125,3777,3016,2908,2473,1487,3445,410,25474
SED20906,12,47,69,320,48,523,18,223,15,1277,104,347,309,439,271,519,59,202,29,2281,718,1812,648,459,702,453,113,209,83,5192,1620,2703,615,457,961,406,130,171,117,7175,1577,2388,721,560,1249,512,205,283,100,7599,666,1290,517,385,780,282,209,247,53,4438,138,247,105,100,190,101,44,89,19,1028,11,14,11,7,19,8,5,14,3,98,9,0,0,0,7,0,0,3,6,20,4859,8850,2999,2717,4224,2807,784,1448,426,29110
SED21001,19,69,71,347,80,532,13,222,23,1380,129,626,328,562,381,659,85,261,48,3081,748,2733,815,693,884,610,155,365,120,7130,1340,2829,575,401,888,387,120,252,111,6897,1623,2576,589,501,1078,457,185,271,138,7416,818,1709,415,375,768,281,140,238,62,4817,198,495,98,69,208,87,30,80,23,1282,19,49,13,12,23,17,3,18,14,158,6,14,3,0,0,0,0,0,6,27,4898,11091,2902,2959,4321,3030,723,1719,540,32180
