SED_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SED20106,11546,12064,23608,2178,2209,4388,915,946,1861,8869,8673,17545,691,743,1434,258,230,486,409,402,811,160,164,324,65,56,113,140,151,294,0,0,0,11507,11364,22875,6029,6595,12623,270,231,499,19984,20397,40383,4333,4252,8586,35861,36712,72576
SED20207,20505,20808,41319,2132,2212,4344,704,727,1429,9702,9729,19432,533,535,1066,236,229,468,208,234,442,109,113,217,47,67,115,114,125,238,0,0,0,11645,11768,23416,4470,4857,9324,202,172,373,18446,19010,37462,2338,2304,4647,41292,42130,83424
SED20302,15750,16310,32065,3367,3777,7138,247,265,511,9176,10073,19243,259,280,537,83,88,172,109,106,222,44,48,98,51,44,93,22,24,40,3,0,4,9998,10933,20923,869,1066,1942,172,145,310,14404,15916,30315,2443,2601,5038,32591,34826,67423
SED20401,17213,17844,35058,1017,1114,2132,136,148,287,6859,7206,14060,146,166,312,57,63,120,47,48,97,28,33,59,17,17,32,18,22,40,0,0,3,7304,7698,15001,956,1199,2151,114,137,254,9391,10152,19538,1592,1798,3386,28190,29788,57983
SED20508,14559,15426,29985,3171,3543,6711,194,233,425,6112,7008,13123,207,225,432,58,56,119,108,107,217,45,38,80,40,42,86,33,41,72,0,0,0,6799,7751,14554,373,385,764,132,112,244,10478,11791,22272,1772,1837,3607,26802,29061,55861
SED20604,16078,16650,32729,2984,3175,6167,1885,1983,3866,4472,4750,9218,713,615,1320,120,123,247,166,165,333,74,83,154,136,132,266,102,114,218,0,0,0,7663,7966,15630,382,475,858,172,138,313,11205,11759,22966,2371,2164,4537,29659,30572,60225
SED20704,15412,15972,31383,1844,2070,3917,325,376,699,7879,8953,16829,268,278,541,111,132,244,123,125,245,62,71,128,81,82,161,33,34,63,0,3,3,8871,10047,18914,443,511,961,146,121,263,11303,12751,24056,2229,2364,4595,28948,31090,60033
SED20804,15067,15778,30842,2119,2323,4446,266,299,570,6004,6732,12735,182,207,394,119,124,239,103,111,214,38,59,100,66,72,139,28,34,69,0,0,4,6816,7640,14453,487,577,1060,174,127,299,9596,10667,20264,2978,2476,5457,27638,28923,56564
SED20906,15994,17142,33140,1147,1188,2342,221,253,483,6492,6872,13364,184,190,377,70,64,135,78,70,151,35,43,75,13,20,34,24,39,70,0,0,0,7125,7550,14676,1849,2145,3990,127,109,236,10249,10994,21243,1362,1443,2805,27602,29579,57181
SED21001,16726,18555,35285,1380,1474,2857,295,308,604,7026,7228,14256,199,208,409,123,122,247,95,110,202,40,49,87,24,25,47,52,49,106,0,0,0,7847,8097,15945,3923,4336,8259,141,147,288,13304,14050,27348,1491,1669,3161,31513,34273,65792
SED21106,14234,16062,30298,1898,2107,4007,399,492,892,6616,7262,13878,273,339,616,75,84,160,134,156,293,54,49,103,21,25,41,53,57,107,0,0,0,7626,8468,16091,2161,2522,4688,135,158,297,11824,13256,25080,1872,2140,4011,27927,31465,59387
