SED_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
SED20106,3,0,0,0,0,4,0,0,0,26,0,33,0,0,0,0,0,0,0,3,0,4,0,14,6,0,0,0,0,0,0,3,0,3,0,19,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,0,9,0,20,0,5,0,0,0,11,0,8,0,12,0,33,3,5,4,3,0,9,0,7,0,20,0,54,8,0,0,8,0,23,0,18,0,26,0,83,13,11,0,29,0,49,3,23,3,36,0,169,12,16,0,37,9,56,3,12,3,36,0,176,10,10,6,32,0,57,0,13,0,24,0,159,18,8,0,50,5,63,3,13,3,24,0,181,79,26,7,122,18,167,3,17,8,37,0,481,101,20,0,168,21,58,8,13,3,16,3,413,113,11,0,139,28,40,3,11,0,13,0,358,90,5,0,81,36,217,0,10,8,14,0,465,623,50,19,631,124,270,13,42
SED20207,0,0,0,3,0,4,0,4,3,54,0,73,3,3,0,3,0,0,0,4,0,19,0,33,3,3,0,3,0,0,0,10,3,36,0,65,0,3,0,0,0,6,0,11,3,19,0,38,0,7,3,10,0,12,0,26,3,74,0,133,6,16,4,10,0,34,0,58,3,60,0,187,8,22,3,32,7,82,3,55,7,69,0,277,20,36,3,54,5,227,6,84,17,96,3,536,27,53,3,124,9,343,6,82,7,105,4,767,71,72,8,236,15,358,10,65,15,107,6,955,96,44,10,310,19,415,14,58,10,64,3,1036,142,39,11,292,28,368,7,39,13,76,3,1023,511,60,17,690,85,689,17,56,17,94,6,2247,513,44,11,612,89,194,14,28,12,38,0,1560,517,20,8,393,60,96,8,6,3,19,0,1141,319,9,3,162,37,270,4,10,7,19,0,852,677,32,5,435,75,160,9,9
SED20302,4,0,0,6,0,4,0,0,5,22,0,38,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,3,0,0,0,9,3,15,0,28,0,0,0,0,0,3,0,6,0,11,0,15,3,9,0,8,0,7,0,11,0,29,0,68,4,9,0,5,0,24,0,24,3,25,0,103,4,16,0,14,3,44,4,37,8,47,0,182,20,25,0,61,9,124,7,62,12,72,7,394,33,43,7,167,13,240,7,81,25,82,5,704,59,57,7,296,24,252,11,66,11,67,5,863,78,43,6,323,31,236,15,33,11,32,3,807,133,33,12,350,28,181,9,23,8,22,3,794,332,48,14,530,76,233,15,20,12,34,0,1309,274,24,15,365,41,84,7,5,3,15,3,828,179,13,3,176,28,29,3,3,0,3,0,429,101,8,4,58,16,56,3,0,6,3,0,254,140,9,0,141,16,41,9,7
SED20401,0,0,0,3,0,4,0,7,0,21,0,32,0,0,0,0,0,4,0,0,3,7,0,13,0,0,0,0,0,0,0,3,0,5,0,8,0,0,0,0,0,0,0,3,0,5,0,10,0,6,0,0,0,10,0,13,0,17,0,52,3,9,0,5,0,12,0,23,3,14,0,72,7,12,0,6,0,42,3,39,0,44,0,159,3,18,0,32,3,96,0,47,7,48,0,258,16,35,0,98,10,186,5,56,4,76,0,489,37,38,0,182,21,212,10,35,10,68,0,619,49,27,4,250,25,196,9,45,8,47,0,665,79,25,3,265,22,171,6,29,8,39,3,663,260,47,14,597,68,280,16,45,6,54,7,1396,270,21,5,467,69,92,18,15,6,21,0,987,185,27,4,265,43,42,4,3,4,19,0,600,145,8,4,91,22,77,4,4,0,3,0,356,208,10,3,221,35,75,4,4
SED20508,0,0,0,3,0,4,0,0,0,10,0,22,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,3,0,0,3,3,0,3,0,15,0,0,0,0,0,0,0,3,0,0,0,3,0,4,0,0,0,3,0,8,0,15,0,26,0,3,0,11,0,6,3,21,0,8,0,51,3,11,5,10,0,25,3,21,0,28,0,106,6,13,0,38,3,55,3,30,5,39,0,197,14,42,3,87,11,109,7,37,5,52,5,369,28,50,3,180,14,138,9,32,9,56,0,522,41,36,3,245,24,170,11,35,13,31,0,604,57,42,4,289,17,128,3,18,0,24,0,584,194,46,11,511,49,189,9,31,3,47,0,1097,191,43,12,398,41,63,14,15,0,27,3,805,147,14,10,196,32,27,10,14,3,9,0,471,99,12,0,93,10,64,3,4,4,0,0,285,171,13,3,229,28,60,12,9
SED20604,0,0,3,0,0,0,0,3,0,4,0,13,3,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,3,0,0,0,9,0,9,0,0,0,0,0,0,0,6,0,4,0,14,9,0,0,3,0,0,0,3,0,27,0,44,3,3,0,10,0,6,0,24,0,22,0,71,8,9,0,14,0,24,7,19,6,35,0,127,12,19,5,33,4,76,6,32,8,59,0,257,35,30,4,107,7,180,11,34,9,47,4,465,64,43,10,221,19,185,10,29,15,49,3,652,59,41,5,250,28,141,4,23,9,24,0,597,104,26,6,287,24,111,8,8,7,16,4,608,326,41,4,439,57,142,26,15,15,22,7,1092,285,32,4,373,47,50,13,4,3,16,3,833,164,22,10,199,28,21,4,3,0,4,0,448,108,3,0,68,16,35,3,4,0,7,0,252,155,4,3,124,11,27,6,6
SED20704,0,0,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,3,0,4,0,14,0,0,0,0,0,0,0,3,0,4,0,10,0,0,0,6,0,3,0,8,0,41,0,63,0,7,0,4,0,12,3,19,0,18,0,63,6,9,0,10,0,29,0,37,3,48,0,141,8,20,0,30,3,79,5,44,3,65,3,266,27,39,0,116,5,145,10,51,14,58,0,464,39,47,3,246,14,177,16,41,3,52,3,629,67,32,0,252,15,148,16,29,11,34,0,606,80,32,9,262,28,111,5,26,3,29,4,592,250,47,16,487,65,150,17,28,4,33,3,1099,230,28,9,426,58,60,9,8,3,19,0,851,163,12,3,236,28,35,12,0,0,5,0,489,136,4,5,86,12,41,6,0,5,4,0,302,184,24,6,180,22,49,3,0
SED20804,7,0,0,0,0,0,0,0,0,5,0,16,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,8,0,10,0,0,0,0,0,0,0,4,0,0,0,3,3,4,0,3,0,0,0,3,0,34,0,52,3,3,0,7,0,9,0,20,0,22,0,65,5,7,0,15,0,34,0,31,3,60,4,158,10,30,0,51,0,97,0,54,9,60,3,310,10,32,3,97,10,173,11,58,12,79,7,492,46,62,3,202,11,155,9,50,3,50,0,600,56,41,8,242,6,139,8,31,9,35,3,574,70,33,3,235,25,129,3,18,5,22,0,541,192,55,6,411,54,163,18,19,8,22,0,954,190,25,3,246,32,52,8,11,0,3,0,580,111,3,4,153,20,19,3,6,3,9,0,329,66,3,0,46,10,42,7,4,0,0,0,185,109,16,0,88,7,30,6,6
SED20906,3,0,0,6,0,6,0,4,0,30,0,48,0,0,0,0,0,0,0,5,0,14,0,21,0,3,0,0,0,0,0,5,0,8,0,21,0,0,0,0,0,0,0,4,0,13,0,15,0,4,0,0,0,0,0,13,0,10,0,38,3,3,0,3,0,19,3,18,0,24,0,69,9,14,0,12,0,26,0,29,4,38,0,124,13,16,3,22,0,54,0,36,0,32,0,171,18,33,3,71,4,104,3,40,7,53,0,330,18,20,8,110,5,97,3,23,5,56,3,358,37,17,5,139,6,120,7,29,10,41,3,414,70,24,0,166,13,135,4,31,7,45,0,495,195,46,8,398,31,277,16,37,4,61,4,1082,248,34,10,473,38,90,13,29,3,32,0,973,260,23,8,395,53,62,12,14,3,11,0,844,224,15,3,177,20,234,3,12,5,16,0,703,729,31,14,793,85,248,13,25
SED21001,7,0,0,0,0,10,0,0,0,52,0,71,0,0,0,4,0,0,0,5,0,21,0,29,0,0,0,0,0,0,0,17,3,15,0,36,0,0,0,0,0,9,0,3,0,10,0,17,3,3,0,3,0,10,3,22,3,33,0,75,3,10,0,8,0,22,5,36,3,32,0,110,11,20,0,16,0,31,0,41,5,32,0,150,9,22,0,30,3,70,3,42,10,38,0,228,18,28,0,70,3,140,4,58,7,73,0,398,23,37,0,87,3,138,3,35,3,50,3,385,36,16,4,112,11,146,3,36,3,48,0,405,42,31,0,155,13,143,0,18,3,38,0,447,173,52,6,385,31,269,19,40,11,52,0,1036,193,35,5,430,33,105,11,23,0,34,0,874,226,28,3,331,34,54,9,16,6,31,3,744,184,10,0,167,25,216,3,19,10,11,0,645,717,57,9,929,76,292,16,29
