SED_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SED20106,10047,19586,6,45,304,1313,39,143,3457,12231,3807,13725,171,654,514,1669,645,1933,1328,4254,5140,17986,3,16,100,311,15,55,661,1558,784,1941,62,186,353,750,667,1357,1084,2291,1867,4233,621,1318,17669,43115
SED20207,7247,14554,134,764,1164,5409,254,1128,8838,33314,10393,40618,601,2534,985,3402,1796,5835,3384,11773,13772,52392,42,182,255,903,96,337,1280,3488,1661,4916,171,565,395,895,1217,2725,1782,4188,3445,9103,389,828,24855,76879
SED20302,7514,14902,159,905,761,3602,252,1143,4953,19517,6122,25168,345,1440,532,1793,1211,3811,2092,7045,8212,32212,50,249,244,879,136,471,1337,3717,1766,5311,108,330,305,677,981,2087,1395,3085,3160,8401,231,480,19119,55989
SED20401,5833,11610,99,561,638,2922,145,626,4280,16285,5158,20394,440,1854,623,2167,1544,4948,2601,8967,7765,29364,25,133,184,614,74,255,896,2347,1177,3345,154,496,339,765,1226,2629,1720,3887,2901,7235,266,564,16762,48769
SED20508,7185,14165,89,466,635,2918,129,615,3595,14165,4454,18168,338,1360,611,2037,1185,3649,2128,7046,6583,25212,32,152,163,580,65,227,867,2339,1131,3293,103,322,254,564,727,1528,1088,2412,2215,5701,141,291,16125,45379
SED20604,7221,14211,112,630,716,3290,147,682,3846,15122,4827,19720,296,1190,571,1837,1056,3263,1926,6292,6751,26010,26,140,227,818,95,338,1227,3304,1584,4597,101,313,295,623,772,1599,1163,2540,2746,7134,183,378,16901,47737
SED20704,6477,12808,150,840,763,3590,171,771,3852,15343,4933,20540,316,1301,602,2006,1083,3357,2003,6656,6938,27199,41,198,275,994,103,339,1239,3364,1658,4892,121,379,299,659,859,1813,1281,2850,2939,7741,236,491,16595,48240
SED20804,6349,12575,74,413,564,2637,156,722,3278,12775,4067,16541,236,965,483,1595,1070,3326,1792,5888,5863,22425,27,126,191,674,88,323,1147,3016,1454,4136,112,353,300,644,977,2057,1388,3046,2845,7178,270,558,15324,42736
SED20906,4890,9726,63,346,918,4048,101,429,4810,18511,5896,23330,486,2014,990,3490,1372,4315,2847,9812,8744,33145,13,60,168,543,35,107,780,1953,995,2659,132,399,395,906,933,2000,1465,3305,2456,5962,258,547,16352,49387
SED21001,6110,12198,60,322,948,4229,84,361,4729,17931,5825,22841,535,2227,1237,4363,1314,4137,3085,10725,8911,33568,11,43,168,528,25,85,705,1750,906,2404,132,406,471,1072,977,2063,1584,3541,2489,5948,410,868,17924,52582
