SED_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SED21106,3,161,3,1237,7,0,0,3,3,15,0,3,3,37,389,461,9,0,3,7,0,5,0,0,0,41,20,97,1628,314,52,770,83,627,37,524,53,1590,429,6096
SED21203,0,11,0,43,12,0,4,7,0,15,3,9,9,51,154,262,4,3,6,0,0,3,0,3,5,67,59,154,534,108,37,339,40,511,24,273,65,1947,259,4135
SED21303,4,17,0,745,27,3,3,8,4,9,0,9,0,28,428,519,11,4,3,4,0,5,0,0,3,26,29,90,2699,382,59,1214,117,722,34,370,59,1382,487,7527
SED21401,4,49,3,448,13,0,0,3,4,20,0,11,0,49,291,399,10,0,3,4,0,0,0,3,4,84,34,153,950,278,36,566,55,632,33,532,64,3063,372,6588
SED21503,0,8,0,187,14,0,0,8,4,17,4,9,0,55,203,304,11,0,3,5,3,3,0,0,4,65,26,116,1105,220,35,629,64,577,29,392,40,2157,261,5515
SED21608,4,13,0,164,13,3,0,7,0,13,0,8,9,46,259,363,7,3,6,3,3,7,0,7,3,52,33,118,1065,296,56,857,89,628,45,498,78,2055,333,6006
SED21706,7,48,0,548,12,0,0,3,5,12,0,3,0,32,280,352,5,0,0,3,0,3,0,3,0,33,28,71,1227,224,31,612,55,528,21,430,42,1783,321,5275
SED21805,3,13,0,256,22,4,3,10,8,14,0,3,3,34,284,386,11,0,6,8,3,7,0,6,3,59,34,133,1798,220,59,877,102,668,46,344,81,1690,365,6236
SED21906,6,79,0,883,22,11,0,9,0,17,0,9,0,29,347,436,18,4,4,9,3,5,0,8,8,45,32,132,2010,416,44,1036,88,705,47,497,50,1385,406,6681
SED22005,8,5,0,181,16,3,0,10,4,9,0,12,3,50,260,380,5,4,4,3,3,3,0,6,0,77,42,148,1249,269,40,679,78,660,32,446,68,2390,342,6244
SED22105,0,6,0,143,31,3,0,9,3,23,0,7,9,40,245,377,23,0,8,7,3,9,4,3,6,72,50,178,2184,202,52,1033,101,840,42,379,66,1781,335,7023
SED22201,3,15,0,206,8,5,4,3,3,12,4,9,0,40,216,308,14,0,3,0,3,5,0,3,0,50,30,122,1413,201,47,723,81,513,33,401,57,1895,270,5625
SED22305,0,10,0,71,14,0,4,5,0,20,0,10,3,43,242,341,3,0,3,4,0,0,0,10,5,78,54,159,858,225,34,571,56,766,33,388,80,2179,339,5526
SED22404,0,27,0,214,14,5,0,8,0,30,0,9,3,60,312,446,17,7,8,7,3,5,0,7,3,63,44,169,1118,406,79,910,103,575,73,558,97,2243,393,6550
SED22501,3,24,0,391,9,3,0,15,4,18,3,3,0,37,246,337,3,0,0,11,0,0,0,4,0,43,14,75,1092,263,34,770,76,576,38,458,54,1868,287,5512
SED22607,0,21,0,682,15,0,0,9,0,13,0,9,0,30,356,436,11,0,4,8,0,10,0,5,3,33,32,98,1943,261,41,836,65,621,54,395,49,1406,408,6083
SED22704,0,22,0,216,16,9,7,13,3,25,0,17,4,77,383,548,23,4,5,15,0,4,0,4,4,107,56,230,1242,366,84,1050,101,681,73,604,107,2863,497,7682
SED22802,0,8,0,140,19,0,3,10,3,13,0,3,3,49,210,312,8,0,8,17,0,8,0,3,4,71,36,155,1258,238,44,831,95,542,46,378,60,1780,284,5558
SED22901,3,12,0,215,7,3,0,3,3,14,0,11,3,27,225,297,7,3,7,7,0,3,0,0,0,43,28,95,1199,211,27,749,58,569,25,409,48,1990,281,5568
SED23007,3,4,0,345,16,3,0,13,3,16,0,17,0,37,350,452,3,4,4,3,0,3,0,0,3,58,57,141,2006,375,60,967,98,840,36,421,58,1747,453,7060
SED23101,0,43,3,263,5,4,3,5,3,7,0,9,3,50,251,339,3,6,3,0,0,0,0,8,5,60,29,105,795,224,23,478,35,519,24,466,39,2668,313,5578
SED23205,3,17,0,177,28,3,0,6,3,13,0,10,0,58,269,396,3,0,6,7,0,4,0,3,0,74,39,143,1171,216,40,753,81,554,49,412,70,2043,336,5720
SED23308,3,33,0,312,11,3,3,15,5,18,3,7,4,54,312,434,11,0,3,3,3,4,0,4,3,66,38,135,1328,290,52,956,88,595,40,478,50,2052,379,6303
SED23402,0,21,0,272,14,6,3,10,3,13,0,4,3,49,247,355,10,0,9,6,7,3,0,4,3,42,21,104,1480,245,50,966,90,651,39,399,71,1934,317,6226
SED23502,3,27,0,156,16,3,0,12,0,15,0,16,7,74,408,552,13,3,3,13,3,5,0,4,3,100,69,229,971,425,94,932,105,537,66,615,121,3431,548,7837
SED23602,0,19,0,224,11,6,0,10,4,13,0,21,4,72,338,481,15,3,10,6,0,8,0,8,3,87,45,191,1023,352,73,983,88,567,71,570,93,2545,432,6792
SED23702,0,16,0,147,14,3,0,22,0,10,0,10,3,52,290,400,9,3,5,8,3,7,0,9,3,81,45,170,1390,248,59,976,98,659,44,444,69,2152,364,6505
SED23806,10,149,4,1094,24,3,3,11,0,11,0,4,3,31,363,450,16,6,0,11,0,3,0,11,0,32,21,95,1998,346,38,794,85,647,35,535,65,1600,399,6546
SED23901,3,53,0,511,26,3,0,6,0,7,0,13,3,36,275,367,10,0,0,4,0,6,0,0,0,51,40,109,1373,244,35,743,78,584,33,430,36,1908,341,5816
SED24006,8,148,4,866,5,8,3,3,0,3,0,7,0,40,283,356,12,4,3,3,3,3,0,3,3,45,28,101,1004,251,21,593,58,515,34,463,57,1808,338,5138
SED24105,0,12,0,127,18,3,0,8,3,10,0,9,5,42,218,317,3,0,3,5,3,8,0,5,3,45,48,125,1044,199,37,534,58,655,28,371,62,2142,294,5424
SED24207,0,3,0,135,9,4,0,4,8,18,0,8,5,38,205,305,3,4,3,8,0,3,0,3,3,62,55,149,1162,169,45,611,71,723,32,334,66,1796,298,5302
SED24308,0,13,0,154,17,0,0,3,3,22,3,7,3,60,235,360,5,0,3,8,0,0,0,3,0,81,55,158,1017,191,41,740,73,574,49,402,56,2273,333,5754
SED24408,0,29,3,212,27,10,0,15,3,20,3,13,3,72,306,467,15,0,5,13,3,0,0,3,3,82,62,177,1319,346,91,1104,97,544,71,477,88,2391,439,6968
SED24504,10,33,5,382,8,7,0,13,0,18,0,7,0,38,310,408,11,6,9,18,0,6,0,3,0,41,34,125,1068,391,66,896,100,667,63,522,80,2092,382,6326
SED24606,17,221,5,1216,22,3,0,12,0,6,0,3,0,35,344,438,3,0,0,9,3,4,0,3,0,41,20,80,1575,323,33,767,70,634,41,524,49,1569,379,5963
SED24703,5,89,0,1555,30,8,6,17,11,10,0,6,0,20,741,852,17,0,3,6,0,5,0,0,0,23,33,82,3734,712,84,1588,188,1483,72,772,82,1847,793,11357
SED24808,3,13,0,130,14,0,3,15,3,24,0,18,0,51,247,389,14,3,10,9,0,5,0,0,4,78,40,162,1443,199,55,876,113,862,36,420,81,2056,328,6470
SED24904,3,22,0,148,22,12,3,17,0,16,4,7,5,59,316,455,14,3,14,9,4,5,0,7,3,97,92,245,1302,283,65,1004,94,597,47,389,91,2421,469,6750
SED25003,3,5,0,96,13,0,4,8,3,12,3,10,0,20,184,253,12,4,3,9,0,3,0,4,0,34,33,107,1202,154,46,689,79,626,28,309,49,1590,236,5011
SED25102,3,16,0,292,11,0,3,4,7,9,0,4,0,31,249,321,8,0,3,4,3,3,0,4,3,46,27,97,1255,279,35,944,95,596,30,478,73,1523,294,5604
SED25205,0,18,0,350,13,0,0,13,0,7,3,9,6,30,271,347,12,4,3,6,0,3,0,3,3,40,27,101,1526,205,38,727,88,567,34,370,38,1766,329,5682
SED25302,4,83,3,496,15,7,0,10,3,6,3,6,5,68,336,455,9,0,7,5,5,7,0,4,0,86,41,168,981,318,48,715,74,523,38,568,80,2918,425,6687
SED25402,3,18,0,251,6,7,0,10,0,18,0,6,3,68,301,432,10,0,4,12,0,9,0,0,5,81,53,172,1065,237,50,991,82,717,61,530,123,2501,417,6755
SED25501,0,51,0,346,4,0,0,3,0,8,0,3,0,48,281,349,4,0,0,3,0,0,0,0,4,47,39,100,806,189,22,451,43,437,27,438,52,2688,343,5503
SED25605,0,23,0,234,13,5,3,4,0,12,4,7,3,40,252,330,4,0,0,0,0,3,0,3,3,59,34,118,954,221,33,588,48,637,24,450,76,2525,328,5879
SED25704,3,11,3,153,17,0,3,8,0,16,5,11,7,75,289,429,31,6,9,12,0,3,0,4,3,95,77,239,1287,368,73,1029,88,585,64,496,112,2710,448,7255
SED25802,3,24,3,264,18,6,0,9,3,34,0,10,5,59,315,470,17,9,8,13,0,7,0,4,0,87,55,198,1220,352,69,1003,107,721,67,553,97,2786,443,7421
SED25905,0,15,0,125,14,0,0,20,0,18,0,7,6,36,204,308,10,0,11,7,0,7,0,0,0,52,31,116,1160,161,38,687,74,700,29,373,71,1702,276,5277
SED26005,0,11,0,120,8,3,0,3,3,11,0,6,0,31,210,290,12,0,4,11,4,3,0,0,5,33,32,97,1132,165,40,697,74,675,28,323,69,1382,272,4852
SED26102,7,104,0,376,11,4,0,11,0,12,0,10,3,97,332,488,7,8,7,9,4,5,0,3,5,136,75,263,818,443,76,802,58,531,59,702,97,3790,478,7853
SED26207,0,21,0,268,22,0,4,7,3,19,0,9,0,65,215,338,15,3,4,5,3,10,0,4,7,94,56,190,1138,172,41,528,78,476,27,384,49,2501,321,5718
SED26303,0,10,3,662,28,4,4,16,4,11,0,10,3,28,349,450,3,0,3,0,0,0,0,3,0,33,36,71,2096,341,41,956,96,529,37,303,44,1259,406,6107
SED26406,0,17,0,376,14,3,0,10,0,5,0,4,0,24,293,362,7,0,5,4,0,0,0,0,3,44,24,91,1717,292,47,817,88,754,50,449,57,1785,337,6393
SED26504,0,33,3,173,10,0,3,19,3,16,0,8,4,79,288,431,14,0,5,7,0,10,0,4,8,86,72,208,1113,360,95,1017,80,521,46,498,93,2720,424,6963
SED26603,0,11,0,333,21,3,0,12,3,12,4,4,7,40,309,409,9,3,5,5,6,4,0,3,4,63,58,159,1993,262,49,921,85,691,34,356,71,1965,400,6835
SED26708,0,38,0,227,19,8,0,7,0,9,5,12,5,67,301,447,14,10,12,17,0,3,0,7,0,69,53,179,1236,428,95,1025,104,547,58,527,83,2236,412,6747
SED26806,8,142,3,1789,38,3,4,12,11,13,0,13,3,22,679,800,12,3,4,6,0,4,0,7,3,15,24,78,4165,445,70,1396,141,1004,45,503,62,1249,712,9796
SED26903,0,11,0,188,13,0,3,3,0,7,3,9,3,46,271,363,8,0,4,8,0,3,0,0,3,67,47,140,1495,282,41,808,74,606,45,318,54,1918,359,5996
SED27003,7,49,0,1717,43,6,0,10,4,12,0,0,0,17,600,698,10,6,3,0,4,0,0,0,0,21,21,75,4129,347,73,1280,127,754,47,395,54,1029,637,8863
SED27101,0,26,0,332,17,3,3,8,5,15,0,3,3,33,279,369,11,3,5,0,0,6,4,0,0,46,32,102,1545,252,39,791,73,642,41,392,55,1846,340,6014
SED27208,0,12,0,119,16,3,0,10,0,24,7,23,7,99,329,510,15,7,6,6,0,8,0,0,6,115,70,237,1120,344,84,1015,90,607,83,576,103,3046,483,7557
SED27305,6,11,0,198,5,0,3,10,6,16,0,7,3,28,178,258,11,0,6,3,0,3,0,3,7,44,20,96,988,168,25,614,57,518,17,320,43,1528,225,4503
SED27406,8,78,0,745,11,4,4,11,3,3,0,12,0,28,301,372,3,5,6,3,0,3,0,3,3,54,31,119,1400,273,39,696,73,550,40,479,51,1911,352,5858
SED27504,5,20,0,183,12,6,4,17,0,18,3,13,3,71,305,458,9,3,10,14,0,3,0,3,7,92,59,195,1316,286,81,981,98,600,57,452,94,2477,428,6872
SED27608,0,38,0,338,25,0,0,9,4,10,3,5,3,58,310,423,5,0,3,11,0,9,0,7,3,63,35,130,1371,355,51,1043,89,514,51,555,68,2501,372,6973
SED27708,3,27,6,227,21,4,5,22,0,9,3,8,3,67,244,378,14,0,9,4,4,4,3,3,4,83,54,185,1244,341,79,1079,120,600,57,522,91,2335,368,6841
SED27807,0,7,0,74,6,3,4,11,4,12,0,10,5,56,206,327,5,3,4,5,3,3,0,7,3,84,81,199,859,232,42,564,56,690,31,400,77,2494,342,5791
SED27907,0,5,0,143,17,3,0,10,0,11,3,5,3,43,209,300,11,3,3,0,3,4,0,8,7,61,35,135,1301,172,42,714,82,593,36,366,67,1908,287,5572
SED28007,3,0,0,139,12,6,0,15,0,17,0,8,3,25,174,256,16,0,5,4,0,0,0,7,4,47,28,110,1329,130,39,617,80,633,23,282,65,1470,229,4889
SED28107,0,0,0,162,20,3,0,12,0,16,3,9,7,20,279,377,12,0,6,3,0,6,0,0,3,35,32,100,1850,233,58,915,124,1008,44,383,76,1564,357,6615
SED28203,0,7,0,83,13,4,0,7,0,19,3,9,3,68,203,339,6,3,3,6,0,8,0,4,6,101,54,191,944,165,43,594,69,578,35,321,59,2780,307,5890
SED28301,4,41,0,451,10,4,0,9,0,11,0,6,0,59,266,365,12,4,3,6,0,0,0,3,0,54,33,119,887,235,34,600,51,492,28,470,53,2245,338,5428
SED28408,3,21,3,233,16,0,4,9,0,9,3,4,4,37,234,308,3,0,7,7,0,0,3,3,0,81,33,137,1022,234,50,844,79,496,35,399,61,2039,296,5564
SED28507,3,11,3,138,30,0,0,11,0,23,0,5,6,40,248,358,16,0,7,7,3,4,0,0,4,62,38,138,1323,175,31,780,94,795,35,361,69,1655,316,5643
SED28607,3,20,0,864,21,3,4,4,4,11,0,7,3,49,351,459,11,0,10,7,0,6,0,3,0,47,46,127,2353,241,53,880,102,637,34,295,62,1610,439,6704
SED28704,3,10,0,252,23,3,4,10,3,22,3,7,3,25,257,359,16,0,5,9,0,10,0,0,7,45,25,117,1800,220,49,963,91,671,44,394,78,1588,319,6211
SED28803,0,3,0,145,22,3,0,12,3,11,3,13,0,36,200,297,13,3,0,11,3,6,0,3,0,40,33,111,1472,149,37,777,92,713,36,360,77,1454,261,5422
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
