SED_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
SED20106,7467,8574,19461,12175,9120,7161,5049,2203,804,72013,0,10,13,7,5,11,4,0,0,54,50,112,360,440,535,314,115,24,0,1960,265,424,712,528,469,386,221,79,27,3106,29,78,134,177,247,197,77,20,3,958,17,17,66,71,110,105,39,6,0,425,25,57,73,110,181,106,57,18,0,624,7,23,12,29,45,47,31,10,0,196,0,12,5,9,3,4,6,0,0,41,4,0,32,24,28,13,11,0,0,117,0,0,0,0,0,0,0,0,0,0,389,716,1380,1386,1619,1180,557,162,31,7421,391,729,1391,1395,1628,1185,557,162,31,7479,7860,9303,20857,13567,10744,8349,5606,2366,836,79486
SED20207,20890,9694,15012,16093,11539,7842,4757,2295,855,88976,10,20,5,8,10,7,3,7,0,58,11,4,28,19,19,11,12,0,0,100,222,210,280,212,156,132,118,56,28,1417,3,14,16,17,16,10,7,0,0,78,3,9,3,3,4,3,7,0,0,34,0,0,3,5,0,0,0,0,0,15,0,0,6,0,0,0,9,3,0,18,0,0,4,0,0,0,0,0,0,11,0,0,3,9,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,238,238,340,260,200,163,149,62,25,1683,244,253,346,266,208,169,157,68,27,1744,21139,9952,15355,16363,11751,8011,4913,2360,884,90720
SED20302,14796,7186,8710,8850,8564,7957,7180,3735,1575,68557,8,16,8,12,11,8,15,8,7,90,6,3,8,7,9,12,25,3,0,75,298,323,375,256,279,366,343,124,74,2438,10,14,12,8,19,12,17,3,0,91,0,3,0,3,3,7,0,0,0,17,9,4,11,6,6,4,3,0,0,35,0,0,4,0,4,4,3,6,0,23,0,3,0,0,0,0,0,0,0,3,3,0,8,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,321,353,410,281,320,405,398,139,73,2699,329,368,418,292,330,416,412,147,84,2793,15132,7548,9133,9139,8895,8371,7594,3885,1659,71346
SED20401,10973,6825,8873,8590,8037,6900,5275,2866,1402,59739,4,5,3,0,3,8,7,5,3,41,11,0,10,6,4,3,18,3,0,60,158,231,281,141,137,91,73,58,43,1227,6,4,4,3,10,5,8,0,0,41,0,0,0,3,0,0,0,0,0,7,3,0,5,0,4,5,0,0,0,16,0,0,3,0,0,3,0,3,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,176,237,308,162,160,113,101,66,50,1365,179,243,310,163,163,118,108,76,50,1402,11155,7065,9182,8749,8197,7022,5384,2942,1455,61146
SED20508,10401,5385,5109,6642,7168,7843,7034,3758,1619,54962,12,15,5,5,0,6,8,3,3,52,13,4,7,0,11,12,15,5,0,61,231,262,253,174,177,242,240,103,38,1721,3,6,9,7,8,13,10,0,3,53,0,0,4,3,0,3,7,4,0,26,5,3,3,0,4,9,6,0,0,27,3,0,0,0,3,9,0,0,0,14,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,250,281,273,189,206,288,276,121,40,1918,255,288,276,193,207,294,286,123,39,1964,10662,5674,5384,6833,7375,8141,7317,3879,1662,56925
SED20604,12021,7046,6766,7287,8303,8166,5982,2950,1279,59806,5,9,9,13,3,11,14,9,3,91,72,163,110,56,79,79,57,26,22,663,246,361,289,201,232,235,189,89,58,1898,20,60,66,33,25,20,12,0,0,230,4,11,7,14,6,12,9,3,0,63,3,5,17,6,12,5,4,0,0,59,12,0,6,3,8,9,5,5,0,45,0,7,18,3,7,0,0,0,0,33,0,15,8,0,7,3,0,0,0,33,0,0,0,0,0,0,0,0,0,0,356,621,514,315,375,378,270,122,74,3028,359,636,523,326,381,390,289,129,83,3116,12386,7687,7285,7616,8686,8554,6273,3079,1362,62921
SED20704,12603,8451,7235,7290,7892,7517,5411,3017,1468,60882,20,15,14,3,5,8,0,4,5,75,10,35,14,7,13,17,19,6,3,138,189,569,307,170,156,178,107,57,51,1784,7,10,3,7,8,8,10,4,0,55,0,9,6,3,3,18,10,3,0,49,0,0,7,5,12,7,4,6,0,37,0,3,0,0,0,3,5,0,0,10,0,4,0,0,3,0,3,0,0,13,0,3,3,3,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,201,631,349,197,202,234,155,82,58,2099,220,646,360,204,206,241,156,84,64,2178,12824,9100,7595,7487,8099,7760,5563,3100,1534,63060
SED20804,10183,6468,6935,6852,7513,7681,6066,3427,1513,56637,14,8,8,11,8,3,10,3,3,64,7,8,20,11,22,29,28,8,0,139,269,434,376,268,260,274,214,149,102,2360,4,10,8,4,6,12,16,0,0,59,3,3,10,4,4,8,9,3,0,45,0,3,4,3,12,20,3,3,0,41,3,0,3,0,7,7,12,7,0,43,3,3,0,0,0,5,4,0,0,10,0,0,3,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,283,460,435,301,316,352,287,174,107,2712,297,465,438,308,327,361,296,180,113,2774,10476,6932,7374,7163,7834,8039,6360,3604,1622,59409
SED20906,11974,7084,6375,8697,9140,6523,4298,2976,1754,58804,5,8,5,6,3,10,6,13,8,64,0,5,3,9,6,9,3,0,4,39,128,165,235,145,145,145,111,77,39,1192,0,5,6,3,5,6,6,0,0,36,0,0,0,0,4,6,0,0,0,18,0,3,5,0,4,3,3,6,0,26,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,131,185,249,156,161,174,124,86,46,1313,140,190,252,162,168,184,133,92,49,1378,12112,7270,6627,8862,9306,6706,4427,3071,1804,60181
SED21001,11295,9729,9430,8679,9215,7242,5033,3650,2381,66664,4,3,8,8,3,7,0,3,8,39,8,11,26,8,19,23,7,3,3,101,170,263,338,184,158,202,186,158,127,1779,6,3,5,5,12,12,10,0,0,56,3,3,4,8,0,4,3,4,0,27,0,6,0,0,0,3,7,0,0,15,0,5,7,5,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,182,288,380,206,202,245,215,162,133,2016,186,292,383,209,205,254,219,170,138,2058,11485,10024,9819,8889,9419,7494,5252,3818,2521,68722
