SED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED20106,457,479,940,293,355,647,9,0,11,3723,4330,8053,92,88,175,8406,6631,15034,351,682,1031,44,0,46,283,47,332,1175,602,1780,192,141,336,3358,3027,6386,18379,16392,34765,61,54,116,0,0,0,268,273,538,19,12,32,3,8,11,27,20,40,376,365,750,0,0,0,68,92,163,8,10,21,7,12,17,15,6,16,98,120,217,305,263,573,783,753,1537,129,120,253,15,14,33,27,28,51,167,166,336,1109,1205,2312,1119,1737,2861,135,111,249,21694,20366,42057
SED20207,1939,1860,3798,124,140,265,3,3,9,10,3,15,54,15,71,15794,11023,26816,791,1260,2046,180,5,188,181,7,185,171,33,203,159,79,239,208,231,441,19618,14665,34285,465,329,801,0,0,0,73,99,174,573,410,983,83,184,269,58,26,81,1256,1046,2307,0,0,0,0,4,3,12,15,28,12,18,30,3,0,6,33,40,71,195,97,287,1484,1180,2664,367,357,720,3,4,11,12,4,17,379,366,742,635,1071,1707,1289,2132,3426,196,152,350,23604,19565,43172
SED20302,410,296,705,60,40,102,4,0,3,14,3,15,21,6,24,11620,9346,20962,643,648,1289,276,9,284,82,16,92,105,35,140,97,58,154,361,379,733,13680,10833,24514,68,51,123,0,0,0,13,12,25,100,52,150,17,19,34,13,0,13,208,145,349,0,0,0,0,0,0,4,3,9,6,4,13,0,0,0,11,6,22,104,34,136,321,185,505,58,63,118,0,0,6,3,0,3,66,69,128,708,966,1679,1252,2217,3469,212,174,387,16242,14445,30684
SED20401,969,739,1704,141,106,249,10,0,5,3,0,3,27,17,43,11383,9587,20972,505,611,1119,231,5,237,93,5,104,116,19,132,71,35,100,222,168,381,13758,11288,25047,126,121,249,0,0,0,43,40,84,260,207,462,42,48,89,26,10,31,497,427,919,0,0,0,0,0,3,7,4,13,15,22,36,0,3,3,21,37,56,90,62,153,608,522,1132,101,104,199,3,4,5,3,4,7,111,107,213,393,563,964,1038,1958,2996,121,105,228,16032,14546,30579
SED20508,144,93,236,106,120,226,9,3,13,5,5,18,10,3,11,9392,8324,17720,415,519,935,180,3,178,52,8,58,88,31,119,84,30,113,238,236,474,10720,9376,20101,12,3,14,0,0,0,5,4,9,148,85,236,6,9,17,4,0,4,176,107,283,0,0,0,0,0,0,8,23,28,11,16,28,0,3,3,21,44,65,83,55,140,283,201,485,65,54,122,0,4,3,5,0,5,73,52,128,599,809,1407,1083,1895,2979,107,113,220,12868,12450,25318
SED20604,19,9,32,64,59,123,5,3,6,0,5,3,22,15,34,11127,9603,20723,621,700,1323,240,16,253,130,17,148,171,42,210,125,59,182,756,528,1286,13282,11049,24330,0,0,0,0,0,0,0,0,0,6,4,11,0,0,0,4,0,4,7,5,16,0,0,0,0,0,0,3,0,8,8,5,11,4,0,4,15,4,21,114,59,171,135,73,205,6,5,10,0,3,3,8,0,13,18,8,24,778,849,1628,1139,2012,3146,187,153,339,15535,14140,29677
SED20704,71,41,117,129,114,243,4,3,8,7,7,7,20,23,42,10822,9648,20468,639,796,1439,200,8,212,98,15,115,176,47,221,77,36,115,379,317,694,12615,11060,23683,5,3,13,0,0,0,5,0,6,27,16,41,4,0,4,3,0,3,44,20,67,0,0,0,0,0,0,13,3,12,5,11,22,9,4,16,27,23,47,110,65,176,180,107,290,8,11,25,7,4,11,5,3,7,16,21,35,547,667,1212,1213,2323,3532,152,132,284,14724,14307,29027
SED20804,169,144,311,85,97,179,3,4,10,10,3,10,19,25,42,9117,8065,17177,592,690,1283,172,5,177,80,12,92,179,57,232,77,36,115,524,551,1071,11031,9673,20700,7,11,15,0,0,0,8,6,11,43,25,67,9,5,15,23,11,31,91,53,140,0,0,0,0,0,0,0,8,7,9,4,17,3,4,10,12,16,31,99,61,155,201,128,328,32,29,59,0,0,0,5,0,10,39,29,72,566,654,1216,1068,1831,2900,136,125,262,13034,12442,25474
SED20906,1567,1265,2834,138,176,315,0,0,0,24,23,51,25,22,51,9296,8176,17470,357,591,944,117,4,117,112,12,125,302,56,362,99,51,158,282,345,627,12328,10728,23057,260,199,456,0,0,0,77,56,132,337,244,583,52,66,121,39,7,49,760,581,1338,0,0,0,3,5,12,8,5,8,10,8,16,0,4,4,18,28,43,94,89,177,870,696,1558,154,146,299,0,3,3,0,3,3,156,156,311,636,861,1500,841,1657,2499,107,84,187,14933,14181,29110
SED21001,2244,1749,3991,309,388,693,3,0,3,132,162,297,23,25,48,9249,7790,17037,382,772,1151,88,0,95,102,10,111,235,53,291,102,53,153,525,629,1150,13395,11625,25020,351,296,648,0,0,0,173,148,320,204,184,390,42,67,111,55,22,75,820,716,1536,0,0,0,33,34,58,20,17,37,11,29,32,0,3,6,60,82,141,111,70,183,987,870,1863,176,178,350,5,7,8,3,3,6,182,181,363,794,938,1739,1101,1877,2974,116,102,220,16582,15600,32180
