SED_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
SED20106,4,0,0,0,1153,1166,69,11,4,0,2935,3012,2301,92,155,7,7519,10070,2863,190,391,7,3013,6473,2214,228,679,25,1701,4858,1919,204,725,56,908,3805,1614,108,499,96,422,2750,721,28,144,98,160,1155,188,3,19,93,61,372,11903,860,2625,391,17873,33660,6,0,0,0,1308,1314,111,6,8,0,3385,3517,2905,129,226,12,7096,10368,2725,175,589,30,2806,6328,2215,221,864,51,1416,4765,1945,168,862,180,717,3874,1396,71,605,373,267,2708,471,37,170,482,63,1225,90,0,52,345,28,508,11855,805,3376,1472,17083,34599,11,0,0,3,2462,2472,177,19,8,3,6319,6531,5205,220,379,16,14614,20435,5592,366,980,38,5823,12802,4429,448,1548,74,3121,9621,3871,370,1590,229,1626,7680,3013,180,1107,475,689,5452,1196,67,315,582,222,2377,276,7,70,440,85,884,23766,1669,6000,1867,34959,68259
SED20207,11,3,0,0,2479,2488,68,3,3,0,2584,2656,3613,85,101,5,3546,7355,6151,237,378,9,1569,8340,4036,300,640,36,935,5953,2738,203,539,56,434,3963,1807,111,296,89,126,2426,787,32,83,156,34,1098,186,5,11,104,14,328,19396,973,2054,467,11720,34608,4,0,0,0,2382,2385,239,11,8,0,2222,2475,4832,159,160,8,2993,8147,5866,348,543,33,1389,8184,3826,371,848,84,831,5959,2622,224,709,277,325,4149,1495,85,424,530,90,2618,562,29,114,630,32,1356,96,6,23,443,20,578,19532,1234,2812,2005,10282,35859,15,3,4,0,4858,4879,309,13,7,0,4804,5130,8447,243,261,11,6537,15499,12016,585,920,45,2956,16521,7857,676,1485,124,1767,11915,5353,421,1246,330,765,8115,3295,196,713,618,219,5048,1346,67,199,783,64,2458,284,12,35,547,35,905,38927,2212,4868,2468,22001,70471
SED20302,5,0,0,0,2109,2116,56,6,0,0,1642,1697,1785,78,59,5,2377,4301,2818,173,271,8,1172,4440,2652,293,579,29,840,4390,2617,230,757,101,487,4199,2755,200,547,171,185,3850,1411,56,173,251,71,1957,378,7,29,214,23,650,14473,1036,2409,779,8908,27601,3,0,0,0,1969,1971,116,16,3,0,1632,1767,2340,153,113,8,2249,4868,2892,257,411,29,1185,4775,2644,313,855,97,692,4601,2674,227,954,264,399,4521,2594,170,732,626,149,4264,1008,26,191,865,52,2146,200,4,46,759,40,1051,14467,1169,3307,2647,8366,29960,8,0,0,0,4075,4092,170,19,3,3,3272,3469,4122,232,180,10,4626,9171,5708,429,679,41,2361,9214,5299,604,1435,125,1533,8991,5291,458,1711,369,892,8722,5347,370,1273,795,332,8113,2422,79,358,1110,120,4099,575,6,77,976,61,1699,28939,2212,5717,3423,17270,57563
SED20401,5,0,0,0,1707,1715,42,7,0,3,1845,1892,1764,72,46,7,2678,4563,2791,124,236,6,1263,4416,2344,230,531,20,878,4008,2223,167,589,66,381,3427,1941,92,387,115,130,2658,970,34,141,206,44,1396,269,5,36,165,22,498,12340,725,1969,587,8956,24569,0,0,0,0,1675,1675,84,4,7,0,1724,1818,2233,77,97,4,2278,4690,2782,177,315,16,1149,4438,2392,276,776,71,764,4284,2269,176,836,212,303,3802,1749,114,622,446,117,3045,689,30,224,665,51,1659,147,6,48,755,27,984,12344,859,2932,2177,8095,26403,10,0,0,0,3377,3383,123,9,7,5,3572,3710,4000,152,147,13,4952,9252,5571,300,552,24,2413,8857,4732,510,1308,93,1645,8290,4498,339,1422,280,690,7231,3687,202,1008,563,248,5708,1658,68,364,872,98,3054,415,13,80,924,52,1474,24685,1581,4898,2763,17042,50973
SED20508,0,0,4,0,1705,1713,22,0,3,0,1289,1316,985,44,29,0,1497,2556,2082,138,166,6,883,3282,2322,184,401,11,561,3484,2899,157,583,64,359,4060,3051,123,421,170,148,3912,1523,35,147,256,50,2005,410,7,25,245,17,700,13301,691,1780,749,6513,23034,7,0,0,0,1576,1584,42,6,3,3,1132,1179,1292,78,50,7,1483,2900,2270,215,279,15,884,3663,2450,240,659,83,578,4014,3064,218,771,181,347,4580,2853,116,638,527,173,4307,1142,36,171,783,57,2191,197,6,38,768,29,1028,13318,911,2603,2359,6264,25452,12,0,4,0,3279,3294,68,6,5,3,2420,2501,2280,115,81,10,2975,5459,4359,348,444,23,1772,6949,4774,425,1060,98,1143,7499,5963,377,1347,237,706,8639,5899,236,1059,694,324,8217,2665,70,318,1037,113,4200,601,13,68,1010,41,1731,26621,1596,4385,3110,12777,48485
SED20604,3,0,0,3,2132,2142,65,3,0,0,1897,1967,1262,71,71,3,2126,3531,2207,165,215,16,1114,3721,2601,241,600,33,809,4276,2857,231,703,87,467,4341,2449,117,478,158,196,3387,1091,41,133,189,69,1527,289,6,21,174,17,513,12821,869,2236,662,8834,25412,3,0,0,0,1951,1956,120,4,3,0,1483,1610,1644,118,93,10,1918,3782,2313,216,380,38,1032,3981,2708,278,818,88,644,4525,2872,239,892,245,337,4574,2143,98,507,520,136,3401,749,24,172,725,51,1721,166,7,25,630,28,854,12719,978,2890,2257,7576,26422,10,0,0,5,4082,4102,185,7,3,3,3383,3580,2905,185,168,10,4042,7317,4525,377,596,54,2150,7699,5308,515,1415,116,1453,8807,5731,461,1595,329,802,8918,4591,214,982,680,333,6793,1840,64,307,918,117,3249,457,12,53,806,50,1369,25543,1853,5120,2916,16407,51834
SED20704,0,3,0,0,2202,2202,62,3,0,5,2177,2241,1334,64,42,0,2213,3660,2194,147,212,6,986,3542,2466,220,510,35,722,3954,2608,189,545,60,427,3833,2132,123,340,142,173,2899,1063,34,132,195,57,1485,315,11,20,201,21,566,12170,787,1802,652,8977,24383,8,0,3,5,2187,2204,102,3,0,4,2235,2346,1659,140,86,5,2120,4019,2385,252,355,29,1034,4050,2557,255,797,70,646,4323,2598,226,815,228,335,4195,1878,86,481,467,114,3029,821,29,165,709,57,1780,178,8,40,745,32,1002,12188,1003,2751,2260,8762,26957,8,3,4,5,4388,4403,157,8,5,11,4411,4590,2996,204,134,6,4338,7678,4584,399,566,34,2019,7595,5024,478,1312,101,1367,8278,5208,411,1359,291,760,8032,4004,206,823,608,285,5934,1879,61,294,911,117,3259,494,18,60,946,58,1570,24354,1790,4555,2910,17739,51349
SED20804,8,0,0,0,1728,1736,74,0,5,0,1704,1790,1166,70,51,3,2400,3695,1819,170,193,11,1368,3555,2064,239,488,36,976,3806,2347,220,726,80,644,4008,2064,136,544,154,264,3158,1179,39,169,219,97,1705,300,9,22,209,36,580,11026,881,2203,711,9220,24040,8,0,0,0,1632,1640,88,8,3,0,1667,1760,1414,95,78,9,2072,3662,1906,180,301,22,1227,3633,2159,278,705,61,851,4060,2323,212,952,261,489,4233,1934,130,692,546,234,3523,885,31,223,783,91,2008,169,5,70,738,40,1032,10883,931,3023,2416,8300,25559,12,0,0,0,3357,3375,166,9,4,0,3377,3555,2581,168,128,9,4470,7356,3721,351,502,37,2589,7194,4224,523,1197,102,1828,7873,4672,434,1674,338,1127,8241,3997,258,1235,697,498,6689,2062,64,388,1003,193,3709,472,14,92,942,81,1609,21907,1813,5220,3128,17518,49596
SED20906,3,0,3,0,2005,2009,15,0,3,0,1800,1815,1144,35,24,3,2018,3222,3100,100,143,4,940,4283,3229,157,374,25,740,4525,2230,132,431,45,437,3276,1521,83,226,92,182,2101,944,25,92,159,55,1283,404,11,24,252,20,708,12587,536,1319,581,8198,23228,0,0,0,0,1852,1858,39,0,0,0,1563,1605,1606,45,68,3,1747,3470,3375,157,312,24,891,4749,3258,243,673,60,687,4919,2130,149,659,164,412,3513,1392,74,418,366,178,2421,762,31,183,800,91,1864,204,8,57,866,37,1166,12766,704,2363,2274,7446,25556,5,0,3,0,3860,3865,57,0,3,0,3366,3424,2746,77,90,7,3764,6687,6468,249,454,30,1826,9033,6487,401,1039,88,1425,9443,4357,286,1088,207,850,6788,2912,155,644,455,358,4520,1710,50,278,965,145,3146,605,18,82,1113,56,1873,25357,1245,3679,2855,15649,48784
SED21001,3,0,0,0,2356,2366,73,3,0,0,2796,2877,1839,42,59,7,2894,4837,3095,98,130,6,947,4280,3313,139,367,11,658,4491,2626,127,354,58,470,3632,1887,69,233,98,196,2479,1218,18,94,160,80,1574,510,12,29,309,37,907,14568,501,1273,643,10446,27436,4,0,3,0,2215,2225,117,3,4,3,2506,2632,2265,71,115,4,2537,4994,3406,135,259,16,884,4694,3538,189,588,50,674,5036,2594,126,636,157,440,3952,1702,84,490,403,255,2927,986,49,234,887,173,2326,294,7,62,1151,106,1617,14908,652,2383,2672,9792,30412,10,0,7,3,4572,4590,185,3,8,3,5303,5502,4112,110,171,10,5431,9832,6499,232,387,25,1830,8973,6859,326,958,62,1327,9528,5220,253,990,215,906,7587,3591,147,722,496,449,5406,2199,71,330,1045,254,3901,807,17,94,1463,148,2527,29476,1157,3660,3317,20233,57846
