SED_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
SED20106,3,318,..,58,3,63,0,62,..,29,0,28,3,32,..,123,5,125,0,125,..,86,22,109,0,109,..,267,130,397,3,402,..,14,0,14,0,14,..,76,14,86,0,86,..,71,0,72,0,72,..,386,17,397,3,405,..,97,0,93,0,95,..,54,0,57,0,57,..,608,23,631,3,628,..,476,45,522,3,526,..,81,3,84,0,84,..,136,20,161,4,163,..,81,17,95,0,97,..,226,41,263,0,266,..,896,133,1022,18,1046,..,9100,1479,10583,89,10670,..,70,12,86,4066,4150,23590,9171,1492,10669,4158,38414,47544,..,..,..,..,47544,..,92,0,92,0,92,..,445,52,505,8,508,..,9,0,9,0,9,..,916,119,1037,3,1038,..,3414,687,4097,21,4120,..,262,75,333,0,333,..,4594,873,5467,27,5496,..,120,6,129,0,129,..,189,3,196,0,192,..,703,25,735,6,742,..,460,14,476,5,486
SED20207,6,320,..,382,65,451,3,456,..,550,44,595,4,603,..,106,22,126,3,130,..,161,22,184,0,190,..,140,15,156,0,156,..,145,13,156,0,156,..,254,42,302,8,303,..,386,9,388,7,399,..,486,35,515,3,517,..,464,15,487,6,489,..,133,3,138,0,138,..,1463,63,1528,15,1543,..,394,43,439,3,441,..,290,14,306,3,311,..,136,28,161,0,161,..,71,5,79,0,79,..,612,268,874,3,879,..,2132,472,2599,55,2651,..,15344,2874,18220,167,18389,..,97,30,125,2154,2278,25475,15441,2905,18345,2315,46137,51386,..,..,..,..,51386,..,304,10,312,3,310,..,1324,171,1495,16,1516,..,0,0,0,0,0,..,1250,372,1625,5,1629,..,3522,1520,5044,28,5069,..,197,94,291,0,291,..,4968,1988,6951,36,6985,..,494,65,555,3,559,..,118,10,123,0,123,..,311,30,334,3,342,..,253,4,257,3,263
SED20302,0,19,..,11,0,11,0,8,..,30,3,29,0,31,..,22,5,24,0,24,..,42,0,46,0,46,..,46,4,45,3,52,..,42,3,42,0,42,..,30,6,35,0,35,..,108,4,111,4,112,..,50,3,54,3,57,..,113,0,118,0,118,..,40,3,43,0,43,..,314,12,328,7,329,..,159,14,178,3,185,..,85,8,92,0,92,..,52,18,71,0,71,..,28,3,38,0,38,..,60,16,71,3,75,..,815,152,973,28,997,..,3682,566,4245,78,4316,..,79,13,91,2278,2374,30697,3757,579,4338,2352,37386,59729,..,..,..,..,59729,..,62,0,61,0,67,..,294,25,319,10,330,..,0,0,0,0,0,..,87,40,125,0,125,..,244,145,391,3,390,..,30,6,35,0,35,..,357,189,551,4,554,..,90,18,111,0,110,..,187,0,187,0,195,..,174,4,176,3,179,..,192,6,198,12,205
SED20401,0,121,..,5,6,10,0,10,..,7,0,7,0,7,..,100,19,120,3,125,..,94,30,124,0,124,..,46,6,58,3,58,..,11,0,12,0,12,..,39,14,52,0,52,..,104,3,113,0,109,..,79,3,83,0,85,..,116,0,116,4,114,..,38,0,39,0,39,..,336,10,341,4,346,..,140,21,163,7,166,..,78,3,78,0,81,..,83,20,101,0,102,..,11,3,12,0,12,..,170,79,246,0,248,..,597,187,782,24,803,..,4709,1043,5760,88,5848,..,81,11,94,1516,1610,24408,4792,1059,5852,1601,31860,47991,..,..,..,..,47991,..,76,0,76,0,76,..,129,14,146,0,146,..,8,0,8,0,8,..,885,327,1215,3,1218,..,1273,484,1756,7,1770,..,107,29,139,5,144,..,2266,845,3106,19,3128,..,63,10,73,0,79,..,166,5,170,0,171,..,111,4,120,3,118,..,566,25,595,25,620
SED20508,0,7,..,11,7,18,0,19,..,52,0,56,0,56,..,3,0,3,0,3,..,28,0,26,0,26,..,8,3,9,0,9,..,0,0,0,0,0,..,10,0,6,0,6,..,28,0,28,0,28,..,13,0,13,0,13,..,29,0,24,0,24,..,3,0,3,0,3,..,71,0,75,0,75,..,43,3,53,0,53,..,0,0,0,0,0,..,18,3,25,0,25,..,18,0,19,0,19,..,27,3,27,0,27,..,178,24,204,6,216,..,1240,142,1381,19,1400,..,81,0,83,1548,1626,27627,1315,143,1460,1566,30653,53380,..,..,..,..,53380,..,33,0,33,3,31,..,16,3,21,0,21,..,0,0,0,0,0,..,41,3,42,0,41,..,112,40,147,3,154,..,7,4,17,0,17,..,160,51,209,5,213,..,78,10,88,0,88,..,119,0,119,4,125,..,73,3,82,0,81,..,201,4,207,3,212
SED20604,0,7,..,4,0,4,0,4,..,6,0,6,0,6,..,10,0,11,0,11,..,16,0,24,0,24,..,8,0,8,0,8,..,0,0,0,0,0,..,36,3,38,0,38,..,48,3,47,0,51,..,21,0,21,0,21,..,81,3,82,0,82,..,18,0,19,0,19,..,165,11,167,0,168,..,28,3,34,0,35,..,10,0,10,0,10,..,37,9,42,0,42,..,0,0,0,0,0,..,13,0,12,0,12,..,261,73,332,3,336,..,1375,205,1581,23,1606,..,67,7,70,1872,1938,28993,1442,209,1652,1893,32532,57057,..,..,..,..,57057,..,47,0,50,0,50,..,53,4,53,0,57,..,13,0,13,0,14,..,37,6,39,0,44,..,90,27,116,0,116,..,5,0,5,0,5,..,131,37,161,3,165,..,104,21,131,0,130,..,73,3,77,3,79,..,99,3,104,6,107,..,279,8,286,7,291
SED20704,0,19,..,3,0,3,0,3,..,4,0,4,0,4,..,8,0,8,0,8,..,6,0,6,0,6,..,18,0,19,0,19,..,3,0,0,0,0,..,0,0,0,0,0,..,42,0,40,0,40,..,38,0,38,0,38,..,40,0,40,0,40,..,10,0,10,0,9,..,132,0,133,0,136,..,13,3,22,0,22,..,21,3,21,0,21,..,18,0,19,0,19,..,4,0,3,0,3,..,15,0,20,0,20,..,289,167,453,12,465,..,1184,281,1467,26,1491,..,75,3,75,2043,2121,29533,1255,285,1540,2070,33147,57239,..,..,..,..,57239,..,46,3,47,0,47,..,107,10,116,0,117,..,10,0,10,0,10,..,63,7,72,0,72,..,212,90,300,4,305,..,11,0,12,0,12,..,288,98,385,4,392,..,13,0,13,0,13,..,31,4,32,3,35,..,52,3,54,0,54,..,67,0,71,4,72
SED20804,0,5,..,6,0,6,0,6,..,5,0,5,0,5,..,12,0,13,0,13,..,8,0,13,0,8,..,6,0,9,0,9,..,9,0,9,0,9,..,10,0,10,0,10,..,44,0,44,0,47,..,25,0,25,0,25,..,60,0,60,0,60,..,13,0,13,0,13,..,143,0,143,0,144,..,32,3,33,0,33,..,24,0,24,0,24,..,29,3,27,3,32,..,0,0,4,0,4,..,21,12,32,3,32,..,287,187,475,20,490,..,1080,314,1392,30,1424,..,94,3,96,2175,2270,26997,1178,316,1488,2197,30686,52369,..,..,..,..,52369,..,20,0,20,0,20,..,42,0,41,0,41,..,0,0,0,0,0,..,47,21,64,0,64,..,146,107,259,0,259,..,17,7,15,0,15,..,211,127,338,0,338,..,21,0,18,0,18,..,47,4,53,0,53,..,58,5,62,0,62,..,94,0,98,0,95
SED20906,0,192,..,26,3,26,0,26,..,18,0,18,0,18,..,35,7,40,0,40,..,200,19,218,0,218,..,917,174,1088,7,1103,..,10,0,10,0,10,..,84,9,91,0,91,..,57,0,57,0,60,..,65,3,64,0,64,..,73,3,73,0,73,..,22,3,22,0,22,..,215,8,222,0,220,..,200,14,212,3,217,..,78,0,81,0,80,..,55,16,68,0,68,..,39,9,44,3,47,..,148,40,186,3,185,..,1051,117,1167,18,1187,..,8049,1488,9541,81,9616,..,63,15,76,1259,1338,20491,8107,1507,9614,1341,31447,40164,..,..,..,..,40164,..,65,0,65,0,65,..,286,26,312,3,309,..,5,0,5,0,5,..,543,156,703,4,710,..,2467,860,3329,17,3345,..,126,49,174,0,174,..,3134,1069,4208,25,4235,..,131,10,137,0,137,..,80,0,85,0,81,..,324,11,336,3,338,..,266,5,273,0,273
SED21001,0,329,..,34,0,40,0,40,..,13,0,13,0,13,..,133,39,170,0,170,..,56,7,63,0,63,..,55,0,51,0,51,..,5,0,5,0,5,..,29,4,31,0,31,..,91,0,88,0,88,..,163,10,173,0,172,..,109,0,109,0,114,..,47,0,47,0,47,..,405,14,419,4,419,..,132,13,145,0,145,..,123,10,126,0,126,..,107,22,130,0,130,..,29,4,32,0,32,..,262,93,357,9,362,..,535,136,668,18,688,..,9993,3037,13037,80,13116,..,92,35,128,1351,1480,21433,10085,3076,13164,1428,36028,41844,..,..,..,..,41844,..,39,0,43,0,43,..,154,16,171,0,173,..,3,0,3,0,3,..,2764,982,3747,18,3762,..,6893,3041,9933,50,9981,..,475,241,718,3,722,..,10125,4265,14395,71,14463,..,63,6,68,0,68,..,70,0,70,0,70,..,217,5,226,0,226,..,231,6,233,3,240
