SED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED20106,734,2875,3183,43,29,6861,546,2520,4310,72,21,7468,292,1922,11225,189,31,13660,22,459,980,5,4,1476,86,560,1679,47,10,2378,3,26,214,3,0,247,9,11,115,0,3,132,8,42,121,0,4,179,423,3016,14333,243,49,18074,14,44,112,0,4,177,40,191,584,8,15,841,1755,8658,22533,362,110,33414
SED20207,5974,1407,111,5,5,7507,10644,1994,180,3,13,12838,4869,1745,560,8,11,7193,186,67,62,0,0,315,851,210,47,4,6,1125,22,11,21,0,0,57,162,31,6,0,0,199,62,30,0,0,0,91,6158,2098,701,13,18,8987,107,75,13,0,0,195,514,121,38,0,10,688,23396,5702,1042,27,40,30207
SED20302,7831,450,52,145,21,8501,9666,243,19,6,30,9962,3829,569,73,6,15,4488,185,214,13,0,0,406,1270,79,24,9,5,1392,34,31,9,0,0,77,143,12,4,42,0,205,158,17,0,0,0,171,5607,920,131,55,22,6740,215,50,0,3,7,279,636,89,12,16,13,763,23954,1755,220,235,85,26244
SED20401,6101,914,119,0,12,7152,7841,1337,271,4,18,9475,2251,1172,256,3,10,3695,276,185,117,0,0,582,693,246,36,0,7,982,48,31,36,0,0,115,36,13,0,3,0,60,44,15,4,0,0,67,3349,1665,458,5,23,5505,100,26,14,0,0,138,356,126,47,0,14,542,17761,4072,903,13,64,22812
SED20508,8657,504,97,64,32,9356,7417,223,32,8,21,7705,2368,399,88,12,11,2869,48,44,0,0,0,96,867,100,22,8,8,1003,42,14,0,0,0,59,58,6,4,25,6,94,98,10,0,3,6,122,3483,574,112,47,34,4247,127,27,3,3,3,168,443,51,17,10,14,529,20127,1389,258,134,100,22012
SED20604,7464,256,75,60,57,7910,7896,144,38,20,65,8165,2801,705,246,13,12,3775,624,247,106,0,0,985,1188,132,55,10,16,1408,55,20,11,0,0,83,390,23,7,17,3,437,117,7,5,0,0,131,5170,1140,431,46,33,6825,150,9,8,3,0,169,496,65,32,8,5,611,21172,1608,583,143,163,23681
SED20704,7340,366,27,39,11,7782,8306,163,25,15,21,8539,3039,873,73,6,18,4013,414,225,15,0,6,658,1082,161,7,8,9,1260,113,47,0,0,0,159,82,13,0,4,0,95,102,11,4,7,3,124,4833,1324,105,19,33,6315,140,14,0,0,3,164,490,82,15,9,9,608,21105,1949,174,88,83,23396
SED20804,7825,242,33,70,47,8214,7677,141,35,15,53,7921,2751,588,142,7,21,3521,537,256,63,0,0,863,1252,117,39,13,8,1432,95,42,35,0,0,171,114,13,35,35,6,203,95,15,10,3,0,126,4850,1039,319,63,35,6311,98,7,11,0,3,119,586,94,28,9,10,725,21030,1526,429,158,148,23289
SED20906,6259,949,578,5,4,7801,5537,1398,706,5,30,7670,1863,976,1015,19,15,3892,88,90,265,0,0,446,595,221,173,18,7,1010,19,18,60,0,0,106,33,10,14,0,0,61,50,19,14,0,0,90,2647,1338,1552,43,22,5607,58,61,74,0,0,196,317,104,109,0,4,533,14816,3847,3018,58,63,21805
SED21001,6679,2126,401,11,13,9231,5271,1566,475,11,13,7338,1652,2154,1879,8,19,5707,43,103,86,0,0,232,652,492,285,3,7,1435,33,83,41,0,0,153,48,53,41,0,3,149,48,38,20,0,0,108,2467,2919,2350,14,28,7781,134,94,44,0,0,281,307,150,98,0,17,570,14860,6855,3369,39,67,25197
SED21106,5374,1826,1102,13,23,8343,4173,1372,1280,18,38,6873,1135,1117,3595,40,21,5914,54,118,184,0,0,355,350,275,535,11,10,1181,5,16,72,0,0,94,18,10,22,0,0,58,39,22,29,0,0,93,1600,1554,4444,55,35,7690,50,71,94,0,0,213,226,104,186,0,7,534,11425,4928,7102,85,108,23651
SED21203,6207,300,98,38,16,6655,5945,773,178,25,11,6930,2151,872,355,20,25,3431,878,257,201,35,5,1380,1153,205,87,15,18,1466,44,19,37,0,0,104,304,64,44,82,3,502,89,15,16,10,0,125,4629,1435,735,161,46,7004,112,14,3,0,0,136,782,117,63,19,36,1014,17674,2636,1078,248,108,21741
SED21303,5088,1427,576,20,19,7134,3765,1841,1549,18,20,7204,1703,2923,5470,82,34,10216,74,281,474,0,0,836,720,657,665,37,13,2094,16,35,107,0,0,161,29,18,44,4,3,104,54,38,30,0,0,122,2599,3964,6792,126,55,13534,76,37,33,0,0,147,300,178,231,10,17,731,11824,7446,9194,177,114,28750
SED21401,8625,1353,351,3,4,10346,4792,1131,386,3,10,6324,1754,816,656,7,3,3232,23,20,41,0,0,84,554,196,105,3,7,864,16,6,33,0,0,51,37,10,13,0,0,64,53,17,14,0,0,86,2441,1071,860,8,16,4392,175,50,33,0,0,258,434,104,48,0,32,614,16466,3711,1679,17,64,21938
SED21503,6855,625,182,0,4,7666,6397,802,123,3,4,7339,1981,1141,686,9,4,3820,203,144,36,0,0,380,726,170,99,3,5,1002,48,12,56,0,0,117,82,19,48,0,0,145,58,10,5,0,0,72,3091,1493,921,11,10,5527,88,15,78,0,0,178,402,77,50,0,10,543,16830,3015,1355,12,34,21255
SED21608,6676,459,70,31,30,7266,7924,447,26,43,22,8459,2037,925,152,10,17,3131,349,196,47,0,0,586,888,132,21,10,7,1059,62,43,19,0,0,127,80,31,4,6,8,125,94,16,8,0,3,116,3504,1348,243,26,37,5148,99,58,5,3,5,162,449,77,25,6,22,583,18653,2384,362,107,119,21621
SED21706,6242,1357,353,6,15,7974,5580,1355,476,10,17,7438,1952,1252,817,16,25,4069,358,321,338,0,3,1019,759,297,155,8,11,1229,32,103,98,0,0,229,74,33,21,0,0,134,52,21,12,0,4,93,3219,2028,1447,29,40,6767,98,159,47,0,3,306,334,135,54,3,8,540,15477,5028,2384,47,83,23027
SED21805,4943,1503,141,134,12,6728,8608,2031,248,18,12,10911,2439,1802,336,11,5,4591,190,124,61,0,0,380,748,328,55,11,3,1149,37,67,6,0,0,108,61,25,15,207,0,306,46,25,3,10,0,86,3517,2367,483,235,12,6617,76,189,12,4,0,286,414,218,49,17,9,706,17553,6313,927,411,37,25244
SED21906,4393,2073,958,22,26,7476,3324,1929,1554,35,16,6857,944,1630,4964,78,22,7641,7,105,117,0,0,233,413,580,789,28,11,1828,14,22,73,0,0,109,32,12,38,3,3,90,45,49,41,3,3,143,1463,2395,6027,112,47,10039,52,41,53,4,3,162,203,157,197,7,20,589,9434,6597,8790,175,112,25117
SED22005,7256,964,306,0,17,8543,5117,1570,375,9,14,7081,2504,2376,988,3,20,5896,210,213,54,0,3,479,887,517,120,5,7,1546,61,31,10,0,0,102,142,78,16,0,0,241,90,35,9,0,0,140,3900,3248,1191,10,35,8392,91,37,120,0,4,251,493,161,150,0,25,834,16856,5986,2142,26,90,25095
