SED_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED20106,21,125,427,246,203,113,37,3,0,1180,33,155,577,407,308,196,83,12,3,1772,646,3367,15264,9755,6896,4425,1519,160,25,42057
SED20207,46,128,355,410,315,154,28,0,0,1427,65,188,581,539,400,242,52,7,0,2080,1602,3325,11277,12686,9024,4472,723,55,16,43172
SED20302,46,122,324,259,241,171,34,14,3,1207,97,118,319,311,306,242,67,16,9,1487,1659,2363,6812,6895,6649,4792,1276,197,50,30684
SED20401,35,123,334,293,263,177,53,9,0,1282,49,117,328,309,383,229,70,13,7,1508,1370,2696,7271,6867,6496,4652,1102,113,9,30579
SED20508,47,78,191,198,206,161,48,7,0,933,63,94,138,175,210,191,73,14,5,952,1462,1821,4231,5454,5994,4977,1215,142,20,25318
SED20604,68,150,240,199,232,155,40,3,0,1090,73,104,174,226,243,173,79,20,3,1100,1858,2570,5461,5846,6817,5424,1450,199,43,29677
SED20704,49,131,234,188,221,181,51,11,0,1067,60,103,165,198,205,173,47,21,0,964,1918,3092,5746,5878,6344,4825,1080,131,25,29027
SED20804,43,116,226,166,192,161,42,5,0,953,68,92,161,206,207,178,70,16,8,1005,1390,2403,5094,4991,5648,4757,1021,133,33,25474
SED20906,24,94,171,206,286,176,41,7,0,1008,35,63,214,284,340,170,63,9,8,1191,1277,2281,5192,7175,7599,4438,1028,98,20,29110
SED21001,26,94,255,220,234,184,63,10,0,1095,43,110,307,279,299,189,61,16,8,1304,1380,3081,7130,6897,7416,4817,1282,158,27,32180
SED21106,31,64,199,165,220,125,36,8,0,850,42,86,258,292,354,252,110,16,12,1420,1007,2310,6101,6850,7847,5101,1775,233,33,31256
SED21203,21,105,259,223,176,116,15,3,0,913,60,192,470,378,366,173,31,19,5,1702,997,2767,6290,4762,4606,2492,382,55,11,22361
SED21303,15,130,459,262,236,121,42,4,0,1274,26,147,543,305,194,136,56,9,0,1407,850,4411,14874,9217,6117,3433,775,68,16,39756
SED21401,23,75,203,181,243,181,63,5,0,980,34,110,292,241,300,209,100,19,5,1321,1036,2385,5535,5606,6442,4472,1509,252,22,27259
SED21503,35,125,259,228,212,161,44,4,0,1075,43,155,305,260,286,185,53,8,3,1297,1337,3043,6786,6381,5840,3983,866,82,10,28315
SED21608,35,92,175,185,225,187,38,3,0,943,75,139,150,206,237,171,67,17,3,1072,1553,2733,4811,5510,5977,4365,992,124,27,26081
SED21706,30,102,178,175,196,150,60,7,0,888,50,136,311,254,324,152,46,8,7,1277,1439,3341,6607,6537,7150,4395,1147,111,19,30747
SED21805,49,152,314,294,306,190,48,0,0,1355,64,132,367,411,449,322,86,15,7,1844,1479,2730,7296,7981,7374,5021,1097,94,18,33096
SED21906,39,105,321,207,206,153,75,10,0,1118,42,125,412,323,274,191,103,23,13,1507,802,2787,9948,7409,6154,4469,1759,220,41,33600
SED22005,34,141,391,323,261,169,45,9,0,1363,43,224,551,412,392,271,75,10,7,1974,1150,3429,9046,7359,6102,3924,935,82,12,32039
SED22105,59,212,572,440,312,173,37,3,0,1802,106,277,746,663,534,283,72,9,5,2692,1876,4083,13343,12244,8097,4357,746,70,12,44825
SED22201,29,121,283,255,270,199,63,3,0,1223,38,148,295,261,282,199,78,17,3,1328,1472,2761,6612,6204,6218,4509,1069,96,22,28953
SED22305,20,118,338,266,196,140,31,0,0,1101,52,282,741,572,444,258,75,7,4,2435,956,2999,8336,6571,4899,3513,733,60,8,28081
SED22404,82,115,220,218,278,208,69,6,4,1206,69,123,181,283,404,269,111,36,4,1474,1357,1992,3994,5198,6478,5405,1612,247,54,26341
SED22501,42,103,197,211,260,223,45,6,0,1089,52,85,202,215,288,199,80,8,0,1129,1581,2712,4917,6711,7412,5976,1437,99,10,30852
SED22607,28,77,296,187,200,147,32,9,0,979,32,128,318,298,261,144,62,10,0,1251,1233,3470,9509,7711,6927,4591,985,102,16,34553
SED22704,52,111,184,179,214,171,52,5,3,979,73,101,149,190,297,249,103,38,3,1211,1516,2118,4245,4881,6535,5785,1655,316,72,27117
SED22802,62,133,305,293,315,230,63,10,0,1403,72,124,283,288,363,233,73,12,0,1461,1825,2796,5993,5950,6639,4612,1140,117,7,29075
SED22901,29,104,233,233,255,189,52,3,0,1104,46,121,273,287,296,279,65,9,4,1378,1309,2601,6009,5804,6106,5077,1164,79,19,28169
SED23007,20,180,453,297,232,128,28,7,4,1351,55,262,758,467,401,247,59,5,0,2261,1014,4216,13171,8797,6068,3595,602,62,16,37541
SED23101,21,108,161,202,270,155,60,4,0,988,36,90,236,256,276,170,87,23,0,1170,1233,2408,5086,6173,6118,4167,1236,147,7,26563
SED23205,37,114,229,190,230,142,44,0,0,993,62,129,292,316,335,228,67,9,8,1440,1327,2550,5795,5614,5785,4460,1077,91,16,26724
SED23308,28,128,244,190,214,164,51,6,0,1031,45,117,250,192,214,147,52,21,3,1045,1500,3179,6936,6038,6230,4645,963,120,23,29625
SED23402,63,130,344,274,302,195,66,5,0,1378,75,162,299,355,432,278,77,21,11,1702,1971,3396,7060,7363,7773,4975,1070,111,23,33748
SED23502,32,103,162,152,192,174,48,8,3,880,62,78,141,166,213,236,93,34,0,1023,1284,1692,3718,4199,5389,5119,1520,265,32,23221
SED23602,52,103,170,142,151,160,35,0,0,827,57,76,157,149,230,205,77,36,14,996,1308,1671,3934,4464,5532,4911,1476,258,49,23604
SED23702,90,162,306,292,349,252,72,4,0,1527,65,177,308,333,388,262,79,9,6,1637,2358,3717,6646,6612,7922,5577,1197,94,12,34140
SED23806,30,113,242,137,143,108,51,4,0,832,33,129,294,238,243,175,87,27,11,1236,1190,3767,9348,6802,6507,4442,1670,196,29,33955
SED23901,26,77,208,190,202,165,38,9,0,916,34,93,250,270,242,170,66,20,6,1139,1200,2613,6765,7032,6689,4739,1271,174,15,30489
SED24006,35,86,157,120,175,134,36,7,0,740,43,122,210,240,339,223,80,31,9,1301,1366,3120,5342,5534,7536,5018,1677,274,40,29903
SED24105,38,132,343,341,277,180,54,6,0,1367,51,237,564,505,499,300,72,22,0,2243,1224,3137,7518,6904,6387,4231,928,82,7,30412
SED24207,30,136,351,327,266,147,33,3,4,1297,63,229,582,592,424,256,36,7,3,2192,1458,3201,8774,9989,7085,4012,615,49,13,35195
SED24308,38,142,230,213,177,135,22,3,3,957,76,146,253,283,276,214,56,13,7,1321,1496,2763,5750,5680,5746,3979,783,65,15,26280
SED24408,45,102,187,162,187,167,51,6,0,905,61,61,135,121,186,165,97,36,7,872,1372,1909,4099,4446,5763,5399,1701,395,64,25145
SED24504,39,98,143,204,228,182,63,5,0,962,49,83,143,240,296,212,92,21,8,1141,1278,1865,3609,5951,7157,5262,1536,178,37,26875
SED24606,21,88,185,126,141,94,34,4,0,697,33,126,269,227,290,158,114,36,13,1269,871,2910,7358,5925,6000,4198,1827,305,57,29451
SED24703,31,221,561,208,190,104,32,4,0,1342,71,403,907,350,254,138,50,11,3,2187,1493,8206,24270,9380,5500,3542,1237,169,38,53839
SED24808,70,169,356,277,229,161,49,3,0,1318,86,210,384,384,369,217,53,8,0,1718,1872,3237,8222,7817,6688,4643,837,47,10,33372
SED24904,58,113,207,158,193,129,46,5,0,906,64,111,227,227,237,237,76,21,6,1209,1567,2244,5038,4983,5900,5025,1293,180,45,26279
SED25003,34,146,305,305,275,150,32,0,0,1250,79,162,408,373,399,234,51,5,3,1716,1640,3395,7756,7528,7419,4512,633,46,8,32927
SED25102,46,132,231,246,323,221,47,3,3,1248,74,131,240,289,327,270,75,15,3,1425,1632,2562,4925,6404,7021,5501,1306,114,16,29478
SED25205,31,95,218,243,266,191,42,3,0,1101,51,109,219,328,359,206,78,14,7,1360,1477,2490,5941,7911,7802,4728,1061,111,20,31541
SED25302,35,73,160,214,286,154,50,6,0,976,63,102,162,279,347,222,104,22,7,1305,1725,1982,3471,6331,7357,4969,1593,199,25,27652
SED25402,59,141,215,201,196,127,34,8,0,983,54,99,199,159,196,181,60,17,5,981,1594,2582,5479,5204,5873,4623,997,127,24,26503
SED25501,14,75,148,156,244,141,40,13,0,836,39,121,302,281,340,180,59,26,11,1353,1131,2586,5344,5872,6816,4203,1068,189,34,27241
SED25605,19,113,284,207,245,153,59,9,0,1090,36,143,445,358,340,254,63,23,3,1672,934,2598,6638,5942,5731,4085,1156,133,18,27233
SED25704,59,125,218,171,207,204,46,10,3,1037,91,103,148,163,239,240,76,42,15,1124,1694,2142,4434,4933,6242,5477,1454,276,45,26699
SED25802,75,135,265,236,324,234,58,11,0,1334,83,114,189,225,296,245,92,28,5,1282,1703,2511,5219,5408,6772,5418,1441,253,44,28768
SED25905,43,146,307,283,361,209,39,4,0,1386,82,193,406,324,437,303,68,6,4,1824,1604,3385,6686,6245,7155,4912,832,59,7,30891
SED26005,65,178,330,375,366,170,38,4,0,1523,85,252,468,584,535,297,55,4,3,2289,2243,3887,7372,9975,9065,4654,702,56,6,37964
SED26102,28,79,168,160,188,177,55,5,0,856,62,94,141,192,260,256,122,26,8,1150,1202,1703,3524,4466,5505,5048,1764,219,39,23464
SED26207,16,94,217,219,210,180,57,11,0,1002,36,91,236,258,338,198,73,13,4,1254,1250,2538,5604,6340,6679,4251,1097,124,10,27902
SED26303,16,103,313,273,207,134,35,3,0,1083,28,132,394,298,256,127,29,8,0,1281,888,2983,10445,8835,7128,3741,702,82,18,34822
SED26406,26,123,291,214,231,117,36,7,0,1043,40,141,442,301,275,156,48,12,15,1423,1246,3413,9913,7696,6367,3752,875,106,25,33396
SED26504,41,93,165,147,172,128,44,3,0,804,82,91,157,186,228,185,77,36,13,1052,1536,1787,3816,4723,5838,5014,1305,261,48,24335
SED26603,28,111,358,294,250,147,33,3,0,1224,35,161,502,373,281,182,45,3,3,1589,1029,3331,10708,8817,6748,3665,668,78,12,35060
SED26708,49,93,156,179,167,143,57,0,0,838,89,91,183,207,253,225,109,36,11,1206,1580,2044,4373,5315,6508,5507,1778,305,67,27478
SED26806,27,132,492,233,166,96,25,3,3,1185,26,145,734,319,263,173,92,22,11,1785,630,4333,19420,8747,5370,3530,1466,235,52,43777
SED26903,27,93,288,264,218,111,34,4,0,1034,58,161,463,362,292,180,40,6,3,1569,919,2874,9179,7514,5715,3274,582,50,20,30117
SED27003,13,104,502,245,167,140,33,4,0,1216,24,141,688,349,222,134,52,5,3,1620,658,3774,18640,9135,5699,3565,1101,87,23,42686
SED27101,31,116,272,291,229,189,44,8,0,1180,31,102,330,296,275,160,58,15,3,1275,1277,2426,7494,7670,6368,4096,1040,112,6,30488
SED27208,49,104,159,160,185,158,32,6,0,847,68,78,143,178,234,215,84,42,8,1054,1411,1815,3917,4666,5824,5205,1496,246,63,24644
SED27305,56,141,197,266,327,228,39,0,0,1256,58,127,228,301,412,260,49,14,0,1452,1832,3095,5011,6072,7478,4830,816,68,6,29211
SED27406,34,67,140,173,218,118,52,6,0,815,36,68,171,267,382,206,90,19,6,1249,1278,2221,4663,6402,7522,5003,1531,165,26,28813
SED27504,76,128,265,250,286,194,59,10,0,1258,101,140,250,252,275,197,88,19,11,1338,1925,2497,5732,5764,6567,5182,1351,178,39,29239
SED27608,47,143,263,228,235,161,46,10,0,1132,67,112,201,230,221,159,57,18,4,1062,2006,3400,6832,7729,7213,4965,1165,125,21,33450
SED27708,44,126,190,217,214,155,54,8,0,999,75,106,167,170,261,216,70,37,6,1119,1973,2480,4957,5612,6748,5296,1271,240,31,28611
SED27807,23,165,398,275,259,156,27,0,0,1314,65,316,676,503,464,312,52,12,3,2398,1051,3544,8370,5939,5285,3763,653,44,3,28639
SED27907,50,139,272,234,261,182,30,4,0,1182,53,133,244,276,302,187,65,3,7,1276,1488,2831,6438,6270,6494,4602,993,58,16,29178
SED28007,38,146,320,315,334,140,31,0,3,1316,79,182,418,456,436,211,46,8,0,1838,1972,3670,8051,9337,8387,4387,595,27,8,36432
SED28107,53,125,438,371,216,140,27,0,0,1370,62,271,783,608,370,209,46,7,3,2361,1705,3739,14018,11758,7662,4157,630,37,12,43703
SED28203,22,124,325,285,199,105,31,0,0,1092,57,185,539,438,367,206,50,20,3,1855,983,2587,8274,6580,4644,2913,554,51,13,26597
SED28301,33,90,169,201,299,183,65,14,0,1056,38,103,217,261,316,239,81,15,3,1266,1572,2700,4526,5716,7461,5047,1431,203,17,28675
SED28408,33,108,173,152,172,147,53,3,0,846,61,70,141,139,193,130,45,11,7,796,1566,2555,5207,5031,5611,4174,899,117,16,25176
SED28507,45,126,284,215,199,143,43,3,0,1060,53,149,394,343,305,208,52,6,3,1510,1362,3000,7997,7211,6322,4182,822,51,13,30961
SED28607,30,92,279,269,213,175,37,8,0,1102,42,135,339,361,326,169,53,3,0,1434,1138,2593,8677,9837,8013,4443,842,66,12,35618
SED28704,65,186,443,416,344,206,46,9,0,1709,92,162,431,373,404,247,82,10,0,1794,2038,3375,9634,9836,8457,5114,1033,100,17,39601
SED28803,48,151,433,338,314,164,35,3,0,1486,97,278,581,482,470,227,39,3,0,2184,1918,4184,10514,9409,8068,4181,638,40,5,38954
SED29494,0,6,30,16,16,6,3,0,0,89,4,16,46,24,38,12,0,0,0,148,64,289,726,386,300,215,42,7,0,2033
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,8,3,0,0,0,23
