SED_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED20106,33660,34599,68259,16998,13078,30076,3948,6294,10244,747,990,1737,1311,1258,2564,23003,21617,44622,6675,9124,15802,5.7,5.8,5.7,68.3,62.5,65.4,64.4,58.9,61.6,3887,4185,8075,884,1508,2394,9397,10110,19507,2828,3247,6077,3156,1579,4732,147,192,343,389,529,925,3695,2301,6001,23223,23833,47059,8848,9153,18000,11546,12064,23608,19984,20397,40383
SED20207,34608,35859,70471,18531,10125,28655,4133,8325,12453,945,1118,2071,1669,1790,3458,25274,21357,46634,7506,12663,20169,6.6,8.4,7.4,73,59.6,66.2,68.2,54.6,61.3,2811,2549,5358,599,993,1590,5777,7077,12858,3228,3886,7118,6277,3076,9352,179,349,525,494,674,1168,6951,4100,11050,34616,35113,69732,7016,7242,14260,20505,20808,41319,18446,19010,37462
SED20302,27601,29960,57563,11995,5837,17835,3335,7526,10860,915,1081,1998,1020,1011,2031,17263,15455,32719,8460,12451,20912,5.9,6.5,6.2,62.5,51.6,56.8,58.9,48.2,53.3,576,674,1249,318,685,1002,2089,3312,5396,2071,3322,5394,7936,3800,11738,204,490,697,435,733,1166,8570,5026,13598,26434,27872,54306,5605,6107,11710,15750,16310,32065,14404,15916,30315
SED20401,24569,26403,50973,12245,6716,18961,3092,6955,10047,696,875,1566,947,842,1788,16981,15392,32370,6328,9529,15857,5.6,5.5,5.5,69.1,58.3,63.5,65.3,55.1,60,1017,1019,2038,403,817,1222,3093,4157,7256,2207,3118,5328,6453,2869,9320,171,304,479,355,611,967,6981,3789,10766,24306,25376,49676,3446,3776,7225,17213,17844,35058,9391,10152,19538
SED20508,23034,25452,48485,9174,4644,13819,3019,7013,10032,673,799,1472,748,663,1409,13614,13112,26729,8053,10914,18966,5.5,5.1,5.3,59.1,51.5,55.1,55.9,48.9,52.2,738,783,1526,443,910,1357,2570,3923,6488,2145,3112,5257,6466,2981,9451,155,321,479,354,613,966,6985,3915,10894,22261,23817,46076,3767,4206,7977,14559,15426,29985,10478,11791,22272
SED20604,25412,26422,51834,11677,6094,17772,2998,7065,10060,864,984,1844,849,827,1669,16384,14963,31348,7336,9800,17142,5.2,5.5,5.3,64.5,56.6,60.5,61.1,53.5,57.3,492,646,1137,393,795,1187,1868,3301,5163,2021,3016,5044,7240,3725,10964,251,518,771,379,632,1015,7875,4879,12753,24066,24966,49038,4536,4723,9259,16078,16650,32729,11205,11759,22966
SED20704,24383,26957,51349,10683,5607,16286,3246,7641,10885,793,1066,1861,991,862,1850,15714,15165,30879,7016,10019,17037,6.3,5.7,6,64.4,56.3,60.1,60.4,53.1,56.5,628,735,1365,454,969,1427,2456,3934,6389,1816,2551,4371,6389,3277,9660,210,425,634,325,601,932,6918,4304,11222,23904,25113,49019,4366,4981,9345,15412,15972,31383,11303,12751,24056
SED20804,24040,25559,49596,9250,5091,14340,3136,6535,9669,656,815,1469,947,818,1767,13984,13253,27240,8305,10398,18705,6.8,6.2,6.5,58.2,51.9,54.9,54.3,48.7,51.4,625,830,1461,477,879,1356,2130,3429,5561,1571,2448,4022,6249,3005,9250,222,386,608,337,527,863,6807,3920,10727,22208,23557,45761,3549,3949,7501,15067,15778,30842,9596,10667,20264
SED20906,23228,25556,48784,11244,6605,17850,3169,6846,10013,521,733,1253,979,853,1833,15911,15035,30947,6203,9331,15541,6.2,5.7,5.9,68.5,58.8,63.4,64.3,55.5,59.7,1847,1924,3766,570,1042,1617,5135,6050,11189,2160,2916,5075,3495,1568,5066,91,194,290,286,490,778,3874,2248,6126,23221,24867,48088,4119,4270,8390,15994,17142,33140,10249,10994,21243
SED21001,27436,30412,57846,11818,7060,18879,4174,7760,11926,592,786,1377,1229,1074,2305,17805,16673,34482,8381,12339,20723,6.9,6.4,6.7,64.9,54.8,59.6,60.4,51.3,55.6,3063,2797,5865,815,1466,2287,6928,7965,14892,2521,3252,5773,2971,1406,4372,133,194,331,298,474,773,3406,2069,5479,25426,27663,53094,5515,5880,11391,16726,18555,35285,13304,14050,27348
SED21106,23869,27566,51431,11864,7717,19579,3368,6990,10357,542,780,1322,759,764,1519,16532,16248,32783,5786,9498,15286,4.6,4.7,4.6,69.3,58.9,63.7,66.1,56.2,60.8,2617,2575,5190,723,1405,2127,6905,7820,14722,2178,3003,5184,2386,1236,3626,98,178,281,308,503,810,2793,1926,4720,22190,24627,46817,4655,5229,9880,14234,16062,30298,11824,13256,25080
SED21203,28322,28119,56445,8715,4111,12827,3824,4188,8013,874,644,1518,1989,1349,3338,15408,10285,25693,10765,15795,26562,12.9,13.1,13,54.4,36.6,45.5,47.4,31.8,39.6,974,729,1699,187,344,533,2535,2641,5181,1761,2212,3977,3965,2132,6097,230,325,549,368,463,828,4564,2916,7476,28019,28020,56036,4672,4317,8990,19376,20041,39424,11262,10324,21588
SED21303,29552,32467,62016,13973,10949,24918,4857,8217,13073,769,991,1759,1406,1203,2602,21005,21350,42356,6593,9003,15597,6.7,5.6,6.1,71.1,65.8,68.3,66.3,62.1,64.1,3285,4040,7329,1013,1839,2848,7741,9354,17095,2262,2550,4811,3295,1563,4859,149,184,335,288,397,690,3734,2146,5881,23775,25628,49395,7158,7815,14972,14453,15849,30298,15699,16907,32606
SED21401,24944,27448,52398,10444,5967,16416,3359,6261,9617,530,693,1226,1002,886,1890,15339,13813,29150,8536,12397,20926,6.5,6.4,6.5,61.5,50.3,55.6,57.5,47.1,52,2198,1851,4050,534,871,1403,5409,6135,11545,2272,2629,4900,3352,1460,4816,104,193,301,321,577,897,3781,2225,6006,23861,25855,49717,3778,4017,7792,17526,18975,36501,9383,10090,19475
SED21503,24995,26501,51496,10703,5913,16612,3453,6739,10193,629,876,1510,1298,1112,2412,16092,14636,30725,7680,10440,18121,8.1,7.6,7.9,64.4,55.2,59.7,59.2,51,55,1562,1511,3071,389,773,1167,3988,4803,8789,2222,2635,4851,4783,2011,6797,147,246,386,310,498,813,5243,2749,7993,23480,24403,47886,4437,4580,9013,16486,17443,33931,10434,10608,21041
SED21608,23210,24560,47771,9846,4900,14741,2958,6694,9650,747,938,1687,1049,876,1931,14598,13411,28006,7013,9442,16452,7.2,6.5,6.9,62.9,54.6,58.6,58.4,51,54.6,617,748,1367,404,772,1175,2101,3220,5325,1676,2482,4160,6333,3066,9395,191,432,618,299,466,761,6814,3963,10781,22570,23284,45853,3743,3992,7737,15388,15516,30903,9727,10578,20306
SED21706,26058,29007,55066,11342,6760,18104,3821,7465,11289,555,805,1361,1333,1150,2486,17049,16182,33232,7689,11380,19071,7.8,7.1,7.5,65.4,55.8,60.3,60.3,51.8,55.8,2954,2703,5654,794,1339,2132,6729,7689,14418,2311,2927,5233,2747,1302,4048,115,182,298,278,500,783,3148,1981,5130,24043,26488,50536,5422,5681,11106,15944,17899,33843,12599,13424,26022
SED21805,26486,28437,54917,13573,7606,21180,2946,7208,10149,761,997,1759,1027,1024,2050,18310,16840,35146,6347,9661,16012,5.6,6.1,5.8,69.1,59.2,64,65.2,55.6,60.3,623,767,1392,320,673,994,2453,3650,6109,2256,3420,5674,7350,3547,10899,200,409,611,423,675,1101,7974,4642,12613,25751,26864,52619,4041,4409,8445,16811,17294,34104,11685,12696,24383
SED21906,26018,28341,54354,12695,8196,20891,3927,7352,11284,589,839,1423,968,868,1830,18175,17250,35428,6231,9420,15655,5.3,5,5.2,69.9,60.9,65.2,66.2,57.8,61.8,2879,2923,5801,757,1426,2181,7724,8463,16186,2160,2950,5109,2503,1365,3866,100,167,269,336,516,844,2934,2042,4978,23319,25077,48397,5492,5833,11327,14554,15906,30460,13310,14000,27312
