SED_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED20106,512,658,131,22,1332,353,74,1755,1223,1238,310,59,2831,1266,251,4343,1247,1425,407,50,3134,932,248,4316,2467,2664,716,114,5962,2199,501,8658,497,179,94,21,790,1138,225,2149,1001,255,161,57,1474,2095,436,4006,5336,1322,712,404,7767,6547,2036,16355,5,5,3,0,15,11,0,27,6840,1760,962,481,10049,9787,2702,22533,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,115,28,19,8,163,153,34,354,114,28,21,8,169,158,35,362,29,13,4,0,49,55,7,110,9968,5125,1837,620,17553,12551,3320,33414
SED20207,5075,11496,2591,312,19472,3285,637,23396,855,1117,338,30,2337,1106,109,3558,564,851,226,31,1679,372,92,2145,1422,1969,562,61,4016,1480,203,5702,186,148,89,12,437,350,30,824,5,0,0,0,6,52,0,64,32,14,21,4,68,78,11,158,0,0,0,0,0,0,0,0,224,164,116,15,518,482,43,1042,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5,7,0,0,16,6,3,22,5,11,3,0,20,10,3,27,9,13,4,0,20,22,0,40,6729,13651,3274,387,24041,5278,890,30207
SED20302,6819,7906,2824,214,17762,5617,579,23954,277,117,109,15,518,785,33,1339,104,73,86,3,268,133,15,415,380,191,196,13,785,917,52,1755,37,9,11,0,54,126,6,196,0,0,0,0,4,13,0,13,4,0,0,0,3,5,0,9,0,0,0,0,0,0,0,0,42,8,10,0,63,147,6,220,16,3,3,0,22,66,0,89,20,5,5,0,32,78,0,112,0,0,0,0,0,10,0,10,6,9,3,0,11,12,0,20,45,12,8,0,69,169,0,235,28,27,4,0,57,28,0,85,7311,8138,3049,234,18734,6873,640,26244
SED20401,4549,6765,2199,196,13712,3559,489,17761,617,584,387,38,1629,1383,113,3126,247,209,116,17,594,304,54,948,865,794,503,55,2219,1691,166,4072,143,114,76,13,349,364,34,741,24,11,15,3,53,70,6,130,7,0,10,0,17,11,0,32,0,0,0,0,0,0,0,3,175,130,101,10,420,450,38,903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,3,3,12,3,3,0,0,10,3,3,13,12,15,4,0,31,32,0,64,5600,7711,2811,269,16392,5727,691,22812
SED20508,6609,6370,2006,135,15121,4629,378,20127,216,61,80,0,356,633,36,1024,117,60,39,3,213,135,8,361,331,119,115,4,571,771,43,1389,58,17,18,0,94,147,12,255,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,22,18,0,102,147,12,258,3,3,0,0,6,3,0,14,19,0,0,0,17,68,3,92,0,0,0,0,0,0,0,0,9,11,4,0,19,10,3,30,29,11,5,0,39,84,6,134,29,26,9,0,66,30,0,100,7053,6551,2158,136,15906,5665,439,22012
SED20604,6653,6537,2407,155,15764,4871,547,21172,249,89,174,15,531,900,70,1504,26,10,24,0,63,34,8,108,274,99,194,17,593,938,79,1608,89,22,59,4,172,380,36,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,24,59,4,169,380,36,583,12,3,0,0,20,25,0,43,3,3,3,0,8,20,0,34,0,0,0,0,0,3,0,3,11,13,5,0,28,26,3,60,31,20,7,0,60,80,3,143,57,44,15,3,116,46,0,163,7103,6727,2688,184,16700,6314,663,23681
SED20704,5991,6762,2596,206,15551,4742,811,21105,255,82,190,27,554,1064,112,1728,60,17,38,7,120,70,31,221,315,105,226,30,670,1127,145,1949,23,13,17,0,56,93,11,159,5,0,0,0,9,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,17,21,0,68,94,9,174,3,0,3,0,9,26,0,31,6,3,0,0,10,14,0,20,0,0,0,0,0,0,0,3,6,7,4,0,18,11,0,26,20,7,9,0,39,50,0,88,19,13,11,0,39,36,3,83,6365,6906,2855,242,16367,6052,975,23396
SED20804,5883,5695,2568,240,14388,5887,750,21030,198,58,123,17,396,858,85,1345,42,18,15,5,79,96,12,186,237,72,139,26,478,955,97,1526,49,23,42,3,111,240,16,369,5,4,0,0,10,35,3,44,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,53,22,42,3,123,291,20,429,4,0,5,0,9,51,0,61,15,0,0,0,13,34,0,45,0,0,0,0,3,3,0,9,20,9,0,0,27,13,3,43,36,8,5,0,51,98,4,158,45,32,8,0,88,46,9,148,6253,5835,2767,272,15125,7285,879,23289
SED20906,3217,6779,1593,166,11756,2684,376,14816,462,509,252,29,1250,806,82,2130,350,836,202,16,1399,274,44,1714,804,1345,455,41,2648,1080,121,3847,466,487,286,32,1264,859,105,2229,100,27,34,8,167,125,26,322,98,25,34,13,163,278,25,470,0,0,0,0,0,0,0,0,662,538,346,46,1600,1261,154,3018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,11,0,26,19,3,53,12,12,11,0,31,22,3,58,7,22,10,0,40,23,8,63,4702,8698,2409,262,16075,5070,666,21805
SED21001,3293,6810,1424,211,11743,2595,525,14860,1102,978,479,58,2617,1852,232,4701,541,669,282,50,1543,416,202,2157,1647,1645,764,108,4164,2268,430,6855,367,226,121,39,758,578,171,1503,256,104,77,28,464,375,110,957,228,59,47,14,351,472,95,915,0,0,0,0,0,3,0,3,849,392,244,88,1577,1424,373,3369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,0,0,21,11,4,35,11,11,0,0,24,12,4,39,18,8,7,0,34,19,14,67,5808,8870,2440,411,17533,6312,1346,25197
