SSC_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20002,0,22,65,20,18,18,3,0,0,146,0,29,94,39,20,16,7,0,0,199,67,500,2574,997,578,339,103,14,0,5171
SSC20003,0,13,8,14,14,3,5,0,0,57,3,4,13,14,22,18,3,0,0,81,159,235,292,414,561,358,91,3,0,2128
SSC20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,4,5,10,13,18,8,8,0,71
SSC20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20007,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,7,0,0,0,23
SSC20008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,5,11,0,0,34
SSC20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,7,3,0,0,0,30
SSC20010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,9,0,0,0,25
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,7,3,0,0,18,8,16,42,55,100,106,27,3,0,351
SSC20013,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,3,6,15,15,24,7,3,0,75
SSC20014,0,7,34,23,32,26,5,0,0,132,4,13,38,34,45,29,3,0,0,173,100,291,1005,857,754,493,95,14,0,3608
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,6,6,16,23,17,14,3,0,0,82,3,14,43,30,38,23,4,0,0,155,58,221,523,451,393,331,68,4,0,2050
SSC20017,9,8,17,9,22,7,3,0,0,70,4,5,25,38,35,16,7,0,0,132,73,156,587,784,768,497,188,19,3,3067
SSC20018,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,5,7,15,8,10,22,30,14,0,0,109
SSC20019,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,3,9,12,17,3,0,0,40
SSC20020,0,7,25,14,10,3,0,0,0,68,0,19,49,22,21,9,4,0,0,126,68,211,726,457,277,185,41,4,0,1965
SSC20021,4,0,9,11,6,0,4,0,0,36,0,9,6,5,6,13,3,0,0,43,58,88,173,221,259,220,52,4,5,1090
SSC20022,9,12,34,21,28,17,3,3,0,119,5,13,24,20,31,14,8,0,0,112,374,430,846,1000,1105,628,106,12,0,4502
SSC20023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8
SSC20024,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,8,5,0,0,29
SSC20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,5,0,3,13,10,0,0,0,32
SSC20026,0,5,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,12,10,9,13,33,42,39,12,0,0,157
SSC20027,0,8,6,12,13,0,0,0,0,38,3,3,9,5,11,10,3,0,0,46,49,72,123,152,189,135,34,11,0,769
SSC20028,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,5,5,19,25,17,0,0,3,78
SSC20029,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,6,9,19,16,5,0,0,56
SSC20030,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,3,10,17,20,16,0,0,0,66
SSC20031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,10
SSC20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,3,3,0,27
SSC20033,3,9,17,12,17,16,0,0,0,69,3,6,19,16,27,7,3,0,0,81,116,269,609,568,713,445,95,3,7,2824
SSC20034,4,12,32,43,44,28,8,0,0,175,7,26,47,49,55,43,11,3,0,241,158,338,1146,1349,1140,767,167,18,0,5094
SSC20035,14,40,93,93,78,42,11,0,0,366,12,44,115,78,87,74,11,0,0,432,336,834,2294,1887,1973,1353,201,19,6,8906
SSC20036,5,16,61,50,36,24,4,0,0,194,13,33,89,59,53,38,9,0,0,294,173,392,1343,1216,892,493,107,17,4,4640
SSC20037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13,16,14,3,0,0,57
