SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC22714,533,0,0,0,3,535,35,0,0,0,0,35,9,0,0,0,0,9,573,0,0,0,3,577
SSC22715,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC22716,72,0,0,0,0,74,25,0,0,0,0,30,0,0,0,0,0,0,102,0,0,0,0,106
SSC22717,1057,26,0,84,6,1170,73,0,0,3,0,77,19,0,0,3,0,27,1151,25,0,87,9,1276
SSC22718,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC22719,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC22720,241,0,5,9,4,257,113,0,7,6,3,128,17,0,0,0,0,16,369,0,12,17,14,404
SSC22721,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC22722,7,0,0,0,0,7,4,0,0,0,0,4,4,0,0,0,0,4,15,0,0,0,0,15
SSC22723,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC22724,12,0,0,0,0,12,10,0,0,0,0,10,0,0,0,0,0,0,20,0,0,0,0,20
SSC22725,33,0,0,0,0,33,8,0,0,0,0,8,0,0,0,0,0,0,43,0,0,0,0,43
SSC22726,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,12
SSC22727,35,0,0,0,0,35,10,0,0,0,0,10,0,0,0,0,0,0,45,0,0,0,0,45
SSC22728,65,0,0,0,0,67,12,0,0,0,0,12,3,0,0,0,0,3,77,0,0,0,0,84
SSC22729,101,0,0,3,0,104,33,0,0,0,0,36,4,0,0,0,0,4,137,0,0,3,0,142
SSC22730,24,0,0,3,3,29,6,0,0,0,0,12,0,0,0,0,0,3,32,0,0,3,3,43
SSC22731,2424,370,125,4,3,2923,861,247,84,0,0,1195,113,30,13,0,0,162,3404,645,226,4,4,4286
SSC22732,24,0,0,0,0,24,3,0,0,0,0,3,0,0,0,0,0,0,31,0,0,0,0,31
SSC22733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22734,16,0,0,0,0,16,5,0,0,0,0,5,0,0,0,0,0,0,16,0,0,0,0,16
SSC22735,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,17
SSC22736,9586,1803,122,10,10,11533,1548,518,28,4,5,2106,322,83,3,0,3,406,11453,2407,157,14,20,14051
SSC22737,380,28,48,30,0,481,108,7,14,31,0,149,12,0,4,3,0,17,501,35,59,57,0,654
SSC22738,31,0,0,0,0,30,15,0,0,0,0,16,0,0,0,0,0,0,44,0,0,0,0,47
SSC22739,273,0,3,3,0,278,49,0,0,0,0,49,9,0,0,0,0,9,332,0,3,3,0,335
SSC22740,100,0,0,0,0,103,28,0,0,0,0,26,10,0,0,0,0,10,136,0,0,0,0,141
SSC22741,39,0,0,0,0,39,4,0,0,0,0,4,0,0,0,0,0,0,40,0,0,0,0,40
SSC22742,2129,614,790,13,7,3555,342,115,171,0,3,627,58,20,35,0,6,117,2532,744,998,18,15,4308
SSC22743,67,443,1399,0,3,1922,20,35,58,0,0,110,7,11,42,0,0,64,92,489,1504,3,3,2089
SSC22744,3988,273,135,14,10,4416,562,116,89,7,0,770,70,15,12,3,0,99,4626,410,227,18,8,5291
SSC22745,50,0,0,0,0,50,13,0,0,0,0,13,0,0,0,0,0,0,63,0,0,0,0,63
SSC22746,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC22747,1381,321,3,7,3,1712,253,68,0,0,0,320,50,8,0,0,0,64,1685,395,3,4,3,2091
SSC22748,12,0,0,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,16
SSC22749,28,0,0,0,0,28,11,0,0,3,0,14,0,0,0,0,0,0,43,0,0,3,0,42
SSC22750,109,0,0,0,0,109,23,0,0,0,0,23,0,0,0,0,0,0,136,0,0,0,0,136
SSC22751,80,0,0,0,0,80,17,0,0,0,0,16,3,0,0,0,0,3,97,0,0,0,0,99
SSC22752,5339,251,230,6,7,5829,542,122,81,0,3,750,103,27,16,0,0,151,5982,396,328,6,13,6727
SSC22753,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
SSC22754,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,10
SSC22755,897,68,0,3,3,969,181,43,0,0,0,223,29,3,5,0,3,45,1109,108,5,4,6,1238
SSC22756,97,0,0,0,0,101,19,0,0,0,0,19,3,0,0,0,0,3,121,0,0,0,0,121
SSC22757,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC22758,60,0,0,0,0,64,22,0,0,0,0,22,3,0,0,0,0,3,86,0,0,0,0,92
SSC22759,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC22760,991,69,12,0,0,1070,374,40,3,0,0,419,47,3,0,0,0,54,1413,115,12,0,0,1540
SSC22761,1411,63,27,4,0,1510,295,38,11,0,0,342,57,11,3,0,0,69,1764,109,33,4,0,1914
SSC22762,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC22763,108,0,0,0,0,108,34,0,0,0,0,34,3,0,0,0,0,3,146,0,0,0,0,146
SSC22764,20,0,0,0,0,20,7,0,0,0,0,7,0,0,0,0,0,0,33,0,0,0,0,33
SSC22765,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
SSC22766,13,0,0,0,0,13,9,0,0,0,0,9,0,0,0,0,0,0,19,0,0,0,0,19
SSC22767,38,0,0,0,0,38,14,0,0,0,0,14,0,0,0,0,0,0,50,0,0,0,0,50
SSC22768,43,0,0,0,0,43,19,0,0,0,0,19,0,0,0,0,0,0,60,0,0,0,0,60
SSC22769,15,0,0,0,0,15,8,0,0,0,0,8,0,0,0,0,0,0,26,0,0,0,0,26
SSC22770,52,0,0,0,0,52,11,0,0,0,0,11,0,0,0,0,0,0,65,0,0,0,0,65
SSC22771,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,16
SSC22772,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
SSC22773,10,0,0,0,0,10,6,0,0,0,0,6,0,0,0,0,0,0,18,0,0,0,0,18
SSC22774,128,3,0,0,3,130,40,0,4,0,0,42,8,0,0,0,0,8,172,3,5,0,0,177
SSC22775,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC22776,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC22777,1571,262,3,0,4,1842,67,14,0,0,0,80,33,6,0,0,0,37,1676,276,3,0,0,1961
SSC22778,2617,1281,409,13,15,4336,269,174,174,3,0,617,38,31,31,0,3,104,2918,1490,616,15,16,5063
SSC22779,204,157,103,21,0,481,22,10,54,16,0,114,8,8,18,3,0,34,234,179,171,40,4,630
SSC22780,168,0,0,0,3,170,27,0,0,0,0,26,5,0,0,0,0,5,197,0,0,0,3,204
SSC22781,73,0,0,0,0,73,7,0,0,0,0,10,0,0,0,0,0,0,83,0,0,0,0,79
SSC22782,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC22783,18,0,0,0,0,16,4,0,0,0,0,4,3,0,0,0,0,3,24,0,0,0,0,27
SSC22784,41,0,0,0,0,41,8,0,0,0,0,7,6,0,0,0,0,6,48,0,0,0,0,52
SSC22785,25,0,0,0,0,25,7,0,0,0,0,7,0,0,0,0,0,0,26,0,0,0,0,26
SSC22786,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC22787,107,0,0,0,0,107,24,0,0,0,0,24,4,0,0,0,0,4,133,0,0,0,0,133
SSC22788,546,0,0,0,3,559,156,0,4,0,0,160,25,0,0,0,0,28,726,0,6,3,3,742
SSC22789,53,0,0,0,0,53,9,0,0,0,0,9,0,0,0,0,0,0,59,0,0,0,0,59
SSC22790,25,0,0,0,0,25,5,0,0,0,0,5,0,0,0,0,0,0,28,0,0,0,0,28
SSC22791,306,805,1605,13,16,2745,45,78,259,0,0,379,11,27,69,0,0,106,355,909,1931,15,14,3228
SSC22792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22793,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC22794,3,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,9
SSC22795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC22796,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4
SSC22797,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC22798,18,0,0,0,0,24,8,0,0,0,0,8,0,0,0,0,0,0,26,0,0,0,0,28
SSC22799,118,0,0,0,0,121,9,0,0,0,0,15,3,0,0,0,0,3,129,0,0,0,0,134
SSC22800,27,0,0,0,0,32,4,0,0,0,0,10,0,0,0,0,0,0,31,0,0,0,0,39
SSC22801,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC22802,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC22803,51,0,0,0,0,52,14,0,0,0,0,14,0,0,0,0,0,0,59,0,0,0,0,63
SSC22804,4952,670,55,13,9,5699,991,343,36,9,5,1387,170,57,6,0,0,237,6119,1067,97,19,19,7320
SSC22805,2249,109,49,0,15,2421,171,15,6,0,0,193,56,0,3,0,0,66,2477,128,56,0,19,2677
SSC22806,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC22807,12,0,0,0,0,12,7,0,0,0,0,7,0,0,0,0,0,0,20,0,0,0,0,20
SSC22808,64,0,0,0,0,64,13,0,0,0,0,13,0,0,0,0,0,0,72,0,0,0,0,72
SSC22809,13,0,0,0,0,13,5,0,0,0,0,5,0,0,0,0,0,0,20,0,0,0,0,20
SSC22810,1084,0,0,0,3,1091,57,0,0,0,0,57,19,0,0,0,0,19,1156,0,0,0,3,1157
SSC22811,15,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,17
SSC22812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22814,1305,35,14,38,3,1386,521,65,17,53,0,655,63,5,3,3,9,82,1885,106,33,93,8,2124
SSC22815,32,0,0,0,0,32,13,0,0,0,0,13,0,0,0,0,0,0,43,0,0,0,0,43
SSC22816,9,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,14
SSC22817,21,0,0,0,0,24,4,0,0,3,0,7,0,0,0,0,0,0,21,0,0,3,0,31
SSC22818,1698,45,4,3,8,1758,175,20,0,3,0,201,33,5,0,0,0,38,1913,65,5,4,11,2001
SSC22819,84,0,0,0,0,84,8,0,0,0,0,8,0,0,0,0,0,0,95,0,0,0,0,95
SSC22820,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
SSC22821,91,0,0,0,0,91,7,0,0,0,0,7,0,0,0,0,0,0,97,0,0,0,0,97
SSC22822,11,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,9
SSC22823,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC22824,40,0,0,0,0,40,11,0,0,0,0,11,0,0,0,0,0,0,52,0,0,0,0,52
SSC22825,5,0,0,0,0,9,11,0,0,0,0,11,0,0,0,0,0,0,17,0,0,0,0,17
SSC22826,109,0,0,4,0,109,29,0,0,3,0,28,3,0,0,0,0,3,136,0,0,7,0,146
SSC22827,28,0,0,0,0,30,8,0,0,0,0,8,3,0,0,0,0,3,37,0,0,0,0,38
SSC22828,29,0,0,0,0,29,13,0,0,0,0,13,0,0,0,0,0,0,46,0,0,0,0,46
SSC22829,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC22830,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC22831,115,0,0,0,0,118,35,0,0,0,0,40,3,0,0,0,0,3,153,0,0,0,0,155
SSC22832,7,0,0,0,0,7,8,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0,0,11
SSC22833,69,0,0,0,0,64,9,0,0,0,0,9,0,0,0,0,0,0,80,0,0,0,0,81
SSC22834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22836,112,0,0,3,0,114,38,0,0,0,0,38,0,0,0,0,0,0,152,0,0,3,0,151
SSC22837,73,0,0,0,0,73,15,0,0,0,0,15,0,0,0,0,0,0,94,0,0,0,0,94
SSC22838,97,0,0,0,0,97,15,0,0,0,0,15,0,0,0,0,0,0,116,0,0,0,0,116
SSC22839,16,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,14
SSC22840,21,0,0,0,0,21,5,0,0,0,0,5,0,0,0,0,0,0,22,0,0,0,0,22
SSC22841,27,0,0,0,0,27,4,0,0,0,0,4,0,0,0,0,0,0,30,0,0,0,0,31
SSC22842,874,7,0,0,3,882,132,0,0,0,0,133,27,0,0,0,0,27,1029,7,0,0,3,1033
SSC22843,58,0,0,0,0,58,22,0,0,0,0,22,3,0,0,0,0,3,80,0,0,0,0,80
SSC22844,16,0,0,0,0,23,5,0,0,0,0,5,0,0,0,0,0,0,27,0,0,5,0,25
SSC22845,90,0,0,0,0,94,31,0,0,0,0,31,3,0,0,0,0,3,132,0,0,0,0,132
SSC22846,53,0,0,0,0,52,15,0,0,0,0,15,0,0,0,0,0,0,70,0,0,0,0,68
SSC22847,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC22848,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC22849,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC22850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22854,22,0,0,0,0,22,3,0,0,0,0,9,0,0,0,0,0,0,31,0,0,0,0,29
SSC22855,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC22856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC22857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22858,99,0,0,0,0,104,26,0,0,0,0,24,0,0,0,0,0,0,124,0,0,0,3,132
SSC22859,36,0,0,0,0,39,6,0,0,0,0,6,0,0,0,0,0,0,43,0,0,0,0,46
SSC22860,309,3,6,0,0,316,34,0,4,0,0,36,12,0,0,0,0,12,357,3,10,0,0,368
SSC22861,472,5,7,0,0,486,107,3,3,0,0,115,17,0,0,0,0,17,595,8,10,0,0,617
SSC22862,161,4,4,3,0,172,82,0,0,3,0,88,7,0,0,0,0,10,253,3,3,9,0,272
SSC22863,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC22864,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6
SSC22865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC22866,19,0,0,5,0,23,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,5,0,26
SSC22867,12,0,0,0,0,12,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,19
SSC22868,6217,192,13,0,7,6424,608,39,0,0,0,651,162,3,3,0,3,165,6980,233,11,0,9,7241
SSC22869,67,0,0,0,0,71,9,0,0,0,0,9,0,0,0,0,0,0,79,0,0,0,0,80
SSC22870,26,0,0,0,0,26,5,0,0,0,0,5,0,0,0,0,0,0,33,0,0,0,0,33
SSC22871,24,0,0,0,0,24,10,0,0,0,0,10,0,0,0,0,0,0,31,0,0,0,0,31
SSC22872,27,0,0,0,0,27,9,0,0,0,0,9,0,0,0,0,0,0,33,0,0,0,0,33
SSC22873,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC22874,534,3,0,10,3,548,72,19,0,3,0,94,18,0,0,0,0,18,618,24,0,11,3,657
SSC22875,59,0,0,0,0,59,5,0,0,0,0,5,3,0,0,0,0,3,69,0,0,0,0,69
SSC22876,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC22877,1058,120,0,0,0,1182,88,13,0,0,0,103,27,3,0,0,0,28,1172,139,3,0,0,1311
SSC22878,38,0,0,0,0,38,6,0,0,0,0,6,0,0,0,0,0,0,50,0,0,0,0,50
SSC22879,437,0,0,0,0,443,125,0,0,0,0,125,15,0,0,0,0,15,581,0,0,0,0,578
SSC22880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22881,74,0,0,0,0,78,27,0,0,0,0,27,3,0,0,0,0,3,102,0,0,5,0,108
SSC22882,28,0,0,0,0,28,4,0,0,0,0,4,0,0,0,0,0,0,30,0,0,0,0,30
SSC22883,77,0,0,0,0,73,13,3,0,0,0,21,0,0,0,0,0,0,90,3,0,0,0,97
SSC22884,14,0,0,0,0,14,9,0,0,0,0,9,0,0,0,0,0,0,25,0,0,0,0,25
SSC22885,78,0,0,0,3,81,12,0,0,0,0,8,0,0,0,0,0,0,87,0,0,0,3,95
SSC22886,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC22887,51,0,0,0,0,51,6,0,0,0,0,6,0,0,0,0,0,0,57,0,0,0,0,57
SSC22888,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14
SSC22889,35,0,0,0,0,35,3,0,0,0,0,3,0,0,0,0,0,0,39,0,0,0,0,39
SSC22890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC22891,64,0,0,0,0,59,13,0,0,0,0,13,7,0,0,0,0,7,79,0,0,0,0,83
SSC22892,62,0,0,0,0,62,22,0,0,0,0,22,3,0,0,0,0,3,87,0,0,0,0,87
