SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20002,399,847,1940,16,18,3220,54,71,128,3,0,253,11,22,51,0,0,78,462,933,2117,22,24,3556
SSC20003,771,211,150,8,3,1156,82,26,31,0,0,131,5,3,5,0,0,17,860,238,188,10,3,1306
SSC20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20005,46,0,0,3,0,48,8,0,0,0,0,8,0,0,0,0,0,0,52,0,0,3,0,58
SSC20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20007,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,19
SSC20008,22,0,0,0,0,22,6,0,0,0,0,6,0,0,0,0,0,0,27,0,0,0,0,27
SSC20009,20,0,0,0,0,19,9,0,0,0,0,9,0,0,0,0,0,0,30,0,0,0,0,30
SSC20010,17,0,0,0,0,17,6,0,0,0,0,6,0,0,0,0,0,0,25,0,0,0,0,25
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,272,0,4,4,0,278,26,0,0,3,0,26,6,0,0,0,0,6,303,0,4,6,0,319
SSC20013,37,0,0,3,0,39,10,0,0,0,0,10,0,0,0,0,0,0,46,0,0,3,0,46
SSC20014,1525,756,43,9,11,2345,441,118,6,0,0,571,53,26,0,0,6,82,2022,903,53,10,20,3005
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,1344,32,0,0,0,1379,288,6,0,0,3,294,64,0,0,0,0,65,1691,43,0,0,3,1736
SSC20017,354,1408,358,6,13,2139,37,132,108,0,3,280,4,33,27,0,0,60,400,1569,491,9,15,2485
SSC20018,71,0,0,0,0,71,27,0,0,0,0,24,4,0,0,0,0,4,97,0,0,0,0,104
SSC20019,26,0,0,0,0,26,6,0,0,0,0,6,0,0,0,0,0,0,32,0,0,0,0,32
SSC20020,686,252,336,3,4,1277,207,57,148,0,3,408,48,22,30,0,0,99,944,321,512,3,5,1791
SSC20021,705,47,7,22,0,786,185,35,12,12,0,242,39,19,3,9,0,67,935,98,17,45,3,1098
SSC20022,2424,142,149,0,17,2738,241,16,63,0,3,328,38,4,7,0,3,55,2706,167,222,3,15,3116
SSC20023,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,10
SSC20024,16,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,3,24,0,0,0,0,24
SSC20025,20,0,0,0,0,20,8,0,0,0,0,8,0,0,0,0,0,0,28,0,0,0,0,28
SSC20026,92,0,0,0,0,92,11,0,0,0,0,11,0,0,0,0,0,0,107,0,0,0,0,107
SSC20027,368,0,3,34,3,404,64,0,0,19,0,77,8,0,0,0,0,7,434,0,3,50,3,492
SSC20028,53,0,0,0,0,53,8,0,0,0,0,8,0,0,0,0,0,0,61,0,0,0,0,61
SSC20029,29,0,0,0,0,29,12,0,0,0,0,12,0,0,0,0,0,0,49,0,0,0,0,49
SSC20030,57,0,0,0,0,56,17,0,0,0,0,20,0,0,0,0,0,0,75,0,0,0,0,77
SSC20031,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8
SSC20032,13,0,0,0,3,11,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,3,17
SSC20033,981,341,331,0,7,1664,85,32,46,0,0,168,20,6,10,0,0,41,1088,384,389,0,13,1876
SSC20034,2012,1190,275,11,11,3504,427,267,94,0,0,790,65,42,16,0,0,124,2515,1501,388,13,10,4415
SSC20035,4277,1122,255,3,11,5664,770,223,53,0,0,1049,121,29,11,0,0,164,5169,1375,323,4,12,6874
SSC20036,2107,799,125,7,16,3057,857,178,66,3,0,1099,104,26,18,0,0,154,3070,1008,207,12,18,4310
SSC20037,38,0,0,0,0,38,15,0,0,0,0,15,6,0,0,0,0,6,53,0,0,0,0,53
SSC20038,17,0,0,0,0,17,5,0,0,0,0,5,0,0,0,0,0,0,30,0,0,0,0,30
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,69,0,0,0,0,69,30,0,0,0,0,30,0,0,0,0,0,0,100,0,0,0,0,100
SSC20041,182,0,0,0,0,182,43,0,0,0,0,41,8,0,0,0,0,7,233,0,0,0,0,239
SSC20042,17,0,0,0,0,23,6,0,0,0,0,11,0,0,0,0,0,0,25,0,0,0,0,32
SSC20043,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC20044,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC20045,783,17,21,5,3,830,100,4,19,6,0,128,22,0,0,0,0,21,907,27,37,11,5,985
SSC20046,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7
SSC20047,15,0,0,0,0,18,4,0,0,0,0,4,0,0,0,0,0,0,22,0,0,0,0,21
SSC20048,402,28,21,10,3,467,97,20,8,3,0,127,16,0,0,0,0,12,514,50,27,16,3,606
SSC20049,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC20050,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC20051,90,0,0,7,0,97,30,0,0,0,0,35,0,0,0,0,0,3,121,3,0,7,0,133
SSC20052,2050,49,60,19,10,2187,658,61,39,13,5,781,92,4,10,3,3,112,2802,118,110,38,15,3076
SSC20053,31,0,0,0,0,31,8,0,0,0,0,8,0,0,0,0,0,0,39,0,0,0,0,39
SSC20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20055,61,0,0,0,0,61,13,0,0,0,0,13,3,0,0,0,0,3,80,0,0,0,0,80
SSC20056,27,0,0,0,0,27,3,0,0,0,0,3,0,0,0,0,0,0,25,0,0,0,0,25
SSC20057,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8
SSC20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC20059,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC20060,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8
SSC20061,633,144,4,0,0,783,199,35,0,0,3,233,28,6,0,23,0,60,863,191,6,23,3,1077
SSC20062,113,0,0,4,0,117,21,0,0,0,0,24,7,0,0,0,0,7,133,3,0,4,0,141
SSC20063,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,10
SSC20064,64,0,0,0,0,64,22,0,0,0,0,19,9,0,0,0,0,9,91,0,0,0,0,97
SSC20065,990,682,1707,18,12,3406,80,55,235,3,0,367,21,8,44,0,0,77,1087,752,1992,19,12,3854
SSC20066,29,0,0,0,0,29,4,0,0,0,0,4,0,0,0,0,0,0,33,0,0,0,0,33
SSC20067,1281,12,0,0,0,1293,47,0,0,0,0,47,24,0,0,0,0,24,1350,12,0,0,0,1362
SSC20068,15,0,0,0,0,20,4,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,25
SSC20069,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,9
SSC20070,137,0,0,0,0,137,12,0,0,0,0,10,0,0,0,0,0,0,153,0,0,0,0,151
SSC20071,131,0,0,0,3,132,8,0,0,0,0,8,0,0,0,0,0,0,133,0,0,0,3,136
SSC20072,23,0,0,0,0,20,11,0,0,0,0,11,0,0,0,0,0,0,32,0,0,0,0,30
SSC20073,589,0,0,0,0,587,61,0,0,0,0,61,9,0,0,0,0,9,663,0,0,0,0,668
SSC20074,2197,1212,1316,21,19,4760,264,119,391,3,0,773,44,26,91,0,3,160,2499,1352,1802,21,27,5702
SSC20075,55,3,0,0,0,60,9,0,0,0,0,9,0,0,0,0,0,0,64,3,0,0,0,72
SSC20076,1797,442,42,15,8,2310,165,65,18,0,0,248,17,7,0,0,0,31,1978,521,64,16,6,2591
SSC20077,1313,212,535,3,12,2070,176,43,119,0,3,339,35,9,9,0,9,64,1531,265,666,3,17,2481
SSC20078,1486,211,436,11,9,2149,144,18,57,0,0,228,18,0,8,0,3,33,1646,229,504,11,14,2410
SSC20079,1630,68,204,0,0,1901,92,11,59,0,0,156,20,3,8,0,0,32,1735,80,273,0,0,2092
SSC20080,39,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,44
SSC20081,886,25,0,39,0,952,67,7,0,29,0,102,20,0,0,5,0,27,970,26,0,78,3,1077
SSC20082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC20083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20084,60,0,0,0,3,68,10,0,0,0,0,10,3,0,0,0,0,3,75,0,0,0,3,79
SSC20085,311,3,0,3,3,320,58,0,0,0,0,54,21,0,0,0,0,24,389,3,0,3,3,395
SSC20086,324,0,0,4,4,328,148,0,0,0,0,153,15,0,0,0,0,15,484,0,0,4,4,496
SSC20087,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9
SSC20088,2362,686,17,28,5,3097,740,144,0,3,0,891,93,20,0,0,0,117,3194,851,21,29,5,4109
SSC20089,13,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,13
SSC20090,252,0,0,0,0,252,14,0,0,0,0,14,5,0,0,0,0,5,267,0,0,0,0,268
SSC20091,101,0,0,0,0,99,8,0,0,0,0,8,0,0,0,0,0,0,108,0,0,0,0,105
SSC20092,232,0,0,0,0,235,26,0,0,0,0,26,6,0,0,0,0,10,268,0,0,0,0,267
SSC20093,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,15
SSC20094,1711,195,17,16,5,1952,326,97,41,8,0,475,57,17,0,0,14,94,2097,312,59,30,18,2515
SSC20095,107,0,0,0,0,103,20,0,0,0,0,20,3,0,0,0,0,3,123,0,0,0,0,122
SSC20096,457,0,0,28,0,485,92,0,0,13,0,103,12,0,0,3,0,8,551,0,0,48,0,603
SSC20097,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC20098,76,0,0,0,0,76,8,0,0,0,0,8,3,0,0,0,0,3,91,0,0,0,0,91
SSC20099,10,0,0,0,0,9,6,0,0,0,0,6,0,0,0,0,0,0,14,0,0,0,0,18
SSC20100,8,0,0,0,0,12,10,0,0,0,0,10,0,0,0,0,0,0,21,0,0,0,0,21
SSC20101,35,0,0,0,0,35,8,0,0,0,0,8,0,0,0,0,0,0,45,0,0,0,0,45
SSC20102,1995,141,28,4,16,2188,567,132,22,4,0,730,89,18,0,3,0,109,2650,289,51,10,17,3020
SSC20103,41,10,3,0,7,54,13,0,0,0,0,13,7,0,0,0,0,7,54,10,3,0,7,75
SSC20104,367,424,1202,11,6,2015,41,37,160,0,0,236,10,11,37,0,0,63,415,467,1404,15,9,2310
SSC20105,28,0,0,0,0,28,12,0,0,0,0,12,0,0,0,0,0,0,37,0,0,0,0,37
SSC20106,20,0,0,0,0,20,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,20
SSC20107,803,10,29,3,0,849,187,5,21,0,4,214,27,0,9,7,0,38,1016,17,49,11,0,1100
SSC20108,14,0,0,0,0,14,9,0,0,0,0,11,0,0,0,0,0,0,20,0,0,0,0,23
SSC20109,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4
SSC20110,1401,216,177,13,7,1815,209,49,56,0,0,319,27,4,11,0,0,51,1636,275,249,13,8,2186
SSC20111,1502,283,18,9,5,1818,318,85,7,0,4,416,51,22,0,0,4,79,1875,389,27,9,18,2314
SSC20112,1091,125,10,3,3,1240,240,74,15,0,0,330,35,11,0,0,0,43,1368,214,29,3,3,1609
SSC20113,34,0,0,0,0,34,3,0,0,0,0,3,3,0,0,0,0,3,36,0,0,0,0,36
SSC20114,70,0,0,0,0,76,17,0,0,0,0,17,4,0,0,0,0,4,86,0,0,0,0,87
SSC20115,43,0,0,0,0,46,3,0,0,0,0,4,0,0,0,0,0,0,46,0,0,0,0,49
SSC20116,13,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,19
SSC20117,26,0,0,0,0,30,11,0,0,0,0,11,0,0,0,0,0,3,40,0,0,0,0,44
SSC20118,90,4,0,0,6,97,19,0,0,0,0,21,6,0,0,0,0,9,112,4,0,4,6,120
SSC20119,694,7,0,0,3,709,69,3,0,0,0,74,19,0,0,0,0,16,782,10,3,0,0,796
SSC20120,143,0,0,0,0,143,15,0,0,0,0,15,5,0,0,0,0,5,158,0,0,0,0,158
SSC20121,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
SSC20122,2638,1076,496,12,6,4233,203,153,96,0,3,452,63,22,19,0,0,104,2906,1255,603,12,9,4791
SSC20123,5014,767,93,18,10,5897,524,86,13,3,0,628,121,9,3,0,3,139,5653,864,111,19,13,6662
SSC20124,144,0,0,0,0,144,25,0,0,0,0,25,3,0,0,0,0,3,168,0,0,0,0,168
SSC20125,72,0,0,0,0,72,12,0,0,0,0,12,0,0,0,0,0,0,79,0,0,0,0,79
SSC20126,34,0,0,0,0,34,4,0,0,0,0,4,3,0,0,0,0,3,38,0,0,0,0,38
SSC20127,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
SSC20128,131,0,0,0,0,131,10,0,0,0,0,10,0,0,0,0,0,0,141,0,0,0,0,141
SSC20129,10,0,0,0,0,10,8,0,0,0,0,8,0,0,0,0,0,0,18,0,0,0,0,18
SSC20130,234,0,0,0,0,234,172,0,0,0,3,170,27,0,0,0,0,27,430,0,0,0,5,432
SSC20131,9,0,0,0,3,13,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,3,10
SSC20132,1454,0,3,3,0,1462,145,0,0,0,0,146,30,0,0,0,0,36,1626,3,3,5,3,1642
SSC20133,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC20134,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,13
SSC20135,634,10,0,0,0,643,54,0,0,0,0,54,10,0,0,0,0,15,699,10,0,0,0,711
SSC20136,29,0,0,0,0,29,5,0,0,0,0,5,0,0,0,0,0,0,30,0,0,0,0,30
SSC20137,54,0,0,0,3,56,19,0,0,7,0,29,3,0,0,0,0,3,74,0,0,9,3,82
SSC20138,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC20139,44,0,0,0,0,44,5,0,0,0,0,5,0,0,0,0,0,0,48,0,0,0,0,48
SSC20140,147,0,0,0,5,145,17,0,0,0,0,18,3,0,0,0,0,3,163,0,0,0,5,170
SSC20141,10,0,0,3,0,14,5,0,0,3,0,8,3,0,0,0,0,3,20,0,0,3,0,23
SSC20142,15,0,0,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,15
SSC20143,74,0,0,3,0,76,27,0,0,0,0,33,8,0,0,0,0,11,108,0,0,5,0,116
SSC20144,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC20145,276,0,0,0,0,274,37,0,0,0,0,37,10,0,0,0,0,10,318,0,0,0,3,321
SSC20146,43,0,0,0,0,41,7,0,0,0,0,7,3,0,0,0,0,3,54,0,0,0,0,50
SSC20147,45,0,0,0,0,45,3,0,0,0,0,3,0,0,0,0,0,0,52,0,0,0,0,52
SSC20148,116,0,0,0,0,116,34,0,0,0,0,34,5,0,0,0,0,5,155,0,0,0,0,155
SSC20149,71,0,0,0,0,71,14,0,0,0,0,14,0,0,0,0,0,0,89,0,0,0,0,89
SSC20150,60,0,0,0,0,60,4,0,0,0,0,4,0,0,0,0,0,0,71,0,0,0,0,71
SSC20151,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC20152,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC20153,12,0,0,0,0,12,4,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,10
SSC20154,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC20155,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC20156,8,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,8
SSC20157,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC20158,33,0,0,0,0,33,10,0,0,0,0,10,3,0,0,0,0,3,39,0,0,0,0,39
SSC20159,71,0,0,0,0,72,9,0,0,0,0,9,0,0,0,0,0,0,80,0,0,0,0,85
SSC20160,43,0,0,0,0,46,13,0,0,0,0,13,0,0,0,0,0,0,56,0,0,0,0,59
SSC20161,1097,78,25,4,8,1212,90,15,3,0,0,112,16,7,4,0,0,32,1207,96,36,5,9,1350
SSC20162,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC20163,99,0,0,0,0,99,31,0,0,0,0,32,5,0,0,0,0,5,139,0,0,0,0,138
SSC20164,239,0,0,0,0,239,14,0,0,0,0,13,3,0,0,0,0,3,259,0,0,0,0,262
SSC20165,18,0,3,0,0,21,0,0,0,0,4,5,0,0,0,0,0,0,16,0,3,0,4,25
SSC20166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20168,622,60,0,0,0,683,92,13,0,0,0,104,23,3,0,0,0,27,738,70,0,0,0,811
SSC20169,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC20170,120,0,0,0,0,121,22,0,0,0,0,18,4,0,0,0,0,4,149,0,0,0,0,145
SSC20171,27,0,0,0,0,27,8,0,0,0,0,8,0,0,0,0,0,0,37,0,0,0,0,37
SSC20172,2464,944,321,3,20,3755,296,193,95,0,0,591,53,29,19,0,0,108,2820,1166,439,3,19,4454
SSC20173,2178,503,96,0,3,2783,257,98,20,0,0,370,52,17,5,0,3,76,2486,617,123,0,9,3231
SSC20174,1681,192,3,26,0,1901,125,20,0,23,0,174,29,4,0,3,0,35,1841,216,4,48,0,2107
SSC20175,775,0,0,0,8,780,45,0,0,0,0,45,13,0,0,0,0,16,828,0,0,0,9,835
SSC20176,54,0,0,0,0,54,35,0,0,0,0,37,3,0,0,0,0,3,87,0,0,0,0,88
SSC20177,45,0,0,0,0,47,32,0,0,0,0,32,0,0,0,0,0,0,74,0,0,0,0,78
SSC20178,15,0,0,0,0,15,3,0,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,18
SSC20179,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC20180,412,0,0,6,0,419,173,0,13,3,3,190,15,0,3,0,0,25,602,0,16,8,3,638
SSC20181,3314,675,146,28,21,4181,267,87,30,3,0,393,75,17,8,0,0,103,3657,778,183,34,21,4670
SSC20182,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC20183,93,0,0,0,0,98,34,0,0,0,0,34,11,0,0,0,0,11,139,0,0,0,0,138
SSC20184,25,0,0,0,0,32,8,0,0,0,0,10,0,0,0,0,0,0,32,0,0,0,0,39
SSC20185,1072,30,42,4,11,1157,193,20,28,3,0,240,28,0,3,0,0,33,1294,46,71,8,17,1430
SSC20186,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,5
SSC20187,1259,12,0,3,0,1271,88,0,0,0,0,87,22,0,0,0,0,22,1366,10,0,4,3,1380
SSC20188,403,0,3,0,3,413,29,0,0,0,0,29,11,0,0,0,0,11,443,0,3,0,3,453
SSC20189,479,0,0,0,0,478,34,0,0,0,0,34,6,0,0,0,0,6,520,0,0,0,0,525
SSC20190,1155,169,75,0,3,1405,483,82,35,0,3,602,41,5,4,0,3,57,1682,258,113,6,10,2065
SSC20191,1287,17,75,0,0,1378,423,7,40,0,0,477,62,0,3,0,0,67,1775,24,121,0,0,1924
SSC20192,48,0,0,0,0,48,5,0,0,0,0,5,3,0,0,0,0,3,53,0,0,0,0,56
SSC20193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20194,284,0,0,0,4,281,37,0,0,0,0,39,5,0,0,0,0,5,326,0,0,0,3,329
SSC20195,118,0,0,0,0,122,16,0,0,0,0,16,3,0,0,0,0,3,134,0,0,0,0,135
SSC20196,21,0,0,0,0,21,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,19
SSC20197,398,117,4,0,0,517,64,26,0,0,0,89,20,10,0,0,0,25,479,151,3,0,3,638
SSC20198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20199,41,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,43
SSC20200,3606,786,44,83,13,4541,708,256,16,76,0,1059,103,32,0,9,4,141,4415,1070,60,174,14,5743
SSC20201,14,0,0,0,0,19,4,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,25
SSC20202,80,0,0,0,0,81,15,0,0,0,0,15,0,0,0,0,0,0,97,0,0,0,0,104
SSC20203,2874,38,194,11,25,3147,842,21,157,7,4,1027,114,5,24,3,0,152,3833,61,373,27,29,4325
SSC20204,44,0,0,0,0,42,17,0,0,0,0,17,0,0,0,0,0,0,61,0,0,0,0,60
SSC20205,14,0,0,0,0,14,9,0,0,0,0,7,0,0,0,0,0,0,22,0,0,0,0,27
SSC20206,84,0,0,0,0,80,4,0,0,0,0,7,0,0,0,0,0,0,92,0,0,0,0,93
SSC20207,1537,231,39,14,4,1826,299,99,13,3,3,409,47,35,0,0,0,84,1879,362,58,15,7,2323
SSC20208,26,0,0,3,0,30,14,0,0,0,0,14,0,0,0,0,0,0,42,0,0,3,0,43
SSC20209,19,0,0,0,0,19,10,0,0,0,0,10,0,0,0,0,0,0,24,0,0,0,0,31
SSC20210,10,0,0,0,0,10,3,0,0,0,0,3,6,0,0,0,0,6,20,0,0,0,0,20
SSC20211,28,0,0,0,0,28,20,0,0,0,0,20,0,0,0,0,0,0,47,0,0,0,0,47
SSC20212,10,0,0,0,0,10,4,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,13
SSC20213,3338,1078,583,16,15,5028,403,117,104,4,0,626,66,33,20,0,0,122,3811,1228,701,20,14,5776
SSC20214,5905,1237,1137,10,33,8324,906,100,144,4,0,1163,148,27,25,0,4,206,6962,1374,1307,10,38,9687
SSC20215,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,5
SSC20216,48,0,0,0,0,48,6,0,0,0,0,6,0,0,0,0,0,0,51,0,0,0,0,51
SSC20217,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SSC20218,51,0,0,0,0,53,13,0,0,0,0,13,3,0,0,0,0,3,64,0,0,0,0,67
SSC20219,8,0,0,0,0,8,8,0,0,0,0,8,0,0,0,0,0,0,13,0,0,0,0,13
SSC20220,45,0,0,0,0,45,18,0,0,0,0,18,0,0,0,0,0,0,64,0,0,0,0,63
SSC20221,9,0,0,0,0,9,9,0,0,0,0,9,0,0,0,0,0,0,20,0,0,0,0,20
SSC20222,44,0,0,0,0,44,11,0,0,0,0,11,0,0,0,0,0,0,56,0,0,0,0,56
SSC20223,12510,1260,91,7,12,13875,858,364,90,0,0,1311,213,55,11,0,4,285,13583,1686,189,3,11,15470
SSC20224,29,0,0,0,0,29,7,0,0,0,0,7,0,0,0,0,0,0,36,0,0,0,0,36
SSC20225,33,0,0,0,0,33,15,0,0,0,0,15,4,0,0,0,0,4,48,0,0,0,0,48
SSC20226,27,0,0,0,0,27,10,0,0,0,0,10,0,0,0,0,0,0,32,0,0,0,0,32
SSC20227,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6
SSC20228,155,0,0,0,0,155,23,0,0,0,0,23,6,0,0,0,0,6,184,0,0,0,0,184
SSC20229,32,0,0,0,0,32,7,0,0,0,0,7,0,0,0,0,0,0,38,0,0,0,0,38
SSC20230,98,0,0,0,0,97,28,0,5,0,0,34,8,0,0,3,0,9,131,0,5,0,0,139
SSC20231,93,0,0,0,0,92,15,0,0,0,0,15,0,0,0,0,0,0,104,0,0,0,0,106
SSC20232,588,4,0,0,0,596,72,0,0,3,0,75,12,0,0,0,0,12,669,4,0,0,0,683
SSC20233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20234,71,0,0,3,0,76,3,0,0,0,0,4,0,0,0,0,0,0,74,0,0,3,0,83
SSC20235,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC20236,19,0,0,0,0,19,4,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,24
SSC20237,15,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,15
SSC20238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20239,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC20240,13,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,15
SSC20241,35,0,0,3,0,39,15,0,0,0,0,15,0,0,0,0,0,0,49,0,0,3,0,55
SSC20242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20243,185,0,6,3,3,201,56,0,10,0,0,65,10,0,3,0,0,13,252,0,18,3,3,277
SSC20244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20245,157,0,0,0,3,165,35,0,0,0,0,33,5,0,0,0,0,5,198,0,0,0,3,198
SSC20246,262,0,0,0,0,262,48,0,0,0,0,55,11,0,0,0,0,9,318,0,0,0,3,322
SSC20247,1077,61,0,3,4,1148,99,11,0,0,0,109,27,3,0,0,0,28,1202,82,0,3,4,1294
SSC20248,587,100,0,0,0,688,93,16,0,0,0,110,19,7,0,0,0,22,692,123,0,0,0,817
