SSC_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SSC20011,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC20012,..,0,4,13,25,38,35,14,0,137,..,3,8,4,8,9,0,0,0,37,..,0,0,3,4,0,0,0,0,11,60,..,..,..,..,..,..,..,..,60,..,17,..,..,..,..,..,..,..,17,..,8,3,3,0,0,0,0,0,17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,6,0,0,0,0,4,..,0,7,4,10,19,3,3,0,39,0,3,0,0,0,4,5,0,0,19,60,36,24,34,53,77,50,22,3,342,..,0,4,14,39,42,27,12,3,137,..,3,7,9,12,14,3,0,0,44,..,0,3,7,10,0,0,4,0,21,49,..,..,..,..,..,..,..,..,49,..,18,..,..,..,..,..,..,..,18,..,3,4,0,0,0,0,0,0,5,..,3,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,0
SSC20013,..,0,0,3,8,5,8,0,0,31,..,0,0,0,0,3,0,0,0,8,..,0,0,0,0,0,0,0,0,0,13,..,..,..,..,..,..,..,..,13,..,4,..,..,..,..,..,..,..,4,..,0,3,0,3,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,6,6,5,11,16,5,0,0,69,..,0,0,4,4,7,3,0,0,29,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,3,0,0,3,14,..,..,..,..,..,..,..,..,14,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC20014,..,5,190,288,242,191,190,180,67,1350,..,14,118,59,36,23,6,0,0,259,..,0,0,6,11,15,11,7,16,73,560,..,..,..,..,..,..,..,..,560,..,161,..,..,..,..,..,..,..,161,..,108,122,44,49,26,4,0,0,346,..,29,26,6,13,11,7,3,3,102,..,5,14,4,3,0,3,0,0,25,..,19,52,11,21,15,6,0,0,130,..,13,47,46,68,67,49,35,21,340,8,6,22,4,11,15,3,6,3,74,571,357,588,479,455,358,284,229,104,3421,..,11,234,316,220,213,210,135,31,1366,..,27,123,66,27,23,3,0,0,270,..,3,16,52,99,45,27,30,28,311,542,..,..,..,..,..,..,..,..,542,..,128,..,..,..,..,..,..,..,128,..,89,81,27,24,23,3,0,0,250,..,11,18,12,7,18,22,11,11,111,..,10,5,3,3,4,0,0,0,22
SSC20015,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC20016,..,8,126,173,179,231,206,44,12,980,..,4,32,25,24,10,4,0,0,96,..,0,0,11,12,17,14,5,0,60,512,..,..,..,..,..,..,..,..,512,..,169,..,..,..,..,..,..,..,169,..,125,151,63,28,6,0,0,0,378,..,32,22,9,15,12,0,0,4,94,..,15,17,7,3,3,7,0,0,47,..,19,20,22,9,15,3,0,0,86,..,6,25,35,40,20,32,14,0,169,12,8,8,12,6,3,3,0,0,61,523,391,397,352,326,319,265,69,18,2648,..,18,194,175,181,238,140,34,4,986,..,10,36,30,17,10,3,3,0,106,..,13,27,69,74,39,38,15,0,271,461,..,..,..,..,..,..,..,..,461,..,144,..,..,..,..,..,..,..,144,..,53,81,31,20,0,0,0,0,191,..,36,15,3,11,19,21,11,8,113,..,11,16,3,0,0,0,0,0,30
SSC20017,..,0,75,227,236,193,179,97,17,1018,..,3,90,88,71,38,17,0,0,314,..,0,0,5,10,16,6,4,0,31,486,..,..,..,..,..,..,..,..,486,..,132,..,..,..,..,..,..,..,132,..,40,30,20,23,3,0,0,0,115,..,5,11,0,0,4,4,0,0,29,..,0,5,3,0,0,0,0,0,11,..,15,51,27,13,6,4,0,0,118,..,7,25,41,50,85,72,45,27,359,10,12,10,12,12,7,9,0,0,63,493,228,296,423,412,346,287,151,43,2679,..,0,113,256,256,194,155,56,8,1036,..,4,112,87,68,25,13,3,0,308,..,0,7,35,59,31,11,14,10,160,460,..,..,..,..,..,..,..,..,460,..,132,..,..,..,..,..,..,..,132,..,38,21,9,9,3,0,0,0,79,..,17,8,3,0,3,4,8,7,50,..,4,10,5,0,0,0,0,0,15
SSC20018,..,0,3,3,10,12,16,5,0,51,..,0,5,0,0,3,0,0,0,12,..,0,0,0,0,0,0,0,0,0,23,..,..,..,..,..,..,..,..,23,..,0,..,..,..,..,..,..,..,0,..,0,3,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,4,7,9,3,0,18,0,0,0,0,0,0,0,0,0,0,23,12,8,8,20,18,30,8,4,125,..,0,0,3,12,10,18,3,0,51,..,0,3,3,0,0,0,0,0,14,..,0,0,0,3,3,0,0,0,5,14,..,..,..,..,..,..,..,..,14,..,3,..,..,..,..,..,..,..,3,..,6,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC20019,..,0,0,0,0,5,3,0,0,10,..,0,0,3,0,3,0,0,0,7,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,4,0,3,3,9,3,0,0,29,..,0,0,0,3,4,3,0,0,8,..,0,4,3,0,0,0,0,0,8,..,0,0,0,3,0,0,0,0,3,8,..,..,..,..,..,..,..,..,8,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SSC20020,..,5,200,206,95,96,64,40,11,712,..,10,49,25,15,7,3,4,0,115,..,3,3,3,11,12,4,4,3,44,339,..,..,..,..,..,..,..,..,339,..,66,..,..,..,..,..,..,..,66,..,56,48,19,14,7,0,0,0,146,..,46,45,11,13,9,6,0,0,137,..,31,48,14,6,3,3,0,0,104,..,99,160,49,27,8,0,0,0,352,..,7,52,49,42,55,64,30,5,300,5,0,16,7,3,4,3,0,0,40,345,326,621,388,224,198,146,85,24,2352,..,29,265,143,102,86,50,28,7,707,..,17,54,20,12,9,0,0,0,120,..,0,36,36,42,19,4,9,10,170,324,..,..,..,..,..,..,..,..,324,..,77,..,..,..,..,..,..,..,77,..,39,27,12,3,5,0,0,0,80,..,28,21,0,3,13,12,11,0,84,..,14,17,5,0,0,0,0,0,43
SSC20021,..,0,39,72,79,93,107,53,19,467,..,12,37,19,15,11,7,0,0,103,..,0,0,3,12,11,0,0,0,26,177,..,..,..,..,..,..,..,..,177,..,35,..,..,..,..,..,..,..,35,..,51,17,8,5,0,0,0,0,81,..,7,0,0,4,0,3,0,0,11,..,3,0,0,0,0,0,0,0,3,..,3,8,4,3,0,4,0,0,27,..,4,14,15,25,40,40,26,15,178,3,9,3,0,4,3,9,0,3,34,185,123,108,127,151,167,172,87,33,1149,..,0,50,76,92,99,114,40,4,476,..,14,30,27,23,12,10,0,0,115,..,6,6,12,19,14,0,7,0,58,193,..,..,..,..,..,..,..,..,193,..,31,..,..,..,..,..,..,..,31,..,17,10,3,3,0,0,0,0,33,..,3,0,0,0,0,3,0,4,11,..,0,4,0,0,0,0,0,0,4
