SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC20001,0,0,0,0,0,0,0,0,0,0
SSC20002,96,6,104,777,342,10,1132,5678,730,7543
SSC20003,76,9,89,689,209,21,921,2074,180,3172
SSC20004,0,0,0,0,0,0,0,0,0,0
SSC20005,0,0,4,19,13,4,36,81,23,144
SSC20006,0,0,0,0,0,0,0,0,0,0
SSC20007,0,0,0,8,0,0,9,24,10,46
SSC20008,0,0,0,10,4,0,15,42,5,53
SSC20009,0,0,0,17,0,0,19,37,3,57
SSC20010,3,0,3,13,6,0,15,31,3,52
SSC20011,0,0,0,0,0,0,0,0,0,0
SSC20012,21,3,20,113,66,11,186,442,51,679
SSC20013,0,0,0,28,7,3,40,68,9,114
SSC20014,202,34,244,1205,421,21,1655,4212,528,6388
SSC20015,0,0,0,0,0,0,0,0,0,0
SSC20016,33,10,44,769,295,9,1068,2997,395,4459
SSC20017,97,17,115,1087,374,42,1499,3216,443,5161
SSC20018,7,0,5,39,19,0,58,144,24,222
SSC20019,0,0,0,10,7,0,13,53,7,71
SSC20020,53,16,62,660,153,13,824,2715,461,4005
SSC20021,111,14,127,361,151,21,534,1511,256,2307
SSC20022,98,13,106,1781,551,83,2418,4322,421,7161
SSC20023,0,0,0,0,0,0,0,17,0,19
SSC20024,0,0,0,15,3,0,15,28,22,71
SSC20025,0,0,0,7,5,0,10,50,12,71
SSC20026,3,0,3,52,28,3,86,145,15,251
SSC20027,17,3,18,246,106,29,379,685,146,1209
SSC20028,3,0,3,22,9,0,26,89,28,144
SSC20029,0,0,0,24,6,0,32,60,7,102
SSC20030,0,4,3,34,15,4,56,91,11,158
SSC20031,0,0,0,3,0,0,3,6,3,14
SSC20032,0,0,0,8,0,0,13,20,6,41
SSC20033,70,17,85,817,249,47,1116,2870,260,4251
SSC20034,262,60,330,1721,579,45,2343,5949,690,8981
SSC20035,288,24,322,3062,1044,78,4188,10755,1013,15956
SSC20036,371,114,490,1807,562,46,2418,6531,953,9899
SSC20037,0,0,3,19,0,0,21,66,22,108
SSC20038,0,0,0,11,4,0,15,36,8,59
SSC20039,0,0,0,0,0,0,0,0,0,0
SSC20040,9,0,7,26,11,0,43,158,15,216
SSC20041,3,0,3,97,56,3,156,356,59,571
SSC20042,0,0,0,14,4,0,15,45,9,72
SSC20043,0,0,0,0,0,3,3,17,3,23
SSC20044,0,0,0,0,0,0,3,10,0,19
SSC20045,95,15,107,376,240,13,630,1356,170,2160
SSC20046,0,0,0,3,3,0,5,15,3,23
SSC20047,0,0,0,3,0,0,4,44,9,60
SSC20048,34,11,40,204,95,9,314,907,162,1378
SSC20049,0,0,0,0,0,0,0,11,0,11
SSC20050,0,0,0,3,0,0,3,23,3,25
SSC20051,10,0,10,28,18,0,46,181,11,241
SSC20052,234,51,285,1011,546,62,1617,4270,1208,7094
SSC20053,0,0,0,9,12,0,14,54,0,70
SSC20054,0,0,0,0,0,0,0,0,0,0
SSC20055,0,0,0,40,14,0,53,112,14,174
SSC20056,0,0,0,9,0,0,6,51,7,65
SSC20057,0,0,0,3,0,0,3,15,0,23
SSC20058,0,0,0,0,0,0,0,5,0,5
SSC20059,0,0,0,3,0,0,3,12,0,14
SSC20060,0,0,0,3,0,0,5,11,3,20
SSC20061,86,34,116,433,165,10,608,1682,250,2544
SSC20062,3,0,4,72,17,0,91,244,69,404
SSC20063,0,0,0,3,0,0,3,19,6,30
SSC20064,5,0,5,18,7,0,28,150,11,193
SSC20065,190,45,237,1290,533,25,1852,5320,641,7817
SSC20066,0,0,0,3,14,0,21,53,11,78
SSC20067,4,0,8,1040,200,59,1305,1581,221,3107
SSC20068,3,0,3,3,4,0,7,36,3,46
SSC20069,0,0,0,0,0,0,0,12,5,18
SSC20070,15,3,11,80,51,3,135,228,44,405
SSC20071,0,0,0,74,35,3,109,185,18,309
SSC20072,3,0,3,12,7,0,18,49,6,77
SSC20073,16,0,21,342,161,23,527,902,110,1542
SSC20074,185,17,210,2404,666,73,3145,7988,959,12087
SSC20075,4,0,4,38,12,3,50,88,8,147
SSC20076,189,40,235,1620,386,71,2074,3671,327,6074
SSC20077,193,32,229,1151,307,37,1496,3682,464,5643
SSC20078,107,15,122,1374,407,56,1836,3266,374,5471
SSC20079,74,15,95,1190,354,60,1607,3445,233,5290
SSC20080,0,0,0,16,16,0,32,61,16,109
SSC20081,21,0,19,599,168,11,786,1837,140,2763
SSC20082,0,0,0,0,0,0,0,3,6,10
SSC20083,0,0,0,4,0,0,4,4,0,8
SSC20084,0,0,3,39,15,0,54,151,11,225
SSC20085,12,7,17,165,96,7,266,507,85,861
SSC20086,31,0,30,153,68,9,231,662,101,996
SSC20087,0,0,0,0,3,3,6,3,0,7
SSC20088,356,39,396,1676,716,27,2417,6708,720,9847
SSC20089,0,0,0,7,3,0,15,19,3,29
SSC20090,9,4,11,158,53,13,223,409,54,687
SSC20091,0,0,0,66,25,7,92,152,19,267
SSC20092,4,3,4,160,60,3,228,349,47,619
SSC20093,0,0,0,12,0,0,8,18,0,33
SSC20094,153,30,184,963,430,40,1436,3374,435,5245
SSC20095,4,0,3,38,14,0,51,212,36,297
SSC20096,23,5,20,249,101,11,369,838,72,1271
SSC20097,0,0,0,0,0,0,0,7,3,8
SSC20098,0,0,0,44,16,3,64,144,15,227
SSC20099,3,0,3,3,0,0,8,24,0,30
SSC20100,0,3,3,3,6,0,12,17,3,35
SSC20101,0,0,3,16,9,0,17,72,6,93
SSC20102,258,64,326,976,488,42,1509,3985,824,6311
SSC20103,0,0,0,17,14,0,30,100,17,142
SSC20104,49,16,66,684,216,23,925,3275,449,4649
SSC20105,3,0,3,20,7,0,29,51,5,85
SSC20106,3,0,3,12,5,0,21,20,4,48
SSC20107,55,15,69,505,178,17,711,1510,210,2426
SSC20108,0,0,0,12,0,0,14,30,7,49
SSC20109,0,0,0,3,0,0,3,4,0,8
SSC20110,96,12,111,780,352,36,1168,2954,405,4522
SSC20111,186,34,224,729,393,38,1162,3122,442,4724
SSC20112,157,22,176,616,285,36,937,2040,234,3213
SSC20113,0,0,3,23,12,0,30,67,3,103
SSC20114,5,0,7,41,15,0,55,155,22,238
SSC20115,0,0,0,21,13,0,34,68,16,115
SSC20116,0,0,0,20,4,0,20,18,10,45
