SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC21533,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,0,10
SSC21534,0,15,32,45,42,24,3,0,0,161,0,8,22,12,20,19,3,0,0,92,0,0,15,11,15,13,3,0,0,63,0,0,6,13,18,8,0,0,0,44,0,0,5,21,35,19,4,3,0,82,0,0,3,10,10,10,4,0,0,31,19,14,18,8,37,27,3,10,0,141,209,194,260,291,362,281,157,87,16,1863
SSC21535,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,4,12,3,0,0,28
SSC21536,0,3,0,3,4,6,3,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,0,0,13,0,0,3,0,3,0,0,0,0,8,0,0,0,0,5,0,0,0,0,8,0,0,0,0,4,0,0,0,0,8,0,0,3,0,0,0,0,0,0,14,15,8,20,25,46,32,15,5,3,174
SSC21537,0,18,67,52,43,48,38,17,3,288,0,8,56,57,60,46,16,10,3,256,0,3,43,45,37,53,11,0,0,201,0,0,27,37,37,22,11,4,0,137,0,0,26,54,66,48,19,9,5,221,0,0,12,49,70,39,14,0,3,185,10,15,23,26,25,31,25,16,9,179,221,226,433,505,516,522,436,256,154,3270
SSC21538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC21539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,5,3,0,0,29
SSC21540,0,14,54,21,11,3,0,0,0,99,0,4,35,18,10,3,0,0,0,75,0,0,26,18,5,3,0,0,0,46,0,0,7,15,5,0,0,0,0,35,0,0,13,10,8,3,0,0,0,35,0,0,0,3,0,0,0,0,0,4,3,3,9,5,3,3,8,0,0,36,44,82,264,161,78,49,40,11,0,730
SSC21541,0,4,18,13,22,20,6,3,0,86,0,7,10,10,8,11,4,0,0,43,0,0,0,8,5,3,0,0,0,22,0,0,0,5,3,4,0,0,0,17,0,0,0,6,8,4,0,0,0,17,0,0,3,3,3,5,0,0,0,20,9,18,11,18,14,27,20,18,0,139,58,90,130,126,163,204,163,97,27,1046
SSC21542,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,13,4,0,24
SSC21543,0,0,0,0,4,3,0,0,0,17,0,0,0,0,0,4,0,0,0,5,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,3,0,0,0,5,3,0,0,4,6,3,16,0,0,34,7,4,23,27,29,52,39,4,3,183
SSC21544,0,21,184,195,163,70,4,3,0,642,0,12,88,158,99,43,4,0,0,407,0,0,59,121,80,29,5,0,0,285,0,0,23,72,42,15,3,0,0,148,0,3,34,70,48,12,0,0,0,177,0,0,5,31,14,3,0,0,0,51,46,53,86,111,73,44,45,49,73,573,574,575,1228,1534,1123,662,338,164,144,6340
SSC21545,0,12,206,208,89,45,11,0,0,568,0,5,129,167,61,27,3,0,0,400,0,0,88,138,63,22,3,0,0,310,0,0,69,100,51,18,0,0,0,232,0,0,63,135,41,17,0,0,0,255,0,0,13,30,19,4,0,0,0,67,21,24,84,58,41,39,17,3,0,293,325,328,1319,1438,683,471,171,56,11,4793
SSC21546,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,8,5,10,3,0,32
SSC21547,0,0,0,4,3,3,4,0,0,11,0,0,0,0,5,4,0,0,0,7,0,0,3,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,3,3,0,0,0,9,0,3,0,7,3,3,7,0,0,26,4,4,16,29,23,44,26,5,3,154
SSC21548,5,38,76,78,160,111,19,10,0,490,0,15,60,65,94,72,16,0,0,320,0,3,39,84,106,53,7,3,0,303,0,0,26,65,81,50,0,0,0,233,0,3,25,91,144,83,3,3,3,359,0,0,10,65,110,52,13,3,0,251,43,38,28,46,92,68,25,13,8,359,638,565,551,864,1349,905,337,131,32,5375
SSC21549,0,10,10,13,15,10,10,0,0,62,0,3,15,10,23,8,0,0,0,56,0,3,4,10,19,10,0,0,0,47,0,0,0,3,11,10,0,0,0,26,0,0,0,7,20,23,3,0,0,48,0,0,0,14,27,17,0,0,0,61,13,9,3,11,33,11,9,0,0,83,97,96,60,85,216,155,63,14,3,787
SSC21550,0,0,7,7,9,11,0,4,0,42,0,5,0,4,7,3,0,3,0,17,0,0,3,0,7,0,0,0,3,14,0,0,0,0,7,3,0,0,0,10,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,3,5,11,5,8,9,0,48,28,15,35,47,85,74,66,39,20,414
SSC21551,0,0,7,11,23,10,11,0,0,56,0,0,0,13,20,4,7,0,0,46,0,0,7,7,14,12,3,0,0,35,0,0,0,8,5,6,0,0,0,19,0,0,4,12,21,15,4,0,0,49,0,0,0,10,7,7,3,0,0,31,3,3,4,8,3,12,13,0,6,56,67,43,52,111,156,143,92,31,12,711
SSC21552,0,3,19,24,15,34,11,3,0,113,0,3,10,21,28,16,9,0,0,85,0,0,10,20,22,33,4,0,0,98,0,0,6,28,10,13,3,0,0,66,0,0,6,36,39,26,12,5,0,123,0,0,0,20,28,22,0,0,0,73,20,6,11,28,21,35,19,12,0,155,138,74,139,285,295,326,234,80,21,1597
SSC21553,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,6,3,0,0,21
SSC21554,3,28,172,149,135,115,43,18,6,667,0,14,139,134,108,79,24,9,0,515,0,3,124,124,122,76,16,5,0,468,0,0,63,128,100,52,16,0,4,357,0,0,72,180,148,78,14,4,0,512,0,0,31,108,117,44,13,5,0,322,23,32,63,79,72,50,56,74,118,569,502,594,1288,1471,1361,1053,770,582,379,8003
SSC21555,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,4,11,11,11,12,15,4,0,72
SSC21556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,4,4,3,0,0,16
SSC21557,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,7,4,3,17,10,9,21,5,0,75
SSC21558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,4,4,0,18
SSC21559,0,14,86,56,51,21,11,3,0,237,0,5,66,53,39,29,7,0,0,208,0,4,44,49,26,12,3,0,0,143,0,0,20,35,28,11,3,0,0,94,0,0,16,44,32,11,0,0,0,110,0,0,0,11,5,3,0,0,0,24,17,15,26,36,26,25,29,9,25,211,196,203,565,533,395,306,276,104,74,2650
SSC21560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,3,3,0,20
SSC21561,0,19,83,64,68,60,33,9,3,343,0,13,41,59,36,42,14,4,3,211,0,0,31,25,28,36,10,0,0,132,0,0,25,33,30,20,4,0,0,113,0,0,30,27,29,32,6,0,0,124,0,0,14,11,29,17,3,0,0,71,37,28,42,45,53,57,70,54,27,423,312,281,603,582,631,721,619,361,153,4264
SSC21562,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,3,0,0,7,4,0,5,11,21,12,7,0,0,65
SSC21563,0,0,3,3,7,10,3,0,0,27,0,0,3,3,3,3,0,0,0,15,0,0,0,7,0,7,0,0,0,8,0,0,0,0,0,3,0,0,0,5,0,0,0,3,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,6,8,3,5,8,4,3,3,0,0,32,30,15,29,40,65,74,40,10,0,308
