SA3_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
20903,1272,1698,2372,3634,4544,3127,613,38,10,17309,948,238,514,734,827,1479,2062,934,398,8131,91,67,128,186,207,196,145,84,56,1149,2310,2006,3015,4550,5580,4800,2825,1054,462,26595,320,1485,3309,4460,5902,3949,614,36,6,20085,1675,1549,1147,2336,2743,2317,851,87,6,12706,54,79,226,246,228,240,59,7,0,1136,40,55,106,78,97,90,28,6,0,500,2084,3167,4790,7119,8971,6593,1544,134,13,34422,61,139,158,108,120,113,9,0,0,713,361,133,62,87,86,92,24,0,0,841,421,271,215,197,210,206,36,0,0,1554,2507,3440,5001,7318,9180,6800,1582,139,13,35979,2194,548,767,925,1125,2280,3826,1750,621,14027,172,149,246,363,447,386,288,147,89,2285,4873,4133,6019,8606,10755,9465,5692,2030,720,52287
20904,2886,5064,12808,11109,9649,5531,731,61,16,47849,3059,1738,4737,4087,3424,4986,6328,3670,1309,33338,261,355,978,746,650,607,488,330,127,4546,6202,7159,18520,15940,13726,11125,7542,4064,1458,85741,713,4428,17640,15667,13065,7435,894,57,11,59898,3290,4246,6662,6547,5393,3785,931,90,14,30962,136,247,1144,646,472,400,105,11,4,3169,132,268,660,470,398,236,58,12,6,2237,4264,9181,26104,23331,19333,11851,1986,175,36,96259,307,692,1195,847,683,375,22,3,0,4125,946,622,572,489,311,229,30,0,3,3203,1261,1313,1769,1332,990,596,54,4,5,7320,5521,10500,27866,24665,20328,12450,2042,175,38,103585,6664,3245,6390,5568,5167,7659,11614,6840,2192,55337,517,735,1927,1508,1227,1127,938,609,207,8791,12705,14478,36186,31737,26716,21235,14594,7626,2440,167708
21001,721,1267,2741,3183,3281,2032,438,41,3,13701,746,230,568,783,699,1349,2772,2113,858,10121,60,58,175,159,153,176,221,210,144,1356,1529,1557,3484,4125,4125,3559,3434,2360,1003,25176,124,1089,3950,4252,4454,2548,462,36,0,16910,963,1196,1140,1804,1733,1380,543,77,3,8838,38,71,265,196,131,153,45,4,0,905,28,65,108,98,111,89,27,16,0,536,1153,2411,5461,6349,6434,4168,1079,132,9,27192,44,123,196,170,164,91,6,0,0,799,205,120,72,108,95,58,17,0,0,672,251,237,269,283,255,156,21,3,0,1470,1408,2652,5730,6629,6690,4316,1096,130,9,28658,1763,513,843,1023,1074,1996,4732,3834,1481,17259,105,130,349,332,318,312,430,371,228,2585,3273,3294,6922,7986,8086,6625,6258,4338,1713,48500
21002,432,555,1049,1639,1899,1222,260,8,5,7076,457,92,256,382,357,686,1137,466,186,4021,44,30,67,114,139,111,107,62,57,728,932,674,1378,2141,2396,2024,1507,532,248,11823,126,579,1428,2060,2524,1497,309,21,5,8551,574,446,505,994,1122,880,347,36,7,4920,21,29,113,130,95,155,38,0,0,582,27,23,40,55,43,40,11,4,3,246,741,1082,2091,3240,3784,2566,712,59,10,14291,26,48,59,49,77,71,5,0,0,334,106,33,22,40,46,50,20,0,0,312,132,84,79,87,120,127,25,0,0,651,875,1163,2169,3332,3901,2692,735,65,10,14944,985,187,321,476,496,1072,2096,938,320,6891,86,63,133,234,268,241,206,117,71,1421,1952,1412,2623,4039,4657,4009,3040,1116,411,23263
21003,699,1604,4725,3811,3085,1678,241,34,3,15892,970,572,1678,1404,1141,1434,2130,2565,1504,13397,81,143,429,348,256,215,204,235,125,2044,1754,2321,6839,5566,4481,3324,2581,2832,1635,31333,147,1287,6876,5397,4157,2184,269,19,4,20337,833,1629,2559,2322,1766,1039,286,47,5,10476,36,63,364,267,153,125,20,4,0,1034,30,114,275,164,109,80,21,15,5,806,1041,3094,10072,8147,6182,3423,595,80,15,32659,97,225,513,319,231,124,3,3,0,1518,298,269,252,166,128,89,12,0,0,1216,389,491,771,481,358,218,16,4,0,2735,1434,3585,10844,8634,6541,3642,614,89,18,35395,2122,1094,2387,1934,1795,2338,3705,4278,2382,22032,190,296,915,707,509,406,374,403,225,4023,3745,4981,14141,11273,8848,6388,4692,4766,2626,61453
21004,751,1064,2022,2062,2368,1533,242,17,3,10059,489,194,491,549,515,887,1271,728,350,5479,48,66,116,135,125,133,105,68,40,840,1284,1327,2632,2742,3012,2550,1618,818,399,16383,217,1094,2828,2717,3119,1931,250,10,8,12167,853,789,940,1226,1254,1010,296,24,0,6396,26,53,197,123,108,114,27,0,0,648,26,50,66,51,71,45,16,0,5,327,1120,1988,4034,4114,4551,3097,589,39,14,19536,86,139,139,125,122,83,3,0,0,696,221,82,64,77,54,64,10,6,0,573,309,221,204,198,176,151,15,6,0,1266,1432,2200,4230,4310,4725,3242,607,42,14,20803,1142,345,661,727,728,1402,2292,1324,544,9164,104,137,242,263,246,266,212,119,60,1646,2673,2680,5137,5294,5699,4911,3109,1491,625,31617
21005,2093,3739,7854,6627,6212,3269,477,30,6,30308,3367,1740,4603,3970,3839,3932,4136,2129,689,28420,272,313,782,566,588,456,373,233,82,3658,5733,5791,13248,11161,10636,7658,4991,2393,772,62385,485,3241,11221,9478,8824,4660,578,27,0,38518,2278,3262,4459,4027,3591,2242,598,38,12,20512,93,186,597,358,257,232,62,6,0,1805,112,303,541,387,347,156,41,11,0,1894,2972,6998,16810,14252,13022,7293,1283,81,10,62727,281,709,1097,771,588,311,13,0,0,3777,883,517,449,385,303,187,27,3,0,2762,1162,1223,1549,1161,893,501,43,3,0,6539,4140,8221,18363,15410,13916,7795,1324,84,13,69259,6781,3132,6416,5683,5856,6452,7618,4000,1126,47060,564,705,1600,1215,1208,928,690,408,138,7450,11482,12056,26377,22311,20972,15172,9628,4493,1280,123772
21101,2515,4017,7963,8094,9060,6306,1057,76,18,39105,2179,818,1941,2196,2087,3668,5798,3524,1744,23959,135,132,412,368,386,358,326,302,241,2665,4831,4974,10322,10656,11534,10334,7179,3899,2008,65727,586,3719,11488,10794,12047,8108,1104,50,10,47895,3132,3378,3644,4861,4975,4279,1447,129,18,25852,136,179,673,482,336,435,140,17,3,2397,95,136,266,227,241,173,50,20,6,1228,3952,7415,16073,16360,17603,12990,2731,212,31,77364,145,423,538,424,466,344,24,0,0,2362,773,342,274,301,265,219,37,4,0,2223,914,771,814,724,733,563,61,3,0,4581,4863,8188,16887,17085,18328,13553,2792,213,36,81950,4778,1696,2633,2914,2985,5606,10245,6390,2710,39958,272,313,815,763,762,750,629,514,357,5172,9911,10195,20341,20762,22077,19902,13668,7118,3105,127080
21102,534,624,807,1234,1736,1107,263,37,0,6345,433,123,173,327,413,622,1006,631,389,4120,28,19,39,50,79,83,62,48,40,451,989,765,1022,1608,2233,1811,1332,715,432,10918,85,515,1157,1497,2328,1459,299,27,3,7369,677,685,400,761,1098,859,361,83,4,4927,24,30,71,61,63,74,35,5,0,362,16,21,39,39,48,30,16,4,4,207,802,1261,1664,2356,3538,2421,703,115,13,12870,14,33,32,32,61,45,5,0,0,223,188,65,25,27,37,27,6,0,0,378,198,100,56,62,96,75,13,0,0,598,1001,1354,1717,2418,3639,2492,719,115,13,13471,1007,275,252,416,547,927,1751,1155,595,6921,56,51,87,110,161,149,118,95,57,883,2068,1684,2053,2945,4342,3572,2588,1366,668,21275
21103,1773,2630,6100,6002,6278,4110,850,56,13,27812,1336,497,1466,1600,1333,2277,4168,2748,1467,16882,101,110,344,308,266,254,269,246,272,2171,3203,3234,7912,7905,7879,6642,5285,3051,1743,46869,388,2448,8547,8160,8084,5078,776,32,7,33525,2275,2278,2767,3624,3597,2821,1072,130,14,18576,94,124,512,381,249,305,97,13,0,1770,44,111,208,151,173,98,36,18,5,840,2803,4962,12033,12317,12106,8297,1980,188,23,54714,103,237,404,321,307,182,19,6,0,1582,517,208,179,213,153,128,27,7,0,1438,619,442,582,534,462,315,43,8,4,3014,3422,5413,12616,12850,12568,8609,2022,201,27,57723,3017,972,1973,2085,1952,3556,7134,4793,2246,27736,212,222,631,592,575,499,461,400,369,3958,6649,6600,15221,15525,15100,12669,9618,5392,2639,89423
