SA3_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
21203,297,503,383,272,345,126,42,1973,45,29,17,8,18,6,11,130,22,22,15,12,17,6,6,100,557,963,740,579,822,343,159,4158,47,71,59,32,53,18,7,293,76,97,58,25,30,7,3,295,125,171,117,55,89,22,10,590,681,1133,858,637,911,363,174,4754,859,797,372,254,313,155,82,2829,15,23,15,12,14,8,3,81,1550,1957,1243,902,1233,526,256,7664
21204,202,401,322,237,314,178,93,1745,23,14,8,11,16,5,9,89,15,26,23,15,22,23,11,128,458,803,653,494,714,504,262,3890,45,79,45,27,57,34,16,302,51,85,70,32,48,34,16,333,96,160,112,58,108,68,30,634,556,968,763,555,817,576,292,4522,896,807,500,373,450,288,177,3488,20,27,19,11,17,3,7,105,1476,1801,1288,938,1282,859,473,8113
21205,109,299,266,190,243,186,112,1398,25,9,7,7,11,13,10,83,7,7,3,11,10,13,7,56,263,599,524,414,644,517,318,3276,11,27,18,13,26,28,6,136,27,45,27,29,19,36,14,195,41,75,45,38,49,61,25,325,299,670,569,453,694,573,346,3603,302,351,225,163,297,216,114,1667,0,3,3,7,3,0,3,24,603,1025,803,624,999,787,454,5296
21301,236,463,323,288,355,210,107,1980,42,17,13,10,17,9,6,112,29,30,27,17,35,15,5,164,547,962,717,540,840,492,299,4402,67,130,82,68,91,63,31,526,71,187,126,71,104,54,31,651,141,319,210,143,195,113,61,1180,685,1280,926,683,1037,610,361,5576,1217,1198,611,433,573,311,184,4519,45,30,27,22,17,6,3,149,1949,2505,1557,1134,1619,923,548,10250
21302,94,225,126,103,147,68,43,812,9,3,3,3,5,3,0,28,3,4,3,4,0,0,3,24,207,452,302,222,386,201,121,1891,10,18,15,8,11,12,6,83,8,34,23,15,17,3,5,110,22,56,37,27,30,21,10,188,226,508,334,253,417,220,131,2080,252,254,129,95,110,50,26,914,4,10,3,3,3,0,0,23,477,762,468,350,529,273,154,3017
21303,83,174,104,68,120,79,35,675,17,9,3,0,3,3,0,40,3,6,12,4,10,12,4,53,177,354,240,156,281,174,105,1483,15,27,17,10,21,18,5,114,21,40,20,9,14,11,9,129,31,67,34,17,40,29,15,242,212,422,276,179,319,208,120,1727,261,243,160,95,138,84,50,1037,8,8,4,0,0,5,0,24,478,671,435,277,458,287,169,2784
21304,305,542,339,247,335,127,52,1954,38,26,19,17,24,9,6,139,5,21,7,8,12,4,3,58,549,1022,716,515,792,335,151,4083,47,94,54,38,40,13,4,297,54,135,77,49,46,15,5,383,101,227,130,85,87,26,13,681,647,1250,849,597,877,362,165,4762,1140,1053,528,278,338,120,70,3523,23,37,9,5,4,4,0,91,1813,2342,1390,883,1225,492,230,8376
21305,353,631,423,276,350,158,69,2255,59,34,19,15,19,9,4,150,27,33,22,17,20,12,5,145,802,1314,940,645,959,494,239,5392,66,150,80,55,75,30,9,473,85,165,100,43,53,23,6,479,148,318,188,97,133,55,14,950,952,1629,1131,748,1087,545,252,6345,1276,1178,594,393,464,176,82,4165,43,32,11,12,20,11,4,135,2270,2846,1734,1157,1563,739,338,10643
21401,269,525,340,255,355,145,48,1939,38,21,18,16,20,3,4,122,21,18,14,15,17,6,0,86,495,900,682,514,841,382,155,3966,27,38,45,20,35,11,3,190,58,103,62,37,35,7,0,304,86,138,111,60,69,23,8,495,579,1037,792,576,912,407,165,4461,742,646,356,204,274,85,46,2356,17,31,16,4,3,3,3,75,1342,1715,1159,785,1191,493,208,6890
21402,262,628,467,303,414,112,53,2230,21,28,17,13,19,9,4,115,14,13,15,10,15,0,0,73,397,963,749,554,828,268,116,3878,13,35,31,20,34,7,5,139,37,83,53,30,23,11,3,234,50,114,85,52,53,15,4,369,442,1080,833,609,882,283,123,4253,528,521,283,185,208,52,20,1795,8,17,9,8,11,0,0,55,982,1615,1127,805,1099,342,140,6100
21501,75,203,139,105,129,29,8,690,15,6,4,4,11,4,0,48,0,7,9,0,6,0,0,22,119,321,233,206,262,58,8,1212,9,17,14,7,11,3,0,53,9,40,11,10,9,3,0,83,16,58,29,14,20,5,0,135,133,377,262,222,278,62,13,1347,317,286,156,104,114,21,7,1011,3,3,0,0,0,0,0,17,456,669,415,324,397,87,19,2372
21502,115,193,123,89,128,32,3,685,16,4,3,0,3,0,0,28,0,10,6,4,3,0,0,26,186,322,250,203,299,78,17,1358,13,35,18,8,11,0,0,85,21,41,22,15,12,3,0,123,33,78,35,27,25,3,0,210,223,403,292,232,319,83,15,1567,418,396,175,112,129,18,6,1260,8,6,8,5,3,0,0,34,653,805,468,349,448,104,20,2861
21503,63,131,67,42,70,10,0,383,6,3,0,6,5,0,0,26,3,3,0,3,3,0,0,13,94,193,123,95,162,27,8,716,5,11,12,4,10,0,0,41,7,19,12,4,11,0,0,46,10,27,22,13,14,0,0,89,105,225,148,102,181,28,8,799,186,186,90,66,61,14,3,608,6,0,6,3,3,0,0,17,298,419,242,177,239,45,12,1425
21601,62,103,107,68,88,19,4,452,4,4,0,0,5,0,0,22,3,0,4,3,4,0,0,9,110,197,183,121,188,49,3,852,0,16,10,4,7,0,0,33,18,24,5,3,5,0,0,63,16,37,19,7,14,3,0,97,123,234,199,128,206,49,3,946,202,182,99,48,59,15,0,605,5,7,3,5,0,0,0,16,337,424,299,183,263,69,3,1571
21602,71,131,78,51,58,16,0,406,7,3,0,5,11,4,0,30,3,7,3,0,0,0,0,14,95,189,133,103,141,31,3,689,5,18,7,6,11,3,0,53,7,12,6,4,7,0,0,42,15,35,18,15,16,3,0,97,105,225,148,114,154,33,6,786,174,157,67,50,61,10,4,518,0,13,7,3,3,0,0,24,284,391,226,164,222,42,6,1332
21603,112,225,154,110,169,38,5,825,16,13,7,7,12,4,3,69,0,13,6,4,8,0,0,34,212,393,304,221,388,88,26,1639,13,33,18,13,15,3,0,102,31,63,29,19,17,6,0,160,49,94,49,33,26,12,0,265,265,488,352,255,414,101,22,1903,445,388,207,137,135,34,12,1354,11,14,12,4,3,0,0,41,717,886,566,394,557,137,38,3297
21701,48,110,90,65,89,21,3,436,7,12,9,4,12,0,0,39,0,0,3,0,3,0,0,6,72,172,167,114,186,43,3,761,0,10,4,9,7,0,0,37,4,27,15,5,10,3,0,62,8,29,21,17,13,6,0,93,76,209,184,134,200,45,3,850,167,125,74,51,50,3,0,472,0,9,6,0,0,0,0,20,249,342,262,180,252,48,10,1339
21703,81,116,92,64,104,21,4,471,12,6,3,0,5,0,0,33,0,3,7,4,3,0,0,14,117,171,154,105,184,39,3,774,0,6,5,9,11,4,0,37,11,12,8,5,3,0,0,45,14,21,13,9,12,4,0,78,128,195,171,121,197,41,3,853,203,182,91,66,43,6,3,593,4,3,3,3,3,0,0,18,331,379,257,189,243,47,7,1464
21704,102,209,162,109,141,37,7,775,19,7,11,5,15,0,0,54,0,10,0,3,5,0,0,21,155,311,255,184,294,74,21,1296,3,13,6,10,10,3,0,44,3,35,19,8,14,3,0,79,10,43,22,19,17,8,0,128,170,357,276,206,313,82,21,1424,233,213,89,60,66,21,0,681,9,9,3,0,4,3,0,26,408,576,371,264,379,99,20,2126
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
