SA3_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
20504,151,310,193,163,192,35,14,1057,27,15,4,9,16,0,4,83,9,10,6,0,5,0,0,30,247,486,327,286,405,105,40,1902,27,75,52,30,46,9,0,233,42,90,59,26,44,11,0,272,65,167,112,52,90,19,4,503,316,656,436,339,496,127,45,2408,668,512,234,178,174,42,13,1814,14,15,9,7,0,0,0,43,998,1175,679,524,670,164,53,4264
20505,96,145,87,77,113,30,0,551,11,3,5,3,0,0,0,28,3,3,0,6,3,0,0,17,148,219,154,149,215,56,6,943,3,9,12,9,15,0,0,48,10,40,14,5,11,0,0,89,16,47,33,15,25,0,0,140,165,262,185,163,245,59,6,1081,234,215,91,72,75,21,0,711,0,3,3,3,0,0,0,13,400,484,281,235,322,77,9,1802
20601,91,154,98,68,80,57,40,586,6,8,6,3,4,3,0,26,3,0,0,0,3,3,3,9,142,273,212,161,217,152,79,1235,6,13,12,7,8,8,0,48,13,29,18,6,9,9,0,80,18,35,23,10,18,10,3,129,160,311,238,170,232,169,79,1362,124,85,81,47,66,46,33,480,0,3,0,0,0,0,0,4,277,395,315,226,303,215,115,1846
20602,67,101,71,58,67,38,13,419,13,7,0,0,4,0,4,31,0,4,0,0,0,0,0,4,111,206,151,115,169,94,57,905,3,9,3,7,8,0,9,35,3,8,5,3,4,0,0,26,7,13,9,5,11,0,11,66,121,225,161,119,184,95,66,971,65,67,45,32,40,19,16,287,0,0,0,0,4,0,3,7,193,293,210,154,227,111,87,1272
20603,63,132,88,63,87,52,38,520,5,3,8,4,0,0,0,24,3,9,11,7,5,6,3,42,114,261,193,130,206,147,97,1145,11,11,8,6,13,7,6,58,9,25,7,13,7,11,8,74,18,38,14,19,20,20,7,137,129,296,201,142,222,166,108,1286,208,198,119,73,86,52,34,765,4,3,3,3,6,0,0,23,343,497,323,223,316,223,139,2072
20604,54,88,61,36,70,69,50,430,14,3,3,3,3,4,5,35,6,0,3,0,0,3,3,13,156,207,112,100,178,167,128,1054,9,17,6,12,12,8,8,67,17,34,15,8,12,13,5,100,20,52,22,20,20,23,15,169,179,259,132,119,202,186,143,1218,239,211,106,92,148,149,82,1020,12,11,5,5,0,7,0,33,424,479,240,208,350,343,224,2273
20605,87,163,113,71,104,62,29,627,14,7,3,5,6,3,6,34,0,0,4,4,3,0,5,20,171,353,232,168,251,159,97,1434,5,20,12,10,17,5,0,76,11,28,17,13,7,7,8,84,22,47,32,17,23,15,9,162,195,402,262,186,268,175,103,1593,138,134,82,69,94,49,24,589,8,3,3,3,0,0,0,19,338,535,348,253,366,231,134,2196
20606,42,74,45,30,53,42,38,316,3,4,0,0,0,0,0,10,0,0,3,0,6,0,0,18,91,166,111,82,147,103,92,795,3,5,0,3,3,4,0,27,5,8,11,3,8,0,6,37,6,18,8,8,9,4,3,65,102,185,121,88,158,114,93,859,84,117,70,50,62,42,34,463,0,3,0,0,0,3,0,7,183,307,188,143,218,157,134,1324
20607,69,106,63,69,82,55,29,467,7,7,5,4,8,10,3,44,3,0,0,0,9,3,0,15,129,221,166,138,187,150,105,1088,12,13,9,10,24,7,12,77,15,36,16,11,25,12,4,122,23,53,28,22,47,16,17,203,156,273,192,157,233,167,113,1291,334,296,144,99,137,78,47,1138,13,4,11,3,3,0,0,26,497,573,346,258,374,246,163,2455
20701,108,285,226,181,276,199,102,1372,15,8,5,10,9,13,3,63,0,12,5,4,4,9,3,44,206,608,500,415,695,514,278,3211,10,28,11,18,18,16,4,98,8,27,14,14,26,18,17,119,19,54,24,31,41,31,23,219,218,663,524,446,738,537,301,3432,170,245,210,161,257,140,113,1304,3,3,0,3,0,0,0,15,391,909,738,616,995,684,420,4754
20702,56,184,132,105,134,104,72,787,16,4,0,7,0,5,3,34,5,6,0,0,3,7,3,27,137,346,273,219,337,258,164,1731,10,24,3,8,9,9,8,62,10,14,14,15,21,14,5,82,15,37,16,23,32,23,12,151,153,382,287,237,364,276,173,1881,146,172,96,69,132,111,69,789,3,3,3,5,0,0,0,19,297,561,382,314,500,397,242,2690
20703,66,204,170,111,208,129,66,960,13,4,6,3,3,7,7,43,0,3,3,4,6,9,3,35,127,367,336,231,463,324,179,2043,6,10,6,11,20,14,13,81,11,13,9,9,14,12,4,74,20,30,20,19,31,28,15,156,146,395,360,249,498,352,196,2198,145,196,113,113,164,88,62,880,5,5,0,0,0,3,0,21,304,595,466,365,661,443,258,3094
20801,69,205,160,111,165,98,51,845,11,10,8,4,11,5,6,47,4,7,3,3,4,0,3,31,138,400,352,257,437,270,152,2005,3,13,6,5,16,12,4,62,5,22,15,11,15,5,3,66,12,35,20,16,27,16,5,127,147,434,373,270,465,286,157,2129,125,128,102,79,91,58,46,613,7,3,3,0,0,0,3,14,276,561,476,350,557,345,198,2755
20802,128,291,206,175,242,153,84,1282,18,11,0,4,9,3,4,64,4,10,9,3,6,5,9,42,261,597,475,370,569,404,267,2952,4,23,16,17,26,12,6,108,12,37,18,12,12,8,3,98,13,55,38,31,35,19,11,205,278,655,506,403,605,426,280,3161,157,216,134,99,130,86,77,896,0,0,7,0,0,0,0,16,439,872,642,503,738,514,357,4065
20803,133,343,229,174,229,125,60,1283,8,13,9,6,16,3,0,57,3,10,6,4,14,5,0,46,258,618,465,373,589,345,176,2826,3,14,6,11,22,10,3,74,9,44,21,14,21,10,6,122,14,58,31,18,41,20,9,193,269,679,500,396,626,366,187,3015,235,192,129,83,105,64,36,837,6,5,3,0,0,0,0,20,512,878,624,480,728,428,225,3874
20804,27,75,52,34,48,39,23,310,8,3,0,0,4,3,0,12,0,3,0,0,0,0,0,7,55,139,110,88,140,111,66,714,0,4,0,0,4,6,0,14,0,4,0,5,3,0,3,19,4,11,0,5,10,7,4,39,58,148,112,93,149,117,71,750,32,45,37,24,40,22,15,210,0,3,3,0,0,0,0,5,93,194,149,120,185,137,87,974
20901,133,344,234,157,245,125,62,1290,15,7,6,8,8,5,6,52,9,7,8,7,7,13,6,51,233,577,466,362,551,337,198,2726,4,21,6,10,12,16,3,77,17,40,25,17,11,13,5,133,24,58,33,32,27,31,6,214,255,636,498,389,581,369,204,2941,278,307,175,111,133,86,47,1134,5,3,4,4,4,3,0,28,537,948,687,502,722,452,248,4100
20902,118,216,164,92,145,82,38,858,13,10,10,3,0,4,3,45,4,3,4,4,5,0,0,17,213,363,290,180,295,195,113,1645,8,23,22,11,10,11,6,90,14,32,8,14,16,7,7,99,26,54,31,28,30,17,9,193,232,414,326,212,324,211,126,1841,320,307,159,127,148,85,61,1206,8,4,5,6,0,0,0,27,557,728,492,340,475,299,184,3071
20903,45,152,128,97,111,68,36,639,5,5,5,8,4,3,0,32,0,11,3,0,4,3,0,20,92,295,238,217,306,181,98,1433,0,3,3,4,7,0,0,21,6,28,8,3,6,0,3,59,6,31,18,9,14,0,3,76,101,330,256,223,323,180,98,1508,74,113,63,37,39,23,16,376,5,3,0,0,0,0,0,12,181,446,323,265,357,207,121,1894
20904,335,651,478,337,399,160,80,2451,52,38,17,8,23,12,8,155,26,30,27,11,14,11,8,119,645,1156,901,690,919,468,255,5030,50,66,40,37,44,27,11,271,53,109,71,40,32,18,3,330,108,172,107,77,74,44,13,601,751,1330,1004,763,996,510,268,5626,1074,1046,577,341,391,184,111,3720,26,22,20,11,6,4,0,85,1848,2395,1603,1118,1391,695,376,9430
21001,59,121,125,80,107,78,36,606,9,3,3,5,4,0,0,23,0,3,3,4,4,8,3,35,99,253,218,187,284,179,111,1326,0,9,4,8,12,8,4,43,6,21,19,12,12,0,3,75,6,27,23,18,23,8,4,117,110,286,240,205,302,186,118,1442,91,88,63,51,60,28,25,404,0,4,0,4,0,0,3,14,197,379,304,260,367,210,138,1856
21002,48,98,59,48,71,27,11,362,3,3,0,0,3,0,0,18,0,3,0,3,0,0,0,3,69,140,110,92,147,63,20,643,0,7,10,4,8,3,0,36,0,0,0,0,4,0,0,7,0,11,7,5,13,5,0,42,74,149,121,99,162,69,23,685,55,68,41,22,32,18,4,232,0,0,0,0,0,0,0,7,130,218,158,120,194,84,29,923
21003,86,184,117,78,104,63,27,663,12,14,8,7,3,3,3,54,6,8,0,8,6,0,0,31,163,345,240,171,260,170,84,1430,7,26,15,8,15,10,3,79,14,23,19,16,17,8,3,99,23,51,31,26,36,14,4,182,181,396,270,193,298,187,89,1615,226,232,175,99,156,67,31,980,15,7,6,9,4,0,0,33,420,632,448,299,455,256,122,2628
21004,86,160,111,72,105,29,20,577,12,5,7,4,0,3,3,34,3,5,0,0,6,3,0,23,147,256,197,160,232,88,46,1123,4,13,6,5,10,0,0,36,9,14,5,5,4,0,0,44,17,24,8,12,16,4,0,77,167,276,202,168,243,94,47,1201,180,142,94,57,67,21,8,566,0,0,0,0,0,0,0,4,350,418,297,229,313,109,54,1773
21005,224,390,312,218,293,126,66,1629,25,14,19,8,10,12,6,89,13,25,23,17,24,13,12,124,428,757,615,459,677,339,202,3473,34,63,37,33,40,31,10,249,60,95,56,36,48,21,11,328,96,162,95,69,81,55,22,579,521,920,711,527,762,391,222,4051,995,970,594,369,500,253,135,3813,13,36,17,7,10,3,6,88,1528,1927,1317,908,1267,648,360,7954
21101,195,423,327,285,337,154,81,1807,29,15,18,10,18,11,8,105,8,14,8,3,13,5,0,49,358,750,612,528,829,425,244,3745,14,20,17,15,17,11,8,107,23,62,39,17,26,10,5,185,39,80,56,28,50,21,16,294,393,831,675,556,872,445,262,4037,453,380,212,167,220,105,74,1608,3,8,6,0,0,3,0,26,856,1222,895,723,1094,548,337,5675
21102,13,52,56,25,51,21,12,225,0,0,0,0,0,4,3,8,0,3,3,0,3,3,0,6,30,83,89,61,94,65,32,457,0,0,0,0,3,0,0,8,0,3,3,0,3,0,0,9,0,0,3,4,4,3,0,17,31,89,88,61,99,65,34,472,31,42,28,14,26,14,16,176,0,0,0,0,0,0,0,0,62,126,121,79,129,84,49,649
21103,158,326,250,188,244,136,63,1355,18,9,7,5,18,3,0,56,8,12,8,5,4,3,5,49,256,555,464,385,595,356,189,2802,3,21,14,5,13,12,3,73,21,48,28,7,9,6,4,124,21,70,44,15,28,17,5,199,278,622,506,407,618,372,197,3002,311,269,179,107,154,64,32,1111,4,7,3,0,5,0,0,22,592,907,689,508,772,441,227,4139
21104,48,120,86,80,118,66,30,543,3,3,5,0,0,0,0,17,4,0,6,0,0,3,0,13,97,227,201,175,280,154,106,1241,0,7,17,3,6,0,3,34,11,14,4,10,11,9,7,60,11,19,22,15,22,9,3,91,107,240,224,190,299,163,112,1339,103,101,61,53,74,44,36,475,0,0,0,0,0,0,3,3,209,342,286,243,375,208,152,1812
21105,255,574,399,256,410,147,51,2086,26,23,13,11,24,10,3,98,9,11,7,3,15,4,3,54,384,890,712,513,856,370,148,3869,8,26,24,18,19,8,3,114,43,61,41,17,24,4,3,187,52,91,62,38,47,13,5,304,435,980,772,546,901,385,155,4176,478,448,258,165,214,88,30,1676,0,6,9,4,9,5,4,33,909,1438,1043,719,1123,473,182,5884
21201,225,414,281,174,222,84,26,1416,23,21,11,14,15,3,3,88,16,9,9,8,10,3,0,51,378,641,458,368,521,217,80,2675,17,42,30,16,21,10,0,133,43,54,33,31,21,0,4,194,57,98,61,50,44,15,8,325,440,739,520,415,562,231,85,2997,588,458,220,121,141,41,24,1590,9,12,13,10,5,0,0,43,1031,1206,752,539,714,270,113,4630
21202,169,334,246,180,263,106,47,1348,15,16,9,13,13,0,3,62,10,7,15,3,14,4,9,63,310,659,483,418,645,309,148,2983,24,37,31,19,35,11,10,177,48,68,47,23,24,15,5,240,78,102,78,50,63,32,19,414,387,764,561,464,713,338,167,3398,563,534,292,192,302,111,69,2070,15,12,9,10,3,0,0,51,963,1315,864,670,1018,448,237,5514
