SA3_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
20101,626,1793,510,572,60,4292,632,595,2360,1138,1454,201,6380,37,15,166,92,191,31,530,22,22,108,172,756,35,1117,34,16,139,99,378,147,817,2168,1804,8199,4862,11999,1158,30192
20102,138,346,143,124,16,937,116,136,404,297,367,60,1379,12,6,53,46,43,7,165,9,18,36,38,191,11,299,12,11,45,44,157,47,318,579,446,1880,1477,3451,428,8258
20103,69,213,86,98,24,527,40,50,253,241,346,57,984,0,4,19,24,47,3,89,0,3,6,17,184,10,231,3,0,25,24,135,54,242,173,198,898,927,2913,393,5496
20201,517,1469,414,437,74,3298,559,502,1996,1097,1609,197,5958,22,13,85,64,157,16,356,41,23,106,178,803,41,1190,24,17,107,88,401,149,772,1519,1506,6957,4198,11766,1113,27050
20202,336,661,166,182,33,1720,233,267,812,477,588,101,2475,29,19,95,42,73,21,280,25,9,78,68,361,10,549,28,27,89,78,197,71,495,1156,1007,3681,2224,5181,687,13930
20203,52,106,32,38,6,250,27,34,115,87,144,22,434,4,0,5,7,17,0,34,0,0,10,6,71,11,99,4,3,5,5,57,28,101,78,127,494,448,1441,180,2764
20301,79,289,112,87,12,675,42,84,309,185,320,34,979,3,4,24,19,24,6,81,5,5,26,42,202,3,287,10,7,22,24,107,33,204,281,277,1325,1095,2935,285,6202
20302,846,2971,1019,934,133,7099,901,813,3907,1968,2816,356,10757,51,35,252,164,298,42,827,72,43,280,397,1452,62,2303,70,29,316,287,820,312,1827,3813,2652,15387,9839,21934,2213,55840
20303,453,1434,410,274,65,3157,413,367,1503,753,813,149,3999,30,27,117,93,144,19,423,29,17,109,157,473,26,811,34,33,169,116,289,103,740,1701,1336,6854,4061,7943,857,22756
20401,272,645,247,265,35,1623,97,95,562,511,562,90,1915,12,11,41,64,138,21,278,19,3,47,86,458,34,643,12,13,57,72,305,117,577,554,578,2765,2690,7079,895,14558
20402,202,609,185,218,36,1383,162,209,783,598,735,114,2603,0,3,30,35,75,13,158,13,8,50,65,399,15,553,11,5,47,62,228,87,453,530,595,2684,2363,6028,690,12895
20403,357,886,321,349,56,2282,273,293,1160,887,1160,125,3904,9,17,52,55,100,8,244,17,7,55,122,638,27,858,22,9,88,88,360,124,693,991,1016,4379,3931,9932,1004,21248
20501,264,744,266,285,33,1815,144,154,666,462,644,79,2141,4,3,28,42,76,6,159,18,15,50,93,482,28,684,5,5,50,72,259,74,474,629,646,2811,2342,6729,645,13804
20502,186,504,173,263,30,1246,109,156,532,474,661,95,2021,3,4,39,34,64,5,157,6,7,29,72,356,24,487,3,3,42,61,208,81,398,349,475,1930,1841,5405,680,10671
20503,258,725,213,222,27,1596,157,180,712,530,773,115,2470,20,14,110,101,167,28,439,3,4,50,84,493,20,658,20,7,66,89,312,131,621,604,692,3096,2629,7684,971,15671
20504,255,780,299,339,54,1934,245,206,1071,690,1071,166,3447,3,3,33,31,78,10,157,8,9,52,101,594,29,802,11,7,54,58,377,131,633,686,697,3516,3042,9743,986,18675
20505,177,527,172,218,28,1212,144,139,580,398,602,87,1952,9,3,26,22,47,0,112,3,6,37,64,353,16,475,3,3,40,51,250,76,424,396,470,2216,1853,5680,629,11253
20601,878,2157,355,244,86,5604,1073,545,2160,599,507,108,4992,188,65,677,150,143,35,1259,173,55,377,196,383,46,1226,159,47,436,161,223,163,1188,6686,2801,15963,4670,5618,941,36675
20602,596,1314,225,122,38,3399,870,376,1603,381,282,56,3568,105,72,393,88,89,7,759,101,49,229,103,214,24,719,88,27,275,111,129,95,729,4269,1998,10128,2786,3022,502,22705
20603,505,1351,275,187,44,3279,678,326,1649,448,374,104,3573,64,42,320,95,138,11,678,68,39,198,132,274,19,727,102,28,298,117,182,111,838,4016,1797,11184,3677,4546,703,25911
20604,465,1905,272,162,55,5115,1404,465,2808,459,336,126,5588,248,102,796,262,199,27,1639,193,54,459,233,295,37,1271,339,54,853,265,200,193,1901,11729,2629,25697,5840,4693,1381,51962
20605,606,1776,380,226,65,4458,1225,493,2500,637,415,147,5416,196,79,720,252,220,36,1497,134,56,390,275,498,36,1393,266,53,714,250,279,197,1758,8156,2839,21128,6381,6610,1290,46412
20606,282,964,190,95,41,2433,859,291,1935,323,219,104,3730,99,34,457,125,111,23,858,68,18,207,164,269,13,741,189,44,528,150,131,116,1155,5218,1542,14868,3519,3224,782,29154
20607,674,1806,272,149,43,4776,1452,520,2871,492,349,104,5793,201,92,737,166,139,34,1367,170,50,373,170,346,28,1140,200,73,623,172,178,122,1375,8289,2886,20594,4489,4586,840,41684
20701,1059,3112,524,302,120,7592,2554,891,5258,1044,597,318,10661,189,81,581,187,163,26,1221,195,88,521,247,497,31,1579,403,110,1002,279,298,230,2326,13311,4588,31175,7528,6714,1678,65012
20702,359,1240,308,222,43,2952,759,321,1944,621,526,179,4349,41,14,181,81,90,19,424,107,27,267,187,484,37,1117,172,28,484,181,197,138,1209,4578,1436,12135,4402,5209,1102,28875
20703,599,1807,382,267,69,4379,888,504,2637,846,591,161,5629,69,39,239,96,91,11,540,154,52,325,258,452,36,1277,193,49,467,200,238,119,1263,6250,2311,14750,5150,5363,965,34784
20801,543,1663,445,242,65,3978,890,408,2105,680,448,131,4658,81,42,336,134,124,14,736,72,40,257,169,383,30,954,193,62,612,252,260,145,1525,5535,2288,15559,5323,5314,1050,35070
20802,941,2860,679,425,118,6958,1461,611,3724,1203,895,255,8142,145,67,469,177,178,26,1062,150,53,513,358,726,66,1868,321,67,814,323,382,233,2139,9748,3553,25025,8149,8676,1812,56957
20803,698,2201,588,424,95,4943,645,502,2305,1067,1115,181,5818,54,27,271,179,220,21,780,81,41,234,329,844,51,1576,150,29,388,275,586,205,1635,4086,2265,13912,7696,11854,1433,41239
20804,220,753,156,76,22,1780,568,219,1278,255,142,60,2523,42,20,156,46,55,8,329,37,13,116,76,139,10,386,95,27,248,87,77,51,583,3118,1077,7866,2029,1753,423,16270
20901,918,2404,620,452,83,5941,1218,700,3155,1141,1145,232,7587,64,51,339,149,180,20,806,113,62,282,258,718,44,1484,134,48,427,186,407,175,1376,5953,2983,15900,6690,10305,1292,43124
20902,519,1390,363,264,59,3560,636,340,1764,768,757,149,4406,67,43,276,114,107,14,615,75,26,219,211,470,48,1056,112,25,380,190,310,216,1237,4161,1664,10647,5071,6764,1165,29469
20903,549,1454,388,294,59,3378,470,346,1354,727,664,111,3665,42,27,164,97,119,14,464,54,36,138,176,584,38,1018,53,23,235,147,346,91,885,2270,1572,7578,4274,7699,804,24199
20904,706,2228,882,882,144,5727,837,529,3378,2200,2628,395,9968,37,13,166,160,224,37,632,103,25,327,493,1782,127,2852,176,28,524,438,1134,482,2784,4971,2064,15950,11816,23074,3080,60952
21001,311,1010,280,228,60,2256,271,166,983,385,387,88,2275,12,14,110,67,76,15,303,32,11,123,134,431,34,769,53,14,182,113,230,103,695,1560,896,6389,3260,5381,759,18247
21002,200,527,170,162,24,1246,107,138,435,250,275,52,1256,13,10,53,33,58,10,184,13,4,47,51,288,17,422,17,17,77,48,159,53,367,648,585,2575,1774,3906,417,9909
21003,374,1017,285,220,52,2518,421,235,1210,599,573,101,3145,46,23,165,74,108,12,427,51,18,178,172,451,30,894,118,21,271,156,286,168,1024,2910,1165,7863,4026,5693,971,22621
21004,190,583,195,227,34,1375,111,135,512,380,512,73,1723,6,4,47,38,79,16,198,7,3,35,105,429,15,588,17,6,46,64,215,45,391,529,525,2644,2339,5780,518,12348
21005,380,1291,541,563,93,3374,454,253,1711,1366,1474,243,5504,24,11,125,91,135,13,401,46,15,181,304,1040,76,1664,102,30,339,321,741,332,1861,2986,1113,9744,7716,13980,2045,37583
21101,697,2180,740,606,105,5276,681,515,2799,1682,1857,266,7801,47,20,237,195,217,20,726,121,51,347,418,1422,76,2430,163,39,498,366,885,290,2232,4680,2175,15626,9605,17551,1893,51523
21102,133,450,103,82,16,999,202,133,616,244,173,52,1414,8,10,52,30,34,8,133,24,13,69,51,203,10,364,35,16,139,71,117,45,417,1010,534,3491,1485,2259,298,9084
21103,672,1977,603,443,83,4630,534,490,2153,1255,1440,180,6049,33,29,182,117,175,20,551,108,48,284,318,927,38,1723,100,32,315,228,529,196,1405,3467,2074,11626,6918,12428,1248,37763
21104,361,1077,308,181,33,2605,423,275,1335,562,488,96,3186,26,9,106,57,54,13,264,105,38,216,152,312,25,855,108,22,266,121,197,76,784,3239,1257,8493,3437,4140,566,21129
21105,837,2319,866,805,126,5762,474,526,2090,1853,2083,265,7297,50,36,227,186,269,29,801,86,43,249,365,1774,77,2597,70,40,347,325,1103,327,2213,2633,2253,11002,9238,21637,2000,48768
21201,375,1220,450,499,58,2962,258,248,1146,1027,1328,163,4164,18,14,85,94,163,23,397,27,14,112,196,1032,46,1431,32,19,179,193,665,175,1264,1314,1008,5617,5499,14014,1257,28716
21202,431,1463,558,510,72,3686,495,319,1963,1310,1522,236,5854,26,10,134,154,167,24,513,62,26,225,325,1172,70,1874,100,32,409,343,768,289,1935,3054,1316,10200,7833,14317,1804,38530
21203,367,1375,634,582,91,3575,573,375,2444,2017,2425,316,8146,19,8,109,153,272,29,593,60,13,220,411,1474,83,2263,132,27,387,417,1069,436,2465,3413,1346,11192,10127,20288,2368,48731
21204,368,1273,516,379,98,3314,620,314,2502,1580,1747,293,7059,31,6,156,117,181,24,518,101,30,332,520,1155,114,2244,208,28,612,538,904,518,2808,4615,1369,14442,9452,13484,2554,45905
21205,709,2588,633,428,116,6604,1219,547,3693,1288,1065,255,8073,96,38,316,128,167,17,768,184,52,462,349,807,71,1924,372,49,960,377,446,280,2489,10570,2776,23431,8590,9462,1904,56736
21301,424,1533,566,506,106,3672,484,297,2223,1286,1545,288,6120,27,14,252,151,213,44,708,70,22,293,386,1211,111,2103,125,29,584,482,845,499,2559,3254,1312,14034,8701,14804,2567,44677
21302,497,1317,350,281,56,3200,512,331,1321,581,560,97,3408,56,26,218,135,152,20,609,63,51,177,189,507,40,1023,88,33,295,160,403,119,1095,3357,1683,9867,4629,7390,987,27913
21303,579,1426,306,207,49,3471,670,356,1737,557,495,101,3916,94,55,351,152,183,21,849,89,36,279,203,346,29,987,129,34,407,186,235,163,1159,4641,1992,12887,4749,5436,926,30630
21304,501,1802,608,657,91,4195,428,349,1973,1401,1618,214,5981,24,12,149,136,251,33,607,52,21,169,287,1206,69,1800,71,18,282,286,779,299,1747,2660,1432,10697,7978,17582,1931,42272
21305,573,2052,835,749,121,5496,976,531,3277,2201,2053,315,9352,108,29,390,229,345,41,1138,118,39,346,446,1323,86,2361,329,48,672,467,980,477,2968,9545,2355,19831,12675,20556,2872,67825
21401,588,1696,708,668,84,4266,429,394,2048,1657,2175,281,6979,25,17,144,141,258,28,618,37,19,166,319,1252,82,1879,65,25,299,284,954,283,1904,1929,1583,8849,8191,18494,1857,40897
21402,713,2277,760,637,138,5212,601,522,2341,1613,1977,315,7374,42,36,231,207,355,52,932,51,24,201,321,1260,50,1908,72,49,328,330,822,292,1883,2488,2086,10667,8610,18927,2091,44864
21501,227,728,202,224,30,1501,158,191,887,724,1095,157,3215,3,3,54,41,100,7,205,14,14,44,78,478,18,647,8,11,37,65,227,116,459,465,614,2983,2694,7409,935,15103
21502,226,760,283,279,32,1682,160,140,752,541,750,95,2440,6,0,20,21,74,4,123,4,3,38,76,442,30,593,8,7,34,59,280,121,500,420,517,2776,2236,6504,843,13297
21503,156,486,110,182,24,1007,57,72,410,343,469,71,1423,0,0,15,16,44,9,79,6,4,22,42,332,10,417,4,0,28,38,182,81,336,184,309,1670,1397,4486,632,8675
21601,132,443,127,133,15,926,70,122,473,424,567,89,1735,3,0,16,20,50,11,107,4,3,25,58,358,17,466,5,5,34,32,173,96,337,241,352,1789,1543,4973,626,9525
21602,104,278,112,129,16,688,46,67,310,273,327,63,1085,4,3,13,12,47,3,73,4,0,18,31,232,15,301,3,5,24,32,153,51,265,159,242,1179,1176,3622,480,6859
21603,344,761,262,278,38,1863,276,234,1019,802,923,134,3391,3,0,15,41,74,3,131,11,20,48,129,574,31,803,10,3,51,78,316,135,597,791,809,3412,2934,7216,888,16050
21701,139,433,137,191,20,995,81,117,544,375,613,85,1820,3,4,19,24,49,5,95,5,4,26,48,284,14,390,14,7,26,31,172,63,312,316,381,1825,1537,4903,560,9526
21703,122,429,131,136,19,899,79,78,426,341,567,100,1595,5,6,31,24,49,3,115,10,3,18,41,268,11,356,9,4,31,35,177,96,348,293,321,1858,1646,4944,683,9747
21704,196,813,216,260,29,1732,204,244,999,591,768,126,2937,7,7,36,43,87,12,203,10,7,31,85,398,29,562,14,3,67,54,209,87,430,640,661,3461,2436,6466,749,14417
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,12,0,22
29999,6,38,9,7,7,99,22,17,51,39,34,9,168,4,3,20,7,7,0,47,3,0,14,10,30,4,67,12,0,14,8,27,21,79,138,57,428,187,437,87,1337
