SA3_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
20101,902,869,1772,2782,2579,5362,1230,1232,2463,483,496,975,4496,4304,8797,1468,1490,2961,1261,1116,2372,715,764,1479,3443,3371,6814,175,158,331,66,122,188,237,161,398,242,314,554,11,5,17,733,758,1487,1173,1565,2742,392,548,944,121,183,300,407,744,1156,9,4,18,2100,3048,5150,124,118,245,187,308,494,4,3,9,319,435,747,3368,3735,7100,15357,16516,31865
20102,204,187,386,777,760,1539,264,257,523,107,102,210,1151,1121,2270,442,455,893,215,227,441,112,127,244,770,814,1583,27,28,56,10,12,29,65,37,103,63,85,142,4,7,8,171,169,337,84,129,212,39,97,144,25,27,53,73,206,275,0,3,3,220,470,690,24,35,56,43,89,132,0,0,0,64,121,189,1308,1385,2686,3884,4264,8145
20103,163,173,340,783,679,1457,161,181,345,45,48,97,988,909,1895,466,448,916,132,126,257,126,132,261,730,704,1435,24,28,51,6,17,21,43,21,71,33,54,86,5,0,5,110,125,243,63,97,151,15,49,66,11,28,44,50,82,135,0,0,4,137,252,392,16,32,49,37,57,93,3,6,6,57,99,150,1416,1063,2483,3604,3330,6937
20201,805,716,1521,2633,2439,5073,1065,1013,2082,309,300,606,4011,3755,7763,1877,1781,3657,780,717,1505,393,378,767,3051,2876,5928,182,230,416,109,183,293,253,168,425,198,358,561,9,7,15,757,947,1712,767,1316,2081,219,366,580,73,126,198,275,495,772,7,10,15,1332,2313,3647,83,107,188,151,263,417,8,5,14,240,371,611,3529,3771,7305,13734,14760,28488
20202,380,326,712,1330,1223,2547,389,372,764,195,214,405,1912,1811,3719,767,777,1546,341,349,695,301,337,637,1410,1466,2879,59,59,120,21,62,81,110,58,165,96,128,229,3,0,3,286,312,597,134,239,375,64,133,201,22,31,56,107,293,407,0,3,9,333,710,1042,19,28,50,62,142,198,0,5,8,81,174,256,2691,2185,4879,7093,6982,14073
20203,87,62,147,306,322,633,91,86,175,28,15,38,422,428,845,253,279,528,58,51,105,36,46,88,349,379,725,12,8,22,6,12,21,22,7,28,13,29,41,0,0,0,50,64,109,21,38,57,4,17,19,6,0,9,9,42,50,0,0,0,43,97,137,4,12,18,5,34,43,0,0,0,13,43,56,621,569,1194,1579,1637,3215
20301,201,169,367,802,777,1577,51,56,112,156,117,270,1006,944,1954,342,321,662,165,193,361,236,173,406,741,692,1428,15,21,39,10,16,27,72,38,102,36,93,125,3,0,6,136,170,305,93,118,216,13,55,65,19,29,48,45,98,146,0,3,3,180,299,477,16,14,32,17,70,91,0,0,0,35,86,121,686,640,1328,2975,3004,5982
20302,1553,1397,2956,4823,4592,9416,1668,1641,3304,841,819,1660,7327,7055,14381,3146,2720,5869,1441,1800,3243,1520,1380,2904,6105,5901,12011,378,441,818,170,344,517,536,313,849,505,667,1167,7,18,23,1593,1786,3374,2391,2871,5257,842,893,1738,230,332,561,591,1101,1695,11,22,39,4060,5221,9286,259,325,584,392,681,1075,13,11,28,666,1022,1686,7006,6609,13619,28312,28991,57301
20303,685,607,1293,2272,2141,4411,715,666,1385,313,304,623,3304,3118,6419,1093,926,2017,629,705,1333,595,521,1113,2314,2152,4470,90,103,190,40,92,131,210,95,300,194,238,430,6,0,3,531,517,1055,413,571,983,133,253,386,63,84,148,207,477,687,0,4,11,820,1395,2213,43,64,106,115,220,336,3,5,6,161,283,447,2185,2323,4504,10004,10390,20394
20401,412,363,774,1347,1271,2623,620,579,1199,93,110,198,2058,1966,4025,1054,1048,2103,355,346,698,262,256,519,1671,1646,3316,93,82,179,26,50,79,161,102,267,117,199,318,3,3,3,409,444,849,130,200,333,32,103,140,29,49,79,109,276,382,0,3,3,299,639,934,87,52,142,67,157,219,3,0,3,157,208,368,2579,2649,5225,7591,7908,15493
