SA3_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
20101,323,438,763,4881,6133,11015,0,0,0,436,500,936,102,90,191,11758,13581,25336,400,569,967,192,209,396,114,157,270,57,71,133,250,315,565,19,22,45,101,131,233,320,362,683,1299,1578,2879,173,227,408,60,101,155,3006,4048,7058,875,1026,1902,24,21,47,24072,29122,53201,334,279,614,247,176,427,17,22,44,15,9,18,108,104,218,124,180,309,247,296,547,19744,18580,38326,179,151,333,56,99,159,19985,18828,38813,4727,4682,9406,49961,53854,103815
20102,98,186,282,1554,1827,3382,0,0,0,101,108,213,0,0,0,3149,3277,6419,37,44,75,113,76,188,24,25,52,15,13,24,49,73,116,3,0,6,34,45,76,44,59,102,379,374,751,26,30,62,30,43,76,686,790,1476,234,254,486,7,17,20,6484,7056,13532,26,23,46,23,15,42,23,14,28,0,3,4,9,9,15,68,81,148,82,91,170,5521,5198,10720,42,46,84,26,55,79,5578,5302,10882,1648,1674,3320,13951,14358,28307
20103,54,77,130,2035,2281,4319,0,0,3,78,92,175,3,3,5,2248,2428,4675,62,73,131,59,38,96,44,64,108,6,15,19,44,55,102,4,4,6,37,38,73,86,90,171,503,460,967,62,86,139,19,18,42,851,1039,1893,158,172,332,13,10,23,6307,6961,13265,20,21,38,17,13,27,4,8,11,3,0,5,9,8,11,51,70,123,64,78,142,4677,4078,8746,34,27,59,14,20,31,4721,4121,8841,1690,1205,2897,12887,12481,25365
20201,427,549,977,5397,6736,12133,0,0,0,919,1037,1959,74,72,142,9649,11162,20808,64,88,148,149,139,289,116,141,255,80,93,170,155,175,331,41,39,78,74,80,158,422,534,956,894,1090,1987,87,133,223,92,105,195,2742,3678,6424,967,1117,2079,14,16,31,21935,26433,48365,243,233,478,237,214,450,21,20,40,5,7,14,104,82,189,94,168,268,210,259,471,17617,16467,34087,149,136,286,39,90,128,17806,16692,34500,4584,4514,9101,45463,48916,94378
20202,179,237,412,2550,3108,5663,0,0,0,352,375,725,103,93,198,4183,4369,8552,74,76,151,134,117,253,26,34,61,18,13,28,76,110,186,7,3,10,51,63,115,97,113,210,531,598,1124,35,46,82,8,16,24,1092,1500,2597,437,470,907,15,22,42,9791,11139,20926,49,52,99,24,21,42,15,31,48,0,4,4,21,13,32,73,133,200,91,150,237,9889,9414,19305,93,79,169,62,79,132,10037,9565,19609,3223,2693,5912,23406,23889,47291
20203,43,34,81,940,1059,2003,0,0,0,104,121,230,0,0,0,1134,1085,2220,20,25,42,21,18,33,0,0,4,7,6,19,19,19,39,0,0,0,5,17,19,32,36,64,213,239,455,11,19,27,7,10,16,493,503,993,109,134,236,11,7,14,3131,3283,6414,7,7,17,3,4,9,0,0,3,3,3,6,0,0,0,10,28,40,15,29,48,1872,1544,3411,16,7,23,3,3,6,1885,1550,3438,740,673,1412,5828,5590,11421
20301,30,46,76,1142,1332,2476,0,0,0,149,172,322,0,0,0,1998,2072,4065,17,26,45,63,64,122,14,14,25,6,4,9,97,97,186,0,0,0,11,11,19,72,57,122,390,418,812,16,19,38,27,32,64,563,630,1200,257,249,506,3,3,5,4822,5194,10020,9,7,19,25,14,35,6,0,3,0,0,0,3,0,6,22,36,57,32,35,65,3756,3298,7060,22,18,40,8,18,21,3784,3337,7123,901,771,1669,9609,9411,19018
20302,865,1150,2016,8414,10787,19206,0,0,0,1680,1950,3630,87,74,160,22641,25963,48604,126,177,308,1611,1654,3266,235,304,534,116,133,253,694,900,1589,48,44,92,212,289,497,579,662,1239,2476,2951,5425,197,267,469,99,133,237,3923,5471,9391,2248,2717,4961,69,93,159,45446,54575,100023,954,655,1607,1393,1086,2476,47,41,85,10,7,12,375,324,702,236,284,518,622,611,1229,31998,29699,61704,349,238,586,150,181,328,32499,30126,62619,9513,8615,18125,91328,96854,188180
20303,221,301,525,4019,5021,9046,0,0,0,612,662,1275,0,0,0,7739,8655,16388,52,56,110,303,266,567,83,106,184,15,17,35,192,228,427,0,3,3,51,77,131,153,189,336,824,950,1777,70,74,139,16,19,32,1713,2426,4140,659,785,1440,20,22,42,16517,19565,36082,69,59,124,44,41,83,21,19,37,0,3,3,15,18,30,52,88,139,70,109,177,14578,13424,27998,96,78,180,44,102,145,14716,13606,28325,3221,3147,6369,34873,36852,71729
20401,157,247,408,3855,4479,8337,0,0,0,250,244,491,0,0,4,6239,6606,12842,22,20,40,153,133,281,36,35,65,43,58,101,94,115,210,6,0,10,60,73,131,98,113,208,961,1008,1971,70,80,153,64,65,123,1173,1528,2702,446,482,921,16,20,38,13577,15045,28619,49,39,88,77,56,134,16,17,27,0,0,0,38,31,71,74,118,185,111,153,260,9822,8391,18213,89,65,156,48,55,103,9961,8510,18474,2999,2825,5825,26952,26890,53840
20402,119,173,288,3358,4018,7379,0,0,0,211,236,443,46,40,84,5513,6118,11627,15,28,41,75,54,129,90,108,200,19,41,62,142,154,299,0,5,7,128,143,268,138,160,299,845,961,1811,63,92,158,28,46,72,1272,1630,2904,430,478,903,7,9,19,12393,14324,26716,88,61,148,53,46,95,7,11,20,0,0,3,24,19,38,33,48,89,56,67,131,7194,6604,13800,60,61,114,24,26,51,7274,6695,13964,2317,2427,4744,22303,23797,46100
20403,220,291,515,5217,6002,11217,0,0,0,491,576,1065,9,6,13,7663,8357,16013,47,58,103,122,127,256,153,215,363,38,47,85,406,484,891,8,9,19,114,132,244,311,350,666,898,969,1866,74,98,176,56,73,125,1601,2098,3700,834,979,1815,17,32,50,18061,20594,38653,203,213,420,103,57,161,10,20,25,5,3,6,69,50,124,77,131,214,153,187,343,12066,10700,22774,121,103,225,40,71,109,12231,10871,23103,3676,3350,7027,34667,35580,70249
20501,117,184,302,3402,4107,7506,0,0,0,305,342,650,53,57,113,4630,5094,9724,56,69,123,97,96,194,101,117,218,43,39,79,63,89,147,3,0,5,198,221,420,144,177,318,910,1149,2063,90,132,220,62,76,138,1092,1383,2478,706,788,1492,12,15,31,11966,13965,25933,52,52,108,39,45,80,7,7,17,0,0,3,29,31,55,49,97,142,70,127,204,8877,8105,16982,78,75,152,28,47,80,8985,8224,17210,2384,2398,4785,23621,25004,48626
20502,117,165,287,3641,4196,7838,0,0,0,274,301,575,63,67,130,3604,4122,7730,10,23,36,68,61,130,124,165,290,14,17,33,72,85,160,9,4,11,28,44,76,176,238,418,753,787,1537,59,78,138,50,79,125,1061,1364,2416,426,471,894,17,25,43,10450,12129,22579,62,39,95,20,22,41,11,13,22,0,5,8,19,9,27,54,86,137,76,102,175,8698,7777,16482,68,66,138,27,40,70,8795,7888,16683,2642,2625,5269,22174,22974,45146
20503,212,289,506,4378,5235,9620,0,0,0,383,480,865,5,3,9,5299,5967,11262,23,35,59,141,144,283,83,115,201,30,41,76,96,93,185,15,7,26,49,78,125,171,190,362,865,953,1816,88,132,222,46,48,89,1524,2048,3570,550,677,1225,17,19,41,13757,16276,30033,70,65,140,29,40,64,20,16,39,0,0,0,29,22,46,75,127,205,111,141,252,12421,11414,23833,108,78,180,48,78,119,12567,11569,24132,3270,3230,6502,30038,31626,61668
20504,254,325,580,4849,5841,10697,0,0,0,314,363,675,41,67,108,7873,8918,16796,18,32,47,359,356,718,163,214,377,90,95,189,133,171,300,10,12,23,87,107,196,313,382,701,1118,1309,2424,106,151,263,56,70,126,1040,1434,2468,714,867,1576,25,31,50,17305,20428,37736,140,120,257,179,145,323,6,12,18,5,4,10,36,22,57,76,129,208,111,159,273,13635,12135,25764,140,111,250,40,84,124,13811,12326,26140,3892,3879,7778,35700,37398,73099
20505,127,183,310,3790,4398,8186,0,0,0,240,290,526,28,33,56,4061,4458,8519,16,16,27,65,68,133,58,65,118,32,26,62,68,72,132,8,10,19,50,41,94,84,94,183,627,624,1254,31,45,70,32,44,74,1067,1326,2394,374,428,796,16,8,25,10617,12042,22662,75,59,133,46,43,91,9,9,19,0,0,0,33,27,57,43,70,119,76,96,176,7519,6568,14089,64,67,137,29,40,63,7610,6675,14289,3069,2138,5203,21631,21238,42871
20601,711,955,1667,1216,1604,2822,23,29,56,161,212,371,3,0,4,9285,10744,20026,15,14,28,3114,3327,6442,64,77,138,27,21,46,75,74,150,64,61,123,75,91,162,125,163,286,239,260,497,30,25,54,9,11,26,373,596,973,461,584,1046,15,16,33,15358,17921,33283,999,767,1771,2018,1815,3835,72,98,173,4,4,11,72,52,124,151,203,353,224,262,486,17951,18362,36310,308,260,571,70,115,183,18325,18738,37064,4006,3976,7982,41727,44532,86257
20602,376,589,969,837,1115,1957,3,0,3,78,120,201,0,0,0,4385,5433,9820,10,25,34,2427,2668,5094,13,34,51,20,16,32,48,70,118,20,17,35,53,52,111,50,58,109,136,164,298,12,33,46,6,4,9,298,392,685,322,374,697,12,14,26,8736,10598,19331,391,315,705,383,343,730,60,87,147,0,4,4,70,41,114,80,91,174,155,135,289,11793,12568,24363,165,173,338,48,80,132,12003,12827,24827,2480,2590,5073,24589,27481,52065
20603,669,968,1636,1582,2003,3588,15,4,18,230,274,505,0,0,0,10303,11721,22021,33,35,66,1333,1437,2770,46,82,125,23,20,39,61,123,184,142,194,335,77,95,173,122,171,292,309,378,691,16,21,32,14,15,32,599,812,1407,435,594,1029,4,8,15,15354,17977,33330,997,770,1774,1221,1277,2501,38,27,62,3,0,3,109,79,187,97,94,190,205,171,382,10194,9856,20053,132,98,226,36,56,92,10367,10006,20374,3209,3332,6541,32066,34534,66595
20604,4014,5354,9371,2189,2665,4851,12,8,16,419,496,914,5,0,3,8231,9329,17558,40,45,83,767,808,1575,25,42,65,28,40,68,123,173,300,120,134,259,261,316,570,488,656,1143,667,753,1416,22,23,46,38,39,71,762,961,1724,1082,1474,2556,22,34,62,15289,17996,33284,3139,2355,5499,2725,2574,5296,222,252,473,4,3,5,131,128,261,221,258,475,359,386,744,29688,30764,60452,309,246,554,83,76,159,30080,31084,61160,10308,9829,20141,66144,69825,135969
20605,732,1102,1833,3271,3789,7058,0,3,6,233,268,502,0,4,7,8132,9569,17699,18,23,43,1886,2054,3938,49,68,120,21,33,48,129,182,309,55,48,108,111,146,254,162,188,349,502,593,1095,13,21,34,12,36,47,641,843,1482,565,770,1337,37,36,72,15851,18655,34513,1130,850,1973,549,518,1065,1726,1809,3531,4,7,10,74,62,131,161,168,327,239,233,466,21630,21014,42645,264,226,496,114,194,310,22017,21433,43446,7071,6971,14040,49309,51563,100872
