SA3_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
20101,11106,1167,170,28,33,12507,12183,828,74,44,38,13158,5175,2156,601,15,30,7972,923,455,102,0,9,1495,1487,312,94,8,14,1909,138,101,63,0,8,311,112,47,18,6,11,192,124,37,11,0,0,181,7966,3114,886,30,67,12058,194,78,10,3,8,281,787,178,49,7,28,1051,32233,5362,1185,106,171,39056
20102,4194,16,12,171,43,4440,3998,6,6,110,36,4161,532,20,30,36,3,617,62,29,21,0,0,117,569,7,12,29,15,627,7,11,9,0,0,30,61,3,0,14,4,78,67,0,3,3,7,77,1300,80,75,76,29,1557,68,6,0,11,3,88,258,32,11,18,22,347,9822,141,115,387,133,10591
20103,4422,84,4,114,16,4640,3181,21,3,26,9,3242,588,73,19,3,4,691,108,56,30,0,0,190,588,17,15,14,3,645,9,19,10,0,0,39,74,6,0,13,0,94,87,3,3,4,0,95,1462,171,76,32,14,1753,70,29,3,3,0,106,310,18,11,10,5,352,9440,323,100,181,44,10096
20201,10617,531,50,67,26,11293,11731,284,58,16,28,12117,5127,1392,208,12,34,6781,871,429,64,0,6,1372,1785,245,38,12,9,2089,186,83,27,0,0,291,120,25,40,34,0,217,133,26,6,3,3,175,8227,2194,389,60,51,10924,174,18,4,0,3,202,802,161,40,16,9,1025,31549,3199,532,159,125,35561
20202,7088,117,35,49,48,7332,6705,32,20,27,59,6844,1166,142,47,10,8,1371,153,89,14,0,0,255,763,54,25,25,9,875,50,21,6,0,0,78,89,5,0,14,4,116,77,8,3,0,0,84,2297,319,95,52,25,2782,89,0,5,0,3,101,463,25,3,4,26,524,16641,500,158,133,157,17580
20203,2027,7,6,49,24,2113,1360,0,0,21,15,1387,117,0,10,0,0,131,19,8,17,0,0,41,309,3,8,10,0,324,12,0,3,0,0,12,72,0,0,6,0,75,56,0,0,3,0,65,581,8,36,19,0,647,47,0,0,0,0,44,153,3,7,8,5,175,4158,20,52,92,41,4367
20301,2173,8,12,4,12,2202,3141,3,4,14,7,3172,273,6,7,0,0,292,23,0,0,0,0,23,292,3,6,0,3,307,11,0,0,0,0,11,57,0,0,0,0,61,39,0,0,3,0,46,704,10,14,3,8,735,34,0,0,0,0,34,149,0,3,0,0,157,6198,19,29,26,24,6296
20302,21045,1697,302,179,48,23266,22090,1330,272,72,42,23814,8381,3208,1096,47,54,12783,1564,824,141,0,0,2534,3020,619,178,24,14,3855,319,256,61,4,0,638,285,77,32,141,11,542,209,59,25,16,9,317,13778,5035,1531,236,91,20671,438,127,21,14,4,610,1507,295,99,21,14,1937,58858,8488,2234,522,193,70291
20303,9989,538,128,25,47,10727,8721,281,43,11,27,9085,3028,568,126,21,15,3757,39,40,11,0,0,88,1101,130,25,12,10,1281,40,18,4,0,0,64,72,9,3,9,5,94,132,14,3,3,5,156,4408,779,172,44,37,5447,149,15,6,0,3,173,525,56,17,3,12,609,23790,1665,371,81,124,26043
20401,7643,166,89,143,61,8096,6537,42,34,22,30,6669,1672,155,172,11,3,2018,304,83,60,0,0,446,1045,32,55,18,15,1168,16,18,18,0,0,50,416,32,17,44,10,514,169,10,11,0,5,196,3619,324,327,79,35,4391,146,29,21,7,3,199,600,48,34,59,13,758,18548,611,498,307,142,20110
20402,6940,232,92,49,23,7333,5627,77,36,21,21,5783,1507,399,227,7,11,2150,461,160,79,0,0,698,866,115,41,3,5,1038,23,39,10,0,0,79,85,5,5,18,7,122,100,14,3,4,4,125,3046,741,366,34,20,4212,90,38,45,3,3,184,489,62,34,10,5,603,16192,1152,578,112,77,18116
20403,8413,272,90,63,68,8910,8389,159,50,21,68,8695,3027,745,233,11,12,4027,659,264,81,0,0,1006,1335,160,70,20,20,1608,51,20,12,0,0,82,410,26,19,20,3,479,129,17,10,3,4,157,5600,1228,422,57,47,7359,171,7,15,3,7,203,590,73,31,15,9,711,23166,1747,613,160,197,25872
20501,6155,158,343,78,31,6766,6487,56,33,14,19,6605,1684,242,188,8,7,2129,167,79,45,0,0,289,838,54,52,8,5,958,16,19,9,0,0,42,84,3,10,39,7,147,84,8,11,0,0,105,2867,399,320,54,21,3660,81,4,41,0,0,131,392,28,41,11,12,481,15981,655,775,155,79,17641
20502,7484,155,78,184,46,7951,4806,46,18,19,26,4922,1573,232,110,13,15,1942,340,109,42,0,5,494,916,43,17,12,27,1009,90,16,13,0,4,122,174,10,13,44,8,243,127,5,8,4,5,141,3225,407,192,68,65,3959,133,4,3,7,9,143,505,34,12,19,72,644,16152,649,305,303,213,17614
20503,9775,321,114,153,31,10390,7210,66,33,24,37,7363,2509,249,130,8,13,2911,185,159,45,0,0,393,1322,45,52,13,12,1440,47,40,32,0,0,120,199,14,6,39,8,258,204,15,7,0,0,230,4474,514,273,60,31,5354,154,16,15,6,13,202,624,46,20,23,17,729,22236,965,451,265,120,24037
20504,9380,387,176,67,16,10024,9324,132,103,9,15,9579,3029,530,724,3,13,4305,728,299,223,0,3,1256,1215,99,88,4,12,1423,95,55,32,0,0,187,91,38,8,18,14,166,78,20,9,0,3,117,5245,1050,1094,24,41,7444,115,51,6,0,0,172,710,93,83,5,40,934,24773,1710,1458,112,103,28158
20505,6022,100,78,79,29,6309,5283,45,22,20,25,5401,1532,185,199,6,6,1932,291,97,45,0,0,437,768,18,14,8,7,825,42,22,6,0,0,79,294,12,3,19,0,328,124,5,8,3,0,140,3059,339,275,45,22,3734,90,26,0,0,0,123,410,29,17,6,5,472,14866,541,399,150,77,16030
