SA3_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
20101,369,1399,4092,4062,4037,2682,390,39,8,17072,843,916,791,602,635,797,448,70,3,5109,37,59,103,100,120,150,53,8,0,645,42,70,89,68,81,56,24,11,3,443,1295,2445,5073,4836,4870,3693,922,126,13,23267,123,251,301,193,201,132,9,0,0,1201,212,182,94,53,53,58,12,0,0,660,329,435,393,242,250,189,25,0,0,1859,1627,2875,5466,5075,5120,3883,944,126,13,25129,1685,701,644,627,812,1596,3305,2042,693,12106,167,243,396,349,358,328,350,197,90,2475,3475,3821,6508,6057,6289,5803,4598,2372,801,39714,130,924,2159,1839,2376,1483,141,9,8,9062,1261,1399,2020,2582,2411,1815,392,36,4,11922,67,123,358,231,165,179,59,0,0,1180,46,66,61,61,62,53,11,6,0,357,1499,2510,4595,4714,5011,3525,597,45,11,22523,71,154,174,100,125,63,3,0,0,690,224,151,155,152,124,80,13,0,0,898,294,304,327,255,253,138,19,0,0,1590
20102,126,276,631,1036,1224,949,240,34,7,4528,162,112,120,202,322,391,207,34,8,1564,13,11,24,31,66,72,25,5,0,250,14,21,30,25,35,24,15,6,0,184,315,423,808,1301,1643,1445,486,83,19,6520,21,29,51,48,67,53,3,0,0,279,27,7,11,10,16,14,9,0,0,105,50,43,66,58,78,71,18,0,0,383,368,457,876,1360,1728,1515,498,81,19,6902,348,69,103,146,263,652,1267,612,172,3632,67,56,77,104,181,190,159,83,37,950,775,586,1054,1612,2164,2353,1930,778,233,11485,33,156,310,478,703,487,85,11,3,2267,247,181,350,664,832,685,196,12,3,3169,13,14,71,60,70,83,25,0,0,337,4,18,13,20,29,23,14,3,0,131,298,365,745,1216,1641,1286,319,28,8,5901,12,19,23,24,38,28,0,0,0,136,30,5,21,35,37,35,5,0,0,161,40,24,41,57,71,63,8,0,4,296
20103,73,223,544,756,866,753,162,29,9,3421,149,106,120,136,179,292,138,28,5,1149,7,11,20,32,31,63,22,7,0,187,12,12,14,15,38,21,12,6,0,134,239,351,693,945,1109,1130,342,67,13,4890,32,72,55,49,65,65,3,0,0,326,28,11,9,17,18,21,9,0,0,109,57,78,62,62,82,86,13,0,0,437,296,435,755,1008,1189,1214,354,69,13,5334,358,104,164,282,474,798,1502,794,220,4698,40,32,58,88,106,141,169,86,30,742,691,568,979,1374,1765,2156,2021,950,263,10772,25,138,230,293,500,327,66,3,3,1594,209,152,312,461,569,513,144,11,8,2381,10,19,53,37,45,47,17,7,0,235,10,5,4,21,16,18,10,4,0,85,254,319,600,807,1129,909,239,21,13,4294,11,32,39,26,26,30,0,0,0,174,22,14,23,23,29,33,0,0,0,154,40,51,63,50,54,58,3,0,0,323
20201,293,1434,3882,3524,3433,2368,331,27,8,15313,792,775,709,554,588,799,413,63,0,4700,46,64,124,116,121,174,59,5,0,699,33,65,73,64,65,51,13,10,0,388,1170,2341,4784,4260,4207,3394,819,108,14,21093,105,240,251,192,147,127,4,3,0,1068,187,110,61,54,35,57,15,3,0,532,291,346,317,247,184,186,22,5,0,1593,1456,2689,5102,4507,4388,3580,841,110,14,22684,1402,511,519,537,757,1442,3002,2000,729,10890,159,198,382,308,364,362,351,237,150,2517,3016,3395,6001,5358,5513,5384,4192,2352,886,36093,159,901,2093,1650,2060,1312,116,10,3,8301,1130,1302,1858,2167,2087,1800,375,30,9,10762,62,120,343,208,163,174,45,3,0,1116,36,51,55,63,44,52,21,7,0,327,1397,2369,4344,4083,4353,3330,566,45,20,20500,60,95,115,103,88,52,4,0,0,531,219,166,144,131,93,63,9,0,0,819,282,264,261,236,182,113,16,0,0,1352
20202,134,455,1064,1655,2030,1485,296,49,9,7180,361,199,246,353,478,695,317,60,10,2704,13,10,31,62,85,106,47,5,0,357,23,17,32,35,47,33,8,10,0,202,525,683,1373,2099,2637,2310,666,123,23,10442,29,40,59,61,69,102,3,3,0,376,63,18,9,14,21,37,22,0,0,184,96,57,76,77,92,144,25,3,0,559,620,742,1441,2168,2731,2453,687,130,22,10997,673,204,400,432,497,988,2125,1109,348,6773,93,62,126,167,260,284,252,155,63,1466,1394,1010,1971,2774,3484,3727,3068,1386,433,19239,52,239,546,777,1221,811,115,15,0,3789,421,321,604,1149,1408,1055,324,39,12,5337,20,26,86,105,99,121,45,0,0,507,20,10,23,29,37,29,17,3,4,166,515,598,1259,2063,2760,2020,507,56,23,9801,18,30,35,43,50,37,3,0,0,220,60,18,35,48,65,61,8,0,0,289,76,46,68,97,121,101,6,3,0,509
20203,37,95,256,374,479,485,120,29,4,1870,66,23,29,57,82,112,68,28,3,466,3,4,3,9,24,39,4,3,3,97,3,3,16,13,13,17,7,3,0,77,108,130,297,452,599,649,204,64,7,2522,7,15,14,15,22,24,3,0,0,110,16,3,0,0,8,0,0,0,0,27,24,22,18,16,30,27,3,0,0,134,130,151,317,470,629,678,205,64,7,2654,178,28,40,77,130,310,577,265,106,1713,31,21,41,59,76,89,90,55,26,471,340,195,390,609,835,1078,876,383,141,4841,15,48,91,160,246,217,51,8,0,834,80,52,115,224,301,249,68,11,3,1102,7,4,24,12,21,25,9,0,0,103,3,4,14,10,14,13,3,0,0,53,110,112,243,404,579,499,134,22,6,2096,9,16,11,5,14,10,0,0,0,65,11,5,4,9,14,9,0,0,0,46,18,20,16,16,29,18,0,0,0,106
20301,89,230,642,979,990,640,150,21,0,3736,123,113,83,107,152,194,138,22,7,946,6,6,22,30,29,29,22,4,0,152,13,11,13,18,28,22,8,4,0,124,237,362,766,1138,1197,882,313,54,9,4953,20,15,20,21,28,27,0,0,0,138,25,8,3,3,3,7,3,0,0,46,45,21,20,24,28,39,3,0,0,188,283,382,783,1161,1224,917,315,54,9,5135,354,68,49,76,109,318,559,274,74,1878,26,26,52,79,69,79,54,25,14,420,667,474,883,1314,1403,1312,931,349,97,7428,20,111,307,358,423,273,55,0,3,1552,207,138,310,589,593,379,104,3,3,2316,8,17,72,45,38,39,15,0,0,238,9,6,8,19,14,11,3,3,0,81,238,276,694,1012,1063,704,179,13,5,4187,17,12,7,5,17,3,0,0,0,69,26,20,16,22,24,5,3,0,0,117,43,26,29,34,36,10,3,0,0,181
20302,497,2464,7779,7764,7457,4858,701,59,8,31592,1576,1821,1529,1063,1123,1438,759,119,10,9440,85,124,226,223,251,282,73,8,0,1274,52,121,228,161,152,97,26,6,4,862,2215,4529,9773,9212,8985,6675,1559,197,31,43176,154,394,510,374,402,306,10,0,0,2152,373,272,146,85,81,126,33,5,0,1118,524,661,652,457,482,435,46,6,0,3265,2744,5190,10425,9665,9471,7110,1605,200,26,46439,3046,1373,1476,1327,1565,2854,6024,3897,1602,23155,284,383,697,589,676,601,592,410,221,4455,6078,6948,12591,11585,11712,10562,8215,4511,1845,74047,183,1717,4633,3416,4155,2406,227,13,3,16763,2249,2540,3443,4671,4434,3401,761,55,9,21559,130,180,623,423,280,318,78,4,3,2037,98,113,111,100,108,91,31,5,6,663,2655,4545,8813,8612,8970,6212,1101,82,29,41017,122,213,277,195,222,121,3,6,3,1159,425,267,269,267,176,148,21,3,0,1574,544,484,547,459,403,268,25,7,0,2729
20303,184,657,2201,3150,2946,2080,335,31,3,11581,546,428,344,456,527,879,520,85,12,3794,42,26,62,95,109,147,59,6,0,546,22,36,53,52,55,46,12,10,0,281,789,1140,2660,3755,3639,3146,925,127,11,16196,36,76,86,85,107,104,3,0,0,500,121,46,22,23,16,47,14,6,0,302,154,127,114,114,123,155,16,6,0,803,944,1266,2773,3865,3759,3301,950,128,15,17002,968,196,222,289,378,1314,3185,1801,637,9003,85,90,174,245,241,300,310,162,72,1677,2004,1554,3171,4403,4376,4913,4443,2098,723,27678,72,358,1279,1246,1702,1026,127,5,0,5821,699,584,1153,2041,2019,1707,443,39,0,8674,43,34,225,136,134,134,45,6,0,760,29,28,41,39,45,36,17,7,0,241,848,1002,2686,3467,3898,2901,638,54,3,15502,29,35,41,62,61,45,0,3,0,282,116,36,56,86,85,78,11,0,0,465,145,71,103,147,145,122,15,3,0,748
20401,269,726,1629,1816,2168,1837,462,77,23,9010,346,185,279,295,405,589,367,96,15,2568,20,12,61,74,82,148,55,14,6,482,36,44,47,47,72,52,28,15,6,339,670,968,2009,2226,2728,2627,913,196,49,12396,39,46,84,77,93,100,9,0,0,449,35,23,17,11,30,45,3,0,0,162,79,69,106,84,119,143,8,0,0,611,751,1035,2117,2315,2847,2770,924,200,49,13005,857,243,183,244,470,1072,2499,1308,426,7307,105,108,218,244,298,366,334,188,86,1954,1713,1388,2515,2802,3615,4214,3762,1694,565,22269,75,352,780,866,1267,922,164,22,7,4454,491,361,724,1091,1233,1213,385,38,7,5537,15,38,119,92,107,107,41,5,0,523,18,21,35,33,46,42,18,6,4,222,599,770,1655,2077,2652,2286,607,74,13,10737,36,49,55,53,71,39,3,0,0,298,60,20,47,59,54,58,9,0,0,311,93,72,106,113,125,104,6,0,0,617
