SA3_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
20101,8629,10046,4059,316,23043,7803,1387,32233,866,597,519,59,2032,2523,297,4855,116,69,80,5,276,171,59,506,986,659,599,63,2310,2692,356,5362,157,55,99,8,315,734,65,1117,13,9,3,0,25,36,12,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,63,105,12,337,770,79,1185,3,0,0,0,3,4,0,3,4,0,0,0,5,4,0,14,0,0,0,0,4,0,0,4,23,22,13,3,65,26,0,90,33,27,14,3,73,31,3,106,37,27,8,8,81,83,12,171,9838,10820,4785,402,25847,11383,1828,39056
20102,3176,2798,926,63,6956,2638,228,9822,16,7,4,0,27,103,5,134,0,0,0,0,0,4,0,6,14,7,4,0,28,106,8,141,14,3,10,0,30,84,4,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,10,0,33,84,4,115,5,0,3,0,8,35,0,39,7,0,0,0,7,3,0,8,4,0,0,0,7,5,0,14,108,76,31,3,212,99,9,326,119,74,35,3,233,141,9,387,34,27,17,0,79,51,6,133,3358,2920,988,64,7328,3014,255,10591
20103,3000,2258,1009,62,6331,2838,271,9440,51,11,23,0,88,217,15,321,0,0,0,0,0,3,0,3,51,15,23,0,90,222,15,323,8,3,3,0,14,83,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,15,83,0,100,15,0,3,0,21,54,3,76,16,0,0,0,12,43,3,60,0,0,3,0,5,8,0,16,5,7,0,0,19,19,0,40,34,13,5,0,53,124,4,181,12,8,3,0,25,22,3,44,3105,2294,1042,67,6512,3288,301,10096
20201,8543,9340,4142,367,22398,7888,1270,31549,416,132,290,42,882,1741,186,2805,99,30,56,13,189,159,43,388,516,159,343,52,1068,1897,231,3199,61,36,59,3,163,278,26,464,13,4,0,0,16,39,4,56,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,76,39,62,3,176,328,28,532,4,3,0,0,10,47,3,57,15,0,3,0,21,34,0,51,0,0,0,0,0,4,0,3,16,10,4,0,30,14,3,47,40,11,9,0,56,102,4,159,27,19,12,0,61,61,6,125,9192,9569,4569,426,23759,10265,1537,35561
20202,5247,4911,1621,142,11920,4262,454,16641,67,29,46,5,151,318,15,485,8,0,0,0,10,4,0,16,76,28,49,5,159,324,15,500,17,11,4,0,32,116,4,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,24,11,8,0,37,119,4,158,3,3,3,0,5,20,0,22,8,0,0,0,8,32,0,36,3,3,0,0,4,8,0,8,14,10,7,0,37,24,6,61,29,16,9,0,50,75,6,133,53,33,6,0,97,53,0,157,5419,5000,1692,150,12265,4830,482,17580
20203,1380,1088,352,32,2844,1208,110,4158,0,3,0,0,4,15,0,18,0,0,0,0,3,0,0,3,5,4,0,0,4,15,0,20,12,0,4,0,16,42,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,16,42,0,52,3,0,0,0,8,44,3,51,3,3,0,0,7,5,0,7,4,0,3,0,8,4,0,8,7,9,3,0,12,7,4,26,11,11,10,0,29,60,3,92,17,4,3,0,26,15,0,41,1424,1104,359,32,2919,1332,118,4367
20301,1893,2566,551,45,5057,1037,108,6198,3,8,0,0,10,9,0,19,0,0,0,0,0,0,0,0,3,8,0,0,10,9,0,19,8,0,3,0,11,15,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,16,15,0,29,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,3,3,5,0,0,11,6,0,11,0,0,0,0,5,0,0,5,3,11,3,0,15,7,0,26,14,3,0,0,18,10,0,24,1922,2589,557,45,5110,1077,108,6296
20302,15608,19264,7511,644,43027,13701,2137,58858,1381,605,670,72,2731,4042,325,7100,385,198,150,25,757,507,126,1392,1771,801,822,97,3487,4550,450,8488,314,152,149,16,634,1188,104,1932,15,3,6,0,25,71,14,107,41,12,8,0,58,110,16,186,3,0,0,0,3,3,0,4,377,167,163,15,723,1373,139,2234,9,9,4,0,20,43,0,63,30,0,10,0,44,177,8,225,0,3,0,0,3,0,0,3,38,93,14,5,149,54,18,224,74,108,29,7,215,277,28,522,40,42,25,4,101,76,16,193,17862,20379,8544,767,47555,19974,2770,70291
20303,7670,7941,2185,152,17942,5318,534,23790,222,71,76,7,378,570,47,996,210,148,66,7,423,211,37,668,432,217,141,8,804,778,88,1665,81,28,17,0,124,188,12,325,9,6,0,0,13,25,0,41,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,93,30,17,0,143,216,12,371,3,6,0,0,10,3,0,10,7,0,0,0,11,18,0,31,0,0,0,0,0,0,0,0,8,8,4,0,22,19,3,45,23,12,4,0,39,43,3,81,39,32,8,0,81,42,0,124,8258,8233,2352,164,19006,6392,640,26043
20401,5953,5034,1947,152,13092,4982,478,18548,120,16,38,3,171,388,15,572,10,10,4,0,26,16,0,43,127,26,44,3,198,406,13,611,63,19,44,4,124,349,15,485,0,0,0,0,0,0,0,0,0,4,0,0,7,5,0,13,0,0,0,0,0,0,0,0,62,22,45,4,133,352,16,498,23,7,0,0,30,95,3,129,18,3,3,0,24,69,6,100,8,3,4,0,14,8,0,24,17,15,11,0,39,13,0,53,66,30,17,0,106,197,11,307,48,28,6,0,83,50,9,142,6260,5141,2054,158,13606,5986,518,20110
