SA3_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
20101,0,0,0,0,9,842,17,8,3,0,0,0,5,0,37,906,183,0,3,0,0,0,0,0,0,27,209,77,0,0,0,0,0,0,0,0,5,87,18,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,12,107,6,0,0,0,0,0,0,0,0,0,5,279,4,8,0,0,0,0,0,0,36,324,4032,440,469,99,141,101,81,86,42,228,5732,963,474,1015,156,196,173,154,193,160,92,3574,93,23,83,8,31,29,41,46,47,41,448,11,8,6,0,4,0,0,0,0,4,34,1059,505,1106,166,223,201,190,239,212,148,4046,25,0,0,3,0,0,0,0,0,10,33,5121,940,1579,270,368,303,274,326,251,383,9811
20102,0,0,0,0,3,355,4,3,0,0,0,0,0,0,15,377,62,0,0,0,0,0,0,0,0,7,72,36,0,0,0,0,0,0,0,0,3,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,3,39,0,0,0,0,0,0,0,0,0,0,3,100,0,3,0,0,0,0,0,0,10,120,2140,164,145,28,20,21,19,14,11,128,2690,446,41,98,12,11,13,16,16,9,24,693,45,5,5,0,0,3,4,0,3,3,67,3,0,0,0,0,0,0,0,0,0,4,496,46,105,15,11,15,21,16,7,22,767,3,0,0,0,0,0,0,0,0,0,8,2642,207,248,41,30,43,41,31,17,158,3465
20103,0,0,0,3,5,299,0,3,0,0,0,0,0,0,14,317,63,0,0,0,0,0,0,0,0,8,66,6,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,4,78,1600,54,78,10,4,4,10,14,3,85,1863,207,29,58,7,17,15,12,6,5,14,378,14,0,9,3,3,0,0,3,4,4,45,5,0,0,0,0,0,0,0,0,3,10,228,33,61,7,15,13,17,9,11,24,428,3,0,0,0,0,0,0,0,0,53,50,1829,87,141,18,19,21,29,29,19,164,2344
20201,0,0,0,6,7,457,11,5,0,0,3,0,0,3,35,519,148,8,0,0,0,0,0,0,0,13,168,32,0,0,0,0,0,0,0,0,5,34,11,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,0,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,3,5,189,9,0,0,0,0,0,0,0,21,217,2822,336,382,67,46,71,35,66,28,173,4009,514,346,968,145,141,184,150,139,84,97,2765,51,25,208,45,31,91,70,85,74,54,742,5,0,8,0,3,0,3,3,0,4,28,573,375,1180,191,172,273,224,225,160,160,3532,7,0,0,0,0,0,0,0,0,21,28,3397,713,1556,256,216,338,256,286,188,350,7565
20202,0,0,0,0,0,472,3,4,0,0,0,0,0,0,40,516,106,3,3,0,0,0,0,0,0,16,126,17,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,129,3,3,0,0,0,0,0,0,22,153,3116,296,245,33,49,28,31,18,10,191,4025,449,86,143,22,43,39,32,24,9,42,886,30,8,7,4,3,11,21,39,10,36,174,13,0,0,0,0,0,5,0,0,3,27,495,99,155,22,46,48,58,68,16,79,1076,5,0,3,0,0,0,0,0,0,234,238,3620,399,398,64,99,85,90,80,26,501,5345
20203,0,0,0,0,3,76,0,0,0,0,0,0,0,0,5,80,20,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,23,482,22,21,6,3,7,5,3,4,29,590,74,4,50,13,11,12,6,4,12,13,188,12,0,4,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,82,4,54,13,11,12,8,9,13,11,207,3,0,0,0,0,0,0,0,0,0,0,568,28,71,19,14,25,14,11,11,45,797
20301,0,0,0,0,0,154,0,0,0,0,0,0,0,0,6,163,31,0,0,0,0,0,0,0,0,3,32,16,0,0,0,0,0,0,0,0,3,19,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,4,54,1127,86,109,23,18,11,13,6,3,70,1464,189,24,59,3,9,10,5,3,3,17,315,16,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,7,205,25,58,3,9,9,5,3,3,15,339,0,0,0,0,0,0,0,0,0,0,6,1336,111,167,22,23,24,19,14,9,84,1811
20302,0,0,0,8,25,3139,30,20,0,4,3,3,7,0,160,3371,604,6,3,0,0,0,0,0,0,70,677,419,3,0,0,0,0,0,0,0,50,477,197,0,3,0,0,0,0,0,0,37,243,11,0,0,0,0,0,0,0,0,0,9,630,3,4,0,0,0,3,0,0,88,731,6,0,0,0,0,0,0,0,0,11,20,1239,6,9,0,0,0,3,0,0,169,1432,11050,1090,1359,289,235,222,219,227,136,509,15328,5510,1117,2728,440,581,707,634,747,484,400,13354,1350,124,300,79,115,208,137,228,209,214,2960,98,11,18,3,3,9,7,6,9,18,174,6960,1249,3042,520,697,920,777,982,700,627,16484,48,0,6,0,0,0,3,0,3,288,341,18056,2336,4401,808,936,1141,1002,1203,841,1427,32151
20303,0,0,0,0,9,940,10,9,0,0,0,0,0,0,45,1009,255,3,4,0,0,0,0,0,0,22,277,81,0,0,0,0,0,0,0,0,4,80,20,0,0,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,5,102,0,0,0,0,0,0,0,0,3,103,6,0,0,0,0,0,0,0,0,3,6,359,4,3,0,0,0,0,0,0,25,393,4950,508,688,160,111,127,92,85,32,249,7001,935,145,307,51,55,64,37,58,27,59,1729,101,12,9,0,4,5,13,12,6,21,180,15,4,3,0,0,0,0,0,0,8,25,1049,157,321,47,64,74,45,69,32,84,1937,24,0,0,0,0,0,0,0,0,9,28,6023,663,1010,213,173,199,141,158,62,339,8972
20401,0,0,0,3,6,609,0,0,0,0,3,0,3,0,17,638,147,0,0,0,0,0,0,0,0,4,155,46,0,0,0,0,0,0,0,0,0,46,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,3,3,197,0,0,0,0,0,0,0,0,11,211,3181,205,213,51,34,39,35,53,31,165,4012,600,75,208,67,53,59,41,83,60,99,1355,56,10,14,3,6,5,10,36,41,56,232,13,0,0,0,0,0,0,0,0,3,17,670,95,225,66,62,57,53,123,100,153,1600,14,0,0,0,0,0,0,3,0,7,25,3855,298,435,124,100,100,83,177,134,332,5636
