SA3_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
20101,..,11383,11383,11977,1311,13282,5353,314,5669,5352,148,5504,2278,35,2310,884,19,902,25847,13212,39056
20102,..,3014,3014,3774,237,4009,1365,14,1382,1291,6,1299,619,0,619,275,0,275,7328,3268,10591
20103,..,3288,3288,3587,263,3850,1166,22,1191,1029,4,1035,467,3,471,257,3,256,6512,3580,10096
20201,..,10265,10265,11234,1092,12326,5002,315,5321,4568,84,4652,2075,27,2103,871,15,888,23759,11809,35561
20202,..,4830,4830,6186,407,6592,2368,49,2416,2362,15,2376,988,7,993,367,11,375,12265,5312,17580
20203,..,1332,1332,1583,117,1696,520,3,516,444,0,442,254,0,254,119,0,119,2919,1452,4367
20301,..,1077,1077,2119,92,2213,942,7,949,1210,0,1217,591,3,595,248,0,248,5110,1185,6296
20302,..,19974,19974,21605,1828,23431,10367,526,10889,9962,234,10193,4060,94,4151,1566,86,1653,47555,22738,70291
20303,..,6392,6392,9246,508,9756,3437,87,3520,4057,32,4092,1745,11,1760,519,0,519,19006,7031,26043
20401,..,5986,5986,7140,443,7589,2524,32,2562,2405,13,2421,1089,12,1104,451,15,462,13606,6499,20110
20402,..,5575,5575,6479,421,6906,2208,34,2241,2096,11,2106,954,8,957,330,0,334,12066,6047,18116
20403,..,7003,7003,9093,602,9691,3522,72,3599,3429,31,3463,1520,11,1529,586,3,589,18149,7725,25872
20501,..,4467,4467,6220,348,6568,2423,26,2454,2381,10,2392,1230,6,1229,530,3,535,12781,4862,17641
20502,..,5437,5437,6818,371,7190,1991,43,2035,1808,7,1811,799,3,809,323,4,332,11745,5868,17614
20503,..,7513,7513,8800,515,9316,2791,45,2839,2571,10,2582,1289,3,1298,489,0,493,15942,8097,24037
20504,..,8774,8774,9164,673,9839,3889,96,3985,3524,23,3546,1406,0,1411,602,3,606,18585,9570,28158
20505,..,4752,4752,5587,355,5946,2053,48,2097,1906,11,1915,964,5,967,347,5,353,10857,5172,16030
20601,..,9513,9513,9612,2324,11934,4544,1179,5720,4295,531,4822,1314,167,1482,521,66,587,20285,13775,34058
20602,..,5936,5936,5472,1157,6629,2804,511,3314,2955,235,3189,865,64,931,265,20,284,12360,7918,20277
20603,..,7588,7588,7027,1152,8182,3560,411,3972,3832,116,3952,1418,24,1440,425,18,444,16273,9309,25578
20604,..,20644,20644,15744,7328,23075,5108,2906,8018,2522,1129,3652,717,382,1094,346,181,524,24441,32569,57012
20605,..,17806,17806,14105,3121,17225,4647,758,5407,3298,153,3451,913,33,950,258,16,271,23214,21896,45114
20606,..,10882,10882,8914,2364,11278,2617,667,3286,1887,143,2036,633,23,657,172,11,180,14222,14088,28314
20607,..,11823,11823,11352,2912,14265,4044,1500,5546,3015,558,3573,833,144,980,329,39,369,19572,16977,36553
20701,..,14473,14473,16546,2011,18558,8883,683,9564,11038,286,11325,4479,105,4579,1290,56,1345,42244,17609,59849
20702,..,6176,6176,9932,484,10417,5775,158,5938,5953,66,6017,2344,23,2371,892,13,905,24893,6930,31827
20703,..,8986,8986,9682,1153,10834,5942,609,6548,6432,343,6777,2369,165,2531,851,127,974,25273,11381,36658
20801,..,8561,8561,10462,613,11075,5231,92,5325,6875,21,6899,2570,11,2582,591,7,600,25736,9300,35037
20802,..,14360,14360,15081,1928,17003,8513,716,9231,9551,292,9841,3359,101,3458,1104,62,1166,37603,17459,55064
20803,..,12096,12096,13039,1025,14073,7015,141,7154,7515,39,7554,2591,23,2614,721,12,736,30881,13346,44224
20804,..,4131,4131,4280,597,4882,2063,254,2314,2571,92,2660,1096,46,1139,259,20,282,10274,5136,15406
20901,..,10581,10581,13398,960,14361,7309,288,7599,7950,115,8063,2828,46,2876,930,20,951,32420,12007,44431
20902,..,9396,9396,9562,1418,10983,5311,580,5893,4931,248,5178,1852,90,1942,975,92,1068,22630,11829,34457
20903,..,3101,3101,6148,219,6365,3771,30,3797,5018,9,5029,2097,7,2105,660,0,662,17686,3373,21059
20904,..,11196,11196,18364,1193,19559,13234,311,13545,14585,186,14774,6285,63,6350,3275,36,3306,55740,12987,68732
21001,..,4496,4496,6533,345,6882,3557,87,3640,3877,20,3902,1489,14,1495,514,0,513,15968,4963,20932
21002,..,1706,1706,3201,137,3338,1531,16,1542,1999,3,2002,889,0,889,340,0,340,7966,1858,9827
21003,..,6934,6934,7440,726,8166,4394,240,4633,4166,100,4268,1685,66,1754,1035,64,1098,18729,8137,26861
21004,..,2840,2840,4039,259,4300,2428,27,2451,2525,12,2534,1098,0,1098,424,0,424,10510,3138,13641
21005,..,7338,7338,10864,758,11624,8747,174,8928,9836,93,9930,5340,37,5377,4127,32,4164,38918,8446,47358
21101,..,10856,10856,15508,986,16497,9744,188,9931,10636,66,10709,3992,16,4009,1655,8,1667,41538,12132,53669
21102,..,1263,1263,2368,91,2454,1358,11,1374,1930,0,1933,940,3,946,295,0,295,6886,1373,8262
21103,..,9614,9614,11805,933,12740,6496,152,6647,6953,51,6999,2775,8,2782,1032,3,1041,29064,10750,39820
21104,..,5000,5000,6377,421,6798,3645,147,3795,4197,60,4261,1499,23,1518,528,14,538,16240,5670,21908
21105,..,10733,10733,16241,943,17185,8543,120,8662,9275,21,9303,4031,8,4037,1723,6,1730,39807,11837,51646
21201,..,5777,5777,9018,599,9616,5467,78,5541,5993,19,6013,2706,5,2708,1392,3,1397,24566,6491,31055
21202,..,7014,7014,11133,706,11843,7494,151,7648,8966,81,9040,3900,42,3941,2319,38,2360,33811,8024,41836
21203,..,7045,7045,12102,865,12961,9679,128,9809,11523,51,11576,5159,19,5177,3714,11,3728,42166,8123,50285
21204,..,12433,12433,15246,1442,16686,10992,520,11511,10266,338,10607,4919,196,5117,3826,192,4018,45260,15121,60375
21205,..,11638,11638,16573,1569,18142,10480,1042,11523,11352,723,12076,4013,259,4270,1633,178,1815,44047,15408,59458
21301,..,10746,10746,14809,1146,15957,10894,383,11275,10941,241,11182,5286,135,5429,3875,107,3979,45807,12759,58564
21302,..,7704,7704,9135,725,9863,5151,193,5342,5263,54,5314,1861,16,1876,757,10,764,22165,8698,30862
21303,..,8121,8121,8306,1622,9931,4692,680,5377,4354,308,4658,1437,110,1553,762,86,848,19553,10933,30481
21304,..,8113,8113,12141,886,13033,8758,116,8871,10610,31,10643,4661,8,4668,2594,7,2600,38766,9157,47926
21305,..,10515,10515,16541,1331,17878,14396,295,14691,14905,122,15033,6298,55,6349,4102,31,4129,56237,12346,68588
21401,..,13310,13310,14614,1359,15970,8107,200,8309,7745,39,7782,3056,15,3076,1235,4,1244,34757,14930,49687
21402,..,15561,15561,20054,1044,21094,7864,91,7956,8448,21,8472,3454,17,3468,1241,3,1242,41053,16738,57791
21501,..,7606,7606,8196,485,8681,2685,73,2760,2490,20,2514,1172,17,1192,455,10,465,15003,8210,23215
21502,..,5675,5675,6433,470,6904,2732,77,2808,2495,39,2534,1269,14,1279,596,13,610,13527,6292,19817
21503,..,4274,4274,4793,339,5136,1693,51,1742,1428,14,1440,869,10,879,396,4,404,9175,4696,13869
21601,..,3912,3912,4974,292,5265,1732,28,1761,1710,13,1724,851,0,854,378,0,377,9639,4254,13899
21602,..,3160,3160,3958,235,4191,1343,25,1365,1196,10,1203,650,0,649,324,3,328,7471,3428,10899
21603,..,6130,6130,7090,534,7628,3193,94,3287,3116,44,3159,1500,19,1514,797,10,804,15698,6825,22527
21701,..,4451,4451,4988,283,5270,1696,34,1729,1575,6,1577,702,0,703,267,0,267,9214,4778,13991
21703,..,4334,4334,4815,317,5136,1674,49,1728,1588,6,1598,831,8,838,400,9,402,9311,4724,14030
21704,..,5226,5226,6182,447,6626,2424,103,2526,2387,43,2428,1168,20,1184,509,16,520,12658,5862,18519
29797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
