SA3_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
20101,0,0,3,14,18,0,0,0,0,42,7,52,47,188,55,52,14,3,0,414,0,3,0,10,8,3,10,10,14,52,0,3,8,38,57,69,104,62,18,371,0,12,4,19,16,8,0,0,0,58,0,12,28,77,37,29,15,11,0,210,0,0,0,4,6,10,9,14,3,45,0,12,6,64,18,8,8,3,3,121,0,0,3,35,3,0,0,0,0,44,0,15,20,54,14,7,4,0,0,111,0,0,0,0,5,0,3,0,0,12,0,0,0,4,3,3,0,0,0,17,0,24,25,69,33,34,38,3,0,235,3,4,10,51,14,8,0,0,0,95,0,3,0,7,8,13,17,16,7,69,0,0,11,14,9,3,3,0,0,45,14,74,126,275,121,108,70,87,35,897,361,591,853,1680,992,907,896,564,234,7067,6736,13227,14506,25999,13287,12360,9822,5476,2398,103815
20102,0,0,0,4,0,0,0,0,0,7,3,7,7,23,3,11,0,0,0,58,0,0,0,7,0,3,11,0,3,26,0,0,0,10,21,31,50,20,4,145,0,0,0,7,0,5,0,0,0,16,0,8,3,14,14,8,12,3,0,65,0,0,0,0,9,12,6,6,3,45,0,0,0,6,3,4,8,0,0,22,0,0,0,3,0,0,0,0,0,4,0,4,4,13,3,5,0,0,0,22,0,0,0,0,5,5,11,3,0,21,0,0,0,0,0,0,0,0,0,8,0,0,9,20,14,31,17,0,0,91,0,0,3,8,5,0,0,0,0,13,0,0,0,0,8,10,3,3,0,30,0,0,0,4,0,6,0,0,0,14,0,8,9,64,71,66,76,41,19,352,78,236,219,498,479,528,410,202,112,2761,1379,3504,2609,5595,4478,4777,3772,1557,648,28307
20103,0,0,0,0,3,0,3,0,0,10,0,14,0,35,8,11,5,0,0,82,0,0,0,0,3,3,4,0,0,7,0,0,0,3,12,20,44,19,7,106,0,0,0,0,0,3,0,0,0,6,0,0,0,8,9,3,7,0,0,26,0,0,0,0,0,7,3,0,0,17,0,0,3,3,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,5,5,0,0,4,3,5,0,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,8,10,15,0,0,47,0,5,0,8,7,6,0,0,0,21,0,0,0,4,3,4,3,0,0,19,0,0,0,0,0,0,0,0,0,3,0,5,4,35,25,41,34,25,11,187,63,156,135,388,326,428,438,233,118,2292,1197,2925,2410,4674,3532,4195,3882,1854,700,25365
20201,0,0,0,25,10,0,0,0,0,45,3,33,36,160,63,39,21,9,0,354,0,0,0,3,0,3,3,6,8,18,0,0,4,28,32,58,61,50,16,253,0,0,5,17,3,7,10,3,0,50,0,13,41,68,32,18,22,0,3,198,0,0,0,0,3,0,9,5,0,17,0,19,15,64,24,21,12,8,5,174,0,3,6,35,3,3,0,0,0,46,22,151,137,76,15,4,0,0,0,403,0,0,0,0,0,0,4,0,0,10,0,0,3,3,3,0,0,0,0,8,0,20,17,37,17,23,25,0,3,144,0,11,8,42,7,3,0,0,0,74,0,4,4,7,3,11,7,6,0,39,0,3,8,15,4,0,7,0,0,36,9,36,78,155,63,67,65,40,18,525,336,640,769,1648,913,922,796,581,316,6922,6170,11968,12990,23662,11552,11405,8880,5240,2515,94378
20202,0,0,0,19,9,3,0,0,0,33,7,15,19,59,27,13,6,0,0,139,0,0,0,12,0,6,11,0,7,33,0,0,4,26,38,41,67,21,6,208,0,0,0,7,6,6,3,0,0,23,0,3,14,38,16,18,16,10,0,113,0,0,0,0,8,10,7,8,0,29,0,0,0,12,5,11,3,3,3,32,0,3,17,98,3,3,0,0,0,117,0,3,3,15,0,4,0,0,0,27,0,0,0,0,3,4,0,0,0,9,0,0,0,8,0,0,3,0,0,10,0,11,4,38,26,31,26,3,0,146,0,0,9,33,21,3,3,0,0,71,0,0,0,9,10,11,21,4,0,66,0,0,0,3,4,3,0,0,0,8,0,23,20,103,84,74,71,45,9,428,173,353,301,822,711,768,663,377,228,4404,2485,5737,4542,9639,7219,7525,6155,2852,1128,47291
20203,0,0,0,0,3,3,0,0,0,7,0,19,10,26,8,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,13,3,0,35,0,0,0,4,0,0,0,0,0,4,0,4,3,8,4,4,0,0,0,29,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,8,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,16,16,12,3,66,38,135,88,226,208,207,191,101,38,1237,571,1381,1070,2012,1701,2013,1568,786,311,11421
20301,0,0,0,3,0,0,0,0,0,3,0,3,0,21,3,9,0,0,0,31,0,0,0,6,0,3,0,0,0,9,0,0,0,9,14,28,17,14,3,76,0,0,0,0,5,0,0,0,0,8,0,0,0,9,3,3,0,0,0,16,0,0,0,0,9,12,5,0,0,28,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,7,12,5,9,8,3,0,44,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,4,0,0,15,0,0,0,6,0,6,0,0,0,13,0,4,4,33,24,36,19,19,13,146,57,137,117,302,222,250,154,54,26,1318,1265,2992,2103,4556,2833,2563,1761,687,258,19018
20302,0,4,0,35,28,13,0,3,0,80,11,85,192,424,231,146,83,14,9,1199,0,0,3,65,35,82,69,65,70,391,4,29,27,114,156,252,268,197,45,1092,0,22,37,50,53,38,25,0,0,222,3,32,62,158,95,73,47,27,10,506,0,0,0,26,82,103,118,100,20,459,3,19,67,168,42,34,29,10,8,377,4,7,11,34,8,4,4,0,0,69,12,168,119,150,36,17,5,3,0,515,0,3,9,65,102,180,152,104,20,631,0,6,12,36,39,18,21,14,0,137,11,53,50,170,68,53,50,7,3,464,3,16,70,231,101,65,16,3,3,504,0,3,5,40,42,39,59,23,14,218,0,4,7,64,22,9,5,3,0,126,36,174,318,829,371,462,473,426,224,3313,541,1056,1431,2936,1792,1651,1431,1075,632,12540,11641,22065,25740,49109,24312,22243,17524,10355,5191,188180
20303,0,4,0,11,9,9,3,3,0,41,0,9,10,47,21,13,6,0,0,113,0,0,0,13,3,4,12,11,11,55,0,9,7,46,59,101,124,62,28,432,0,3,6,18,8,3,3,0,0,47,3,16,10,106,57,32,21,9,3,258,0,0,0,0,0,8,10,3,3,27,0,4,0,17,4,10,4,3,0,40,0,0,0,4,0,0,0,0,0,4,0,6,10,21,14,3,3,0,0,47,0,0,0,3,3,13,8,4,0,29,0,0,0,0,4,3,3,3,0,17,8,36,15,86,45,38,42,9,6,286,3,6,7,17,3,5,0,0,0,29,0,3,0,22,20,18,20,13,0,85,0,6,0,20,7,3,0,0,0,34,19,43,26,193,80,94,111,68,31,656,206,404,332,973,600,762,767,428,177,4654,4340,9498,6723,15963,9326,10308,9245,4456,1869,71729
20401,0,0,3,8,7,0,3,0,0,24,5,21,23,83,32,30,6,0,0,201,0,0,0,4,3,6,9,5,5,42,0,0,7,19,26,46,73,29,15,211,0,3,6,5,9,5,0,0,0,28,0,3,3,26,13,18,15,11,0,91,0,0,0,0,5,3,4,5,3,24,0,0,0,5,9,0,3,0,0,29,0,0,10,36,0,0,0,0,0,56,3,7,16,30,12,3,0,0,0,68,0,0,0,0,5,3,10,0,0,22,0,0,0,5,10,0,0,0,0,14,8,8,8,34,14,20,13,10,0,114,0,0,3,8,3,0,0,0,0,16,0,0,0,6,0,3,10,0,4,30,0,0,0,3,8,4,0,0,0,20,0,19,18,75,50,81,97,76,25,456,184,399,468,1055,781,940,814,435,204,5297,2816,6348,5779,10932,7372,8373,7314,3521,1384,53840
