SA3_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
20903,0,4,6,8,43,58,50,20,7,204,3,5,11,27,9,17,6,3,0,70,3,8,11,104,39,52,33,3,7,264,0,0,5,25,10,3,14,4,0,57,0,6,8,51,16,14,11,0,0,103,0,0,4,5,7,5,0,0,0,20,0,7,4,72,55,36,27,13,0,215,0,3,7,22,70,217,205,99,29,645,0,8,3,16,21,13,3,3,0,68,0,0,5,15,0,3,3,0,0,29,0,0,0,5,14,17,10,7,0,48,0,17,10,59,26,62,39,10,3,231,0,0,3,3,12,37,42,19,3,110,0,0,0,15,10,11,7,0,0,42,0,0,0,0,5,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,6,43,17,37,56,32,13,214,4,42,49,193,166,123,54,17,3,645,0,3,5,16,15,13,24,3,0,83,0,3,0,16,3,9,0,0,0,31
20904,4,75,94,201,386,781,1116,928,201,3781,4,7,47,152,50,56,17,5,0,335,153,634,1220,7595,827,506,249,85,30,11303,3,24,46,225,54,36,15,7,0,414,34,259,235,891,147,60,33,3,0,1666,18,146,288,1038,544,191,87,43,6,2354,3,36,3,100,38,52,48,32,7,321,17,52,70,255,568,1401,1773,1439,524,6097,0,13,14,47,25,10,7,0,3,113,7,15,27,124,34,15,4,0,0,220,9,37,69,531,479,314,158,52,18,1663,14,66,192,420,161,183,82,21,9,1152,0,3,4,42,65,307,416,184,43,1064,3,15,31,179,55,67,25,20,3,401,0,5,6,34,8,4,3,0,0,59,0,24,82,350,22,17,4,0,0,492,0,10,4,13,13,40,77,34,14,205,83,454,379,929,344,242,69,28,3,2534,0,0,3,10,21,26,32,20,4,122,26,91,99,532,72,47,14,6,0,898
21001,0,9,18,29,67,163,286,267,63,894,3,0,3,42,22,35,6,0,0,119,16,47,75,460,122,89,82,35,11,948,0,3,4,37,6,9,4,0,3,63,4,37,27,137,31,30,13,15,4,292,0,7,8,29,12,5,4,4,0,62,3,13,3,54,25,13,28,18,3,163,7,27,19,99,176,542,1208,1100,397,3570,0,3,0,24,13,3,5,0,3,59,0,3,4,21,10,0,5,4,0,53,0,0,7,41,59,55,50,18,3,237,3,7,19,88,28,33,22,5,0,206,0,0,3,16,28,78,216,149,56,542,0,0,0,12,8,9,7,4,3,53,0,0,0,0,3,0,0,0,0,8,0,0,3,32,0,0,0,0,0,46,0,0,0,7,3,13,24,20,8,82,5,27,62,186,94,66,30,11,3,484,0,0,0,8,5,10,15,4,3,43,0,6,11,39,5,0,3,0,0,71
21002,0,0,0,3,3,11,7,5,0,32,0,0,3,0,0,0,0,0,0,12,0,0,0,17,13,12,4,10,0,51,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,6,0,7,0,27,16,13,11,4,4,84,0,3,0,8,20,57,54,21,9,170,0,0,0,3,5,0,0,0,0,12,0,0,0,5,0,0,0,0,0,6,0,0,0,3,4,3,0,0,0,15,0,0,3,12,12,4,4,3,0,37,0,0,0,3,10,60,39,7,3,121,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,17,37,7,7,94,3,22,14,109,104,67,33,13,4,360,0,0,0,4,12,7,18,7,0,48,0,0,0,0,0,0,0,0,0,4
21003,4,29,21,58,89,171,292,332,142,1145,3,10,11,73,8,9,3,0,0,106,81,181,338,2041,127,79,54,26,11,2934,0,9,17,113,25,3,6,0,0,181,3,55,48,247,38,14,7,0,0,399,5,45,53,262,135,74,34,30,7,650,0,6,3,64,23,10,9,14,10,139,3,12,16,144,251,530,984,1446,659,4059,0,10,16,68,14,4,0,3,0,112,0,8,0,92,5,3,3,0,0,115,6,22,86,581,383,248,137,52,11,1526,10,29,39,193,36,32,10,8,0,347,0,0,0,10,19,70,197,246,81,631,0,8,4,63,13,3,5,0,0,95,0,7,8,37,14,14,4,3,0,76,3,28,285,891,19,10,6,3,0,1250,0,6,3,14,8,12,18,11,5,80,12,72,107,451,161,56,26,3,6,894,0,0,0,16,4,11,9,8,3,49,114,238,442,1700,113,29,12,4,3,2658
21004,0,0,0,5,13,10,10,16,4,67,0,0,0,11,0,9,0,0,0,22,10,19,43,170,59,37,29,18,11,398,0,0,3,16,4,0,0,3,0,29,0,3,0,7,0,3,0,0,0,16,0,0,0,5,0,3,0,0,0,11,0,3,9,47,23,19,19,8,7,140,0,0,5,6,39,60,107,47,19,289,4,4,0,7,3,0,0,0,0,21,0,3,4,5,4,0,0,0,0,15,0,3,0,14,11,10,0,8,3,45,0,6,8,22,14,14,10,3,0,78,0,0,3,18,18,68,79,20,7,202,0,0,0,9,4,10,0,0,0,24,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,26,45,24,8,118,10,63,74,231,154,92,46,11,8,681,0,0,3,4,14,12,15,7,0,55,0,4,14,14,12,8,0,0,0,53
21005,0,19,51,78,109,186,319,225,44,1036,0,4,17,55,22,19,0,0,0,128,129,457,753,5467,602,468,252,95,41,8257,4,25,17,123,28,8,3,7,0,219,11,85,127,423,79,56,35,11,7,830,66,843,1526,4549,1876,1022,483,195,54,10629,0,15,5,42,27,25,18,19,17,163,0,9,18,111,322,773,954,604,157,2954,0,3,3,22,8,5,0,0,4,43,0,0,11,46,10,0,0,0,0,71,40,92,199,1393,792,535,266,95,25,3428,6,24,46,148,65,42,27,6,0,366,0,0,10,32,76,250,390,168,45,976,0,5,17,71,36,33,19,5,5,188,0,3,8,26,12,9,10,8,3,67,6,78,138,328,9,0,3,0,0,574,0,6,3,7,6,23,47,18,4,120,123,637,576,854,287,168,60,17,0,2717,0,0,0,6,6,12,34,9,9,76,79,184,351,1210,125,42,17,3,0,2018
21101,0,6,8,32,92,151,176,122,18,604,26,55,119,482,242,286,89,19,3,1313,29,193,358,1835,655,480,228,122,44,3934,0,23,50,284,100,50,45,21,10,580,4,33,54,302,84,57,34,7,0,581,0,4,20,42,26,16,15,4,0,132,8,26,10,73,62,86,67,65,29,412,0,3,11,46,126,262,319,240,84,1088,0,27,19,54,30,7,7,3,3,150,3,62,69,278,100,36,15,3,0,562,0,3,3,30,47,62,19,13,5,187,31,178,347,1019,571,645,324,114,27,3254,0,0,0,7,15,54,62,27,9,167,0,10,8,65,70,105,69,30,4,361,0,6,15,41,16,18,8,6,4,115,0,3,25,80,21,4,0,0,0,145,4,8,6,28,55,141,274,217,96,825,21,211,251,559,363,290,170,52,13,1929,0,4,9,26,23,55,37,38,17,208,0,16,19,87,35,20,12,0,0,189
21102,0,0,0,5,22,63,39,21,8,163,0,10,17,100,41,80,30,6,3,287,5,15,14,108,32,40,25,11,4,251,0,0,0,12,3,3,4,0,0,28,0,14,12,79,30,21,10,4,0,178,0,0,0,6,0,4,0,0,0,10,0,4,3,8,13,12,9,6,0,56,0,0,0,10,17,69,139,87,46,372,0,5,0,10,9,3,8,3,0,30,0,3,6,26,21,6,0,5,0,66,0,0,0,3,11,13,4,0,0,34,0,45,34,119,71,86,41,22,11,422,0,0,0,3,5,11,12,7,0,49,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,3,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,15,38,24,12,99,4,25,19,57,48,49,18,13,4,237,0,0,0,0,3,9,3,4,3,29,0,3,0,9,6,3,0,0,0,28
21103,0,7,3,13,28,48,65,49,6,220,7,11,38,225,62,74,20,12,0,448,39,148,133,1141,171,114,93,42,11,1889,0,10,10,122,24,14,13,18,4,218,3,37,42,291,58,40,24,8,3,510,0,0,3,20,14,5,4,0,0,47,7,6,0,67,36,45,57,35,9,262,0,4,3,34,45,116,158,129,59,544,0,13,0,47,13,6,7,5,0,106,3,24,28,138,26,15,19,6,0,246,0,0,0,24,14,11,14,3,0,67,67,141,78,323,144,121,48,31,10,973,0,0,3,3,8,26,39,26,3,111,0,6,10,40,24,18,8,5,0,117,9,210,392,848,180,79,30,9,3,1753,0,8,5,34,3,0,0,0,0,48,0,0,3,37,34,90,191,139,68,566,15,66,84,467,275,218,107,43,13,1288,0,0,4,24,22,20,45,21,7,141,3,4,16,69,10,11,3,0,0,119
