SA3_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
20101,39714,44132,83848,17072,9062,26138,5109,11922,17026,1088,1539,2631,1859,1590,3452,25129,24112,49247,12106,17309,29421,7.4,6.6,7,63.3,54.6,58.7,58.6,51,54.6,1336,1426,2762,794,1516,2313,4312,6427,10738,2925,4205,7135,9771,5257,15026,342,741,1080,509,783,1290,10619,6783,17401,37751,40572,78322,7538,8340,15875,24056,25831,49884,19153,21135,40289
20102,11485,11939,23428,4528,2267,6794,1564,3169,4732,432,466,900,383,296,687,6902,6202,13102,3632,4708,8337,5.5,4.8,5.2,60.1,51.9,55.9,56.8,49.4,53,349,471,819,210,437,650,1028,1656,2679,882,1361,2241,3060,1245,4305,88,148,239,199,237,432,3348,1627,4970,11317,11424,22747,1253,1420,2674,8284,8235,16523,3788,4113,7906
20103,10772,10474,21245,3421,1594,5015,1149,2381,3527,322,314,637,437,323,765,5334,4618,9945,4698,5090,9791,8.2,7,7.7,49.5,44.1,46.8,45.4,40.9,43.2,110,139,250,97,190,292,454,898,1356,511,965,1479,2913,1263,4180,117,174,288,151,245,396,3181,1676,4859,10063,10008,20077,1278,1339,2614,7403,7245,14643,3489,3641,7132
20201,36093,40147,76243,15313,8301,23611,4700,10762,15457,1081,1443,2523,1593,1352,2947,22684,21850,44535,10890,15551,26442,7,6.2,6.6,62.8,54.4,58.4,58.4,51.1,54.6,885,1033,1915,640,1286,1928,3427,5472,8895,2523,3660,6189,9442,5020,14469,359,635,987,490,872,1362,10287,6525,16821,34491,36727,71217,6512,7411,13926,22158,23430,45588,16752,18829,35587
20202,19239,19830,39071,7180,3789,10969,2704,5337,8043,559,675,1233,559,509,1070,10997,10308,21306,6773,7909,14685,5.1,4.9,5,57.2,52,54.5,54.3,49.4,51.8,694,908,1608,466,911,1377,2106,3143,5249,1471,2117,3589,4727,1946,6679,124,285,413,281,413,691,5132,2645,7777,18107,18799,36912,2404,2649,5051,12699,12920,25620,6907,7637,14541
20203,4841,4624,9469,1870,834,2708,466,1102,1570,179,162,339,134,106,241,2654,2199,4852,1713,1995,3705,5,4.8,5,54.8,47.6,51.2,52,45.4,48.8,34,63,94,48,108,154,215,434,645,250,424,673,1304,508,1817,32,92,122,65,104,171,1401,702,2105,4766,4543,9308,425,437,863,3671,3439,7114,1295,1340,2637
20301,7428,7330,14759,3736,1552,5287,946,2316,3265,273,316,588,188,181,369,5135,4365,9504,1878,2555,4436,3.7,4.1,3.9,69.1,59.5,64.4,66.7,57.1,61.9,149,196,343,115,222,331,609,1060,1667,632,855,1489,2324,1014,3336,50,115,169,114,180,295,2493,1309,3806,7893,7678,15567,970,975,1947,5393,5150,10538,2959,3031,5983
20302,74047,80427,154470,31592,16763,48362,9440,21559,30995,2139,2697,4833,3265,2729,5996,46439,43754,90188,23155,31789,54943,7,6.2,6.6,62.7,54.4,58.4,58.3,51,54.5,2472,2431,4897,1097,2243,3338,8234,11684,19917,5893,8341,14235,18010,9687,27701,600,1056,1658,1023,1553,2577,19635,12294,31931,68984,73775,142761,13110,14284,27395,46104,49359,95459,32487,35508,68001
20303,27678,30213,57894,11581,5821,17398,3794,8674,12467,829,999,1829,803,748,1555,17002,16246,33248,9003,12254,21259,4.7,4.6,4.7,61.4,53.8,57.4,58.5,51.3,54.7,1121,1211,2331,615,1292,1914,4044,5599,9641,2729,3827,6561,7236,3069,10310,175,364,543,405,693,1104,7820,4132,11953,26595,28097,54690,5160,5554,10713,16803,17753,34550,13626,14864,28485
20401,22269,22410,44677,9010,4454,13463,2568,5537,8102,820,746,1564,611,617,1229,13005,11351,24362,7307,9170,16477,4.7,5.4,5,58.4,50.7,54.5,55.7,47.9,51.8,345,405,750,244,555,795,1357,2446,3802,1495,2414,3906,6381,2597,8972,176,376,556,360,553,915,6916,3519,10439,20619,20552,41177,3526,3545,7077,14375,14215,28589,8656,8916,17571
